name,score,address,img_url,reviews,open_hour
백두약국,5.0,구로구 오류로8길 26,,"[{'작성자': '오', '별점': '5.0', '날짜': '2022.11.08.', '내용': '진료시간 정보 틀려서 답니다. 9시에 갔는데 문 닫혀있었어요', '좋아요': '0'}, {'작성자': '부산갈매기', '별점': '5.0', '날짜': '2022.03.17.', '내용': '친절하고 종류도 많고', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
태양약국,5.0,구로구 경인로 191,,"[{'작성자': '워니워니', '별점': '5.0', '날짜': '2022.09.09.', '내용': '약사님 약 설명도 너무 친절하게 해주시고 좋으셔요! 단골 예약입니다^^', '좋아요': '0'}, {'작성자': '윤석범', '별점': '5.0', '날짜': '2021.10.26.', '내용': '약사님이 정말 친절하세요^^', '좋아요': '0'}, {'작성자': '냠냠박사', '별점': '5.0', '날짜': '2021.07.16.', '내용': '매우 친절하십니다:)', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '일': '10:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
오류온누리약국,0.0,구로구 경인로 201 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
인성약국,4.6,구로구 오류로 73 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE71D579534FC4573A86E9D2069F9DAEB,"[{'작성자': 'ji1', '별점': '5.0', '날짜': '2024.10.31.', '내용': '약사님 너무 친절하세요~!!!', '좋아요': '0'}, {'작성자': '맛난것만 리뷰함', '별점': '5.0', '날짜': '2024.07.27.', '내용': '약사님 너무 친절하세여 최고', '좋아요': '0'}, {'작성자': '조보금', '별점': '5.0', '날짜': '2024.06.21.', '내용': '약사님 친절하고 빠르고 너무 좋아요! 🙂', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '08:30 ~ 16:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
한솔약국,4.2,구로구 경인로 215,,"[{'작성자': '장정필', '별점': '5.0', '날짜': '2023.12.08.', '내용': '건너편 다나약국이 싸가지없지 약을 툭툭 던진적은 없는데 이상하네요.\n그 위 남광우의원 들를때 엘베가 없어서 유모차 두고 다녀와도 될지 여쭤보니 보관도 해주시고 친절했습니다.', '좋아요': '1'}, {'작성자': '서준혁', '별점': '5.0', '날짜': '2018.05.30.', '내용': '친절하고 나이스하신 약사님\n설명도 잘 해주셔서 단골이 많은 것 같네요\n약국도 깔끔하고 좋았어요', '좋아요': '1'}, {'작성자': '정영후', '별점': '5.0', '날짜': '2018.05.30.', '내용': '친절하고 자세하게 알려주시네요~감사해요!!', '좋아요': '2'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 17:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30'}"
시티프라자약국,0.0,"구로구 경인로 176 시티월드상가 1층 105,106호",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 14:30', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00'}"
부부약국,0.0,구로구 오류로8길 60 우성빌딩,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
우리약국,5.0,구로구 오류로8길 57 대성빌딩,,"[{'작성자': '어휴', '별점': '5.0', '날짜': '2024.08.22.', '내용': '매우 친절하십니다\n연고를 찾느라 약국 다 돌아다녔는데 여기에 있었어요\n감사합니다', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '08:30 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
진솔약국,5.0,구로구 경인로 211-1,,"[{'작성자': '퍙퍙', '별점': '5.0', '날짜': '2020.10.13.', '내용': '종류도 다양하고 좋았어요', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
성심약국,1.0,구로구 경인로20길 6 포스시티 104호,,"[{'작성자': 'GJ', '별점': '1.0', '날짜': '2024.11.15.', '내용': '괜히 별점낮은게 아니다. 기본인성 좀 교육받아라', '좋아요': '0'}, {'작성자': 'iilllliiiilll', '별점': '1.0', '날짜': '2024.05.04.', '내용': '자꾸 영양제 강요함..', '좋아요': '0'}, {'작성자': '常夏', '별점': '1.0', '날짜': '2022.11.07.', '내용': '살다살다 이렇게 불친절한 경우는 처음 보네요 ㅎㅎ 두 번 갔는데 두 번 모욕 당함 ㅋ 소아과 앞 아니면 벌써 여긴..', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
오류중앙약국,0.0,구로구 경인로 195 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
세명약국,2.3,구로구 오류로8길 16 세명프라자 201호,,"[{'작성자': '몽둥이', '별점': '1.0', '날짜': '2022.08.07.', '내용': '사장님이 너무 불친절함. 제일 가까운 약국이라 갔는데 응대가 너무 최악이라 다시는 가고싶지 않음..', '좋아요': '0'}, {'작성자': '아기상어', '별점': '1.0', '날짜': '2022.08.05.', '내용': '최악 너무 비싸게 팔고 영업이 심합니다.\n여사장님 예의도 없고 매우 불쾌하네요', '좋아요': '0'}, {'작성자': '찰떡양갱', '별점': '5.0', '날짜': '2019.12.11.', '내용': '약사님 너무 친절하시고 설명도 잘 해주시네요~ 아픈 와중에 방문하여 약사님의 설명에 아픈게 좀더 나은 기분이 들었어요', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
봄약국,4.5,"구로구 경인로 204 103,104호",,"[{'작성자': '최악인곳만리뷰하는사람', '별점': '1.0', '날짜': '2024.11.29.', '내용': '보통 사람이 오면 “어서오세요 잠시 기다려주세요” 또는 ""필요하신거 있으세요?“ 물어봐야되는데 본인 일힌다고 컴퓨터만 보고 딸깍거림 아무리 바빠도 온 손님 방치하는건 아닌듯', '좋아요': '0'}, {'작성자': '극대노', '별점': '4.0', '날짜': '2024.07.23.', '내용': '저번에는 친절했는데 오늘은 아니었어요. 불친절하다 정도는 아녔습니다. 매장은 깔끔합니다.', '좋아요': '0'}, {'작성자': '동동이', '별점': '5.0', '날짜': '2024.07.13.', '내용': '약사님 너무 친절해요', '좋아요': '0'}]","{'목': '08:00 ~ 21:00', '금': '08:00 ~ 21:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '08:00 ~ 21:00', '화': '08:00 ~ 21:00', '수': '08:00 ~ 21:00', '휴무일': '공휴일'}"
다나약국,1.0,구로구 경인로 216,,"[{'작성자': '🤭', '별점': '1.0', '날짜': '2025.03.28.', '내용': '레전드싹퉁', '좋아요': '0'}, {'작성자': 'ㅎㅇㅎ', '별점': '1.0', '날짜': '2025.01.11.', '내용': '그렇게 예의와 존중없이 약사 일 할거면 관두라고 하세요.', '좋아요': '0'}, {'작성자': '🤍뇸뇸🤍', '별점': '1.0', '날짜': '2025.01.04.', '내용': '진짜 ㄹㅈㄷ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
한빛약국,5.0,구로구 경인로 164 대일빌딩 3층,,"[{'작성자': '눙눙', '별점': '5.0', '날짜': '2020.08.22.', '내용': '친절하세요ㅎㅎ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
개성약국,5.0,구로구 경인로 176 시티월드 3층 308호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjNfMjY0%2FMDAxNzI3MDU5MDkzODY4.eIa8b5f1KLw3AOqCKsVMc0y6vOMMC8bBWmx2lrelDvkg.xTUkHD8RkZrycHUPCtjf_rdEWm_HBrrfLJO1hSqvlWAg.JPEG%2FIMG_0583.JPG%3Ftype%3Dw966,"[{'작성자': 'JY🤹\u200d♀️', '별점': '5.0', '날짜': '2023.12.11.', '내용': '약사님 너무 친절하세요ㅠㅠ\n약국위치가 너무 아쉬운곳..\n많은 분들이 알았으면 하는곳입니다!\n1층 ... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
