name,score,address,img_url,reviews,open_hour
온수약국,5.0,구로구 부일로1길 22,,"[{'작성자': '25년 37살 박유수 화이팅', '별점': '5.0', '날짜': '2022.11.14.', '내용': '약사님께서 친절하고 설명을 잘 해주십니다 온수약국 번창하기를 바라고 앞으로도 이용 할겁니다', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
준약국,3.0,구로구 경인로 31-28 1층,,"[{'작성자': '🤍', '별점': '3.0', '날짜': '2025.01.15.', '내용': '타 약국보다 비싼 느낌.. 자주 가진 않을 듯', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
뉴딜팜,0.0,구로구 부일로9길 98,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
독일약국,4.0,구로구 오리로 1297 청파빌딩 1층,,"[{'작성자': '카카오', '별점': '5.0', '날짜': '2023.06.03.', '내용': '근처에 저녁 8시까지 여는 곳은 여기밖에 없는듯', '좋아요': '1'}, {'작성자': '영', '별점': '2.0', '날짜': '2022.04.09.', '내용': '약 성분 효능 잘 모르시니 답답합니다. 개인적으로 잘 알아보고 약사러 가야할듯..', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
메디팜제일약국,,구로구 오리로 1270 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
성약국,5.0,부천시 원미구 지봉로 116 1층,,"[{'작성자': 'sweetie', '별점': '5.0', '날짜': '2024.01.12.', '내용': '종류가 많아서 찾는 약 바로바로 찾아주시고 친절해서 좋아요. 자주 들를게요~~', '좋아요': '0'}, {'작성자': '크롬', '별점': '5.0', '날짜': '2023.08.09.', '내용': '주말에도 편하게 갈수 있고 구비한 약 종류도 많아서 좋아요!', '좋아요': '0'}, {'작성자': '이화', '별점': '5.0', '날짜': '2021.01.28.', '내용': '친절하시구 약 처방 잘해줍니다', '좋아요': '0'}]","{'목': '08:00 ~ 22:00', '금': '08:00 ~ 22:00', '토': '08:00 ~ 22:00', '일': '10:30 ~ 21:30', '월': '08:00 ~ 22:00', '화': '08:00 ~ 22:00', '수': '08:00 ~ 22:00'}"
하나약국,,부천시 소사구 경인로 565,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 13:00', '금': '09:00 ~ 13:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 13:00', '화': '09:00 ~ 13:00', '수': '09:00 ~ 13:00', '휴무일': '매주 일요일'}"
성심약국,0.0,부천시 원미구 지봉로 117 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 16:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30'}"
새현대약국,5.0,부천시 원미구 역곡로 8 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff180a8915d72345e61b52aff298d70af5c6730cc%3Foriginal,"[{'작성자': '가을', '별점': '5.0', '날짜': '2025.02.01.', '내용': '주말이나 늦은 시간에도 열려있고 평균 약값도 저렴해서 소화제나 감기약 같은 비상약은 근처 지날때 미리 구비합니다. \n역곡역 북부 앞이라 접근성도 좋습니다.', '좋아요': '0'}, {'작성자': '진달래', '별점': '5.0', '날짜': '2024.02.04.', '내용': '일요일 밤에도 열어주셔서 감사합니다\n우리 동네 보물이에요\n친절한 약사쌤 최고입니다', '좋아요': '0'}, {'작성자': '최홍준', '별점': '5.0', '날짜': '2023.05.23.', '내용': '너무친절하시고 꼼꼼하게 알려주셔서 굿', '좋아요': '0'}]","{'목': '08:30 ~ 01:00', '금': '08:30 ~ 01:00', '토': '08:30 ~ 01:00', '일': '10:00 ~ 01:00', '월': '08:30 ~ 01:00', '화': '08:30 ~ 01:00', '수': '08:30 ~ 01:00'}"
한사랑약국,5.0,부천시 원미구 지봉로121번길 6,,"[{'작성자': 'ㆍ', '별점': '5.0', '날짜': '2024.06.17.', '내용': '합리적인 가격에 친절하십니다!', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '공휴일'}"
역곡태평양약국,2.7,부천시 원미구 역곡로 7 1층 105호,,"[{'작성자': '이상갑', '별점': '5.0', '날짜': '2025.01.18.', '내용': '카운트약사님 너무친절합니다', '좋아요': '0'}, {'작성자': '', '별점': '1.0', '날짜': '2023.06.09.', '내용': '그냥 사람이 별로임', '좋아요': '0'}, {'작성자': '윱니', '별점': '2.0', '날짜': '2021.01.14.', '내용': '제가 보통 봐왔던 약사 분들은 불필요할 정도로 친절한 분들이 많으셨는데.. 너무 설명도 안해주시고 오히려 유투브 보고 찾아보고 안게 더 많네요', '좋아요': '1'}]","{'목': '08:30 ~ 21:30', '금': '08:30 ~ 21:30', '월': '08:30 ~ 21:30', '화': '08:30 ~ 21:30', '수': '08:30 ~ 21:30'}"
역곡서울약국,0.0,부천시 원미구 역곡로 7 스카이빌딩 1층 104호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
역곡옵티마약국,0.0,부천시 원미구 역곡로98번길 60,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
누가약국,0.0,부천시 원미구 역곡로 24 덕산빌딩 1층 105호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 16:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00'}"
생기약국,0.0,부천시 소사구 경인로536번길 49 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
역곡약국,5.0,부천시 원미구 역곡로 12-1 세운빌딩 1층,,"[{'작성자': 'zv', '별점': '5.0', '날짜': '2021.11.12.', '내용': '문 닫을때 갔는데 늦었는데도 여자 직원분이랑 약사님 너무 친절하셔서 감사했습니다. 가격도 좋고 역곡에서 최고에요!', '좋아요': '0'}, {'작성자': '서뽀이', '별점': '5.0', '날짜': '2021.06.29.', '내용': '어디서나 볼 수 있는 동네약국.약사님이 총 4분 계시는데 다 친절하십니다.처방 받은 약 받을 때 친절하게 설명 받을 수 있었습니다!', '좋아요': '0'}]","{'목': '08:30 ~ 21:30', '금': '08:30 ~ 21:30', '월': '08:30 ~ 21:30', '화': '08:30 ~ 21:30', '수': '08:30 ~ 21:30'}"
보영약국,3.0,부천시 원미구 부일로 753 로하스타워 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F39f7a6f2cea4b0ea2376f0f555fc9dd6682484e4%3Foriginal,"[{'작성자': '서뽀이', '별점': '3.0', '날짜': '2022.06.07.', '내용': '뭔가가 정리가 되어있는 느낌은 아니지만\n약사님들의 처방과 속도는 정리되어 있었습... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 21:30', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
스마일온누리약국,0.0,부천시 원미구 역곡로 3 역곡덕지빌딩 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA5MjNfMTE5%2FMDAxNjk1NDQ2MTMxMjQ5.jsuoRg8cjFiiW2AWZHCWmPaJ6VDoKsFdzCLzmkLttzYg.2SHRgdxKSswLaU3kzDp5eKJAQFz26j3-wQFseHSdZNwg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%258A%25A4%25EB%25A7%2588%25EC%259D%25BC%25EC%2598%25A8%25EB%2588%2584%25EB%25A6%25AC%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
바른손약국,3.5,부천시 소사구 경인로 508 1층,,"[{'작성자': 'ㄲ', '별점': '1.0', '날짜': '2024.01.16.', '내용': '24시간 아님 \n자판기도 불도 안켜져있음', '좋아요': '0'}, {'작성자': '냠냥', '별점': '1.0', '날짜': '2023.12.10.', '내용': '24시간 연중무휴라더니 문 닫혀있을때가 많고 티비로 인기도만 얻고 자판기로만 사업하고 싶으신듯...', '좋아요': '0'}, {'작성자': '이건우', '별점': '5.0', '날짜': '2023.09.29.', '내용': '그저 빛', '좋아요': '0'}]",{'휴무일': '연중무휴'}
마이홈온누리약국,0.0,부천시 소사구 경인로 532,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '10:00 ~ 22:00', '금': '10:00 ~ 22:00', '월': '10:00 ~ 22:00', '화': '10:00 ~ 22:00', '수': '10:00 ~ 22:00'}"
신광한약방,0.0,부천시 원미구 부일로763번길 10 청암아파트 1층상가,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
늘푸른소나무약국,0.0,부천시 원미구 역곡로 30 104호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
