name,score,address,img_url,reviews,open_hour
가산약국,3.8,금천구 가산로 116 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMjJfMjEw%2FMDAxNzExMDk0MTQ4MzY4.klOZT3rnnFjttNqRfFRJIgs7uLhHlo9wWEdfkGxAPxgg.qXRLoD5VUQUhJ1FiyoG4U0CiMDllmFMLC3ukM2xNVdIg.PNG%2F3.png%3Ftype%3Dw773,"[{'작성자': 'ㄱㅇㅎ', '별점': '5.0', '날짜': '2024.09.15.', '내용': '주변에 약국이 3개나 있지만 항상 여기로 갑니다. \n약사님 두 분 다 친절하시고 설명도 잘해주시고 웬만하면 휴무없이 늦게까지 운영하셔서 마치 이 동네의 등대같은 느낌입니다 ㅋㅋ;', '좋아요': '1'}, {'작성자': 'S00', '별점': '5.0', '날짜': '2023.11.02.', '내용': '약사님이 엄청 친절하세요!!! \n약 추천도 설명도 엄청 잘 해주시고 다른 약국 휴무인날 휴무 아니고 늦게까지 하셔서 감사하... 더보기', '좋아요': '0'}, {'작성자': 'Herma', '별점': '5.0', '날짜': '2023.09.10.', '내용': '약사님이 친절하고 상담 잘해주셔서 감사했습니다', '좋아요': '0'}]","{'금': '08:30 ~ 22:00', '토': '08:30 ~ 22:00', '일': '09:00 ~ 21:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00'}"
우리온누리약국,5.0,금천구 디지털로 200 가산IT타워 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F903042FCE4B3477C8C2D862967DC46C7,"[{'작성자': '장난없는 리뷰', '별점': '5.0', '날짜': '2025.03.21.', '내용': '친절하시고 예쁘세요!', '좋아요': '0'}, {'작성자': 'll', '별점': '5.0', '날짜': '2025.01.13.', '내용': '어르신이 먼저 약을 받으셔서 기다리고 있었는데 귀가 잘 안좋으신지 엄청 되물어보셔도 설명을 엄청 친절하게 해주시더라구요 보는데 기분이 좋았어요', '좋아요': '0'}, {'작성자': '♠️', '별점': '5.0', '날짜': '2024.08.14.', '내용': '급하게 몸이 안좋아서 방문했는데 친절하고 상세하게 알려주셨습니다.', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '공휴일'}"
고원약국,0.0,금천구 시흥대로153길 68,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
가람약국,4.6,금천구 가산디지털1로 5 대륭테크노타운 20차 107호,,"[{'작성자': 'sobeit', '별점': '3.0', '날짜': '2024.10.23.', '내용': '친절하고 좋습니다 다만 다른곳에 비교해서 약을 많이 추천해주십니다.', '좋아요': '0'}, {'작성자': '희연', '별점': '5.0', '날짜': '2023.06.27.', '내용': '정말 친절하시구 질문에 꼼꼼하게 잘 답변해주세요!', '좋아요': '0'}, {'작성자': '호호짱', '별점': '5.0', '날짜': '2023.01.06.', '내용': '처방약이 아쉽습니다', '좋아요': '0'}]","{'금': '08:00 ~ 20:00', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00'}"
가산행운약국,5.0,금천구 디지털로10길 78 가산테라타워 126호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb5ad483b5cb480a0eb51f4e540089f92560768cd%3Foriginal,"[{'작성자': '영누', '별점': '5.0', '날짜': '2024.10.29.', '내용': '넘 친절하시고 영양제도 많고 설명도 잘해주세요', '좋아요': '0'}, {'작성자': '얌얌', '별점': '5.0', '날짜': '2023.12.19.', '내용': '주변에 약국 없었는데 생겨서 너무 좋아요. 거기다가 친절하세요.', '좋아요': '0'}, {'작성자': '수혀기', '별점': '5.0', '날짜': '2023.07.21.', '내용': '리뷰가 좋은 이유가있네요 최고입니다', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30'}"
레아약국,4.0,금천구 가산디지털1로 131 BYC하이시티 117-1호,,"[{'작성자': 'h', '별점': '4.0', '날짜': '2024.10.15.', '내용': '근육통 약에 대한 친절한 설명 감사합니다.', '좋아요': '0'}, {'작성자': '김성준', '별점': '4.0', '날짜': '2024.04.16.', '내용': '친절하십니다.\n언젠가 8시 30분 오픈인데 8시 45분에 열지 않아서 언제올 지 모르는 약사님 기다리는것보다 다른 곳 가는게 나을 것 같아서 다른 약국... 더보기', '좋아요': '0'}, {'작성자': 'Yonayoung', '별점': '5.0', '날짜': '2023.08.14.', '내용': '설명 잘 해주셔서 감사합니다', '좋아요': '0'}]","{'금': '08:30 ~ 20:30', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30'}"
프라자약국,2.7,금천구 가산디지털1로 168 우림라이온스밸리 A동 1층 115호,,"[{'작성자': '잠원동크롱이', '별점': '3.0', '날짜': '2025.01.08.', '내용': '대체적으로 가산동의 모든 병의원 및 소매점은 소비자를 쉽게 보는 경향이있음. 본인 또한 의사약사지만 결국 가산동에서 생업을 이어가는건 마찬가지인데 말이죠.', '좋아요': '2'}, {'작성자': '쏨♥', '별점': '2.0', '날짜': '2024.12.31.', '내용': ""ㅎ... 불쾌하서 들어왔는데 이미 난리났네요?ㅎ 역시 느끼는바가 다 거기서 거기네요. 내용 생략하겠습니다. 후기가 호불호가 있길래 유심히 봤는데 '남자 약사'분은 친절하신가봐요. 제가 운이 없었나보네요 ^^"", '좋아요': '0'}, {'작성자': '쿨쿨', '별점': '1.0', '날짜': '2024.04.05.', '내용': '약새가 환자 처방을 보고 가르치려고 함', '좋아요': '0'}]","{'금': '09:00 ~ 20:10', '토': '10:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '휴무일': '공휴일'}"
가산비타민약국,5.0,금천구 가산디지털2로 166 에이스 K1타워 114호,,"[{'작성자': '둥당구리', '별점': '5.0', '날짜': '2024.11.06.', '내용': '++2024.11.06 추가 후기\n여전히 너무 친절하시고 끼워팔기 같은 것도 안 하셔서 너무 좋아요ㅠ\n증상 어떻다 말씀... 더보기', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
메디팜 진한약국,5.0,금천구 벚꽃로38길 5,,"[{'작성자': '1G', '별점': '5.0', '날짜': '2024.07.27.', '내용': '약사님 천사❤️', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.06.05.', '내용': '평범하게 좋았네요~~', '좋아요': '0'}, {'작성자': 'ㄴ', '별점': '5.0', '날짜': '2023.11.01.', '내용': '이비인후과 갔다가 유쾌하진 않았는데\n친절하셔서 덕분에 기분 좋아졌네요', '좋아요': '0'}]","{'금': '08:00 ~ 20:00', '토': '10:30 ~ 18:00', '일': '휴무일', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '휴무일': '매주 일요일'}"
대명약국,2.5,금천구 벚꽃로 298 대륭포스트타워6차 104호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Feba743c3a2300429a7c61463ac0fd42ea2d96e35%3Foriginal,"[{'작성자': '어허잇', '별점': '1.0', '날짜': '2024.11.05.', '내용': '불친절해요', '좋아요': '0'}, {'작성자': '미애옹', '별점': '1.0', '날짜': '2024.02.06.', '내용': '너무 불친절해요. 아파죽겠는데 약 설명도 안해주고 되려 짜증을 내시네요. 회사 근처라 어쩔 수 없이 가는건데 그냥 건너편으로 가려고요.', '좋아요': '0'}, {'작성자': '최준', '별점': '1.0', '날짜': '2024.01.30.', '내용': '불친절', '좋아요': '0'}]","{'금': '08:00 ~ 20:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '휴무일': '매주 일요일'}"
