name,score,address,img_url,reviews,open_hour
금천종로약국,2.7,금천구 금하로 634 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTFfNjcg%2FMDAxNzMzODg2Mzg1NDMw.ykBfAO_NXXDoJ-1d7-UUPv81a69mXnXpYiJuL3KBh0Ug.9GIKvhPbrAmIu7Ry-32Twj-qgq7zFDQvAFVnH1hQNDgg.JPEG%2F900%25EF%25BC%25BF1733886235021%25EF%25BC%258D4.jpg%3Ftype%3Dw386,"[{'작성자': '범준', '별점': '5.0', '날짜': '2024.07.21.', '내용': '친절하기만 하시네요. 설명도 잘해주시구요. 밥그릇 싸움 하시는건 좋은데, 일부 약사님들께서 너무 심하신 것 같습니다. 불법이라면 대놓고 번화가에 크게 차리셨겠습니까? 일부 ... 더보기', '좋아요': '10'}]",{}
별장약국,4.5,금천구 금하로24길 40,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MDlfMjQ2%2FMDAxNzIwNDg5Nzg0Nzg2.vKh3lVqa2zeWIyttO9Ug4rCgGpYf9DwTXjAyIi9NF7og.hvm4QWR2Lx11wyF4bcad6I7LR4OoIjSar8sAEDIQW7og.JPEG%2FSE-4a1472aa-3d95-11ef-98c4-8133d33bb87d.jpg%3Ftype%3Dw966,"[{'작성자': '이진범', '별점': '5.0', '날짜': '2024.03.10.', '내용': '늦은 시간까지 영업 해 주셔서 감사 합니다 \n\n아이 열 때문에 응급실 가도 특별히 해 ... 더보기', '좋아요': '1'}, {'작성자': '셩잇님', '별점': '5.0', '날짜': '2020.04.30.', '내용': '밤 늦게까지 여는 메리트가 최고. 어머님도 친절하시다.', '좋아요': '1'}]",{}
다보약국,0.0,금천구 시흥대로26길 9 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
녹십자약국,5.0,금천구 시흥대로 96,,"[{'작성자': '안녕', '별점': '5.0', '날짜': '2023.07.29.', '내용': '여기 정말 제일 저렴한 가격에 팔고 친절합니다. 감사합니다.', '좋아요': '0'}, {'작성자': '문석준', '별점': '5.0', '날짜': '2021.05.13.', '내용': '할머니께 비펜 파스를 사다드려야 해서 찾던 중 알게 되었는데, 제가 필요한 양만큼 약국에 재고가 없어서 낱개로 더 주문해 주신다고 하여 감사했습니다. 집 근처 약국을 모두 찾아보아도 없어서 (영... 더보기', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
삼화약국 공공심야약국,2.3,금천구 은행나무로 12-1,,"[{'작성자': '맛집탐방', '별점': '5.0', '날짜': '2025.02.01.', '내용': '항상 늦게까지해서 마음놓고 찾아가는 동네약국', '좋아요': '0'}, {'작성자': '쏘쏘', '별점': '1.0', '날짜': '2022.02.12.', '내용': '아들 코로나 양성으로 비대면 진료후 처방전으로 통화하는 과정에서 약이 없다고 하면서 다른데 가세요 하고 바로... 더보기', '좋아요': '0'}, {'작성자': '이두리', '별점': '1.0', '날짜': '2020.08.15.', '내용': '불친절;; 기분상하네요 손절각', '좋아요': '0'}]",{}
대우당약국,3.6,금천구 은행나무로 34 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F255CA24E562F6F3F0B,"[{'작성자': '손유인', '별점': '5.0', '날짜': '2025.02.16.', '내용': '5차방문 리뷰 필요한 약 미리 전화등 연락드리면 평일 기준 다음날 퇴근하고 받을 수 있어 좋습니다!\n\n4차방문... 더보기', '좋아요': '5'}, {'작성자': '이민자', '별점': '5.0', '날짜': '2024.09.07.', '내용': '오래되어 마음 편한 동네 약국 마음 편해 좋아요\n\n2차 후기 늦게까지 해서 좋습니다', '좋아요': '1'}, {'작성자': '강소현', '별점': '5.0', '날짜': '2024.07.15.', '내용': '24.07.15 2차 리뷰 동네라 좋아요\n\n1차 리뷰 그놈의 마스크가 뭔지ㅠㅠ 요새 약국들이 정신 정말 없어 보이더라구요ㅠㅠ 보건소에 ... 더보기', '좋아요': '5'}]","{'금': '11:00 ~ 24:00', '토': '13:00 ~ 24:00', '일': '19:00 ~ 01:00', '월': '11:00 ~ 24:00', '화': '11:00 ~ 24:00', '수': '11:00 ~ 24:00', '목': '11:00 ~ 24:00'}"
비즈메드약국,0.0,금천구 시흥대로 214,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 15:30', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 21:00'}"
1층메디컬약국,5.0,금천구 시흥대로 214 비즈메드빌딩 1층 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F60ff37e9077b6516d4a024b38ef39925a7c9fa5e%3Foriginal,"[{'작성자': '카키', '별점': '5.0', '날짜': '2024.01.26.', '내용': '엄청 친절하고 상세하게 잘 설명해주셔서 다음번에도 여기로 올려고해요~!\n동물약 취급도 해서 같이 사올수 있었네요!', '좋아요': '0'}, {'작성자': '미요귀', '별점': '5.0', '날짜': '2021.11.10.', '내용': '볼사람은 없겠지만,\n친절하셔서 후기 남깁니다.\n제로페이 되구요', '좋아요': '1'}, {'작성자': '정윤화', '별점': '5.0', '날짜': '2021.05.27.', '내용': '여자약사님 남자약사님 두분다 친절하시네요~~^^', '좋아요': '2'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 15:30', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
세명당약국,3.7,금천구 시흥대로 222 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F92F49AAC5F724F85923BFBE3EEDEB699,"[{'작성자': 'kimkim', '별점': '1.0', '날짜': '2023.09.04.', '내용': '개관련약은 연고 구충제만팝니다', '좋아요': '0'}, {'작성자': '고로치', '별점': '5.0', '날짜': '2020.11.17.', '내용': '무심하게 비타민 챙겨주시는 ㅎㅎ', '좋아요': '0'}]","{'금': '08:30 ~ 20:30', '토': '08:30 ~ 17:30', '일': '13:00 ~ 18:00', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30'}"
안녕약국,5.0,금천구 시흥대로 193 아람아이씨티타워 110호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5B90772D498D486EB6F0C7DEDC5E22EA,"[{'작성자': '참새', '별점': '5.0', '날짜': '2025.01.21.', '내용': '약사쌤이 완전 친절하고 본인손으로 직접 조제하셔서 믿을수있음\n짱', '좋아요': '0'}, {'작성자': 'ㅇㅅㅇ', '별점': '5.0', '날짜': '2023.10.07.', '내용': '약사님이 너무 친절하게 설명도 잘해주셔서 좋아요~', '좋아요': '0'}, {'작성자': '깡', '별점': '5.0', '날짜': '2023.05.16.', '내용': '약사님이 친절하시고 환자를 먼저 생각해서 처방해주시는것 같아요 감사합니다~^^', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
