name,score,address,img_url,reviews,open_hour
보룡약국,3.3,노원구 동일로 1380 메디칼빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMzFfOTYg%2FMDAxNzM1NjExNDE0Njk5.V1rtgmCANsB9GHYsEmC04O3HwNr_nw0NICVl4X9WDUYg.EOgmdvGK3HICSjMlYoKlOUCcOnLPsLEyQ2gNSQkf4Kcg.JPEG%2F%25EB%25B3%25B4%25EB%25A3%25A11.jpg%3Ftype%3Dw966,"[{'작성자': '노원구 아오키지', '별점': '5.0', '날짜': '2025.02.23.', '내용': '종합비타민 사러갔는데 세상에 종로보다 저렴하네요\n\n그리고 전혀 불친절한거 모르겠던데요 하나하나 나오셔서 ... 더보기', '좋아요': '0'}, {'작성자': '젊은이', '별점': '1.0', '날짜': '2025.01.22.', '내용': '바쁘시면 문의 받지마시고 매장에만 신경 쓰시면 될 것을 문의하지말라는 식으로 말씀 주시네요^^', '좋아요': '0'}, {'작성자': 'Sanggeee', '별점': '4.0', '날짜': '2025.01.17.', '내용': '저렴해요~', '좋아요': '0'}]","{'토': '08:00 ~ 21:30', '일': '09:00 ~ 19:00', '월': '08:00 ~ 21:30', '화': '08:00 ~ 21:30', '수': '08:00 ~ 21:30', '목': '08:00 ~ 21:30', '금': '08:00 ~ 21:30'}"
열방약국,,노원구 동일로 1622 유성상가 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '매주 토요일'}"
늘한마음약국,4.7,노원구 노해로 494 1층 109호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4EB84CBCFB5543DA983B201D8BF6D161,"[{'작성자': '젠장', '별점': '5.0', '날짜': '2024.01.07.', '내용': '제가 처방을 잘못받아왔는데 다행히 약국선에서 처리가 가능한 일이셨는지 직접 병원에 전화하셔서 처리해주셨어요 ㅠㅠ 바쁘신데도 넘 친절하시구 침착하셔서 넘넘 감사했습니다🥹', '좋아요': '0'}, {'작성자': '선플하는타이거', '별점': '5.0', '날짜': '2022.06.02.', '내용': '약사님 친절하시고 설명도 잘해주십니다. 주말에도 영업해주셔서 감사합니다', '좋아요': '0'}, {'작성자': '신희선', '별점': '4.0', '날짜': '2022.04.26.', '내용': '입술포진에 구내염 연고를 주시면 어떡해요! 항바이러스 성분이냐고 물었잖아요! 약국이 마트도 아니고 소비자가 성분검색하고 브랜드까지 지정해서 사야합니까! 그럼 약을 자판기로 ... 더보기', '좋아요': '0'}]",{}
진약국 공공심야약국,2.7,노원구 노해로 452 노빌리안골드빌딩 101~102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FGWA8I%2FbtsD0Kshy3q%2Fg6NlQorqKhZkVKxfIstJ4k%2Fimg.png,"[{'작성자': '똑바로살자', '별점': '5.0', '날짜': '2024.12.25.', '내용': '명시된 시간대로 영업하고 계셔서 다행히 원하는 약품을 구매할 수 있었습니다. 연세 있으신 여약사님께서 늦은 시간임에도 불구하고 끝까지 친절하게 응대해주셨어요. 감사합니다.', '좋아요': '0'}, {'작성자': '박창희', '별점': '5.0', '날짜': '2023.12.23.', '내용': '야간 약국 지켜주셔서 고맙습니다. 22시~01시 오픈', '좋아요': '0'}, {'작성자': '이상호', '별점': '1.0', '날짜': '2023.01.03.', '내용': '친절한 척 하나 필요하지않은말들을하면서 사람귀찮게함', '좋아요': '0'}]","{'토': '09:00 ~ 01:00', '일': '22:00 ~ 01:00', '월': '09:00 ~ 01:00', '화': '09:00 ~ 01:00', '수': '09:00 ~ 01:00', '목': '09:00 ~ 01:00', '금': '09:00 ~ 01:00'}"
참말로친절한 약국,,노원구 동일로 1382 1층 104호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB795EC80A9EB461DB2645522970959B5,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '12:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
백약국,2.3,"노원구 동일로 1350 105,106호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0bf81925a65b2e5a2ec99141a966e5b86a7f053e%3Foriginal,"[{'작성자': '루시', '별점': '5.0', '날짜': '2022.08.18.', '내용': '약사님이 친절하세요.', '좋아요': '0'}, {'작성자': '멜형', '별점': '5.0', '날짜': '2022.07.13.', '내용': '약이 빨리 나오고 약받을때 친절하셨어요', '좋아요': '0'}, {'작성자': '윻', '별점': '1.0', '날짜': '2022.03.21.', '내용': '지하로 내려가야함\n한종류의 약을 하루 한번 먹는 투약방식인데 작은 투명지퍼백에 몇십알 넣어서 줌. \n검색해보니 차광보관 약임...', '좋아요': '0'}]","{'토': '09:00 ~ 12:30', '일': '휴무일', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '휴무일': '매주 일요일'}"
서부약국,3.3,"노원구 동일로 1551 삼전빌딩 1층 101~102,107~108호",,"[{'작성자': '?', '별점': '3.0', '날짜': '2024.01.04.', '내용': '친절한듯 아닌듯.. 폐기약 안 받아줌', '좋아요': '0'}, {'작성자': 'BB', '별점': '5.0', '날짜': '2023.08.25.', '내용': '친절하고 약 설명도 자세하게 해주세요~\n약 값도 양심적으로 받는 좋은 약국!', '좋아요': '0'}, {'작성자': 'Goldjang', '별점': '5.0', '날짜': '2022.03.07.', '내용': '너무 친절하시고 약 추천도 잘해주십니다.\n감사합니다.', '좋아요': '0'}]","{'토': '09:00 ~ 21:30', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30'}"
자인당약국,4.6,노원구 노해로 506 주공6단지 바상가 112호,,"[{'작성자': 'last0000', '별점': '5.0', '날짜': '2025.02.26.', '내용': '친절하시고 딱 필요한것만 구할수있어서 좋았어요 !', '좋아요': '0'}, {'작성자': '블루', '별점': '1.0', '날짜': '2024.06.03.', '내용': '약사님은 친절하지만, 여자분이 너무 불친절해서 다시는 안가요. 약사님 혼자 일하시는게...', '좋아요': '2'}, {'작성자': '걸리면죽는다', '별점': '5.0', '날짜': '2024.01.29.', '내용': '저렴해서 좋아요.', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '일': '13:00 ~ 20:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '휴무일': '매달 첫번째, 세번째, 네번째, 다섯번째 일요일'}"
하님약국,5.0,노원구 한글비석로 410 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '월': '09:00 ~ 22:30', '화': '09:00 ~ 22:30', '수': '09:00 ~ 22:30', '목': '09:00 ~ 22:30', '금': '09:00 ~ 22:30'}"
세계로약국,5.0,노원구 상계로 119,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
