name,score,address,img_url,reviews,open_hour
건강과행복이열리는약국,2.7,노원구 한글비석로 242 삼부프라자 113~114호,,"[{'작성자': '강아지', '별점': '1.0', '날짜': '2025.02.15.', '내용': '여기 카운터에 약사 아줌마. 3개월 아기한테 덱시부프로펜 해열제를 먹여도 된다고 팔아먹네요. 약 포장 박스에 6개월 아기부터 투약 가능한걸로 적혀있어서 물어봤더니 3개월 아기가 먹어도 된다면서 아줌마가 임... 더보기', '좋아요': '0'}, {'작성자': '박창희', '별점': '5.0', '날짜': '2024.09.29.', '내용': '남자 약사님이 주신 기침 천식 열 내리는 약 먹고 나아졌습니다. 오래 전에 나온 약이던데 소신껏 권유해 주시니 믿음이 갑니다.', '좋아요': '0'}, {'작성자': 'eric', '별점': '1.0', '날짜': '2024.02.12.', '내용': '탈모약 얘기하는데 다른약인데 같은성분이라고 하면서 이상한거 팜. 감기약 사도 꼭 쓸데없는 약을 덕지덕지 붙여서 팜. 돈독 제대로 오르셨나봄 ㅇㅇ', '좋아요': '1'}]",{}
상계종로약국,3.0,노원구 한글비석로 363 1층,,"[{'작성자': 'jh', '별점': '1.0', '날짜': '2024.03.15.', '내용': '약 값 주변에 비해 엄청 비싸게  받음', '좋아요': '0'}, {'작성자': '송낚시', '별점': '5.0', '날짜': '2022.05.04.', '내용': '다른데는 약포장도 안해주는데 여기는 약사님이 해주시네요. 친절하세요', '좋아요': '0'}]","{'토': '08:30 ~ 19:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00'}"
중계약국,5.0,노원구 중계로14길 29 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjBfMTA2%2FMDAxNzMyMTAxNDk3OTcz.xETuN0jDY1UwUhncP0X27ps1sRfQDylSUGX7kuqTRisg.JYZe1TzLMZefy9x21c7vh2AfDj4lQsr97TtLqCMuicQg.PNG%2FSE-4a57363e-dc8b-4dc2-9053-614e56c465fc.png%3Ftype%3Dw966,"[{'작성자': '초록미니쉘', '별점': '5.0', '날짜': '2024.02.08.', '내용': '아이 등하교길에 \n필요한 약품 구입할수 있어서 편리해요\n약 설명 친절히 잘해주세요', '좋아요': '1'}]","{'토': '08:50 ~ 16:00', '일': '휴무일', '월': '08:50 ~ 20:00', '화': '08:50 ~ 20:00', '수': '08:50 ~ 20:00', '목': '08:50 ~ 20:00', '금': '08:50 ~ 20:00', '휴무일': '매주 일요일'}"
새하늘약국,2.7,노원구 동일로 1308 정안프라자 1층,,"[{'작성자': '사미담', '별점': '5.0', '날짜': '2024.07.01.', '내용': '다녀와서 왜 후기가 이런지 알 것 같은 느낌. 응대가 투박하고 설명이 조금 부족하지만 문제될 정도는 아니었어요. 서비스 정신이 투철하고 친절한 약국이 많아서.. 상대적인 것 같아요.', '좋아요': '0'}, {'작성자': '라무', '별점': '1.0', '날짜': '2023.01.18.', '내용': '종류가 다양하니까 무슨 차이냐고 하면 그냥 다 똑같단다.. 가격이 서로 다른데.. 걍 티비광고 해서 누구나 아는것 말하면서 뭐 알아서 고르란다. 전혀 전문성이 없음 약사가 약을 잘 모르는 듯..', '좋아요': '1'}, {'작성자': '치킨져앙', '별점': '5.0', '날짜': '2022.10.21.', '내용': '흑흑 너무 좋아요 나만 알거야', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '일': '09:00 ~ 20:00', '월': '09:00 ~ 22:30', '화': '09:00 ~ 22:30', '수': '09:00 ~ 22:30', '목': '09:00 ~ 22:30', '금': '09:00 ~ 22:30'}"
장생약국,4.7,노원구 섬밭로 263 롯데상가1층,,"[{'작성자': '마스터', '별점': '5.0', '날짜': '2022.08.08.', '내용': '국민학교다닐때부터 다니던 곳ㅠ 그 약사아저씨 아직 계시네요. 의약분업전에는 병원 안가고 여기서만 줄서서 감기약 타먹었는데..', '좋아요': '0'}, {'작성자': '최재영', '별점': '4.0', '날짜': '2019.07.10.', '내용': '전화만 해봤는데 나이 좀 있으신 남자분이 받으시고, 저녁 10시까지 하신 다네요. 이렇게 늦게하는 곳이 없어서 일단 별 4개 드려요.', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
상계1번약국,3.1,노원구 한글비석로20길 23-1 1층,,"[{'작성자': '호옹이', '별점': '1.0', '날짜': '2025.01.23.', '내용': '약사가 지 잘낫 맛에 삼. 말투에 가스라이팅이 기본 탑재되어있어 약 구매하는 사람 기분 나쁘게 하는 재주가 있음.', '좋아요': '0'}, {'작성자': 'Ed', '별점': '1.0', '날짜': '2024.12.27.', '내용': '진짜 불 친절하심', '좋아요': '0'}, {'작성자': 'Cledi', '별점': '2.0', '날짜': '2024.12.02.', '내용': '약팔이는 약팔이구나..', '좋아요': '0'}]",{'휴무일': '연중무휴'}
중계열방약국,1.0,노원구 한글비석로 250 그린코아빌딩 2층 222호,,"[{'작성자': '아드송', '별점': '1.0', '날짜': '2024.12.16.', '내용': '불친절 하긴 함', '좋아요': '0'}, {'작성자': '앙드레조', '별점': '1.0', '날짜': '2024.04.27.', '내용': '김훈하 그 쓰레기 약사가 하는 곳인가? 암환자들 핏물 빨아먹고 사는 쓰레기 약장수', '좋아요': '0'}, {'작성자': '휴', '별점': '1.0', '날짜': '2022.12.23.', '내용': '불친절의 극치', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
정성약국,5.0,노원구 한글비석로 263 성모빌딩 3층 302-1호,,"[{'작성자': '참치김밥', '별점': '5.0', '날짜': '2025.01.02.', '내용': '여기만큼 친절한 약국 있음 나와바\n복약지도 잘 해주시고 키오스크 접수라 빨라서 좋네요! 늘 이용합니다~~~', '좋아요': '0'}, {'작성자': '샵페이스맨', '별점': '5.0', '날짜': '2024.07.12.', '내용': '약사님이 친절하시고 설명도 잘해주세요! 근처 병원 갈일 있으면 이 약국만 방문해요', '좋아요': '0'}, {'작성자': '움배', '별점': '5.0', '날짜': '2023.04.25.', '내용': '약 설명 꼼꼼히 해주시고 스틱봉투라 좋아요! 집앞에 좋은 약국이 있어서 든든합니다', '좋아요': '0'}]","{'토': '08:30 ~ 18:00', '일': '09:00 ~ 13:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00', '휴무일': '설당일'}"
중계상록수약국,5.0,노원구 중계로 218 원광빌딩 1층 102호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:30 ~ 21:30', '일': '10:00 ~ 20:00', '월': '09:30 ~ 21:30', '화': '09:30 ~ 21:30', '수': '09:30 ~ 21:30', '목': '09:30 ~ 21:30', '금': '09:30 ~ 21:30'}"
상계사랑약국,5.0,"노원구 한글비석로 383 삼창타워프라자 1층 62~64,79~81호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEAF25ACFC35D4587AB8D9C7642EBD2F4,"[{'작성자': '걸리면죽는다', '별점': '5.0', '날짜': '2024.02.13.', '내용': '약사님 잘생기고 친절하세요^^', '좋아요': '0'}, {'작성자': '오구', '별점': '5.0', '날짜': '2023.09.20.', '내용': '약사님이 잘생기셨고 친절하시다', '좋아요': '0'}]","{'토': '08:00 ~ 15:00', '일': '휴무일', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 21:00', '금': '08:00 ~ 20:00', '휴무일': '공휴일'}"
푸른약국,5.0,노원구 한글비석로 264 그랜드프라자 3층 312호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FVJBI5%2FbtsGFrv6rvk%2FmiLSNSisNnejdMZLSV5Zl1%2Fimg.png,"[{'작성자': 'qqqq', '별점': '5.0', '날짜': '2023.06.01.', '내용': '전문적이시고 친절하십니다. 가격도 싸서 3층까지 올라갑니다.', '좋아요': '0'}, {'작성자': '정하윤(랑♡)', '별점': '5.0', '날짜': '2023.04.10.', '내용': '친절하게 설명잘해주세요~^^', '좋아요': '0'}, {'작성자': '이베리', '별점': '5.0', '날짜': '2021.06.03.', '내용': '최고죠. 일부러 여기만 다녀요. 친절하게 잘해주셔서', '좋아요': '0'}]","{'토': '08:20 ~ 15:30', '일': '휴무일', '월': '08:20 ~ 19:30', '화': '08:20 ~ 19:30', '수': '08:20 ~ 19:30', '목': '08:20 ~ 19:30', '금': '08:20 ~ 19:30', '휴무일': '매주 일요일'}"
참미소약국,0.0,노원구 한글비석로 269 마들프라자 105호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
대호약국,3.7,"노원구 한글비석로 384 대호프라자 317,318호",,"[{'작성자': 'ASJ', '별점': '5.0', '날짜': '2023.06.07.', '내용': '친절하고 자세한 상담 너무 좋습니다', '좋아요': '0'}, {'작성자': 'Impressed', '별점': '5.0', '날짜': '2023.04.20.', '내용': '친절하고 설명을 잘해주시네요', '좋아요': '0'}, {'작성자': '프린스에드워드 섬', '별점': '1.0', '날짜': '2022.03.30.', '내용': '약국도 브레이크 타임이있군요 좋은 취진건알겠는데 비용을 좀 더 쓰셔서 전화 걸었을때 안내멘트까지 하셨을 좋았을것을.약봉투만보고  전화했더니 안받아서 20번 넘게 전화했네요 봉투에라도 기재했으면 전화안했겠죠!!!?', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00'}"
더조은약국,0.0,노원구 한글비석로 235 하나프라자빌딩 4층 405호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:30', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
동산약국,3.0,노원구 동일로 1280 무지개아파트단지 상가 1층 109~110호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F575DA714B5394863B7CEC9A44BB65D76,"[{'작성자': '연하선경', '별점': '5.0', '날짜': '2024.08.31.', '내용': '친절하시고 저에게\n맞춤가이드 해 주셔서 감사합니다.\n\n약... 더보기', '좋아요': '1'}, {'작성자': '나만당할수없지', '별점': '1.0', '날짜': '2022.03.16.', '내용': '돈독인정\n체온계 달라하니 무작정 오만원짜리부터 보여줌', '좋아요': '0'}]","{'토': '09:00 ~ 18:30', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '추석당일, 추석다음날, 설당일, 설다음날, 1월1일, 성탄절'}"
금강약국,3.0,노원구 한글비석로 365 데미안빌딩 1층,,"[{'작성자': '아담한집', '별점': '5.0', '날짜': '2024.08.28.', '내용': '매번 친절하게 말씀해주십니다.', '좋아요': '0'}]","{'토': '08:00 ~ 14:00', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30'}"
