name,score,address,img_url,reviews,open_hour
무궁화약국,3.3,노원구 한글비석로 77,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDlfNjAg%2FMDAxNzMzNzMxNTAwNDk4.5LMPc6FD47X1U9ijrjxCm6yS6G1Fo-X_0TfmSip54Fwg.7Xm71eIAIR9Tr__XNYktJ1bhcWfQUl4_uusAHZyM334g.JPEG%2FIMG_1884.jpg%3Ftype%3Dw966,"[{'작성자': '캔디', '별점': '5.0', '날짜': '2024.02.03.', '내용': '약이 싸요~', '좋아요': '0'}, {'작성자': '나야나', '별점': '2.0', '날짜': '2022.11.10.', '내용': '온 사람 순서대로 약처방해 주셔야 하는데.....\n양해도 구하지않고 나중에 온사람들 먼저 해주니 많이 불쾌하네요.\n약국에서 20분 넘게 기다렸어요', '좋아요': '1'}, {'작성자': 'cc809', '별점': '3.0', '날짜': '2022.02.17.', '내용': '약사님은 친절히 설명 잘 해주세요~ 그런데 전화받는분.. 좀 상냥하게 받으시면 안되나요... 누가보면 싸우는줄...  뭐.. 약사님이 설명해 주시는거니까 ㅎㅎㅎ', '좋아요': '0'}]",{'휴무일': '연중무휴'}
후문약국,1.0,노원구 공릉로59나길 64 1층,,"[{'작성자': '야옹', '별점': '1.0', '날짜': '2024.12.16.', '내용': '불친절.오래걸림.\n\n4달치 약지었는데 귀찮다고 아침 저녁 봉지... 더보기', '좋아요': '0'}, {'작성자': '일라이', '별점': '1.0', '날짜': '2021.05.31.', '내용': '엄청 불친절해요.\n주변 약국천지인데 갈이유 없네요.', '좋아요': '2'}]","{'토': '휴무일', '일': '휴무일', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30', '휴무일': '매주 토요일, 일요일'}"
동문약국,5.0,노원구 공릉로59나길 78-10,,"[{'작성자': '새란', '별점': '5.0', '날짜': '2019.08.05.', '내용': '태형이 삼촌 보고싶어요~ 남대현', '좋아요': '0'}]","{'토': '08:00 ~ 13:00', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '휴무일': '매주 일요일'}"
위드팜대학약국,3.7,노원구 한글비석로 56 미성아파트상가 1층 10호,,"[{'작성자': 'something in the air', '별점': '1.0', '날짜': '2024.10.04.', '내용': '복약 지도를 엉터리로 합니다.\n의사, 검색 등을 통해 꼼꼼하게 확인 후 복약하시길 바랍니다.', '좋아요': '0'}, {'작성자': '동국', '별점': '5.0', '날짜': '2024.09.22.', '내용': '약사님이 친절하고 설명을 너무 잘해주세요', '좋아요': '0'}, {'작성자': '동순이', '별점': '5.0', '날짜': '2023.05.13.', '내용': '이쁜 약사님 매번 올때마다 친절하게 설명 주셔서 감사합니다. 덕분에 오늘도 기분 좋은 하루 시작 합니다^^', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '07:40 ~ 18:30', '화': '07:40 ~ 18:30', '수': '07:40 ~ 18:30', '목': '07:40 ~ 18:30', '금': '07:40 ~ 18:30'}"
신흥약국,1.0,노원구 공릉로 323 1층,,"[{'작성자': '김용준', '별점': '1.0', '날짜': '2024.07.25.', '내용': '* 없음', '좋아요': '0'}, {'작성자': '루루리', '별점': '1.0', '날짜': '2024.02.01.', '내용': '을지병원 바로 앞이라 그런지 다른 약국 대비 조제비일지 뭘지 모르지만 훨씬 비싸게 받네요. 약국마다 금액이 다를수 있다는 사실을 처음 알았네요. 놀랐습니다.', '좋아요': '0'}]","{'월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00'}"
빛소금온누리약국,5.0,노원구 한글비석로 56 미성상가 1층 5호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0CCEA33051DC4AFB956DC4F1D1EB5C4A,"[{'작성자': '1000', '별점': '5.0', '날짜': '2024.04.01.', '내용': '약사님이 친절하시고 설명도 잘해주세요. 급하게 감기약 구입하느라 인근에 아무데나 갔는데 기대치 않게 편안한 마음으로 약을 살 수 있어 좋았네요.', '좋아요': '1'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '공휴일'}"
푸른솔약국,1.5,노원구 공릉로58가길 14 1층,,"[{'작성자': '오예스', '별점': '2.0', '날짜': '2025.03.26.', '내용': '처방받은 약들 약봉투에 자기가 직접 담으라하시고 인사도 안하네요 ㅎㅎ..', '좋아요': '0'}, {'작성자': '라이언', '별점': '1.0', '날짜': '2025.03.14.', '내용': '카운터에 있는 여성분 문열고 들어가니\n왜 왔냐는 식으로 쳐다 보시네요 ㅋㅋ\n약사러 갈때 약국말고 다이소가 답인듯', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
용화당온누리약국,0.0,노원구 노원로16길 21,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
하계약국,3.5,노원구 공릉로58가길 8 1층,,"[{'작성자': '라이언', '별점': '5.0', '날짜': '2025.03.14.', '내용': '할머니 약사님이 친절하시네요!', '좋아요': '0'}, {'작성자': '맵', '별점': '2.0', '날짜': '2023.10.13.', '내용': '의약품 한 종류면 충분한 상태에서도 매번 갈때마다 하나로 부족하다고 두 종류씩 구매하길 권하십니다...\n종합약 사실거면 다른곳에서 사세요', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
세일약국,1.0,노원구 한글비석로 24 하계5단지아파트상가 1층 108호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEwMDRfMjky%2FMDAxNjk2NDE4NjM0Nzk0.Rw81EnCqwtNxNi2LBSuuJqfGmylZAb4JkWXqQ_xYxowg.GqxE6kWoFwtzErqFyzTu9kBLE7gV3gfvETLYm-3kW1Ig.JPEG.rhdms1011%2FSE-dcbd82fd-62a4-11ee-9142-776bc45396fb.jpg%3Ftype%3Dw773,"[{'작성자': '으니', '별점': '1.0', '날짜': '2024.02.28.', '내용': '불친절\n사진을 확대해서 보여주면서 있냐고 물어보는데 대답도 안하고 말을 해야 없다고 하는데 뭔 이중으로 물어보고 그냥 비웃으면서 없어요ㅋ 이러면 누가 좋아하죠', '좋아요': '0'}, {'작성자': '-', '별점': '1.0', '날짜': '2021.11.29.', '내용': '불친절', '좋아요': '0'}]","{'토': '09:30 ~ 20:00', '월': '09:30 ~ 21:00', '화': '09:30 ~ 21:00', '수': '09:30 ~ 21:00', '목': '09:30 ~ 21:00', '금': '09:30 ~ 21:00'}"
