name,score,address,img_url,reviews,open_hour
부부약국,5.0,도봉구 도봉로181길 46,,"[{'작성자': '산곡당', '별점': '5.0', '날짜': '2023.02.09.', '내용': '동네약국으로서는 친절해요.', '좋아요': '0'}]","{'토': '08:30 ~ 19:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
하나약국,0.0,도봉구 마들로 699 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MDVfMzMg%2FMDAxNzEyMjc1OTAzMjQ4.lCIOgz8gho0lDbMd_c1qCjMfjTCI_AjdePd6M7pHjQ0g.3AK7miVauS5p3H6BphaARH_wKQZnrF8UN1OJGPIP3oQg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25ED%2595%2598%25EB%2582%2598%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '09:00 ~ 15:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
팜코리아약국,3.0,도봉구 도봉로 733 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD389875E66404C5C8B0F51000124C966,"[{'작성자': '타이리', '별점': '5.0', '날짜': '2023.06.09.', '내용': '친절하고 약값이 저렴해서 자주 찾습니다. ^^', '좋아요': '0'}, {'작성자': 'Blue', '별점': '1.0', '날짜': '2021.08.05.', '내용': '모든 약사님들 얼굴에 미소없으시고 젊으신분들인데도 불구하고 권위적이고  불친절한 말투로 대하심...ㅜㅜ 다시 이용하고싶지않음', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '09:00 ~ 20:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
청춘약국,0.0,도봉구 도봉로180길 46 1층 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
푸른약국,3.0,도봉구 도봉로180나길 34 1층,,"[{'작성자': '코코', '별점': '1.0', '날짜': '2024.07.14.', '내용': '몇년전에 거기서 노스엣사고나서 조립할줄몰라서 구매후 그자리에서  조립하고 집에 가져가려고  조립 어떻게하면 되냐고했는데 알아서 하라고 이상하게 쳐다봤던 남자약사님^^몇년지나도 안잊어지네요 기분드러워서 거기 절대 안가요ㅎㅎ..', '좋아요': '0'}, {'작성자': '^^:', '별점': '5.0', '날짜': '2023.05.11.', '내용': '약사님께서 매우 친절하시고 설명도 잘 해주십니다. 환자분들과 소통도 매우 진심으로 잘해주십니다. 😊', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
장수당약국,1.0,도봉구 도봉로 859,,"[{'작성자': 'SJ', '별점': '1.0', '날짜': '2024.12.09.', '내용': '오래 봐 왔는데, 여약사는 친절하고 착함.\n남약사는 반말 비슷하게 그리고 봉투 지 앞에 놓으며 약 싸가라함. 4가지 1도 없음', '좋아요': '0'}, {'작성자': '무기명', '별점': '1.0', '날짜': '2020.02.03.', '내용': '불 친 절', '좋아요': '1'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
새힘약국,5.0,도봉구 도봉로180나길 19,,"[{'작성자': '이재영', '별점': '5.0', '날짜': '2024.08.16.', '내용': '새로 생겨서 가봤는데 약사님이 넘 친절하셨어요! \n집앞에 딱히 갈만한 약국이 없었는데 이젠 여기만 갈 거 같아요ㅎㅎ', '좋아요': '0'}, {'작성자': 'sjduehevc', '별점': '5.0', '날짜': '2024.08.02.', '내용': '친절을 사람으로 만들면 새힘약국 약사님일듯. 상냥하고 친절하게 말씀해줘서 기분좋았습니다~💕', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 14:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
혜민약국,0.0,도봉구 도봉로159길 17 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '11:00 ~ 19:00', '일': '휴무일', '월': '11:00 ~ 20:30', '화': '11:00 ~ 20:30', '수': '11:00 ~ 20:30', '목': '11:00 ~ 20:30', '금': '11:00 ~ 20:30', '휴무일': '매주 일요일'}"
도봉태평양약국,4.5,도봉구 도봉로 821 1층,,"[{'작성자': '홍성찬', '별점': '5.0', '날짜': '2023.01.28.', '내용': '약사님이 친절합니다', '좋아요': '1'}, {'작성자': 'a', '별점': '4.0', '날짜': '2018.12.28.', '내용': '저렴한 편입니다.\n미녹시딜 200ml 30,000원', '좋아요': '1'}]","{'토': '09:00 ~ 20:00', '일': '09:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
늘푸른약국,0.0,도봉구 도봉로163길 7,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
