name,score,address,img_url,reviews,open_hour
방학약국,3.7,도봉구 도봉로 729,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjZfMTkz%2FMDAxNzI0NjUzNzEwNzcx.UToB9nJpO2px5Qa41RgU28YLgvvtMFptcwGjGHUndT4g.ReszNC3Tf_putlwtK0KdptBmiEWcI66q0KNW_tqqj4og.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%25B0%25A9%25ED%2595%2599%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '준 & 우', '별점': '5.0', '날짜': '2024.01.28.', '내용': '우리 가족 단골 약국이예요. 친절합니다.', '좋아요': '0'}, {'작성자': 'SeHo', '별점': '5.0', '날짜': '2024.01.20.', '내용': '약사님도 친절하시고, 좋아요. 저희 가족들이 잘 애용하는 약국이예요. 매우 만족합니다~', '좋아요': '0'}]",{}
제생약국,3.0,도봉구 도당로 94,,"[{'작성자': '나달', '별점': '1.0', '날짜': '2023.09.13.', '내용': '찾는약 있냐고 물어봤더니 한명은 없는데? 이러고 한명은 딴데감ㅋㅋㅋ 5점이라 믿고간게 어이없어서 씀', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2021.11.20.', '내용': '빠르고 좋음\n\n자주가는 약국', '좋아요': '1'}]","{'토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
건강약국,0.0,도봉구 도당로 109 방학동상가주택 1층 102호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
방학365약국,5.0,도봉구 도봉로150길 27 1층 101-1호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F53D48967308C43C58EC90CBA1818C060,"[{'작성자': '김소연', '별점': '5.0', '날짜': '2024.11.23.', '내용': '두번 방문했는데 방문할때마다 약사선생님 너무 친절하셔서 만족하고 갑니다👍', '좋아요': '0'}, {'작성자': '이재영', '별점': '5.0', '날짜': '2024.08.16.', '내용': '약사님이 너무 친절하셨습니다ㅎㅎ !', '좋아요': '0'}]","{'토': '07:00 ~ 22:00', '일': '09:00 ~ 22:00', '월': '07:00 ~ 22:00', '화': '07:00 ~ 22:00', '수': '07:00 ~ 22:00', '목': '07:00 ~ 22:00', '금': '07:00 ~ 22:00'}"
백세약국,1.0,도봉구 도당로15길 12,,"[{'작성자': '차인표인봉', '별점': '1.0', '날짜': '2021.06.21.', '내용': '2개 사려다 1개 사니까 인사 안 받음;;', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
진성온누리약국,0.0,도봉구 도봉로 681 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '휴무일', '일': '15:00 ~ 19:00', '월': '08:30 ~ 23:00', '화': '08:30 ~ 23:00', '수': '08:30 ~ 23:00', '목': '08:30 ~ 23:00', '금': '08:30 ~ 23:00', '휴무일': '매주 토요일'}"
튼튼약국,0.0,도봉구 방학로 169 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 20:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
산들약국,3.9,도봉구 도당로13길 17 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe93234a42b154d2abf7af9983903e0053a0a6a29%3Foriginal,"[{'작성자': '동윤', '별점': '5.0', '날짜': '2024.07.04.', '내용': '소아과 진료받고 다녀왔는데 여자약사분께서 친절하게 설명 잘해주셔서 너무 감사했네요.', '좋아요': '0'}, {'작성자': '가냐', '별점': '5.0', '날짜': '2024.02.19.', '내용': '여자 약사 분은 약 꼼꼼하게 설명해주심 친절합니다', '좋아요': '0'}, {'작성자': 's3s2', '별점': '5.0', '날짜': '2022.03.14.', '내용': '비대면진료로 약을 퀵으로 받아보았는데 약사님이 약 설명을 섬세하게 잘 적어주셨어요. 너무 아파서 힘들었는데 약 봉투 받자마자 감사한 마음이 들었습니다.', '좋아요': '0'}]","{'토': '08:30 ~ 13:30', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
방학태평양약국,4.8,도봉구 도당로 80 1층,,"[{'작성자': '미미', '별점': '5.0', '날짜': '2022.03.30.', '내용': '약사님 너무 친절하시고 좋으시네요!', '좋아요': '0'}, {'작성자': 'Casey', '별점': '5.0', '날짜': '2021.07.30.', '내용': '젊은 약사님 참 자상하세요.', '좋아요': '0'}, {'작성자': '윤현철', '별점': '5.0', '날짜': '2018.05.01.', '내용': '사장님이 매우 친절하시네요.^^', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
은은약국,0.0,도봉구 시루봉로 105 신동아중앙상가 55동 1층 111호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0BF0B96FF3084FF3B092DDF483804A00,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
상록수온누리약국,5.0,도봉구 도당로13길 8,,"[{'작성자': '랩퍼디오', '별점': '5.0', '날짜': '2023.02.03.', '내용': '여기 갈때마다 친절해서 좋아요 오늘  여기갈까하다 좀\n멀어서 딴데갔다 기분만 상함', '좋아요': '0'}, {'작성자': 'Casey', '별점': '5.0', '날짜': '2021.07.30.', '내용': '약사님과 그 부인분, 두 분 모두 밝은 모습으로 서글서글한 응대. 역시 한 군데서 오래 자리잡고 운영 하는데는 다 이유가 있어요.', '좋아요': '0'}, {'작성자': 'ㅇㅂㅇ', '별점': '5.0', '날짜': '2019.05.13.', '내용': '뭐 물어보면 귀찮아하지 않고 진짜 친절하게 설명해주세요', '좋아요': '0'}]","{'토': '08:30 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00'}"
메디칼약국,5.0,도봉구 도봉로 677 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MTFfMTc1%2FMDAxNzI2MDMwMTMwNDUy.UAvlXevid43EcVGv_O83juHlvikxo5zl4k7asXciEC0g.Mw1n1DJMUKT7z5YugYO5jqRv9YBEWRzzZHSfg13u3Zkg.JPEG%2FKakaoTalk_20240910_151740109_10.jpg%3Ftype%3Dw386,"[{'작성자': '두낫띵', '별점': '5.0', '날짜': '2022.03.05.', '내용': '모든 분들이 다 친절하시고 약 주실 때 진짜 꼼꼼하고 이해 잘 되게 설명해주세요!!\n병원 갈 때 보통 거기 딸린 약국을 가야 하는데 이렇게 좋은 약국이 있어서 너무 좋습니당', '좋아요': '0'}, {'작성자': '김지원', '별점': '5.0', '날짜': '2022.02.16.', '내용': '매번 친절한 설명 감사드려요~^^', '좋아요': '0'}, {'작성자': '빡빡이', '별점': '5.0', '날짜': '2021.03.15.', '내용': '넘넘 친절하세요', '좋아요': '0'}]","{'토': '08:00 ~ 15:00', '월': '08:00 ~ 19:00', '화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00', '목': '08:00 ~ 19:00', '금': '08:00 ~ 19:30'}"
방학세계로약국,1.0,도봉구 방학로 159,,"[{'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2022.06.20.', '내용': '친절은 바라지도 않는데 장사하기 싫으면 하지 마세요.', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30'}"
미소약국,3.3,도봉구 도봉로 678 홈플러스 지하 2층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD7D0A3CD313B4FE3909D7B7EFA6D8130,"[{'작성자': 'skeucn', '별점': '1.0', '날짜': '2025.03.14.', '내용': '남자 약사분 매우 불친절 하네요.\n기분 좋게 갔다가 기분만 나빠서 왔네요.', '좋아요': '0'}, {'작성자': '관상가 양반 내가 후기왕이될상인가', '별점': '2.0', '날짜': '2024.08.15.', '내용': '남자 약사분이셨는데 친절한 느낌은 없었습니다. 기침약만 구매하려했는데 무슨 한방? 약까지 사라고 하셔서 얼떨결에 깉이 구매했습니다. 효과 좋다고 하셨는데 효과는 잘 모르겠고 왜인지 강매당한 기분....', '좋아요': '0'}, {'작성자': '허솔', '별점': '5.0', '날짜': '2023.07.28.', '내용': '약사님이 매우 친절하고, 주말에도 열어서 방문하기 좋아요~', '좋아요': '0'}]",{}
도봉월드약국,5.0,"도봉구 마들로 650 도봉윌드빌딩 316,317호",,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.11.16.', '내용': '여자약사님 남자약사님 인상 좋으시고 친절하심 \n남자약사님 외국인 손님한테 영어로 응대하시는거보고 놀람 ㄷㄷ 멋지세요', '좋아요': '0'}, {'작성자': '정유나', '별점': '5.0', '날짜': '2017.12.02.', '내용': '갈때마다 항상 친절하게 대해주시고 신뢰가 가요~', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
우리들약국,5.0,도봉구 도봉로145나길 7 1층,,"[{'작성자': '맛도리', '별점': '5.0', '날짜': '2024.03.07.', '내용': '약 설명 자세히 해주시고 궁금한 거 물어보면 친절하게 잘 알려주세요! 영양제 상담도 넘 잘해주셨는데 가격도 저렴해서 더 좋았어요ㅠㅠ 최고최고', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
수도약국,0.0,도봉구 도봉로 727,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MjlfMjE0%2FMDAxNjkzMjc0OTkwODEx.qg65EHxj6BTucT16gR7QBqzxQUyLePhg9CvVX5wU3Psg.5Qab2qAYlSgNAQP8IUqUXJdGyR61IpmS0pfUvqCKJdwg.JPEG.petnpharm%2FSE-f8c96e8f-8401-4594-b632-9a778076040b.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 14:30', '일': '09:00 ~ 13:30', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
성가온누리약국,5.0,도봉구 도당로 133,,"[{'작성자': '나달', '별점': '5.0', '날짜': '2023.09.16.', '내용': '약 여러개 추천해주시고 설명도 해주셔서 좋았습니다', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
나진약국,,도봉구 방학로 223 사천목씨종친회관 1층 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:50', '월': '09:00 ~ 18:50', '화': '09:00 ~ 18:50', '수': '09:00 ~ 18:50', '목': '09:00 ~ 18:50', '금': '09:00 ~ 18:50', '휴무일': '추석당일, 설당일'}"
초록약국,1.0,도봉구 방학로 163,,"[{'작성자': '가가 애드', '별점': '1.0', '날짜': '2023.10.10.', '내용': '불친절한 곳. 추천하지 않습니다.', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
지안약국,,도봉구 도봉로150길 8 이안테라디움 1층 105호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
