name,score,address,img_url,reviews,open_hour
용호약국,2.3,도봉구 노해로41길 42 1층,,"[{'작성자': 'dru50show', '별점': '5.0', '날짜': '2024.08.03.', '내용': '상담도 잘해주시고 전 좋았습니당..', '좋아요': '0'}, {'작성자': '냠냠', '별점': '1.0', '날짜': '2024.02.05.', '내용': '불친절하다길래 얼마나 불친절한가했더니 싸이코패슨가 싶은 정도 불친절이네요. 저는 다음에 마을버스비나 택시비를 내고서라도 다른 약국 갈거에요.', '좋아요': '0'}, {'작성자': '준', '별점': '1.0', '날짜': '2022.08.01.', '내용': '서비스 완전 최악입니다.\n약을 제조하는중이라도 누구 한명은 카운터에 나와서 사람이 들어오면 뭘 사러... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '09:00 ~ 12:30', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
신신약국,1.7,도봉구 도봉로113길 16 1층,,"[{'작성자': '스카피', '별점': '3.0', '날짜': '2024.05.15.', '내용': '예 좋습니다....', '좋아요': '0'}, {'작성자': '탄현동집사', '별점': '1.0', '날짜': '2023.03.14.', '내용': '가는 사람들 마다 같은 이야기만 하네요.\n이유를 설명해달라고 하니 좋은 것만 들어 있다고 두루뭉술.. 사짜 냄새가 납니다.', '좋아요': '2'}, {'작성자': '그냥나그네', '별점': '1.0', '날짜': '2023.01.26.', '내용': '이런저런 정보 찾아보다 갔는데 이름 그대로\n한의사아님 그냥 한약사란노인이 맥 짚어보구\n얘길하는디 그렇게 ... 더보기', '좋아요': '1'}]","{'토': '10:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
태양약국,4.1,도봉구 도봉로 479,,"[{'작성자': '노루', '별점': '1.0', '날짜': '2025.03.04.', '내용': '코감기약을 샀는데요. 같은 약을 광화문한복판에서도 2,500원 받던데 여긴 4,500원을 받는거예요. 너무하다는 생각이 듭니다', '좋아요': '0'}, {'작성자': '이규민', '별점': '5.0', '날짜': '2024.07.07.', '내용': '너무 친절하심 👍', '좋아요': '0'}, {'작성자': '조아요', '별점': '5.0', '날짜': '2023.11.03.', '내용': '친절하당 연고랑 밴드사러 갔는뎅 너무너무 친절하시고\n사용방법 주의사항 다 꼼꼼하게 알려주셨다', '좋아요': '1'}]","{'토': '09:00 ~ 22:00', '일': '16:00 ~ 22:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
후문한일약국,0.0,도봉구 노해로40길 72,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '09:00 ~ 12:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
건강제일녹십자약국,1.1,도봉구 해등로 190,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F96f8e6f74b0c291fc21d191fcb4e208c6e393e4b%3Foriginal,"[{'작성자': '팩트로 뼈 부러뜨리는 사람', '별점': '1.0', '날짜': '2023.12.21.', '내용': '카카오맵은 왜 0점 주기가 없나요?\n불친절합니다. 기분만 나빠지는 곳... 더보기', '좋아요': '1'}, {'작성자': '랩퍼디오', '별점': '1.0', '날짜': '2023.02.03.', '내용': '후기남길려고 보니  다 같은 마음이네요 불친절 \n약 사용법 물어보니 대꾸도 안함  어이가 없다', '좋아요': '0'}, {'작성자': '시나브로', '별점': '1.0', '날짜': '2022.11.14.', '내용': '약사는 아니고 약국내에서 잡일이나 심부름을 하면서 약사의 감독하에 일반의약품만 손님에게 팔수있는 속칭 카운터라고 불리는 직원을 두는... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
바른약국,0.0,도봉구 도봉로 511 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMTZfMTUw%2FMDAxNzI5MDg1Njc0MTc1.rOG7_Apj5HpxS4kV1ZcgwFxrNvUh6YMNaBsScfdTeN4g.n79mBUKn33GCvBYrwPxwJeOeQ7Mw0EZzTX4cjXjG3TQg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%25B0%2594%25EB%25A5%25B8%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:00 ~ 16:00', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '휴무일': '매주 일요일'}"
정문약국,2.3,도봉구 우이천로 302,,"[{'작성자': '모모세', '별점': '5.0', '날짜': '2024.08.29.', '내용': '최근 아이가 폐렴으로 통원치료 받아서 자주 방문했는데, 처방 받은 항생제가 유제품과는 안맞을 수 있으니 복용할때 피해달라고 자세하게... 더보기', '좋아요': '0'}, {'작성자': '그냥나그네', '별점': '1.0', '날짜': '2023.06.25.', '내용': '약이 두달치라 양이 좀 많았는데\n봉투값이 아까웠는지 담부터는 담을거\n준비해오란다.. 약값이 얼마인데... 더보기', '좋아요': '0'}, {'작성자': '루루', '별점': '1.0', '날짜': '2020.11.27.', '내용': '약사의 됨됨이가...', '좋아요': '1'}]","{'토': '08:30 ~ 14:30', '일': '휴무일', '월': '08:00 ~ 18:00', '화': '08:00 ~ 18:00', '수': '08:00 ~ 18:00', '목': '08:00 ~ 18:00', '금': '08:00 ~ 18:00', '휴무일': '매주 일요일'}"
다온약국,0.0,도봉구 도당로 6 LG트윈빌2 1층 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA5MjBfMTcw%2FMDAxNjk1MTY3NjUyMjY4.EjXdvJKQhZSTKZmnID6h4ibvzqjgfZzGl39A-2hecqkg.7K2nOp8d_RiKO9ZgHM7NA1rc2XmBsmK9PrEFi9eXjZgg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%258B%25A4%25EC%2598%25A8%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '일': '09:00 ~ 14:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
후문약국,1.0,도봉구 도봉로109길 58 1층,,"[{'작성자': 'flure la', '별점': '1.0', '날짜': '2024.11.11.', '내용': '고양이 심장사상충약 있다고 해서 갔더니 강아지용 팔며 고양이에게 써도 된다고 쓰여있다며 팔려고 함. 문제는 겉포장에 고양이에게 써도된다는 말 없음. 고양이용 원하면 주문해준다고 해서 O... 더보기', '좋아요': '0'}, {'작성자': 'k60mm', '별점': '1.0', '날짜': '2020.03.07.', '내용': '불친절', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
힘찬약국,4.0,도봉구 삼양로 580-4 노스브릭 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjdfMjA2%2FMDAxNzMyNjgzNTU5OTI0.acpqKC325lpBa062aeohcKgaNZzncK8SCd6irGI0MpQg.Zq52D7DK8dDOEo3Wr7GLspNa4NnGZDO3mj1rXYawywgg.JPEG%2FIMG_2320.jpg%3Ftype%3Dw773,"[{'작성자': '장지수', '별점': '5.0', '날짜': '2023.08.08.', '내용': '드라마 봄밤에 나온 약국', '좋아요': '2'}, {'작성자': 'ㅅㄱ', '별점': '1.0', '날짜': '2023.05.04.', '내용': '정말 싸가지없음. 비대면 처방에 문제 생겨서 약이 안와 전화했더니 전화바꿨단 얘기도 안하고 말하라고 명령조로 약사가 말함. 어이가 없었지만 설명하려고 ‘닥터나우에서’ 한마디 내뱉으니 바로 말끊어버리면서 누구씨죠? 이... 더보기', '좋아요': '0'}, {'작성자': '++', '별점': '5.0', '날짜': '2023.01.02.', '내용': '시설 깨끗하고 직원 분들 친절했음 :)', '좋아요': '0'}]","{'토': '08:30 ~ 18:00', '일': '13:00 ~ 18:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '공휴일'}"
