name,score,address,img_url,reviews,open_hour
종로프라자약국,3.0,도봉구 노해로65길 14-3 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe40ca3c71fae1f3a1b6bf241fe01088a529e3ca1%3Foriginal,"[{'작성자': 'mo', '별점': '1.0', '날짜': '2024.12.15.', '내용': '처방전 없이 간단한 약 사면 인사 한 마디도 없이\n카드기만 긁는 거 정말 기분 더럽더군요 매번 그러길래 이젠 안 감. 가끔 반말로 결제되면... 더보기', '좋아요': '0'}, {'작성자': '김승용', '별점': '1.0', '날짜': '2022.08.02.', '내용': '동네약국에서 14,000원 받는 당뇨약을 15,800원 받네요\n다시는 여기 안 갈겁니다', '좋아요': '0'}, {'작성자': 'kore', '별점': '1.0', '날짜': '2022.03.22.', '내용': '눈 앞에 타이레놀이 쌓여있는데 타이레놀 없다고 안파시네요ㅋㅋㅋ 황당해서 나갔다가 생각할수록 어이없어서 다시 돌아가 꼭 집어 이거 타이레놀 아니냐고 따지니 ... 더보기', '좋아요': '1'}]","{'토': '08:30 ~ 22:00', '일': '08:30 ~ 22:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:20'}"
창동종로약국,,"도봉구 노해로63길 84-3 1층 4, 5호",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:00 ~ 21:30', '일': '08:00 ~ 19:00', '월': '08:00 ~ 21:30', '화': '08:00 ~ 21:30', '수': '08:00 ~ 21:30', '목': '08:00 ~ 21:30', '금': '08:00 ~ 21:30', '휴무일': '추석당일, 설당일'}"
착한약국,5.0,도봉구 덕릉로 253 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMjJfMTk5%2FMDAxNzAwNjE3NjUzMjc3.fTCtcCBPjJzWeo-I-0qOeHOB-vK9gp9naurX2BNDKrEg.arbb79TrnUhlfRFDyRtihwykkVK0wOaAZRN4HvuL7_8g.JPEG.hope_crew%2Foutput_1210383850.jpg%3Ftype%3Dw966,"[{'작성자': 'theatrum', '별점': '5.0', '날짜': '2022.09.28.', '내용': '약사님 설명잘해주십니다.', '좋아요': '0'}]","{'토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
창동남대문약국,4.2,도봉구 덕릉로 223 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.01.01.', '내용': '1월 1일에 문 여는 약국이 없어 곤란했는데 여기는 열었네요. 친절하고 빠른 복약지도 해주셔서 감사합니다.', '좋아요': '0'}, {'작성자': 'hj tr..', '별점': '5.0', '날짜': '2023.08.06.', '내용': '여기 친절하고 좋은데~  물어봐도 친절하게 설명해주고~  댓글 나쁘게 쓴건 왜일까?', '좋아요': '0'}, {'작성자': '리거니', '별점': '5.0', '날짜': '2023.05.22.', '내용': '추천', '좋아요': '0'}]",{}
광장온누리약국,3.4,도봉구 노해로 389 제일빌딩 101~104호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fcb33cb6010eb821d33fa73dccfcba99807f8184e%3Foriginal,"[{'작성자': '1점 주고싶을때만 쓰는 계정', '별점': '1.0', '날짜': '2025.02.19.', '내용': '옛날부터 불면증 심한데 야근때문에 낮밤도 바뀌도 바빠서 병원 갈 시간도 없고 낮밤만 돌리면 되겠지 싶어서 쿨드림같은 수면유도제 달라고 하니까 아예 없다고 돌려보냄 ㅋㅋ..... 더보기', '좋아요': '0'}, {'작성자': 'ㄱㄷ', '별점': '1.0', '날짜': '2024.12.11.', '내용': '친절하시고 약국안도 쾌적해서 믿고 자주 구매했었는데 처방해주신 약안에 이물질도 같이 들어있어서 꺼림칙해요..ㅠㅠㅠ', '좋아요': '0'}, {'작성자': '이성', '별점': '5.0', '날짜': '2024.09.20.', '내용': '약국이 넓고 괘적해요... 약사님들도 친절하고 가격도 정말 합리적이라 칭찬하고 싶습니다.', '좋아요': '0'}]",{}
라파엘약국,5.0,도봉구 도봉로 630 1층,,"[{'작성자': '냐냐나나냐', '별점': '5.0', '날짜': '2025.02.26.', '내용': '친절하시고 복약지도도 잘해주심. 만약 속쓰림이 심하면 이 약은 빼고 드시라는 약사님 말씀 덕에 처방받은 약들 무사히 잘 복용할 수 있었음👍', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
은혜약국,4.2,도봉구 도봉로118길 11 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMzA2MDVfMTgw%2FMDAxNjg1OTM0MTQwNjI4.Tach-eh2GAs-ZvSkAvMvIB3yoyTbsKYccSwU1bNLB6Mg.--sWMdGmR9KFqwetZn39GuNklv6MLMszTANtutB_viAg.GIF.ksyjh1024%2F1596804973.gif%3Ftype%3Dw1,"[{'작성자': '양이.에옹.또또', '별점': '5.0', '날짜': '2023.11.04.', '내용': '대단히 친절하십니다요', '좋아요': '0'}, {'작성자': '먕', '별점': '5.0', '날짜': '2023.05.23.', '내용': '새벽1시까지 화요일 기준 한다고 하셨습니다! 약사님 넘 친절하세요! 늦게까지 영업하는 약국이라해서 비싸면 어쩌나했는데 오히려 더 저령하게 구매했습니다!', '좋아요': '1'}, {'작성자': '니케', '별점': '1.0', '날짜': '2021.11.21.', '내용': '일요일 문여는 약국 이라서 해서 왔더니 동네 다 문 안염 장난하나 창동역까지 감', '좋아요': '0'}]","{'토': '08:30 ~ 21:00', '일': '08:30 ~ 21:00', '월': '08:30 ~ 24:00', '화': '08:30 ~ 24:00', '수': '08:30 ~ 24:00', '목': '08:30 ~ 24:00', '금': '08:30 ~ 24:00'}"
이화온누리약국,0.0,도봉구 노해로63다길 21,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MTVfMjc0%2FMDAxNzIxMDQ5MzQ3ODg5.pkblpgEjc6zkFwgbXqhjxeMXZiFOWIlsjmNq1OkxVp4g.ATdUBZTljD-PvtYtb9jt1BT_BRsCFimurO8RZKY4qCsg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%259D%25B4%25ED%2599%2594%25EC%2598%25A8%25EB%2588%2584%25EB%25A6%25AC%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
더튼튼약국,5.0,도봉구 노해로65길 18 1층 101호,,"[{'작성자': '후들잉', '별점': '5.0', '날짜': '2024.08.19.', '내용': '젊은 남약사분 정말 친절하세요 ㅎ', '좋아요': '0'}, {'작성자': '김민수', '별점': '5.0', '날짜': '2024.05.16.', '내용': '여기 약국 진짜 친절하시고 태어나서 처음으로 다시 가고싶은 약국입니다! 좋은 약사님~!', '좋아요': '0'}, {'작성자': '🌙', '별점': '5.0', '날짜': '2021.02.22.', '내용': '저세상친절함이에요\n기분좋아지는 고객응대 정말 존경스럽습니다\n약은 여기서 사세요', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
라파온누리약국,0.0,도봉구 우이천로4길 42 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '09:00 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
