name,score,address,img_url,reviews,open_hour
마장백화점약국,,동대문구 고산자로 410 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjlfMTgg%2FMDAxNzMyODgxMzI1ODg1.JoWgfzxqQLVARiHXp9eqpel8aBUsqkSRnLE34YwCf2Qg.FTexCJUA95kGeT6avQd6ZDbBSzMFo_kxLwBCWkupDqsg.JPEG%2F20241125_175239_resized.jpg%3Ftype%3Dw386,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '07:00 ~ 23:00', '일': '08:00 ~ 23:00', '월': '07:00 ~ 23:00', '화': '07:00 ~ 23:00', '수': '07:00 ~ 23:00', '목': '07:00 ~ 23:00', '금': '07:00 ~ 23:00'}"
여름약국,5.0,동대문구 왕산로 60-1 1층 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F989516F819DF47659299024B8E406E29,"[{'작성자': '권혁준', '별점': '5.0', '날짜': '2024.11.04.', '내용': '여행 전 상비약 구입하러 왔는데 약사님이 친절하게 도와주셨어요 감사합니다 ㅎㅎ', '좋아요': '0'}, {'작성자': '이윤진', '별점': '5.0', '날짜': '2024.05.30.', '내용': '약사님이 복약지도를 너무 상세하게 해주세요~ 질문이 많았는데도 잘 설명해주셔서 너무 감사했습니다~', '좋아요': '0'}, {'작성자': '귤', '별점': '5.0', '날짜': '2024.02.03.', '내용': '이렇게 친절한 약사님은 오랜만이네요 ㅎㅎ 이동네에선 제일 나은것같아요', '좋아요': '0'}]","{'토': '08:30 ~ 14:30', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30'}"
천사약국,5.0,동대문구 왕산로26길 13 1층,,"[{'작성자': '모모', '별점': '5.0', '날짜': '2024.07.28.', '내용': '친절하십니다\n멀어도 재방문을 계속하고 있는 약국입니다', '좋아요': '0'}, {'작성자': '인생', '별점': '5.0', '날짜': '2024.01.21.', '내용': '약 설명이 좋아요,, 정말 친절해요\n영양제도 싸요 그리고 다양한 키트 약도 많아요;;', '좋아요': '0'}, {'작성자': '빠라빤', '별점': '5.0', '날짜': '2023.09.16.', '내용': '친절하게 약 골라주셨읍니다.', '좋아요': '0'}]","{'토': '08:00 ~ 14:00', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30'}"
어깨동무약국,0.0,동대문구 무학로 189 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
청수약국,5.0,동대문구 천호대로25길 81 랜드마크타워 1층 103호,,"[{'작성자': 'Evan', '별점': '5.0', '날짜': '2023.11.09.', '내용': '친절그잡채', '좋아요': '0'}, {'작성자': 'strongbell', '별점': '5.0', '날짜': '2022.07.15.', '내용': '약사님도 직원분도 좋으십니다', '좋아요': '0'}, {'작성자': '차덕환', '별점': '5.0', '날짜': '2020.12.26.', '내용': '늘 변함없이 대하시는 친절하고 좋으신 약사님이 계시는곳 입니다', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
동부대학약국,5.0,동대문구 무학로 122 1층,,"[{'작성자': 'sys31k', '별점': '5.0', '날짜': '2019.12.18.', '내용': '항상 반갑게 인사하며 맞이하고 친절한 설명과 모든직원들이 밝은 모습을 보여주어서 늘 좋은 느낌을 가짐.', '좋아요': '1'}, {'작성자': '통통', '별점': '5.0', '날짜': '2019.07.24.', '내용': '좋음', '좋아요': '0'}]","{'토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '매주 토요일, 일요일'}"
건강한약국,0.0,동대문구 왕산로32길 7 4층 6호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:00 ~ 14:00', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30'}"
뉴프라자약국,5.0,"동대문구 고산자로 399 동양프라자 104,105호",,"[{'작성자': '미', '별점': '5.0', '날짜': '2023.01.02.', '내용': '친절해요~~', '좋아요': '0'}]","{'토': '08:00 ~ 14:30', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '금': '08:00 ~ 18:30'}"
아파트약국,1.0,동대문구 천호대로 72 1층 2호,,"[{'작성자': '추고왕', '별점': '1.0', '날짜': '2021.08.05.', '내용': '별점 1점도 아까운 곳임 ㅡㅡ', '좋아요': '2'}, {'작성자': '찬', '별점': '1.0', '날짜': '2021.08.05.', '내용': '어이가없네. 굉장히 불친절하고 카드 던지듯이 주네.\n약사러갔다가 열받아서 병 생길판임. 맞은편 약국이 친절한데 문닫아서 여기갔더니 기분만 상함. 아파트 상대로 무슨 장사를 이따위로 하는지 어이가없음ㅋ', '좋아요': '0'}, {'작성자': '깐따라삐약', '별점': '1.0', '날짜': '2021.03.11.', '내용': '결제할때 카드 내미니까 바로 반말로 “카드야?” 이러고 한숨 쉬더니 카드를 “던져줌”ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '좋아요': '2'}]","{'토': '08:30 ~ 21:00', '일': '10:00 ~ 21:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00'}"
인영약국,1.0,동대문구 왕산로 118 1층,,"[{'작성자': '최고심이', '별점': '1.0', '날짜': '2024.10.01.', '내용': '절대가지마세요 💀💀💀\n이렇게 재수없는 약국은 처음봐요 ㅡㅡ\n약사 아줌마 이딴식으로 장사하지마세요 \n완전 안하무인에 컴퓨터만 하고... 더보기', '좋아요': '0'}, {'작성자': '서상기', '별점': '1.0', '날짜': '2024.06.05.', '내용': '완전 불친절\n안하무인', '좋아요': '1'}, {'작성자': 'P', '별점': '1.0', '날짜': '2024.05.04.', '내용': '응대가 영 아니네요.. 그래도 초반에 새로 생겼을때는 나름 일어서서 맞이해주셨는데 안바쁜시간이라 그러시는건가 앉아서 쳐다도 안보시고 인사도 안하시고 핸드폰하시면서 대답도 건성건성하시네요 ..', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '휴무일': '매주 일요일'}"
