name,score,address,img_url,reviews,open_hour
종로프라자약국,1.0,동대문구 사가정로 226 1층 101~104호,,"[{'작성자': 'J.W K', '별점': '1.0', '날짜': '2022.10.12.', '내용': '여기 뚱뚱한 약사 아닌 직원(아들추정) ㅈㄴ 불친절함 제발 다른약국 가세요. 약사도 ㅈㄴ 퉁명스럽고 뚱뚱한 인간 진짜 생긴것처럼 사가지 없는게 나도 자영업 하지만 서비스 마인드 그따구로면 아무도 안감 제발 단정한 옷차림으로 일하세요.', '좋아요': '0'}]","{'토': '휴무일', '일': '휴무일', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30', '휴무일': '매주 토요일, 일요일'}"
나나약국,1.0,동대문구 장한로18길 59 1층,,"[{'작성자': '육식계 치킨', '별점': '1.0', '날짜': '2023.03.16.', '내용': '장안동에서 가지말아야할 약국 순위권 1위\n약사이지만 약사가 아닌 장사꾼의 면모를 보이시는 사장님.\n손님이 종이에 배여 급... 더보기', '좋아요': '3'}, {'작성자': 'Master Cho', '별점': '1.0', '날짜': '2022.04.22.', '내용': '나만 그렇게 느낀게 아니네요', '좋아요': '0'}, {'작성자': 'ㅇㅇㅇㅇ', '별점': '1.0', '날짜': '2020.07.17.', '내용': '불친절하고, 약사같지도 않은 어떤아저씨가 약팔고있는 그냥 후진 동네 약국.', '좋아요': '1'}]","{'토': '09:00 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
보림약국,2.0,동대문구 장한로 115 1층,,"[{'작성자': '다민', '별점': '1.0', '날짜': '2025.01.21.', '내용': '진짜급할때말고 가지마셈ㅋㅋ가격후려치기 미쳤어요', '좋아요': '0'}, {'작성자': '장순욱', '별점': '1.0', '날짜': '2024.12.23.', '내용': '가격 잘 확인하시길…! 늦은시간에 영업중인 약국이라 찾아갔는데 잇몸약 3가지 결제하고 나왔는데 카드사결제문자에 4만2천원결제에 깜짝놀라 다시가서 환불했음! 다른 리뷰보니 비슷한 상황이 많은듯.', '좋아요': '0'}, {'작성자': '김연준', '별점': '5.0', '날짜': '2024.12.22.', '내용': '약사분 바뀌신 것 같아요 노로바이러스로 새벽에 열린 약국 급하게 찾아보다가 후기 보고 불안한 마음과 함께 방문했는데 너무 잘 상담해주시고 약 처방해주셨어요 약값도 저렴했습니다', '좋아요': '0'}]","{'토': '09:00 ~ 02:00', '일': '10:00 ~ 02:00', '월': '09:00 ~ 02:00', '화': '09:00 ~ 02:00', '수': '09:00 ~ 02:00', '목': '09:00 ~ 02:00', '금': '09:00 ~ 02:00'}"
중경당약국,3.7,동대문구 장한로 58 1층,,"[{'작성자': '지이이도오오오오', '별점': '3.0', '날짜': '2025.03.26.', '내용': '서비스받는 느낌은 없음\n그냥 약 사러 온 사람에게 약 파는 것까지만 하는 곳', '좋아요': '0'}, {'작성자': 'Y', '별점': '1.0', '날짜': '2025.01.21.', '내용': '불친절하네요, 약국 많아요 안가야겠습니다.', '좋아요': '0'}, {'작성자': '스카이', '별점': '5.0', '날짜': '2024.05.12.', '내용': '늦게까지 하시고 무엇보다 증상을 깊게 진지하게 꼼꼼히 들으시면서 질문도 하며 약을 맞춰주시길래 믿음이 갔습니다', '좋아요': '0'}]",{}
국제약국,4.3,동대문구 답십리로 248 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMDZfMTU2%2FMDAxNjk5MjUyNDA1Njc0.NgGGOp-COVIlVhPjt4VPGSXBCf5B5ZxbwBlC8mcn-v8g.3Fi_v-mcZi3-AU2q77PfmFOBKJFX1uL5AYx88HCIl_kg.JPEG.sdrk0136%2FIMG_6175.jpg%3Ftype%3Dw966,"[{'작성자': '스쿠터타고 씽씽', '별점': '5.0', '날짜': '2022.10.15.', '내용': '친절하세요~ 항상 부모님이 다니시는 곳', '좋아요': '0'}, {'작성자': '태호랭이', '별점': '5.0', '날짜': '2020.02.27.', '내용': '동네 터줏대감 약국입니다. 항상 친절해요.', '좋아요': '0'}]","{'토': '08:00 ~ 16:00', '일': '휴무일', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '휴무일': '매주 일요일'}"
경희다정한약국,5.0,동대문구 답십리로65길 77 1층,,"[{'작성자': '필요할때만작성하는리뷰', '별점': '5.0', '날짜': '2025.03.31.', '내용': '긴장, 불면, 체력저하 때문에 지인 추천으로 한약 먹어봤는데 확실히 효과 있네요.. 상담부터 사후 관리까지 약사님 친절하시네요 ,,^^', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.05.11.', '내용': '친절하시고 주말 다른약국 죄다 문닫을때 급한환자를 위해 여시는 진짜약사가 계신 약국이네요', '좋아요': '0'}, {'작성자': '룽룰', '별점': '5.0', '날짜': '2021.07.20.', '내용': '정말 친절하세요 추천해드려요 정말로', '좋아요': '0'}]","{'토': '11:00 ~ 20:00', '일': '12:00 ~ 20:00', '월': '11:00 ~ 20:00', '화': '11:00 ~ 20:00', '수': '11:00 ~ 20:00', '금': '11:00 ~ 20:00'}"
초록약국,5.0,동대문구 한천로2길 107 형인타워 1층 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBF64D0FF56F84B2BBEDA168C35383426,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.10.08.', '내용': '아주 친절하십니다 마감 직전이신데도 친절하게 봐주셔서 잘 받고 갑니다', '좋아요': '0'}, {'작성자': '유저바이러스', '별점': '5.0', '날짜': '2022.04.16.', '내용': '친절하시고 약국내도 깔끔하게 정돈되어 있어요.', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
행복한약국,5.0,동대문구 답십리로66길 95 진주빌딩 1층,,"[{'작성자': '♡', '별점': '5.0', '날짜': '2020.04.08.', '내용': '약사님 아주 친절하시고 실력있는 분이셔요', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
진선미약국,0.0,동대문구 한천로 86,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
올리브약국,0.0,동대문구 장한로 124 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMTZfOTQg%2FMDAxNzA1Mzc0NDI2NjE1.0Z4CW6tIkYV6DKtYIpGmkRnkaXU47VTzZgsBGuw_OjYg.Kjry15-aKvRb3XOMUsInjI27cgyFS-cL7Jve6jn1P2Yg.JPEG.nemcon%2FIMG_1026.JPG%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '10:00 ~ 14:00', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00'}"
