name,score,address,img_url,reviews,open_hour
박한약국,0.0,동대문구 왕산로 254 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MDdfOTQg%2FMDAxNzI1Njc1ODczMDk4.bTIYWOmsV0DQozTtkPl7O5y_NpmUekUl2WpUEJ6vhqMg.Z1HIBSmQs9rQ_ENjG7SbbKjWacj5nMeGPZdIVriyZv8g.JPEG%2F20240907%25EF%25BC%25BF095810.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00', '휴무일': '매주 일요일'}"
봄날약국,3.0,동대문구 답십리로 9 1층 A호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBB011B157FCD475A9B095A6D7ADAB025,"[{'작성자': '.', '별점': '1.0', '날짜': '2024.08.16.', '내용': '2년 전에는 여기 데스크직원분 엄청 친절해서 갈 때마다 만족스러웠는데 젊은 사람으로 데스크직원 바뀌었네요 전에 있던 분 없으니까 딱히 친절하지도 않아요 들고 가기 어려워서 봉투값 줄 테... 더보기', '좋아요': '1'}, {'작성자': '윤지원', '별점': '1.0', '날짜': '2023.09.09.', '내용': '다시가고싶지 않음 \n처방전가지고 갔는데 기다리는 사람도 없는데 직원들끼리 얘기#... 더보기', '좋아요': '0'}, {'작성자': 'jkjkjkjkjkj', '별점': '5.0', '날짜': '2023.02.04.', '내용': '친절함', '좋아요': '1'}]","{'토': '08:30 ~ 16:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 20:00'}"
설파약국,2.6,동대문구 전농로 134,,"[{'작성자': '주민1', '별점': '5.0', '날짜': '2024.04.22.', '내용': '약사 선생님이 바뀌신건지, 제가 갔을 땐 할아버지는 안계시고 여성 약사분만 계셨어요. 엄청 친절하시고 설명도 잘 해주셔서 좋았습니다~', '좋아요': '1'}, {'작성자': '쐬리', '별점': '5.0', '날짜': '2023.06.02.', '내용': '1965년 개원한 진짜 오래된 약국이에요. 아마 약사는 바뀌었겠죠? 어렸을때 감기걸리면 여기서 약지어먹고 했는데. 약사가 약조제해서 손으로 종이접어 담아주는 방식으로요. 어린시절 추억 가득한 약국입니다.', '좋아요': '1'}, {'작성자': '', '별점': '1.0', '날짜': '2021.05.21.', '내용': '흰머리 할아버지가 정말로 무서워서 안간다.', '좋아요': '1'}]","{'토': '09:00 ~ 15:00', '일': '09:30 ~ 14:30', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30'}"
청량리중앙약국,3.7,동대문구 왕산로 214 롯데백화점 403호,,"[{'작성자': '베니니', '별점': '5.0', '날짜': '2022.12.27.', '내용': '약이 잘 들어요. 필요한 약만 주셔서 더 믿음이 갑니다.', '좋아요': '1'}, {'작성자': '3:19', '별점': '5.0', '날짜': '2022.12.11.', '내용': '친절하십니다', '좋아요': '0'}, {'작성자': '무뇽이', '별점': '5.0', '날짜': '2022.09.04.', '내용': '쌍화탕 하나 사는데 다른약이랑 함께 먹어도 되는지 설명 자세하게 해주셔서 저는 좋았습니다~', '좋아요': '0'}]","{'토': '10:30 ~ 21:00', '일': '휴무일', '월': '10:30 ~ 21:00', '화': '10:30 ~ 21:00', '수': '10:30 ~ 21:00', '목': '10:30 ~ 21:00', '금': '10:30 ~ 21:00', '휴무일': '매달 두번째, 네번째 일요일'}"
서생당약국,4.9,동대문구 서울시립대로 42,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F32efb0346666d22c78bf2a4c013fd54152c71d84%3Foriginal,"[{'작성자': '불친절한곳만 리뷰남김', '별점': '5.0', '날짜': '2025.03.13.', '내용': '항상 너무 친절하고 과하지도 않습니다 근처 약국과 너무 비교됨. 다들 여기로가세요', '좋아요': '0'}, {'작성자': 'Black Label', '별점': '5.0', '날짜': '2025.01.05.', '내용': '친절하고 일요일도 열어요~', '좋아요': '0'}, {'작성자': '낑깡', '별점': '5.0', '날짜': '2024.04.09.', '내용': '첫 방문인데 정말 친절하십니다.\n비단 약만 판매하시는 것이 아닌, 구매한 약과 관련된 증상을 어떻게 완화할 수 있는지도 알려주셨습니다. (생리통이 심할... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '일': '09:00 ~ 18:00', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30'}"
카톨릭대학약국,5.0,동대문구 왕산로 186 청량리역 우남SL타워300 1동 1층 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD76E94272FB548DC9D03A8DE5BE0B2A3,"[{'작성자': '레브', '별점': '5.0', '날짜': '2025.03.24.', '내용': '약사님 남자 직원분 모두 상냥하시고 친절하십니다 근처 병원 때매 자주 방문했지만 저희동네 옆에 있으면 좋겠어요~', '좋아요': '0'}, {'작성자': '찹쌀모찌', '별점': '5.0', '날짜': '2024.07.18.', '내용': '감기 걸려서 급히 청량리역 앞에 있는 약국 방문했어요 약사님 과하게 약 권유 안하시고 어떻게 아픈지 세세하게 물어봐주시고 친절하게 응대해주셨어요! 종종 처방없이 방문하면 두개 세개씩 ... 더보기', '좋아요': '0'}]","{'토': '08:30 ~ 18:00', '일': '휴무일', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '휴무일': '매주 일요일'}"
바른약국,,동대문구 사가정로 80 카운티에비뉴 121호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MTNfOTEg%2FMDAxNjkxOTExNDkwNTE5.AkJk6ejJL8kyi-AZblhlURmf5tX3O4oHp3vNsFOdm-Qg.JIz832Oxop1JKFLrtGjl-posb1A-HRG6tTdHisnnVhIg.JPEG.1007eui%2FIMG_9954.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:00 ~ 18:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
본약국,3.0,동대문구 전농로 212 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F2BE1C8646BA54F0AB683D227CB255B6C,"[{'작성자': '정진우', '별점': '1.0', '날짜': '2025.02.12.', '내용': '처방전약 조제불가', '좋아요': '0'}, {'작성자': '냠냠차우더', '별점': '5.0', '날짜': '2025.01.18.', '내용': '학교앞이라 종종 가는데, 증상 말씀드리면 적절한 약 잘 챙겨주셔서 좋습니당!!! 약사님 친절하시고 조아요 청량리역 앞에 약국들 말고 전 여기 옵니다 ㅠㅠ', '좋아요': '0'}, {'작성자': '똘123', '별점': '1.0', '날짜': '2024.12.11.', '내용': 'ㅇ', '좋아요': '0'}]","{'토': '11:00 ~ 19:00', '일': '휴무일', '월': '09:30 ~ 20:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 20:30', '목': '09:30 ~ 20:30', '금': '09:30 ~ 20:30', '휴무일': '매주 일요일'}"
롯데온누리약국,5.0,동대문구 왕산로 200 518호,,"[{'작성자': '민영', '별점': '5.0', '날짜': '2024.01.17.', '내용': '약국 이번에 새로 생겼는데 넘 좋아요~ ^^ 요새 면역력이 많이 떨어져서 여기저기 염증 때문에 찾았는데 약사선생님께서 친절히 상담해주시고 상태에 맞게 잘 추천해주시네여', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 20:00'}"
건강약국,0.0,동대문구 왕산로 176 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
