name,score,address,img_url,reviews,open_hour
경희중앙약국,5.0,"동대문구 경희대로 19-9 지하1층, 1층",,"[{'작성자': '비단터', '별점': '5.0', '날짜': '2023.10.13.', '내용': '약사분들 친절하고 약값도 저렴한거 같아요~', '좋아요': '0'}, {'작성자': '진찬영', '별점': '5.0', '날짜': '2023.03.17.', '내용': '경희대병원 입원환자 보호자로 있는데 귀저기사러 갈때마다 데스크에 계신 약사분들 및 직원분들 모두 엄청 친절하시고 응대가 나이스하십니다 특히 안경쓰고 젊으신 남성약사분 성의있고 친절해요 퇴원... 더보기', '좋아요': '1'}, {'작성자': 'slt', '별점': '5.0', '날짜': '2022.11.28.', '내용': '약사분들 짱 친절하셔요\n근처 약국 중에서 여기만 다닐래요', '좋아요': '1'}]","{'토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '휴무일': '공휴일'}"
경희메디칼약국,2.5,동대문구 경희대로 24 1층,,"[{'작성자': '맛도리', '별점': '5.0', '날짜': '2024.04.15.', '내용': '약사님 되게 전문적이시고, 양심적이십니다. 단호하게 필요한 처방과 도움이 되는 처치를 알려주셔서 덕분에 걱정 덜고 편안한 마음으로 귀가했습니다! 몸이 아파서 걱정이 많은 환자 입장에서,... 더보기', '좋아요': '0'}, {'작성자': '닉네임', '별점': '1.0', '날짜': '2024.03.13.', '내용': '처방 잘 못해주고 전화는 5시반부터 계속 안받고\n여기는 20시 30분까지라고 되어있어서 찾아갔더니\n... 더보기', '좋아요': '0'}, {'작성자': '날개', '별점': '3.0', '날짜': '2020.12.04.', '내용': '친절해요.', '좋아요': '0'}]","{'토': '09:00 ~ 14:30', '월': '09:00 ~ 19:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
경희정문약국,5.0,동대문구 경희대로 22-1 1층,,"[{'작성자': '현성', '별점': '5.0', '날짜': '2024.02.23.', '내용': '약사님 친절하고 설명 잘해주셔서 좋습니다.', '좋아요': '0'}, {'작성자': 'w', '별점': '5.0', '날짜': '2022.03.08.', '내용': '감사합니다', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '휴무일': '매주 일요일'}"
경희동문약국,4.5,동대문구 경희대로 19 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7397dd3e1842ce4a335a6392b945a7994cdb3b98%3Foriginal,"[{'작성자': '뀨', '별점': '5.0', '날짜': '2024.01.15.', '내용': '경희의료원 근처 약국 중 최고예요 남자약사분께 증상말하면 약 주시는데 진짜 잘 챙겨주세요 증상도 자세히 더 물어본 다음 맞춰주시는데 사랑니 빼고 5일동안 아프고 붓기 오지는거 약사님 덕분에 바로 붓기 빠지고 밥도 제대로 먹을 수 있었어요', '좋아요': '0'}, {'작성자': '3연김', '별점': '4.0', '날짜': '2023.12.25.', '내용': '들어갈 때 기계적으로 하는 인사를 기분나쁜 독특한 말투로 하셔서 조금 당황했지만 그 외에는 그냥 약국이었다. 조금 넓어서 앉을 자리가 많았다.', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
경희온누리약국,0.0,동대문구 경희대로1가길 32,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '휴무일': '매주 일요일'}"
경희고황약국,2.9,"동대문구 경희대로 17 1,2층",,"[{'작성자': 'ㅇㅈㅇ', '별점': '1.0', '날짜': '2023.10.25.', '내용': '최악. \n떡이랑 요구르트는 줬다 안줬다하고 약사 불친절에 돈 받는 사람은 말귀도 못알아듣고 갈때 마다 짜증남 \n재활의학과는 위 아파서 ... 더보기', '좋아요': '1'}, {'작성자': 'Lee', '별점': '1.0', '날짜': '2023.05.24.', '내용': '처방전이 두 개였고 그 중 한 처방에 약이 없다고 함\n그럼 다른데 갈게요 하니까 있다고 함\n10분 기다림\n결국 처방전 하나... 더보기', '좋아요': '4'}, {'작성자': '.', '별점': '1.0', '날짜': '2023.01.10.', '내용': '계산하고 핸드폰 돌려줄 때 그냥 주면 되는 걸 굳이 책상에 던져놓고 알아서 가져가란 듯이 하는 이유는 뭔가요? 약사분은 아닌 것 같은데 불쾌하네요.', '좋아요': '1'}]","{'토': '09:00 ~ 19:00', '일': '휴무일', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '휴무일': '매주 일요일'}"
새경희약국,5.0,동대문구 경희대로1가길 27 1층,,"[{'작성자': '햄뿡이', '별점': '5.0', '날짜': '2023.07.21.', '내용': '약사님이 짱짱 친절하세요🤍', '좋아요': '0'}, {'작성자': '김정호 개인폰', '별점': '5.0', '날짜': '2022.02.04.', '내용': '너무 친절합니다. 강추드립니다.', '좋아요': '0'}]","{'토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '휴무일': '매주 일요일'}"
경희우리약국,1.4,"동대문구 경희대로 21 지층, 1,2층",,"[{'작성자': '준', '별점': '1.0', '날짜': '2025.01.08.', '내용': '불친절', '좋아요': '0'}, {'작성자': '3연김', '별점': '4.0', '날짜': '2023.12.25.', '내용': '병원 바로 앞이라서 사람이 계속 들어왔다 나갔다를 반복하네요 처방전 드리고 잠시 기다리면 약을 주십니다 설명도 잘해주셔서 좋았어요', '좋아요': '0'}, {'작성자': 'HJ', '별점': '1.0', '날짜': '2023.10.24.', '내용': '이런 ♪~♪♪별점 받기도 쉽지 않은데\n마이너스 점수가 없는게 아쉬울뿐 ㅉㅉ', '좋아요': '1'}]","{'토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:00', '휴무일': '매주 일요일'}"
메디약국,0.0,동대문구 회기로 173 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
보림한약국,0.0,동대문구 이문로1길 25 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '10:00 ~ 15:00', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 21:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00'}"
고가모니한약국,0.0,동대문구 경희대로3길 10 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 12:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
행복나무한약국,5.0,동대문구 경희대로 6-1 3층,,"[{'작성자': '오밤중', '별점': '5.0', '날짜': '2023.09.08.', '내용': '남자 직원분(사장님?) 언제나 친절하시고 고객 입장을 잘 배려해주세요. 몇 년이 지나도 그대로 성실하셔서, 저도 일할 때 저렇게 해야지 하는 귀감이 됩니다. 한약국 번창하시길 바래요.^^.', '좋아요': '0'}, {'작성자': '왈', '별점': '5.0', '날짜': '2020.05.20.', '내용': '사장님 친절하세요. 3층이어도 이곳에서만 마스크 삽니다.\n번창하시길 바랍니다.', '좋아요': '0'}, {'작성자': '이센', '별점': '5.0', '날짜': '2020.03.14.', '내용': '마스크 사러 갔는데 친절하게 대해주셔서 감사했어요. 한약국이라 한약냄새나서 건강해지는 기분이었어요. 경희문화사 건물 3층에 있어서 처음엔 찾기가 좀 힘들었어요.', '좋아요': '0'}]",{}
경희제일약국,0.0,동대문구 경희대로 19-5 경희제일약국,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F211848495677D3922C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '휴무일': '공휴일'}"
365회기역약국,,동대문구 회기로 193 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MDNfNzEg%2FMDAxNzE0NzM0NzAyOTIx.1baFTBOs7FtAXOR9Lrj8q9FmZREWy5STG8VfGHexjiMg.BQZISicEQuAdY_PBMSa6y-35Jo9xL-3wmUVNkg85NeIg.JPEG%2F20240501%25EF%25BC%25BF152555.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 23:30', '일': '10:00 ~ 23:30', '월': '08:00 ~ 23:30', '화': '08:00 ~ 23:30', '수': '08:00 ~ 23:30', '목': '08:00 ~ 23:30', '금': '08:00 ~ 23:30'}"
