name,score,address,img_url,reviews,open_hour
메디칼수정약국,2.0,동작구 보라매로 113 코스모빌딩 105호,,"[{'작성자': 'nath', '별점': '1.0', '날짜': '2022.07.09.', '내용': '음료수와 의약품을 구분하지 못하는 것같다.', '좋아요': '0'}, {'작성자': 'Jy', '별점': '4.0', '날짜': '2022.03.12.', '내용': '코로나 환자들을 위해 애쓰십니다', '좋아요': '0'}, {'작성자': '평민', '별점': '1.0', '날짜': '2021.04.14.', '내용': '여기 안경낀 아재 무슨 환자를 돈으로만 보는거같음 ㅋㅋ\n마스크는 현금구매 강요하고 엄청 불친절함.', '좋아요': '0'}]","{'토': '09:00 ~ 15:30', '월': '08:30 ~ 19:20', '화': '08:30 ~ 19:20', '수': '08:30 ~ 19:20', '목': '08:30 ~ 19:20', '금': '08:30 ~ 19:20'}"
메디칼신대방약국,4.4,동작구 상도로 77 101호,,"[{'작성자': 'H', '별점': '1.0', '날짜': '2024.11.17.', '내용': '닥터나우, 약국 앞에는 일요일 장사한다고 해놓고 안 염', '좋아요': '0'}, {'작성자': '호', '별점': '5.0', '날짜': '2024.09.07.', '내용': '설명도 잘해주시고 친절하세여', '좋아요': '0'}, {'작성자': '(beautiful)', '별점': '5.0', '날짜': '2024.05.07.', '내용': '주말에 근처 문 연 약국 찾다 방문하게 되었어요.\n감기약,위장약  필요했는데\n약사님 설... 더보기', '좋아요': '1'}]","{'토': '08:30 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30', '휴무일': '추석당일, 설당일'}"
라임약국,5.0,동작구 여의대방로 142,,"[{'작성자': 'ㅇㅅㅇ', '별점': '5.0', '날짜': '2025.03.28.', '내용': '닥터나우 연동됨 굿', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
윤경약국,1.7,동작구 상도로 65 1층,,"[{'작성자': '찬', '별점': '1.0', '날짜': '2025.02.18.', '내용': '집 와보니 약이 따로 포장되어있는데 몇 개씩 먹는지 설명도 안 해주셨어요... 뿌려서 쓰는 약도 처음에 몇 번 써야하는지 물어봐야 대답해주셨고요 \n평이 어떤가보러 왔는데 정말 리뷰대로예요 🥲', '좋아요': '0'}, {'작성자': '😀', '별점': '1.0', '날짜': '2024.10.15.', '내용': '약사가 넘 불친절해서 리뷰 보려고 들어왔는데 역시.. ㅜㅠ 다음에는 처방전 들고 좀 걸어가더라도 친절한 약국으로 가려고요', '좋아요': '0'}, {'작성자': '파이', '별점': '1.0', '날짜': '2024.05.13.', '내용': '카드 던짐 약 설명도 잘 안해주고 불친절', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30'}"
민들레약국,4.0,동작구 보라매로 110 1층,,"[{'작성자': 'Egor', '별점': '5.0', '날짜': '2025.03.31.', '내용': '직원이 친절하고 서비스가 빠릅니다. 감사합니다:) 방문을 추천합니다.', '좋아요': '0'}, {'작성자': '랍스터박', '별점': '5.0', '날짜': '2024.04.18.', '내용': '정말 친절하시고 짱이에요\n+동네 병원이 거의 혼잡하고 설명이 불친절하거나 심지어 약 이름을 모르는 약사 분도 계셔서 걱정이었는데 정착합니다.', '좋아요': '0'}, {'작성자': 'Weme✨', '별점': '1.0', '날짜': '2021.09.30.', '내용': '처방전 없이 살 수 있는건데 처방전 있어야 살 수 있다고 뭐라고 해서 다른 약국에서 샀어요', '좋아요': '0'}]","{'토': '09:00 ~ 03:30', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30'}"
세화약국,5.0,동작구 상도로 58 올리브빌딩 1층 102호,,"[{'작성자': '옴뇸', '별점': '5.0', '날짜': '2025.02.11.', '내용': '항상 감사합니다', '좋아요': '0'}, {'작성자': '광ㄱ알ㅂ는1점 줌', '별점': '5.0', '날짜': '2025.02.04.', '내용': '약사님이 참 친절하시고 처방되는 약에 대해서 자세히 설명해주셔서 좋았습니다', '좋아요': '0'}, {'작성자': '권석진', '별점': '5.0', '날짜': '2025.01.18.', '내용': '토욜일도 여는 약국! 너어어어어무 친절하셔서 기분이 넘 좋아지네요👍🏻👏🏻', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '공휴일'}"
파랑새약국,4.5,동작구 상도로 81 지하1층,,"[{'작성자': '정민', '별점': '5.0', '날짜': '2024.11.22.', '내용': '친절한 약사선생님!!!\n헬리코박터균있어서 제균치료 약을 받는데,\n이 약을 먹을 때 나타날 수 있는 증상들 미리 안내해주심. 어떻게 나눠서 먹는지 헷... 더보기', '좋아요': '0'}, {'작성자': '왕냥냥', '별점': '5.0', '날짜': '2024.09.07.', '내용': '설명 잘해주시고 친절하십니다!', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.04.26.', '내용': '설명해 주시는 남자 약사님 친절하심 괜히 비타민 하나 더 사 옴 ㅋㅋ', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30'}"
행복약국,3.9,동작구 등용로 115 엘리시아빌딩 101호,,"[{'작성자': '짱께킬러', '별점': '1.0', '날짜': '2024.07.23.', '내용': '0점', '좋아요': '0'}, {'작성자': '동동', '별점': '5.0', '날짜': '2024.07.02.', '내용': '급하게 감기약 사러 갔는데 약 잘들음 빠르고 친절하신 듯 굿굿', '좋아요': '0'}, {'작성자': '고래고래밥', '별점': '1.0', '날짜': '2024.06.26.', '내용': '가까워서 두 번 갔는데 말투나 뭐나 약에 대한 설명도 없고 그냥 다신안가요', '좋아요': '1'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
정한약국,,동작구 노량진로 22 경방빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE538DD145EBE45088F07FD28F04BFA93,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '12:00 ~ 18:00', '일': '휴무일', '월': '11:00 ~ 20:00', '화': '11:00 ~ 20:00', '수': '11:00 ~ 20:00', '목': '11:00 ~ 20:00', '금': '11:00 ~ 20:00', '휴무일': '공휴일'}"
대방약국,5.0,동작구 등용로 127 현대아파트상가 103동 2층 203호,,"[{'작성자': 'piaoliang', '별점': '5.0', '날짜': '2023.05.11.', '내용': '약사님이 친절해요!', '좋아요': '0'}, {'작성자': 'weeew', '별점': '5.0', '날짜': '2023.02.14.', '내용': '믿을수 있는 동네약국!!!!!!!!!!', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30'}"
