name,score,address,img_url,reviews,open_hour
보라매대학약국,1.3,동작구 보라매로5길 23 삼성보라매옴니타워 101호,,"[{'작성자': '오리온', '별점': '2.0', '날짜': '2024.12.17.', '내용': '양옆으로 다른약국 있으니 그쪽으로 가는게 시간절약 하는방법', '좋아요': '1'}, {'작성자': '신림동 역세권 주민', '별점': '1.0', '날짜': '2024.01.24.', '내용': '옆에 지하에 약국 엄청 많은데\n왜 사람들이 여기만 이용 하는지\n이유를 알수가 ... 더보기', '좋아요': '6'}, {'작성자': '움베르토', '별점': '1.0', '날짜': '2024.01.02.', '내용': '너무나 불친절합니다.\n다신 가고싶지 않습니다.\n끔찍해요', '좋아요': '1'}]","{'토': '08:30 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
보라매서울약국,4.5,동작구 보라매로5길 15 지하1층 C-5호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4a78a8f695796eb2096fd77302d5331264aedcd7%3Foriginal,"[{'작성자': 'Tac', '별점': '5.0', '날짜': '2025.03.06.', '내용': '약사분들이 기본적으로 많이 친절. 그보다 약국이 커서 제품 자체가 다양하고, 다이소처럼 직접 보고 고를 수 있게 해놔서 좋았음', '좋아요': '0'}, {'작성자': '후후', '별점': '5.0', '날짜': '2024.06.20.', '내용': '가격도 다 적혀있고 요구르트도 주시네요 감사합니다 ㅎㅎ', '좋아요': '1'}, {'작성자': '이경환', '별점': '2.0', '날짜': '2024.03.16.', '내용': '알약 잘 못먹어서 알약인지 캡슐인지 물어보고 캡슐이라고 해서 구입했는데 알약이네요. \n\n한번이라도 약 겉봉지 확인하셨으면 좋... 더보기', '좋아요': '0'}]","{'토': '08:30 ~ 13:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
유정온누리약국,2.5,동작구 여의대방로22나길 1 1층,,"[{'작성자': 'ksr', '별점': '4.0', '날짜': '2025.03.23.', '내용': '일요일에 영업하는 주변에서 찾기 힘든 약국입니다', '좋아요': '0'}, {'작성자': '와웅공원', '별점': '2.0', '날짜': '2025.01.11.', '내용': '왜 운영안할때도 간판은 늘 켜놔서 오게 만드는거야?', '좋아요': '0'}, {'작성자': 'JJ', '별점': '1.0', '날짜': '2024.07.09.', '내용': '헥사메딘을 사러 갔는데 1회용으로 된 좀 큰거를 주실려하더군요. 그래서 병으로 된 헥사메딘을 요청했더니 처방전이 필요하다고 하네요?\n그래서 괜찮다고 하고 다른 약국... 더보기', '좋아요': '0'}]","{'일': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 16:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
새보라매약국,2.6,동작구 보라매로5길 5 보라매우성상가 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdb3c18f904b04eb4a575cb64dde656b3a6196218%3Foriginal,"[{'작성자': '빵다람쥐🐿', '별점': '5.0', '날짜': '2024.12.12.', '내용': '사람이 많아 약 나오는 시간은 좀 걸리지만 이 일대 약국이 비슷한 것 같아요. 친절하시고 약 설명도 잘 해 주셨어요.', '좋아요': '0'}, {'작성자': '신림동 역세권 주민', '별점': '4.0', '날짜': '2024.04.02.', '내용': '약사님은 느므 느므 친절하세요\n그런데 약이 나오는데 시간이\n느므 느므 ... 더보기', '좋아요': '3'}, {'작성자': '김하용', '별점': '1.0', '날짜': '2024.02.09.', '내용': '약이 없어 의사 처방전 약을 바꾸려면 양해를 구하고 바꿔야지  제멋대로네...   그럼 뭘라 의원에서 돈내고 처정전 받겠어요? 마진 많은 약을 팔고있거나 또는 가짜약일 수도 있겠네~  못되먹은 야꾹이네....', '좋아요': '1'}]","{'토': '08:30 ~ 17:50', '월': '08:30 ~ 20:20', '화': '08:30 ~ 20:20', '수': '08:30 ~ 20:20', '목': '08:30 ~ 20:20', '금': '08:30 ~ 20:20'}"
신대방수연약국,2.0,동작구 신대방2길 1 1층,,"[{'작성자': '유진', '별점': '1.0', '날짜': '2023.04.29.', '내용': '소액은 현금만 받는다고해서 그 뒤론 안다님 가까워도 신대방역 교차로 횡단보도 건너면 약국 많은데 거기가 더 친절함', '좋아요': '0'}, {'작성자': '희희', '별점': '1.0', '날짜': '2023.02.24.', '내용': '모낭염약 달라구했는데 습진약줌ㅋ;\n없으면 팔지를 마세요. 이거 써보세요 하면서 효과도 전혀 다른 약 파는게 맞나요?', '좋아요': '0'}, {'작성자': '말차광인', '별점': '5.0', '날짜': '2021.11.03.', '내용': '음..초반에는 조금 불친절한 경향이 없잖아있지만 얼굴 익히면 또 잘 대해주시더라고요 괜찮아요', '좋아요': '0'}]","{'토': '08:40 ~ 18:00', '일': '휴무일', '월': '08:40 ~ 20:00', '화': '08:40 ~ 20:00', '수': '08:40 ~ 20:00', '목': '08:40 ~ 20:00', '금': '08:40 ~ 20:00', '휴무일': '매주 일요일'}"
보라매조은약국,4.0,동작구 보라매로5길 23 삼성보라매옴니타워 지하1층 122호,,"[{'작성자': '끼리', '별점': '2.0', '날짜': '2023.05.02.', '내용': '병원에서 처방 받아 먹는 약이 있는데 약 양도 많지만 생산 중단 상태라 근처에 큰 약국 위주로 전화해서 구하고 있었습니다. 바쁘신건 알겠지만 전화 받고 나서 굳... 더보기', '좋아요': '4'}, {'작성자': '공정리뷰', '별점': '5.0', '날짜': '2021.08.26.', '내용': '약사용에 대해 보수적인 설명 등 다 좋았네요', '좋아요': '0'}, {'작성자': '푸른달', '별점': '5.0', '날짜': '2020.02.05.', '내용': '응대가 친절하셔서 방문할 때마다 기분이 좋네요. :)', '좋아요': '0'}]","{'토': '08:30 ~ 13:00', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30'}"
아카데미약국,4.6,동작구 보라매로5가길 16 아카데미타워 515호,,"[{'작성자': '파로', '별점': '5.0', '날짜': '2024.12.26.', '내용': '처방약 하나하나 설명해주고 좋습니다', '좋아요': '0'}, {'작성자': '보름빵', '별점': '5.0', '날짜': '2024.08.20.', '내용': '다양한 영양제들이 알기쉽게 설명되어 있어서 보기 좋아요\n약사님들이 친절하세요!', '좋아요': '0'}, {'작성자': 'Oldtree', '별점': '2.0', '날짜': '2024.08.13.', '내용': '직원도 약사도 친절하지않고 뚱함\n층에있는 병원상대 조제약 위주인지 약종류도 많이없고 유통기한이 타약국에비해 짧고 비쌈', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '휴무일': '공휴일'}"
한빛평화약국,5.0,동작구 시흥대로 664,,"[{'작성자': 'na*', '별점': '5.0', '날짜': '2025.02.06.', '내용': '친절하셨어요~', '좋아요': '0'}]","{'토': '08:30 ~ 18:30', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00'}"
해태보라매약국,5.0,동작구 보라매로3길 29 해태보라매타워 상가 1층 29호,,"[{'작성자': '원다룽', '별점': '5.0', '날짜': '2024.10.26.', '내용': '친절하세요', '좋아요': '0'}]","{'토': '08:40 ~ 20:00', '월': '08:40 ~ 20:00', '화': '08:40 ~ 20:00', '수': '08:40 ~ 20:00', '목': '08:40 ~ 20:00', '금': '08:40 ~ 20:00'}"
메디칼우리약국,,동작구 보라매로 106 101-1호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
보라매온누리약국,4.2,동작구 보라매로 93,,"[{'작성자': '후이후이', '별점': '5.0', '날짜': '2024.12.06.', '내용': '처방약에 대해 꼼꼼하게 잘 설명해 주세요. 감사해요.^^', '좋아요': '0'}, {'작성자': '쏠', '별점': '1.0', '날짜': '2024.08.14.', '내용': '진짜 최악임…약사님 인생 그렇게 살지마세요,,,', '좋아요': '0'}, {'작성자': 's', '별점': '1.0', '날짜': '2022.08.08.', '내용': '불친절', '좋아요': '0'}]","{'토': '휴무일', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '매주 토요일, 일요일'}"
