name,score,address,img_url,reviews,open_hour
신중앙약국,2.9,동작구 흑석로 103,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjJfMjQ1%2FMDAxNzEzNzQ5OTQ2NzUz.lJFObUGZlO4d4e71d3cyg-NrgohxlG-g6UNxGe28hEog.iNK8kTu88kiX6ekmzeVQOw_JTkiKvAMhlLFK9wMp194g.JPEG%2F20240328_164642.jpg%3Ftype%3Dw773,"[{'작성자': 'lalali', '별점': '2.0', '날짜': '2024.12.04.', '내용': '24시간이라 좋은데 불친절하심', '좋아요': '0'}, {'작성자': '블루캣', '별점': '5.0', '날짜': '2024.11.10.', '내용': '남자약사 친절함', '좋아요': '0'}, {'작성자': '마이멜로디', '별점': '1.0', '날짜': '2024.01.28.', '내용': '너무 불친절해요 절대가지마세요', '좋아요': '0'}]","{'토': '08:30 ~ 24:00', '일': '13:00 ~ 24:00', '월': '08:30 ~ 24:00', '화': '08:30 ~ 24:00', '수': '08:30 ~ 24:00', '목': '08:30 ~ 24:00', '금': '08:30 ~ 24:00'}"
천사약국,4.3,동작구 흑석로 105 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7af5bd5a2857a974defd437c58def3ae125603c4d4f9dd625b300dcca966c500,"[{'작성자': '문중건', '별점': '5.0', '날짜': '2024.02.04.', '내용': '종로만큼은 아니지만 저렴', '좋아요': '0'}, {'작성자': '르네', '별점': '1.0', '날짜': '2023.07.25.', '내용': '전문성 없음', '좋아요': '0'}, {'작성자': '😊', '별점': '5.0', '날짜': '2023.02.10.', '내용': '친절해요~~~', '좋아요': '0'}]","{'토': '08:30 ~ 22:00', '일': '휴무일', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00', '휴무일': '추석전날, 추석당일'}"
신세명약국,,동작구 서달로 163 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
우정약국,0.0,동작구 서달로 144 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '휴무일': '매주 일요일'}"
대학약국,0.0,동작구 흑석로 106 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
중앙명성약국,3.0,동작구 흑석로 106-7,,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.01.24.', '내용': '국장인지 직급이 있는 약사인지 모르겠는데, 다른직원들에비해 살짝 나이 있는 여자분 성격 너무 별로예요. 종종 알바생들 닦달하던데, 그 버릇으로 손님에게까지 무례하네요. ... 더보기', '좋아요': '0'}, {'작성자': '블랙스톤', '별점': '5.0', '날짜': '2020.05.07.', '내용': '약사분들 다 착하셔요 옛날과 다름', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00'}"
정다운메디칼우리약국,5.0,동작구 흑석로 101-1 1층,,"[{'작성자': '구름발치 미리내', '별점': '5.0', '날짜': '2024.09.19.', '내용': '손가락을 다쳐 여러가지를 샀습니다. 약사분이 친절하세요.', '좋아요': '0'}]","{'토': '08:30 ~ 13:30', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
바름약국,5.0,동작구 흑석로 101 1층,,"[{'작성자': 'Evan키치너', '별점': '5.0', '날짜': '2024.09.27.', '내용': '이 근방에서 최고의 약국입니다. 가보시면 아실테지만 약사님께서 항상 성심성의껏 상담해주시고 없는 약들도 수소문해서 다 구해다 주세요. \n근처 사시면 이용해보시길!', '좋아요': '0'}, {'작성자': '샤브조아', '별점': '5.0', '날짜': '2023.12.27.', '내용': '근처에 약국 워낙 많아서 후기 찾아 보고 왔는데 별 5점 약국은 이유가 있군요! 정말 친절하십니당.  약국이 작아서 처방 받은 약이랑 다른 회사 약을 처방받게 되는 경우가 있으니 방문 전 참고하시길', '좋아요': '0'}, {'작성자': 'Jiyong Kim', '별점': '5.0', '날짜': '2022.08.17.', '내용': '친절하세요.', '좋아요': '0'}]","{'토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
건강과행복이열리는중앙메디칼약국,3.7,동작구 흑석로 106-5 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Feafc1346b0e8f00fa8478686a5470f188fe0298b%3Foriginal,"[{'작성자': '구름발치 미리내', '별점': '5.0', '날짜': '2024.09.05.', '내용': '약국이 크고 직원분들이 친절하세요.', '좋아요': '0'}, {'작성자': '담요미', '별점': '5.0', '날짜': '2024.07.16.', '내용': '복약지도 이렇게 친절하고 자세하게 해주는곳 처음이에요!', '좋아요': '0'}]","{'토': '08:30 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00'}"
씨에이(CA)정문약국,2.8,동작구 흑석로 108 1-2층,,"[{'작성자': 'ㅋ', '별점': '1.0', '날짜': '2024.10.31.', '내용': '이전후기도 보면 비슷한 사람 많던데 특정업체 제품 밀어주는듯\n나이많은 분이라 이해는 하지만 반말씀', '좋아요': '0'}, {'작성자': '😊', '별점': '1.0', '날짜': '2024.10.03.', '내용': '의사와 환자에게 알리지 않고 마음대로 대체조제하는 약국.  \n\n1. 약 복용 후 대체조제된 걸 알게됨. \n2. 전화로 왜 고지 안 하셨냐 ... 더보기', '좋아요': '3'}, {'작성자': '쟂', '별점': '1.0', '날짜': '2023.11.20.', '내용': '캐라민 처방받아서 사러갔는데 이미 열려있고 심지어 90정 중에 10정이 없어 80정만 있는 제품을 주셨네요. 고무줄로 감겨 묶여있는 걸 보니 건네주실 때 모를 수가 없는데요ㅎㅎ 당시 경황이없어서... 더보기', '좋아요': '0'}]",{}
