name,score,address,img_url,reviews,open_hour
안생약국,4.2,마포구 와우산로 22 1층,,"[{'작성자': '오창훈', '별점': '5.0', '날짜': '2021.11.02.', '내용': '아주 용한 약국', '좋아요': '0'}, {'작성자': 'Catherine', '별점': '5.0', '날짜': '2020.05.11.', '내용': '왜 로또를 검색하면 여기가 뜨나요? 여기 로또 파나요??', '좋아요': '0'}, {'작성자': '알베르토📌', '별점': '5.0', '날짜': '2020.01.11.', '내용': '천식에 관한 면역개선약을 지어주셨는데 효과가 좋았습니다. 면역에 관해 강의도 나가시고 유명하시다고 소개받고 갔어요', '좋아요': '2'}]","{'금': '09:30 ~ 20:00', '토': '09:30 ~ 19:00', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '휴무일': '매주 일요일'}"
상수오아시스약국,1.0,마포구 독막로 63 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDRfNjEg%2FMDAxNzMwNzA4MjEwNDEw.Bfh2xysSYsJVMg3ZR4BQpofpj_PE5-q19sOhwZu_y-8g.zaftQJgVzAfnMoa3lQW3IjmS_KVrF2Yvb9_WxuI9mqsg.JPEG%2F%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8-%25EB%258C%2580%25EB%25AC%25B8.jpg%3Ftype%3Dw966,"[{'작성자': 'better than never', '별점': '1.0', '날짜': '2025.03.25.', '내용': '약사 아주머니가 약 대충 끼워팔기 하시네.\n\n눈다래끼약 달라했더니 약을 두개를... 더보기', '좋아요': '0'}]","{'금': '09:00 ~ 24:00', '토': '12:00 ~ 22:00', '일': '12:00 ~ 22:00', '월': '09:00 ~ 24:00', '화': '09:00 ~ 24:00', '수': '09:00 ~ 24:00', '목': '09:00 ~ 24:00'}"
정아약국,3.8,마포구 독막로 43 1층,,"[{'작성자': '.', '별점': '1.0', '날짜': '2023.07.23.', '내용': '토요일 일요일 운영한다고해서 일요일 낮3시즘 급해서 차끌고 갔는데 문 닫혀있음..', '좋아요': '0'}, {'작성자': '디디', '별점': '5.0', '날짜': '2022.12.02.', '내용': '넘 친절하세요!! ㅠㅠ 몸살이라 판피린 먹어야할까요했는데 다른약도 추천해주시구요.. 사실 다른가까운 약국갔다가 판피린 품절이라 하구.. 다른약도 안보여주고 .. 해서 왔는데 ㅠ 넘 감사합니다 ㅠㅠ', '좋아요': '0'}, {'작성자': '은동', '별점': '5.0', '날짜': '2022.06.25.', '내용': '친절하세요!!', '좋아요': '1'}]",{}
합정365약국,3.7,마포구 독막로 14 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MTZfMTkx%2FMDAxNjgxNjUyNzI5OTA0.zA1DQtEQq1s0VknFyCUk3G6_z_PcFBtzY9c68JQ3_Y4g.Cke9XVOmm91RwqybgA7xHzY8hH7HIMqbk9H0X0-i4mYg.JPEG.ingiswell%2FSE-14697503-dc3b-11ed-a974-2d79d514fa79.jpg%3Ftype%3Dw773,"[{'작성자': 'ㅇㅈㅇ', '별점': '5.0', '날짜': '2024.07.09.', '내용': '약사님이 정말 정말 친절하십니다!!\n약 추천도 잘 해주시고 관련 복약지도도 세심하게\n해주셔서 넘 좋아요 🥹 늦은 시각에도 영업하시구 제가 가본 이 ... 더보기', '좋아요': '0'}, {'작성자': '강유진', '별점': '5.0', '날짜': '2024.05.25.', '내용': '너무너무 친절하시고 정말 잘 챙겨주셨어요 덕분에 인류애 충전하고 옵니다🥹🫶', '좋아요': '1'}, {'작성자': 'Mia', '별점': '5.0', '날짜': '2022.10.15.', '내용': '원래 다디던 약국이 있지만 사려던 상품이 없어서 그 위에 여기로 와봤는데 제가 찾던 그 제품은 비싸다며 같은 성분과 함량의 다른 저렴한 제품들... 더보기', '좋아요': '1'}]",{}
합정녹십자약국,4.8,마포구 독막로 22 청명빌딩 1층,,"[{'작성자': '오케이', '별점': '5.0', '날짜': '2024.05.16.', '내용': '친절하고 약 설명도 잘 해주셔서 좋아요~', '좋아요': '0'}, {'작성자': '기억', '별점': '5.0', '날짜': '2020.12.28.', '내용': '약사님들 너무 친절하시고 궁금한거 하나하나 친절하게 답해주세요 그리고 필요한 약품 말씀드렸더니 두개는 비슷한 제품이라 하나만 해도 ... 더보기', '좋아요': '0'}, {'작성자': 'Morning glory', '별점': '5.0', '날짜': '2019.11.08.', '내용': '다른 약국에는 없는 약이 여기에는 다있네요!!', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 20:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '공휴일'}"
합정오아시스약국,3.0,마포구 독막로 4 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjVfNTYg%2FMDAxNzI0NTg3MDM4MTM5.QwDv7NrnUCWyaru-luzh5nNtj4dnHdG6gfbNQ385SrAg.nH8pndvw8p6dBXihblvLv3zHvQO6CBX4M4SkkF9Augsg.JPEG%2Foutput_1147981551.jpg%3Ftype%3Dw466,"[{'작성자': '먹깨비', '별점': '5.0', '날짜': '2024.11.05.', '내용': '친절하세요', '좋아요': '0'}, {'작성자': 'Tk', '별점': '1.0', '날짜': '2024.10.06.', '내용': '원하는 약 성분으로 달라고 하니까 완전 다른 성분의 약을 줌\n골 깨져도 여기는 안갈듯', '좋아요': '0'}, {'작성자': '강헌', '별점': '1.0', '날짜': '2024.05.24.', '내용': '약사님께서 추천해주신 약을 먹고 편두통이 더 심해졌습니다. 심지어 약이 아니라 건강보조제를 비싸게 판매하셨으며, 이상해서 직접 물어봤는데도 불구하고 자기가 추천하는 약... 더보기', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '12:00 ~ 20:00', '일': '12:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00'}"
홍대참신한약국,4.3,마포구 어울마당로 62 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC44C2F3283A8408289A82135D5B45072,"[{'작성자': '🖤🧡', '별점': '5.0', '날짜': '2025.02.24.', '내용': '약사님께서 친절하시고 복약 지도도 상세하게 해주세요', '좋아요': '0'}, {'작성자': 'cy07', '별점': '5.0', '날짜': '2025.01.25.', '내용': '약사님이 친절하세요', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2024.11.27.', '내용': '친절하셔용', '좋아요': '0'}]","{'금': '12:00 ~ 23:50', '토': '12:00 ~ 23:50', '일': '12:00 ~ 23:10', '월': '12:00 ~ 23:30', '화': '12:00 ~ 23:30', '수': '12:00 ~ 23:30', '목': '12:00 ~ 23:30'}"
하늘약국,4.2,마포구 독막로 2 성도빌딩 2층,,"[{'작성자': '모', '별점': '5.0', '날짜': '2023.05.04.', '내용': '완전 친절하신데요..?\n약도 하나하나 알려주셨고 항생제 관련해서 물어봤는데 친절하게 잘 설명해주셨습니다.\n... 더보기', '좋아요': '0'}, {'작성자': '이보경', '별점': '5.0', '날짜': '2023.03.17.', '내용': '배아파쥬글것 같아서 갔어요 친절합니다', '좋아요': '0'}, {'작성자': '이지은', '별점': '5.0', '날짜': '2021.07.06.', '내용': '처방전이 약간 이상하다고 생각하셨는지 약사님께서 병원에 직접 가셔서 내용 맞는지 확인해주셨어요. 확인해보니 정말 처방전이 잘못된거였어요. 감사합니다!', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
셀약국,4.9,마포구 양화로 72 효성해링턴타워 1층 118호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Faa79e4a93913281be070088d2b8935594f0c45a0%3Foriginal,"[{'작성자': '193629384', '별점': '2.0', '날짜': '2024.11.18.', '내용': '남성약사분께 의약품말고 건강기능식품(약국용)으로 하고싶다고 얘기하는데 말 자르면서 ”““지금 여기가 약국인데 약을 안 찾는다…“”“ 이러면서 빤히 쳐다봄. 온갖 종류의 숙취해소제 텐텐 활명수 비타민 ... 더보기', '좋아요': '0'}, {'작성자': '123', '별점': '5.0', '날짜': '2024.06.28.', '내용': '너무 친절하세요..\n꼼꼼히 살펴주시고', '좋아요': '0'}, {'작성자': '링컨', '별점': '5.0', '날짜': '2024.02.02.', '내용': '두분다 엄청 친절하시고 늦게까지 영업하셔서 너무 좋아요 집근처에 있어서 넘 든든합니당', '좋아요': '0'}]","{'금': '09:00 ~ 01:00', '토': '09:00 ~ 01:00', '일': '21:00 ~ 01:00', '월': '09:00 ~ 01:00', '화': '09:00 ~ 01:00', '수': '09:00 ~ 01:00', '목': '09:00 ~ 01:00'}"
사랑의약국,5.0,마포구 독막로 10 성지빌딩 3층,,"[{'작성자': '아아', '별점': '5.0', '날짜': '2020.03.11.', '내용': '친절하고 좋아요', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
