name,score,address,img_url,reviews,open_hour
비타민약국,3.4,마포구 백범로 90 동보빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjRfMjUy%2FMDAxNzM1MDE0NTc4NjQ0._Yjxf4agILQPH7I1gkTdt_BLapcDhWJoHamN9zC0GOMg.PP0PE2KKgnTBCFtgdvgObTktA9iALbGa4Q3IIBJWuWIg.JPEG%2F%25EC%2586%258C%25EA%25B8%2588.jpg%3Ftype%3Dw773,"[{'작성자': '용호', '별점': '5.0', '날짜': '2025.02.16.', '내용': '여기 남자약사가 친절해 반해버릴거같아.', '좋아요': '0'}, {'작성자': '🫥', '별점': '1.0', '날짜': '2024.07.09.', '내용': '30-40대로 보이는 여자 약사분 갈때마다 카드 한손으로 바닥에 던지듯 줌\n회사 근처라 어쩔 수 없이 방문할 때가 있는데 갈 때마다 기분이 안좋음', '좋아요': '0'}, {'작성자': 'ellen', '별점': '1.0', '날짜': '2024.03.28.', '내용': '별점이 왜 높은지 모르겠음\n불친절 그 자체', '좋아요': '0'}]","{'금': '08:30 ~ 21:00', '토': '08:30 ~ 17:30', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00'}"
용약국,4.3,마포구 신촌로 102-1 무송빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F04FDA228186E4B7DBE0DF8B5FFB5B376,"[{'작성자': '두둥', '별점': '5.0', '날짜': '2024.12.05.', '내용': '넘 친절하세요. 약국도 큽니다', '좋아요': '0'}, {'작성자': '김콩나', '별점': '3.0', '날짜': '2024.04.28.', '내용': '24.4.28 일요일에 왔는데 닫혀있네요🥲 매일 운영하시는거 아닌가봐요', '좋아요': '0'}, {'작성자': '당근', '별점': '1.0', '날짜': '2023.11.16.', '내용': '처방약 7번 중 2번 잘못주심..', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 16:30', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '공휴일'}"
대흥365약국,2.7,마포구 백범로 98 1층,,"[{'작성자': '이소', '별점': '5.0', '날짜': '2025.01.01.', '내용': '생리통약 복용한지 별로 안되서 약효가 없다고 복용 했던 약 보여드리니 성분 겹치지 않는 약 검색하셔서 다른 약 찾아주셨어요 젊으신 남자약사선생님 친절하세용', '좋아요': '0'}, {'작성자': 'oth', '별점': '5.0', '날짜': '2024.06.11.', '내용': '?????', '좋아요': '0'}, {'작성자': '허니배저', '별점': '2.0', '날짜': '2024.02.14.', '내용': '제가 방문할때는 친절한 분들로 계시긴 했습니다. 약 종류도 많고요. 다만, 365약국에 없는 약은 단종됐다고 하시는 모습에 이용이 꺼려지네요. 심지어 두번이나 그랬습니다.. 정말 단종된줄 알았는데 다른 약국에서 버젓이 팔고 있더라구요', '좋아요': '1'}]",{}
햇살약국,4.8,마포구 백범로 13 신촌르메이에르타운2차 3층 309호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd97f135a0e0001d3e9b763114cf4d080758ac63b%3Foriginal,"[{'작성자': '뮹밍', '별점': '5.0', '날짜': '2025.04.02.', '내용': '친절 그자체입니다', '좋아요': '0'}, {'작성자': '강아지똥', '별점': '4.0', '날짜': '2025.01.24.', '내용': '친절하고 너무 좋습니다\n다만.. 약에 관해서 스몰토크 안했으면 좋겠어요 ㅎㅎ', '좋아요': '0'}, {'작성자': '솜', '별점': '5.0', '날짜': '2023.11.20.', '내용': '친절하고 좋아요~~ 약 빨리 만들어주셔서 조아요', '좋아요': '0'}]","{'금': '10:00 ~ 20:30', '토': '10:00 ~ 20:30', '월': '10:00 ~ 20:30', '화': '10:00 ~ 20:30', '수': '10:00 ~ 20:30', '목': '10:00 ~ 20:30'}"
성심약국,1.0,마포구 독막로 268 태영아파트 상가 1층 105호,,"[{'작성자': '보남매♡', '별점': '1.0', '날짜': '2024.09.30.', '내용': '본인이 팔고 싶은 약 팔려고 엉뚱한거 팜', '좋아요': '0'}, {'작성자': 'J', '별점': '1.0', '날짜': '2024.07.11.', '내용': '연고랑 겔 차이도 모르고 항생제 있는 연고 달랬더니 항생제 없는 겔줌 그리고 가서 찾아보고 바꿨더니 헷갈렸다고함. 약사가 뭐이럼', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
다나약국,0.0,마포구 대흥로 186-2,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
산들약국,5.0,마포구 대흥로 167 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5686F484F0A945C9A060AEDF1E11332E,"[{'작성자': 'arrrrrr', '별점': '5.0', '날짜': '2024.02.13.', '내용': '약 설명이 꼼꼼해요', '좋아요': '0'}, {'작성자': '..', '별점': '5.0', '날짜': '2024.02.10.', '내용': '깨끗하고 친절해요.~^^', '좋아요': '0'}]","{'금': '08:30 ~ 20:30', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 19:00', '목': '08:30 ~ 20:30', '휴무일': '추석당일, 추석다음날, 설당일, 삼일절, 어린이날, 성탄절'}"
신촌온누리약국,1.7,마포구 백범로 28 제2서강빌딩 1층 105호,,"[{'작성자': '몰러', '별점': '1.0', '날짜': '2025.01.26.', '내용': '카맵 후기를 너무 늦게 읽었다... 다녀오기 전에 미리 볼 걸...', '좋아요': '0'}, {'작성자': 'wmelon', '별점': '1.0', '날짜': '2023.03.22.', '내용': '여기 피해서 일부러 멀리있는 약국까지 갑니다', '좋아요': '1'}, {'작성자': 'ㅇㅇㅇ', '별점': '1.0', '날짜': '2023.03.06.', '내용': '불친절하고 비싼 편인듯', '좋아요': '1'}]","{'금': '09:00 ~ 18:30', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
한유약국,4.6,마포구 백범로 95 다나빌딩 1층,,"[{'작성자': '아무래도', '별점': '3.0', '날짜': '2025.01.24.', '내용': '없는약이 많음', '좋아요': '0'}, {'작성자': '스카이준', '별점': '5.0', '날짜': '2024.08.28.', '내용': '친절하시고 약도 저렴해요. 조제도 신속히 해주셨어요. 횡단보도 바로 앞이라서 이동중에 편하게 이용했습니다.', '좋아요': '0'}, {'작성자': '디카페인아메리카노', '별점': '5.0', '날짜': '2023.09.27.', '내용': '믿고갈수있는 동네약국', '좋아요': '1'}]","{'금': '08:30 ~ 20:00', '토': '08:30 ~ 14:30', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00'}"
신명약국,5.0,마포구 신촌로 170 이대역푸르지오시티 1층 106호,,"[{'작성자': '민', '별점': '5.0', '날짜': '2024.01.29.', '내용': '피부과 갔다가 그냥 같은 건물에 있는 약국 간건데 너무 친절하시고 복약지도 세세하게 해주셨어요. 어떤 약을 먹는 건지, 어떤 효과가 있고 무엇 때문에 부작용이 있을 수 있는 건지 등 약에서만큼은 병원보다 더 세세하게 설명해주셨습니다👍🏻👍🏻👍🏻', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '5.0', '날짜': '2023.08.26.', '내용': '친절하세요.', '좋아요': '0'}, {'작성자': '의리', '별점': '5.0', '날짜': '2023.07.27.', '내용': '친절하시고 약 추천이랑 설명도 넘 잘해주세요... 근처에 약국 많아도 여기 찾아가게 돼요', '좋아요': '0'}]","{'금': '09:30 ~ 20:00', '토': '09:30 ~ 16:00', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00'}"
마포드림약국,0.0,마포구 백범로 99,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
대흥온누리약국,5.0,마포구 신촌로 160 이대역스타힐스 106호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc4d1141bbd7c04819a3542f31a2886a874915a24%3Foriginal,"[{'작성자': '김씨', '별점': '5.0', '날짜': '2025.01.21.', '내용': '친절하시고 설명도 꼼꼼히 잘해주셔서 감사합니다^^', '좋아요': '0'}, {'작성자': '진영', '별점': '5.0', '날짜': '2024.06.01.', '내용': '처방약은 아니고 영양제 사러 갔는데 약사분이 너무너무너무 친절하세요 기본적으로 장착한 의료계 분들의 비즈니스 친절함이 아니라 정말 선한 기운이 보이는... 강아지 산책 중에 들른 거라 잠시 안고 들어가... 더보기', '좋아요': '1'}, {'작성자': '맛집찾는하이에나', '별점': '5.0', '날짜': '2023.06.15.', '내용': '근처 약국은 여기만 갑니다 친절하게 잘 설명해주세요', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '매주 토요일, 일요일'}"
