name,score,address,img_url,reviews,open_hour
망원시장약국,,마포구 월드컵로13길 56 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 22:30', '토': '10:00 ~ 22:30', '일': '10:00 ~ 22:30', '월': '09:00 ~ 22:30', '화': '09:00 ~ 22:30', '수': '09:00 ~ 22:30', '목': '09:00 ~ 22:30'}"
비온뒤숲속약국,2.9,"마포구 월드컵로 111 풍성빌딩 104,105호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbef279748646abdd3a2fe28409f519bc6daba7dd%3Foriginal,"[{'작성자': '초코오옹', '별점': '2.0', '날짜': '2025.03.16.', '내용': '주말에도 운영하는 건 좋은데 병원에서 처방전 들고 가거나 구매품목 확실히 알 때 아니면 비추천합니다... 단순 감기약 같은 거 사러 가면 꼭 건강기능식품을 같이 끼워서 파시네요...;', '좋아요': '0'}, {'작성자': 'HH', '별점': '5.0', '날짜': '2024.12.26.', '내용': '약사님께서 이렇게 상세하게 말해주신 분은 처음이에요.\n\n항생제 알러지가 있어서 아무... 더보기', '좋아요': '0'}, {'작성자': 'greenstar', '별점': '5.0', '날짜': '2024.11.23.', '내용': '주말에 늦게까지 하고 \n엄청 친절하시네요 급히 약사러 갔어요 감사합니다', '좋아요': '0'}]","{'금': '08:30 ~ 01:00', '토': '08:30 ~ 01:00', '일': '09:00 ~ 01:00', '월': '08:30 ~ 01:00', '화': '08:30 ~ 01:00', '수': '08:30 ~ 01:00', '목': '08:30 ~ 01:00'}"
명성약국,5.0,마포구 월드컵로 87 마포로얄프라자 1층 103호,,"[{'작성자': '차', '별점': '5.0', '날짜': '2022.11.21.', '내용': '약사님이 정말 친절하시고 복약지도도 정말 꼼꼼하게 해주십니다.👍', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 13:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
망원동약국,5.0,마포구 망원로 69 1층,,"[{'작성자': '설아', '별점': '5.0', '날짜': '2023.09.26.', '내용': '알레르기약 사러갔는데 추천도 해주시구\n복용방법 자세하게 설명해주셨어요\n이 동네 약국 중에 제일 친절하신듯 합... 더보기', '좋아요': '0'}, {'작성자': '🌝', '별점': '5.0', '날짜': '2023.07.07.', '내용': '친절 약사님 한분이라 점심시간에가면 닫혀있음ㅠ', '좋아요': '0'}, {'작성자': 'brownie', '별점': '5.0', '날짜': '2022.11.10.', '내용': '요즘 여시나요? 갈때마다 닫혀있네요', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '매주 토요일'}"
망원우리약국,3.7,마포구 망원로8길 55 구앤윤브릭하우스1층,,"[{'작성자': '고든램지', '별점': '1.0', '날짜': '2025.02.08.', '내용': '약사 반말함 싸가지 없음 절대 안간다', '좋아요': '0'}, {'작성자': '망워너', '별점': '5.0', '날짜': '2020.10.28.', '내용': '약사님 늘 친절하세요~ 진단도 잘해주심', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 20:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
옵티마상원약국,3.1,마포구 월드컵로 75 대흥빌딩 1층,,"[{'작성자': 'st', '별점': '5.0', '날짜': '2024.10.27.', '내용': '주말에 급하게 간 건데 일요일 오전에 계셨던 남자 약사님 친절하셨어요', '좋아요': '0'}, {'작성자': '도마도', '별점': '2.0', '날짜': '2024.05.01.', '내용': '이런 리뷰를 잘 쓰진 않지만, 동네에서 큰 약국이라 자주 이용합니다 약사님들 모두 친절하시지만 유독 한 약사님께서 뵐 때마다 불친절합니다 그 불친절함이 기억에 박혀서 얼굴을 기억하고 있었는데 최근에... 더보기', '좋아요': '0'}, {'작성자': '햄', '별점': '2.0', '날짜': '2024.03.10.', '내용': '8시인데 문이 닫혀있어요. 영업시간 표기좀 수정해주세요..', '좋아요': '0'}]","{'금': '08:30 ~ 21:00', '토': '10:00 ~ 20:00', '일': '10:00 ~ 20:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00'}"
제일약국,3.7,마포구 포은로 68 1층,,"[{'작성자': '아놔', '별점': '1.0', '날짜': '2022.12.12.', '내용': '약 사면서 1회 용량, 1일 최대 섭취량 물어보는게 뒷면에 나와있다고 말씀하시는 약사 님은 처음이네요. 불친절한 건 둘 째치고 이건 본인들 의무 아닌가요?', '좋아요': '0'}, {'작성자': '똑뚜미', '별점': '5.0', '날짜': '2022.03.21.', '내용': '정말 이 근방 약국 중 제일 좋아요.', '좋아요': '0'}, {'작성자': '진짜리뷰어', '별점': '5.0', '날짜': '2021.08.17.', '내용': '이 근방 약국 중에서 괜찮은편인것같아요 \n약사쌤 친절하시고요', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
건강약국,3.0,마포구 방울내로 70 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5D326368C2C547179DCE151DF50D3B17,"[{'작성자': '이정민', '별점': '5.0', '날짜': '2024.11.08.', '내용': '마이타민이랑 리퀴드씨엠 사러 갔는데 상담도 잘해주시고 친절하세요\n온누리 상품권으로 10프로 할인도 되고 또 방문 예정입니다', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
한사랑약국,4.3,마포구 망원로 78 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff330868d26276daf13fea872d3978c9da7ea2488%3Foriginal,"[{'작성자': '요가개인레슨', '별점': '5.0', '날짜': '2023.02.14.', '내용': '친절하고 인공눈물 저렴', '좋아요': '0'}, {'작성자': 'G', '별점': '5.0', '날짜': '2022.12.31.', '내용': '약사님이 정말 친절하세요. 새해를 맞아 상비약 이것저것 구입하러 갔는데 추천도 해주시고 꼼꼼하게 챙겨 주셨습니다. 약 사러 갔다가 기분까지 좋아진 적은 처음이에요.', '좋아요': '0'}, {'작성자': '수', '별점': '5.0', '날짜': '2022.03.05.', '내용': '대박 친절하세요! 약간 감동 ,,', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '설당일'}"
한우리약국,3.5,마포구 망원로 73 1층,,"[{'작성자': '메멘토모리', '별점': '1.0', '날짜': '2025.03.24.', '내용': '친절은 그렇다치고  손님들이랑 좌파빨갱이 운운하는것은 적절치 못함.약국 생긴이래로 단골이었는데 손절각', '좋아요': '0'}, {'작성자': '리쉬부르 백작', '별점': '1.0', '날짜': '2024.12.21.', '내용': '친절하지도 않으면서 리뷰 주작질 좀 하지 맙시다. 아래 5개씩 준 사람들 보면 전부 리뷰1개 밖에 없거나, 특정 가게 작업하려고 경쟁 가게 별... 더보기', '좋아요': '1'}, {'작성자': '맛집', '별점': '1.0', '날짜': '2024.11.05.', '내용': '손님 앞에 두고 카톡 연락이 급한 뽀글이 중년 남자 직원분 기본 좀 지키세요!!\n\n불친절은 기본이고 계산도 엉망으로 하셨... 더보기', '좋아요': '1'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
