name,score,address,img_url,reviews,open_hour
예진약국,4.3,마포구 월드컵북로 402 KGIT센터 321호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMjZfNjYg%2FMDAxNzExNDE0NjYzMzk2.qxxVXAuQF3ZI1VlRZrDQ8KxK8iIGgPnlCYcAOd9Ium4g.etqwwznAk4nbiCNTCe8dJKJcTuBdP5hE3n0oK9YH5Vkg.JPEG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%2598%2588%25EC%25A7%2584%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '냉철한입맛', '별점': '5.0', '날짜': '2024.08.23.', '내용': '약사님들이 아주 친절하시고 설명도 잘해 주셔서 좋습니다', '좋아요': '0'}, {'작성자': '뵤', '별점': '5.0', '날짜': '2024.06.03.', '내용': '아니........ 너무 친절해요.......', '좋아요': '0'}, {'작성자': '리커버리', '별점': '5.0', '날짜': '2023.03.29.', '내용': '정확하고 친절해요~~~ 가격도 러블리♡', '좋아요': '0'}]","{'금': '09:00 ~ 20:30', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
안녕약국,5.0,마포구 월드컵북로54길 25 상암DMC푸르지오S시티 오피스텔동 111호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F00977320e53f1844d33a050f2e44c8fa1b4af8c3%3Foriginal,"[{'작성자': '리뷰알바 개패버릴라', '별점': '5.0', '날짜': '2025.01.08.', '내용': '여태까지 갔던 약국중에 친절하고 설명 엄청 잘해주셨습니다.', '좋아요': '0'}, {'작성자': 'AY', '별점': '5.0', '날짜': '2024.01.28.', '내용': '정말 제가가본 약국중에 최고입니다. 다른곳에는 안파는 약도 많이팔고 아픈증상 말하거나 상처부위 보여주면 거의 의사쌤 수준으로 약을 추천해주십니다.', '좋아요': '0'}, {'작성자': 'CHIHUAHUA', '별점': '5.0', '날짜': '2024.01.18.', '내용': '매우 친절하고 증상에 따른 적절한 처방과 약효를 자세하게 설명해 줍니다.  선생님이 훈남에다가 목소리도 좋고 너무 친절해서 남잔데도 좀 치이네요.', '좋아요': '1'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
매일여는약국,3.5,마포구 월드컵북로 396 누리꿈스퀘어 B1094호,,"[{'작성자': 'D - ...', '별점': '5.0', '날짜': '2024.10.01.', '내용': '친절하시네요 감솨..', '좋아요': '0'}, {'작성자': '뽀용', '별점': '1.0', '날짜': '2024.09.29.', '내용': '매일 열지도 않고(랜덤) 밤늦게라 그런지 굉장히 불친절했음\n\n들어오자마자 처방전 내밀고 기다린게 다인데, 무슨 약인지 설명하는 과정에서 혼자 급... 더보기', '좋아요': '0'}, {'작성자': 'jj', '별점': '1.0', '날짜': '2024.03.04.', '내용': '늦은 시간이라 선택여지가 없어서 이 약국은 처음 이용했는데, 귀찮으신지 말투부터 굉장히 불친절하고 설명도 자세히 안해주려 하셔서 기분이 너무 상했네요... \n... 더보기', '좋아요': '0'}]",{}
굿모닝약국,4.7,마포구 월드컵북로 361 DMC이안 상암2단지 102호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD6068A1E2A8146F5ABD250D7F228F5CB,"[{'작성자': '뚜니', '별점': '5.0', '날짜': '2024.06.25.', '내용': '전화대응도 잘 해주시고 많이 친절하세요. 적극 추천합니다!', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.04.18.', '내용': '최근 일은 아니고 좀 된건데 갑자기 생각나서 후기 올림 피로회복제 조금이라도 더 괜찮은거 사고 싶어서 두 회사 차이점 물어봤는데 친절한건 잘 모르겠음,, 젊으신 여성 약사분은 되게 귀찮다는 듯 대답하시던데 ... 더보기', '좋아요': '0'}, {'작성자': '니니니니닌', '별점': '5.0', '날짜': '2024.03.21.', '내용': '정말 많이 심히 친절하십니다 특히 없는 약도 찾아서 구해주시는데에도 적극적으로 해쥬셔서 정말 좋습니다 다른 약국들 보면 없는 약 찾는 ... 더보기', '좋아요': '0'}]","{'금': '09:30 ~ 20:00', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '휴무일': '매주 일요일'}"
세계로약국,3.1,마포구 월드컵북로 347 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF4D35D299857493EAE05688E98D61CF3,"[{'작성자': '열심히살자', '별점': '1.0', '날짜': '2025.01.07.', '내용': '돈독이 오른 약사가 하는 곳.\n주변에 경쟁약국이 없어 약값이 비싼 곳.', '좋아요': '1'}, {'작성자': 'ㅋ', '별점': '5.0', '날짜': '2024.07.29.', '내용': '친절하심', '좋아요': '0'}, {'작성자': 'HJ', '별점': '1.0', '날짜': '2024.04.18.', '내용': '보통 이런 후기 남기지 않지만,\n직원분들 cs 교육 하셔야 하지 않을지 생각하게 되었습니다.', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 18:30', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
드림약국,5.0,마포구 월드컵북로 396 누리꿈스퀘어 지하 1010호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1A8B3FF21DE24F3C84D12BB03208E599,"[{'작성자': '♡', '별점': '5.0', '날짜': '2024.08.13.', '내용': '어제 저녁도 소화가 안되더니 오늘 저녁도 소화가 정말 안 되더군요...ㅜㅜ 그래서 바로 근처 약국으로 왔어요\n약사님께서 어떻게 소화가 안되는지,... 더보기', '좋아요': '0'}, {'작성자': '앱이용자', '별점': '5.0', '날짜': '2018.11.27.', '내용': '정말 친절합니다. 저는 이런 평들 보고가는 사람이라 갔는데 너무 친절하셔서 놀랍고 설명도 잘해주셨어요 조금 멀리서 왔지만 만족합니다.', '좋아요': '0'}, {'작성자': '미달이', '별점': '5.0', '날짜': '2018.09.17.', '내용': '약에 대한설명 .   프로임', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
미소가득한약국,5.0,마포구 월드컵북로 396 누리꿈스퀘어 115호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6F5C9F82A94F496E830A3FE0C419D152,"[{'작성자': '그앙', '별점': '5.0', '날짜': '2024.10.29.', '내용': '종종 방문하는데 방문할때마다 느낀게\n남자약사분이 정말 친절합니다\n뿌리는타입과 바르는타입의 차이... 더보기', '좋아요': '0'}, {'작성자': '파스텔', '별점': '5.0', '날짜': '2023.12.13.', '내용': '누리꿈몰 쪽 병원에 갔다가 우연하게 들른 약국인데, 남자 약사 분이랑 젊은 여자 약사 분 계시는데 넘 침절하시고, 상업적으로 과하게 영업 안 하는 약국이라서 ( 너무 덥거나 춥지 않으면 멀리 있는데도) 약이든 의약품이든 사려면... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2023.11.22.', '내용': '방금 들러서 구매했는데 너무 친절하게 응대 잘 해주세요!! 약 부작용이나 먹는 방법도 알려주셔서 ㅠㅠ병원 안가고 덕분에 급하게 약 잘 샀어요!! 근처 살면 매번 오고싶네요.. 🥺🥺🤍', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 19:00', '일': '09:00 ~ 19:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00'}"
소담약국,2.6,마포구 성암로 179 한샘상암 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8BE1DF72D05D4EFB9D6688263062259D,"[{'작성자': '춘시기', '별점': '1.0', '날짜': '2023.04.28.', '내용': '이 건물에서 일해도 여기 약국은 안가요\n돈벌려고 작정을 한 약사구요\n불친절하고 원하는 약 달라고했... 더보기', '좋아요': '0'}, {'작성자': '프로필숨김', '별점': '1.0', '날짜': '2023.03.28.', '내용': '비싸고. 불친절 하고. 약 이름으로 달라고 하면 없다고 하고.\n한약 안먹는다고 해도 한약으로 약을 줍니다.\n약사가 의사인줄 알음.', '좋아요': '0'}, {'작성자': 'h', '별점': '1.0', '날짜': '2022.12.22.', '내용': '너무 비쌉니다.\n병원갈 시간이 없어서\n목감기로 스트랩실 요청하니 효과없다며 한약성분 환 주셨고 일주일치 사만... 더보기', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 16:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
상암센트럴약국,,마포구 상암산로 76 YTN뉴스퀘어 지하1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
월드약국,,마포구 월드컵북로 502 월드컵파크 프라자 210호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjBfMyAg%2FMDAxNzI2Nzk1MDA3MTMx.NYYgRknqIPNr7YVTmWJEu_c3GSd6xJJ2W89fF0Efb4og.jY7uGoTKIFCQPhzqw_jtifYeDzWjrU8NF3NYmoLS-gMg.JPEG%2F%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8-%25EB%258C%2580%25EB%25AC%25B8.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
