name,score,address,img_url,reviews,open_hour
참사랑이화약국,5.0,마포구 연남로 42 상가 B동 117호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3a777cf13861ff11b327d4cf5e4d567b792edd21%3Foriginal,"[{'작성자': 'yyy', '별점': '5.0', '날짜': '2025.03.13.', '내용': '친절해요! 약 하나 잠깐 사서 나오는데도 기분이 좋아지네요 :)', '좋아요': '0'}, {'작성자': '112', '별점': '5.0', '날짜': '2024.04.26.', '내용': '친절하시고 설명 잘 해주시고 과잉처방 없으시고 그냥 천사약국', '좋아요': '0'}, {'작성자': '김현지', '별점': '5.0', '날짜': '2023.08.30.', '내용': '친절하시고 설명을 잘해주세요', '좋아요': '0'}]","{'금': '08:30 ~ 18:30', '토': '08:30 ~ 17:00', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '휴무일': '매주 일요일'}"
연희약국,5.0,서대문구 성산로 317 1층,,"[{'작성자': '아름다운봄', '별점': '5.0', '날짜': '2022.03.01.', '내용': '친절하고 구색도 좋고', '좋아요': '0'}, {'작성자': '미식한고독가', '별점': '5.0', '날짜': '2018.10.15.', '내용': '친절하고 합리적으로 약 주심', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
연남약국,3.9,마포구 양화로21길 31 1층 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FCAECC78E89D24953A4B77CF26D1B8571,"[{'작성자': '랴랴', '별점': '5.0', '날짜': '2023.05.08.', '내용': '늦게까지 열어주셔서 감사한데 친절하기까지하셔서 감동...ㅠㅠ', '좋아요': '0'}, {'작성자': '예주(예민한주둥이)', '별점': '5.0', '날짜': '2022.09.30.', '내용': '약사러 자주 방문하는 약국인데\n항상  친절하시고 \n구매하려는 약도 성분 대비 가격이 저렴한 약... 더보기', '좋아요': '0'}, {'작성자': '당근', '별점': '5.0', '날짜': '2022.08.14.', '내용': '토요일 늦은밤 방문에도 약사님 친절한 설명덕에 약 구입하면서도 마음이 좋았습니다 고맙습니다', '좋아요': '0'}]",{'휴무일': '연중무휴'}
효성약국,5.0,마포구 성미산로 91 1층,,"[{'작성자': 'ㄱㅁㅅㄹ', '별점': '5.0', '날짜': '2024.12.19.', '내용': '친절하시고 좋어요', '좋아요': '0'}, {'작성자': '남!', '별점': '5.0', '날짜': '2022.07.07.', '내용': '약사님이 연세가 많으셔서 그런가 자주 문을 안열어요\n하지만 친절하시고 전화로 약값을 물어봐도 잘 알려주심\n다른 약국들은 약값 물어보면 알려주는 약국 거의 없음 대부분 ""오세요... 더보기', '좋아요': '0'}, {'작성자': '쨍하고해뜰날', '별점': '5.0', '날짜': '2021.12.16.', '내용': '친절하고 좋아요.', '좋아요': '0'}]","{'금': '12:00 ~ 21:00', '토': '12:00 ~ 20:00', '월': '12:00 ~ 21:00', '화': '12:00 ~ 21:00', '수': '12:00 ~ 21:00', '목': '12:00 ~ 21:00'}"
우리연세약국,5.0,서대문구 연희로 40 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0ec4ab682b32f68394ffca2bc54124eae592a8ff%3Foriginal,"[{'작성자': 'himi', '별점': '5.0', '날짜': '2024.05.17.', '내용': '끼워팔기 등의 불필요한 약 구매를 강요하지 않는 정직한 약국 같아서 좋았습니다~', '좋아요': '0'}, {'작성자': '도도', '별점': '5.0', '날짜': '2024.03.25.', '내용': '제품도 다양하고 약사님도 친절하셔서 상비약 구매 잘 했습니다👍', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
별빛약국,5.0,마포구 동교로27길 8 호성빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9dbc41d5f4d5608875b66b6523c24117ad0a8f6e%3Foriginal,"[{'작성자': '멍게색', '별점': '5.0', '날짜': '2024.10.18.', '내용': '전체적으로 조금씩 가격이 있음', '좋아요': '0'}, {'작성자': '제주여행중', '별점': '5.0', '날짜': '2024.03.09.', '내용': '약국을 이렇게 기분 좋게 방문할 수도 있구나.. 생각하게 되는 곳이에요. 증상을 좀 더 정확하게 파악하려고 꼼꼼히 질문해주시고, 늘 사는 약이어도 항상 복약방법이랑 주의사항 잊지 않고 설명해주는데, ... 더보기', '좋아요': '0'}, {'작성자': '얼죽아', '별점': '5.0', '날짜': '2023.11.16.', '내용': '이런 후기처음 남기는데 진짜 너무너무 친절하시고 복약지도도 엄청 세세하게 해주셔요!! 다음에도 또 올 예정입니다', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '휴무일': '공휴일'}"
가좌진약국,5.0,서대문구 모래내로 137 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MTNfMzgg%2FMDAxNzIwODE1MzU4NDYy.ehKea2nDLeuZx-bcJ1hVXh5ykPTamKsAEard12wpvgEg.1o6b1-ZwKOY6YXOf5MZH_xl6-Wlnf_CwNxbQO7xi2kgg.JPEG%2F20240711%25EF%25BC%25BF151759.jpg%3Ftype%3Dw580,"[{'작성자': '👌', '별점': '5.0', '날짜': '2024.09.03.', '내용': '엄청 친절하고 상세하게 설명해주십니다!!! 이제 여기만갈거에요', '좋아요': '0'}, {'작성자': 'joe9', '별점': '5.0', '날짜': '2022.03.08.', '내용': '친절하시고 약 설명을 잘 해주세요 ^^ 마감 전에 급하게 간 건데 정말 감사합니다 번창하세요~~ 애용할게요 ^^', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 14:30', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:30'}"
바다약국,5.0,마포구 월드컵북로 69 성산빌딩 1층,,"[{'작성자': '부산갈매기', '별점': '5.0', '날짜': '2022.03.23.', '내용': '친절하고 좋아요.', '좋아요': '0'}, {'작성자': '쨍하면해뜰날', '별점': '5.0', '날짜': '2022.03.01.', '내용': '바다같은 약국입니다.', '좋아요': '0'}, {'작성자': '무지개', '별점': '5.0', '날짜': '2022.01.27.', '내용': '친절하고 좋아요. 구석도 잘 갖추고 있습니다.', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
광명약국,4.0,마포구 양화로 191 1층,,"[{'작성자': '리뷰어', '별점': '5.0', '날짜': '2023.09.16.', '내용': '친절하세요', '좋아요': '0'}, {'작성자': '피치하이볼', '별점': '1.0', '날짜': '2023.04.23.', '내용': '엄청 불친절 하시네요. 없는 약도 많고 제때제때 물건 안들여놓으시나봐요. 알콜 스왑은 없고 좀 다른 소독용 스왑 한박스 있길래 어쩔 수 없이 그거 샀는데 직원한테 알콜 스왑 없다며 주... 더보기', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '5.0', '날짜': '2022.11.16.', '내용': '여자 약사분 친절하세요', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00'}"
행복약국,5.0,마포구 연희로 5 지하1층,,"[{'작성자': 'Barcia', '별점': '5.0', '날짜': '2021.12.17.', '내용': '친절하고 좋아요.', '좋아요': '0'}]","{'금': '08:30 ~ 16:30', '토': '09:30 ~ 15:00', '월': '08:30 ~ 16:30', '화': '08:30 ~ 16:30', '수': '08:30 ~ 16:30', '목': '08:30 ~ 16:30'}"
사러가약국,4.0,서대문구 연희맛로 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MjdfMjcw%2FMDAxNzE2ODE4ODM1MTky.T8B_gV_m6Z6r0Bz6vG3smegwJmEkzr9hvRi1WErYb80g.ERn1736RHR4NtG90Hoqs7PIWoxQyctEiwD8rD9PoN0og.JPEG%2FIMG_4182.JPG%3Ftype%3Dw966,"[{'작성자': '필연', '별점': '1.0', '날짜': '2025.03.16.', '내용': '……. 😮\u200d💨', '좋아요': '0'}, {'작성자': 'bluesky', '별점': '1.0', '날짜': '2024.08.31.', '내용': '후기보고갔는데\n불친절, 약종류만 여러개 집어줌', '좋아요': '0'}, {'작성자': '메린이', '별점': '5.0', '날짜': '2024.01.20.', '내용': '선생님 최고 ㅠㅠㅠ 주변에 약 없대서 헤매다가 드뎌 발견 여기는 일요일에도 해요 감사해요 \nㅜㅠㅠㅜ', '좋아요': '0'}]",{}
홍익약국,,마포구 양화로18길 7 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F550A93A88E3A4D81BA2E34ACA8E93E1B,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
유진온누리약국,3.0,서대문구 연희로 85 105호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fff779c026055f7138c5b99f46d69126540fd4a7e%3Foriginal,"[{'작성자': '안농', '별점': '5.0', '날짜': '2024.12.18.', '내용': '여자분 너무 친절하세요 감사합니다!', '좋아요': '0'}, {'작성자': '박상아', '별점': '5.0', '날짜': '2023.10.26.', '내용': '숙취해소제 사러갔는데 친절하게 응대해주셨습니다! 효과 좋은 걸로 추천해주시면서 설명까지 자세히 해주셔서 좋았어요 :)', '좋아요': '0'}, {'작성자': '일방통행', '별점': '1.0', '날짜': '2023.08.11.', '내용': '여태 5번 갔다. 5번 다 먼저 인사했지만 단 한번도 인사를 안 받아주셨다', '좋아요': '1'}]","{'금': '08:30 ~ 18:00', '토': '09:00 ~ 16:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00'}"
