name,score,address,img_url,reviews,open_hour
마포초록약국,2.0,마포구 토정로 271,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMjNfMTY1%2FMDAxNjY5MTY5OTc3Njg3.rXYZw_zLmgDKuLS0hSBtLJ_TCjgDZqYxb5AoH6uAz4Ig.GvgwE44XWCNZR5PgXbWdRTol0I8sIaa4Dm_IiuHUM_0g.JPEG.hellopharm%2F%25EB%25A7%2588%25ED%258F%25AC%25EC%25B4%2588%25EB%25A1%259D%25EC%2595%25BD%25EA%25B5%25AD_(5).jpg%3Ftype%3Dw966,"[{'작성자': '냠냠', '별점': '2.0', '날짜': '2024.03.22.', '내용': '조제 빠름★, 청결함★, 친절함✩, 복약지도✩\n2.5 찍고싶지만 없으니 2점이네요.\n영업시간 길고 주말까지 하는 건 장점이요', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 18:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00'}"
청춘약국,5.0,마포구 마포대로 25 신한디엠빌딩 103호,,"[{'작성자': '뜨문뜨문', '별점': '5.0', '날짜': '2023.02.01.', '내용': '약먹을일 있어서 여쭤보고 샀는데 아주 친절하세용!! 감사합니당~', '좋아요': '1'}, {'작성자': '감자', '별점': '5.0', '날짜': '2021.05.11.', '내용': '친절하시고 내부가 깔끔해요', '좋아요': '0'}, {'작성자': '뭉찬', '별점': '5.0', '날짜': '2020.08.06.', '내용': '약사님들이 친절하시네요!\n가족일처럼 상담도 해주시고 감사합니다!', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '휴무일': '공휴일'}"
마포온누리약국,5.0,마포구 큰우물로 76 고려빌딩 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4DCB3057F3B34F29B810DBBDAA5418B7,"[{'작성자': '도팔', '별점': '5.0', '날짜': '2024.03.25.', '내용': '이렇게 친절할수가 없어요. 약 설명도 상세히 해주시고 약값도 저렴하고 약사님 너무 친절하셔서 여기서만 약 사게 돼요', '좋아요': '1'}, {'작성자': '김도훈', '별점': '5.0', '날짜': '2022.06.21.', '내용': '1) 약사님의 친절설명 2) 보기 쉽고 다양한 상품진열과 가격표시  3) 9시까지 영업 강추입니다', '좋아요': '1'}]","{'금': '08:30 ~ 21:00', '토': '08:00 ~ 17:00', '일': '09:00 ~ 13:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00'}"
오즈약국,3.0,마포구 토정로31길 24 e편한세상마포3차아파트 상가동 지하117호,,"[{'작성자': '형이야 형', '별점': '1.0', '날짜': '2024.11.04.', '내용': '불친절 끝판임 소아과 바로 옆이라 가는데 그게 아쉬울따름....', '좋아요': '0'}, {'작성자': '객리뷰', '별점': '5.0', '날짜': '2024.09.15.', '내용': '친절하신데요? 소아과 옆이라 그런가 애기들약 위주로 정말 많습니다. 급할때 특히나 자주 옵니다', '좋아요': '0'}, {'작성자': '소브레메사', '별점': '1.0', '날짜': '2022.06.11.', '내용': '소아과에서 가깝다는 것 말고는 장점이 하나도 없는 약국.\n일하기 싫은데 억지로 하는 느낌이에요.', '좋아요': '0'}]","{'금': '08:30 ~ 20:00', '토': '08:30 ~ 19:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00'}"
즐거운약국,4.0,마포구 큰우물로 53 106호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMTdfMjgx%2FMDAxNjc5MDE1MDIwMjQy.QjbTzH3IX6Z5Y_vnb5Itt7dNM3vpfdDaeI35P1sofWwg.F48QKU5sr9UdOisHggEueTbVGHj0PYzeowR7zP0mEiUg.PNG.pet_pharm8%2F230316_%25EC%25A6%2590%25EA%25B1%25B0%25EC%259A%25B4%25EC%2595%25BD%25EA%25B5%25AD_%25EC%2584%259C%25EC%259A%25B8_%25EB%25A7%2588%25ED%258F%25AC.png%3Ftype%3Dw966,"[{'작성자': 'दया♥', '별점': '5.0', '날짜': '2022.10.27.', '내용': '복약법도 자세히 알려주시고 감사합니다!!', '좋아요': '0'}, {'작성자': '지현', '별점': '5.0', '날짜': '2022.08.27.', '내용': '처방약이랑 상비약 구매하러갔었는데 하나하나 끝까지 다 친절히 설명해주셨어요~ 좋아용', '좋아요': '0'}, {'작성자': '후니훈', '별점': '5.0', '날짜': '2022.08.26.', '내용': '약사님 두분다 친절하고 약설명도 잘해주셨어여~\n다음에 또 올게요!!', '좋아요': '1'}]","{'금': '08:50 ~ 19:00', '토': '08:40 ~ 14:00', '일': '10:00 ~ 14:00', '월': '08:50 ~ 19:00', '화': '08:50 ~ 19:00', '수': '08:50 ~ 19:00', '목': '08:50 ~ 19:00'}"
상수약국,5.0,마포구 큰우물로 75 성지빌딩 1층 4호,,"[{'작성자': '이월맘❣️', '별점': '5.0', '날짜': '2024.10.12.', '내용': '너무 너무 친절하시고 설명도 잘 해주세요🥺🥺🥺', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
포도약국,5.0,마포구 마포대로 44 진도빌딩 1층,,"[{'작성자': '치리오스', '별점': '5.0', '날짜': '2025.03.19.', '내용': '진짜 .. 친절하시고 .. 깔끔하고 \n상비약도 하나하나 다 설명해주시고..', '좋아요': '0'}, {'작성자': 'sy', '별점': '5.0', '날짜': '2025.02.28.', '내용': '잠깐 방문했는데 너어무 친절하세요', '좋아요': '0'}, {'작성자': 'wodjxkx', '별점': '5.0', '날짜': '2024.06.10.', '내용': '전문성 뿜뿜!! 약도 잘 설명해주시고 친절합니다 좋습니다 회사근천데 애용하겠어요', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
해오름약국,0.0,마포구 대흥로 34 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30'}"
햇빛약국,0.0,마포구 마포대로4길 68,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
아카데미약국,0.0,"마포구 마포대로 52 고려아카데미텔2 205,206호",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
