name,score,address,img_url,reviews,open_hour
대형약국,3.0,서대문구 북아현로 4 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F669B4E83D33547A8A366A0ECF8BB3160,"[{'작성자': '후기미제공/조작가게거른다', '별점': '1.0', '날짜': '2024.06.15.', '내용': '처방약 제대로 복약지도 안해주실거면\n그냥 자판기 갖다두시는게 어떨지요?\n물어보니 아주 대충 감사합니다', '좋아요': '0'}, {'작성자': 'jj', '별점': '5.0', '날짜': '2022.06.23.', '내용': '약사 아저씨 친절하세요', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 18:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00'}"
초원약국,0.0,"서대문구 이화여대8길 62 두산아파트상가 107,108호",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
오늘약국,5.0,"서대문구 신촌로 281 B동 1, 2층",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB65D992EABF14C6C8F0F39F9FFDEFFFB,"[{'작성자': '먼지', '별점': '5.0', '날짜': '2023.12.29.', '내용': '약사님 정말 친절하세요~~🥹❤️', '좋아요': '0'}, {'작성자': '윤하늘', '별점': '5.0', '날짜': '2022.02.17.', '내용': '약사님 친절해요ㅎㅎ', '좋아요': '0'}, {'작성자': '카틀레나', '별점': '5.0', '날짜': '2021.12.21.', '내용': '약사님 친절하세요     이것저것 다 설명해주시네요 ㅎ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 15:30', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
참진온누리약국,3.0,서대문구 북아현로 52 1층,,"[{'작성자': '안형근', '별점': '1.0', '날짜': '2023.12.04.', '내용': '약사 불친절', '좋아요': '0'}, {'작성자': 'Kevin Shim', '별점': '5.0', '날짜': '2023.02.03.', '내용': '항상 친절하시고 설명을 너무 잘해주십니다 ^^', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
정도약국,3.7,서대문구 북아현로 6 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E9D2F620DEA47F0881BB72B593B1E57,"[{'작성자': '박홍열', '별점': '1.0', '날짜': '2020.02.06.', '내용': 'KF94 마스크 2개 6000원. 1개 3000원.', '좋아요': '0'}]","{'금': '09:00 ~ 20:30', '토': '09:00 ~ 19:00', '일': '10:00 ~ 17:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '휴무일': '석가탄신일, 추석당일, 설당일, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
아현파란문약국,3.2,서대문구 신촌로35길 10 e편한세상신촌4단지 지하1층 417호,,"[{'작성자': '지희', '별점': '1.0', '날짜': '2024.08.26.', '내용': '아기 약병몇개주는게 그렇게 아까운가요?^^ 몇개만 더 챙겨달라고 한거뿐인데 약병하나갖고 그러시니까... 더보기', '좋아요': '0'}, {'작성자': '방문자', '별점': '1.0', '날짜': '2023.08.15.', '내용': '토요일 근무 한다고 적혀있어 갔는데, 헛걸음 했네요', '좋아요': '0'}, {'작성자': 'ㄱㅁㅅㅁ', '별점': '5.0', '날짜': '2022.03.06.', '내용': '이쁘신 여자 약사님 문닫을시간 지났는데도 기다려주시고 너무나 감사합니다', '좋아요': '0'}]","{'금': '09:00 ~ 20:30', '토': '09:00 ~ 18:00', '일': '12:00 ~ 18:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30'}"
하랑약국,0.0,서대문구 신촌로33길 16 헤센스마트 더 센트럴 B01호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '10:00 ~ 20:30', '토': '09:30 ~ 15:00', '월': '10:00 ~ 20:30', '화': '10:00 ~ 19:30', '수': '10:00 ~ 19:30', '목': '10:00 ~ 19:30'}"
메디팜덕인약국,0.0,서대문구 신촌로 239-1 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
명음약국,4.0,서대문구 신촌로35길 10 e편한세상신촌 4단지 117호,,"[{'작성자': '곰선생', '별점': '5.0', '날짜': '2022.07.30.', '내용': '친절하고 설명이 자세해요', '좋아요': '0'}, {'작성자': 'yes', '별점': '1.0', '날짜': '2021.05.16.', '내용': '약 유통기한이 다 짧아서 확인안하면 안될듯 하네요', '좋아요': '0'}, {'작성자': 'la vida', '별점': '5.0', '날짜': '2021.02.15.', '내용': '친절하셔요', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
아현이층약국,5.0,서대문구 신촌로35길 10 이편한세상신촌4단지 상가 402엠동 2층 215호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDA27139737D643D49785A8BF6FC0476C,"[{'작성자': '05', '별점': '5.0', '날짜': '2025.01.10.', '내용': '약국 goat', '좋아요': '0'}, {'작성자': 'ㅎㅎ', '별점': '5.0', '날짜': '2024.04.24.', '내용': '정말 친절하시고 약 하나하나에 대한 설명을 자세하게 해 주셔서 좋아요! 집이 가까웠으면 이 약국만 갔을 것 같습니다 :)', '좋아요': '0'}]","{'금': '08:40 ~ 18:00', '토': '08:40 ~ 13:00', '월': '08:40 ~ 18:00', '화': '08:40 ~ 18:00', '수': '08:40 ~ 18:00', '목': '08:40 ~ 13:00'}"
