name,score,address,img_url,reviews,open_hour
대학약국 신촌점,,서대문구 연세로 37-1 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTVfODMg%2FMDAxNzMxNjU3MDE5NzA4.GvGgYGWLwjOHF72WoCjhcZ49nk63bB_wj0G4xmsI_18g.4148P6SPKPSOr4bvK51t6wYvDJ4R6Y-f37Q_ftyyxuUg.JPEG%2FIMG_5576.JPG%3Ftype%3Dw386,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '공휴일'}"
독수리약국,2.9,서대문구 연세로 36 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMThfMjAw%2FMDAxNzAyOTA4NDYwMzk2.AEvgKGtJEC-DhRCrkX3uWdV2t2tblCib9JdGljjxaUsg.QBeLn-HNrZQyizBTgzEb0DwOEwSNCdICA-ecYTgF0MQg.JPEG.deggali%2FSE-e96254e5-ba9d-441a-93a2-da69bdb295b3.jpg%3Ftype%3Dw966,"[{'작성자': '삼원해송', '별점': '5.0', '날짜': '2024.10.01.', '내용': '이렇게 친절한 약사는 처음!\n엔커버를 구매했데 무겁다며 차에까지 직접 가져다 주시는 문약사님!\n정말 감동했습니다.\n감사합니... 더보기', '좋아요': '0'}, {'작성자': '가짜리뷰를보면짖는개', '별점': '5.0', '날짜': '2024.08.30.', '내용': '추억이 있는 곳', '좋아요': '0'}, {'작성자': '김이수', '별점': '1.0', '날짜': '2023.12.01.', '내용': '병원처방전만 들고 갔을뿐인데 약이 없으면 없는거지 무슨 이런약을 찾는다는 표정으로 옆에 약사랑 비웃는 인간들..손님을 뭐로 아는거냐!', '좋아요': '1'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
일심약국,1.5,서대문구 연세로 42,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fdthumb-phinf.pstatic.net%2F%3Fsrc%3D%2522https%253A%252F%252Fblogimgs.pstatic.net%252Fnblog%252Fmylog%252Fpost%252Fog_default_image_160610.png%2522%26type%3Dff120,"[{'작성자': '정영진^^', '별점': '1.0', '날짜': '2025.03.13.', '내용': '직원들이 불친절하고 업무가 비효율적인건지 정말 오래걸림 화내는 사람만 달래주려 먼저해주는거 아닌가 싶을정도이며 다신 갈생각 없지만 병원과 가까워 혹시 가실분이 있으... 더보기', '좋아요': '1'}, {'작성자': 'Ddd', '별점': '1.0', '날짜': '2025.02.28.', '내용': '한시간 기다렸어요. 금방 나온다고 하면서 저보다 늦게 오신분들 다 가는데도 한시간 다돼서 받았습니다. 직원들 불친절하고 항의하는 사람들먼저 제조해주는 것 같네요.\n여기 가지마세요 다른데 가세요', '좋아요': '1'}, {'작성자': '오늘내일모레', '별점': '5.0', '날짜': '2024.05.11.', '내용': '저는 친절히 복약지도 받았습니다. .   병원에서 가장 가깝고 근처 약국도 대기들 많아 계속 다니고 있습니다.', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
필온누리약국,2.2,서대문구 신촌로 91 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMjFfMjc3%2FMDAxNzAzMTY4NDk0NTQx.Sjxj-RYtewbPO73hdwciQJi5xWBTRlKKwounaM1qH-wg.VKaNGQulgfYb9YFUPOg4dArKK-2jBTYQWorxpbGvoTog.JPEG.pjh08217%2FIMG_8943.jpg%3Ftype%3Dw773,"[{'작성자': '주니', '별점': '4.0', '날짜': '2025.01.09.', '내용': '약이나왔는데 핸드폰보느라 정신없는\n젊은약산지(약사는 맞는지)몬지 한말했더니 니약아닌데 왜그러냐구 ○○○○... 더보기', '좋아요': '0'}, {'작성자': 'Hogn', '별점': '1.0', '날짜': '2024.09.20.', '내용': '나이든 짧은머리 할머니 진짜 싸가지없네요. 제 가족이 약성분 확인후 써야된다했더니 굳이 인상을 쓰실필요있나요. 저딴식으로 행동하니 나이드셨다고 예의있게 행동했는데 기분 정말 별로네요.', '좋아요': '1'}, {'작성자': '루나', '별점': '1.0', '날짜': '2024.05.31.', '내용': '다른 약국들 비해 천원~이천원 더 비싸요... 연고랑 눈안약 샀는데 여기가 2천원 더 비쌌네요..... ㅠ 약 처방 아니시면 그냥 다른 작은 약국에 가세요.', '좋아요': '2'}]","{'금': '09:00 ~ 20:30', '토': '09:00 ~ 21:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30'}"
나무약국,5.0,서대문구 명물길 33 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB27683BA904F4272A5AABEDF116F2BAB,"[{'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2024.09.07.', '내용': '엄청 친절하시네요 대박..! 증상도 자세히 물어봐주시고 병원인줄 알았어요', '좋아요': '0'}, {'작성자': '댕댕군', '별점': '5.0', '날짜': '2024.07.12.', '내용': '약 진열이 깔끔하게 되어있어서 약 쇼핑하기 편했습니다 좋아요', '좋아요': '0'}, {'작성자': 'YHDBS', '별점': '5.0', '날짜': '2024.03.15.', '내용': '깔끔. 굿. 내가 약국을 차린다고 상상했으면 딱 이렇게 했을거임.. 정말 그냥 최고 깔끔한 약국.. 젊은 남자 약사님도 너무너무 젠틀하심. 번창하세요~ :)', '좋아요': '0'}]","{'금': '09:30 ~ 21:30', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:30 ~ 21:30', '화': '09:30 ~ 21:30', '수': '09:30 ~ 21:30', '목': '09:30 ~ 21:30', '휴무일': '매주 일요일'}"
광장약국,3.1,서대문구 성산로 494-30 1층,,"[{'작성자': '학안사', '별점': '5.0', '날짜': '2024.07.26.', '내용': '조금 느리시지만 친절하고 7시까지 운영하심', '좋아요': '0'}, {'작성자': '강금구', '별점': '1.0', '날짜': '2023.08.10.', '내용': '친절하지도 않고 느리고..다시 안갑니다.', '좋아요': '0'}, {'작성자': 'ss', '별점': '1.0', '날짜': '2023.08.03.', '내용': '1점도 아까워요... 뭐가 친절하다는거죠 ..? 다신 안가요', '좋아요': '1'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
맑은약국,5.0,서대문구 신촌로 107 세인빌딩 1층,,"[{'작성자': '또야', '별점': '5.0', '날짜': '2024.12.31.', '내용': '친절하시단 후기 보고 아무생각 없이 갔는데\n약 이것저것 보여주시면서 설명 자세히 해주셔요!', '좋아요': '0'}, {'작성자': '...', '별점': '5.0', '날짜': '2024.09.24.', '내용': '약사님이 정말 친절하십니다.', '좋아요': '0'}, {'작성자': '냐옹', '별점': '5.0', '날짜': '2024.04.09.', '내용': '여기 여자 약사님 너무 좋아\U0001fa77\U0001fa77\U0001fa77', '좋아요': '0'}]","{'금': '08:10 ~ 20:00', '토': '09:00 ~ 16:00', '월': '08:10 ~ 20:00', '화': '08:10 ~ 20:00', '수': '08:10 ~ 20:00', '목': '08:10 ~ 20:00'}"
정문약국,,서대문구 연세로 41 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 12:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
8번가 위드팜약국,2.7,서대문구 성산로 515 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA1MjBfMTMz%2FMDAxNjUzMDMzOTE2MzA5.IHoTlWjKa6W4e79s2NkgedcwAqMgD3-LwC2hQlSN7JQg.RhiWUHhfjDozF9_cUJViWQhrkryewqjq33sy3DEPTc8g.JPEG.8stpharm%2FKakaoTalk_20220520_170400322.jpg%3Ftype%3Dw773,"[{'작성자': '헬창', '별점': '5.0', '날짜': '2024.08.28.', '내용': '친절해요', '좋아요': '0'}, {'작성자': '기준점 3점', '별점': '1.0', '날짜': '2024.06.01.', '내용': '불친절하고 약도 없어서 대체약 막 처방하고', '좋아요': '0'}, {'작성자': 'HS JO', '별점': '1.0', '날짜': '2023.06.22.', '내용': '약 처음 타는거라 잘몰라서 질문했는데\n엄청 무책임? 책임 지러하지 않으려는지 처방전에 써있는데로 보면 된다고만 하네요 …', '좋아요': '0'}]","{'금': '09:00 ~ 18:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
위드팜신촌약국,2.2,서대문구 성산로 486 1층,,"[{'작성자': '레이니', '별점': '1.0', '날짜': '2023.12.12.', '내용': '정말 후기 안쓰는데 참다참다 씁니다\n3개 있는 약도 40분 걸려서 받고\n다른 사... 더보기', '좋아요': '0'}, {'작성자': '연주', '별점': '4.0', '날짜': '2023.11.23.', '내용': '친절하긴하나... 오래걸린다...\n경의선 10분뒤에 온다니까 다행히 맞춰주셔써 뛰어가서탔다...', '좋아요': '0'}, {'작성자': '조용익', '별점': '1.0', '날짜': '2022.07.06.', '내용': '약 받으려면 너무 오래 걸립니다', '좋아요': '0'}]","{'금': '08:40 ~ 19:00', '토': '08:40 ~ 14:00', '일': '휴무일', '월': '08:40 ~ 19:00', '화': '08:40 ~ 19:00', '수': '08:40 ~ 19:00', '목': '08:40 ~ 19:00', '휴무일': '매주 일요일'}"
