name,score,address,img_url,reviews,open_hour
연희종로약국,4.2,서대문구 연희로 109,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjRfMjg5%2FMDAxNzM1MDMwNjYwMDUz.qB0zpWiDia-XOkrMh1i7Vli25F-iu0gSmRP0NgVI53cg.0VGdTH1ozMxGNi4xuoq1OmCM1U216y39HAgiI9DX0-cg.JPEG%2FSE-4E2E7F3F-B83D-4E55-81F8-8CD0A1668568.jpg%3Ftype%3Dw386,"[{'작성자': 'Woo', '별점': '5.0', '날짜': '2023.03.15.', '내용': '제 얘기를 잘 들어주시고  맞는 약을 골라주셨어요  친절하셔서좋아요', '좋아요': '0'}, {'작성자': '워니', '별점': '5.0', '날짜': '2022.03.23.', '내용': '추천', '좋아요': '0'}, {'작성자': '송주엽', '별점': '5.0', '날짜': '2020.04.29.', '내용': '가슴 따뜻한 약사님을 만났습니다.\n\n정말 고맙습니다.', '좋아요': '0'}]","{'금': '08:30 ~ 20:00', '토': '08:30 ~ 16:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00'}"
광혜약국,3.0,서대문구 성산로17길 5,,"[{'작성자': 'UTAUINU', '별점': '5.0', '날짜': '2023.07.12.', '내용': '파스 하나 사는데도 설명 잘해주시고 인사도 잘해주십니다. 친절해요 !', '좋아요': '0'}, {'작성자': 'staris', '별점': '1.0', '날짜': '2023.04.18.', '내용': '별 한개 주기도 아깝네요.\n1개월전 세브란스병원 처방전 가지고 2개월치 약을 타러 여길 들렸는데 개별 약포장지는 일반적인 비닐포장이었는데 약포장지에 날짜도 안적혀져 있고, 아... 더보기', '좋아요': '1'}, {'작성자': '지박령', '별점': '1.0', '날짜': '2022.11.17.', '내용': '조제실에서 웃고떠드는데 접수보는 사람은 없음\n약 조제 중이겠거니 10분을 기다려도 안나오고 불러도 안나옴. 장사 안할거면 문을 닫아놓던지', '좋아요': '1'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
연희약국,5.0,서대문구 성산로 317 1층,,"[{'작성자': '아름다운봄', '별점': '5.0', '날짜': '2022.03.01.', '내용': '친절하고 구색도 좋고', '좋아요': '0'}, {'작성자': '미식한고독가', '별점': '5.0', '날짜': '2018.10.15.', '내용': '친절하고 합리적으로 약 주심', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
우리연세약국,5.0,서대문구 연희로 40 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0ec4ab682b32f68394ffca2bc54124eae592a8ff%3Foriginal,"[{'작성자': 'himi', '별점': '5.0', '날짜': '2024.05.17.', '내용': '끼워팔기 등의 불필요한 약 구매를 강요하지 않는 정직한 약국 같아서 좋았습니다~', '좋아요': '0'}, {'작성자': '도도', '별점': '5.0', '날짜': '2024.03.25.', '내용': '제품도 다양하고 약사님도 친절하셔서 상비약 구매 잘 했습니다👍', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
명신당약국,1.0,서대문구 증가로 84 1층 103호,,"[{'작성자': 'ㅎㄷㄱ', '별점': '1.0', '날짜': '2021.06.26.', '내용': '영업안함', '좋아요': '1'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '매주 일요일'}"
명문약국,5.0,서대문구 홍연길 82 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA2MDdfMTA1%2FMDAxNjg2MTE1MzgxNzU0.tHT5KpfyjCkxn2Y5sYQkYR9AlHZkenxur3tj88aDIlIg.Sh973a45113_lTt1Xw5fBtzfvPisx3mIaiOynyt9Cfog.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%25AA%2585%25EB%25AC%25B8%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '유저7272', '별점': '5.0', '날짜': '2022.11.12.', '내용': '친절하세요', '좋아요': '1'}, {'작성자': '성북구백종원', '별점': '5.0', '날짜': '2020.12.23.', '내용': '친절하세용', '좋아요': '1'}, {'작성자': '방방구국', '별점': '5.0', '날짜': '2020.06.27.', '내용': '되게 친절하세요!', '좋아요': '2'}]","{'금': '08:30 ~ 20:00', '토': '08:30 ~ 18:00', '일': '10:00 ~ 18:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00'}"
기쁨약국,5.0,서대문구 연희로 122 경교빌딩 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F788B420AA19B44989BE90CFD965DCC77,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 13:30', '휴무일': '공휴일'}"
옵티마진약국,3.3,서대문구 연희로 94,,"[{'작성자': '보라', '별점': '1.0', '날짜': '2024.09.25.', '내용': '아무리 아파도 절대 다시는 안 갈 약국', '좋아요': '2'}, {'작성자': '리뷰왕이될거야', '별점': '5.0', '날짜': '2024.03.16.', '내용': '아침 8시 반부터 열려 있어서 일찍 가기 좋아요', '좋아요': '0'}, {'작성자': '공포의설거지', '별점': '5.0', '날짜': '2024.03.02.', '내용': '약사분 친절해서 좋아요', '좋아요': '0'}]",{}
홍연약국,0.0,서대문구 홍연길 87 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
새롬m약국,3.7,서대문구 증가로 85,,"[{'작성자': '핑핑이', '별점': '1.0', '날짜': '2022.06.09.', '내용': '몇년전 베나치오를 사먹었는데 먹고나서 보니 유통기한이 지나있어서 그 이후로 절대 안가다가 필요한게 생겨서 급하게 갔는데 종류가 많지 않음..', '좋아요': '0'}, {'작성자': 'Mina', '별점': '5.0', '날짜': '2020.12.14.', '내용': '좋아요! 약사님 복약지도 잘 해주시고 친절합니다.', '좋아요': '0'}, {'작성자': '현', '별점': '5.0', '날짜': '2020.05.11.', '내용': '병원밑 약국이 문을안열었길래 여기로 왔는데 약사님 친절하세요!', '좋아요': '0'}]","{'금': '09:00 ~ 20:30', '토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '휴무일': '매주 일요일'}"
