name,score,address,img_url,reviews,open_hour
서대문약국,3.7,서대문구 통일로 177 1층,,"[{'작성자': '포청천', '별점': '5.0', '날짜': '2025.02.24.', '내용': '친절하고 가격도 쌈', '좋아요': '0'}, {'작성자': 'll', '별점': '5.0', '날짜': '2024.05.12.', '내용': '저렴하고 약사님이 친절하시네요~~^^', '좋아요': '0'}, {'작성자': '캐캐오맵 맹신론자', '별점': '1.0', '날짜': '2022.03.21.', '내용': '직원의 약 설명이 뭔가 미흡함', '좋아요': '1'}]","{'금': '08:30 ~ 22:00', '토': '09:00 ~ 21:00', '일': '10:00 ~ 20:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '휴무일': '추석당일, 설당일'}"
바다약국,5.0,서대문구 통일로 205-1 1층,,"[{'작성자': '김택헌', '별점': '5.0', '날짜': '2023.06.15.', '내용': '약사분이 정말 친절하세요! \n약에대한 간단한 설명도 해주시는데 좋았습니다!', '좋아요': '0'}, {'작성자': '은지', '별점': '5.0', '날짜': '2022.10.12.', '내용': '약사님들이 너무 친절하세요 🥰', '좋아요': '0'}, {'작성자': '좌님', '별점': '5.0', '날짜': '2020.01.05.', '내용': '약사님이 참 친절해요~~', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
부활약국,5.0,서대문구 통일로 189-1,,"[{'작성자': '일간김박사', '별점': '5.0', '날짜': '2025.01.26.', '내용': '온누리상품권 가능', '좋아요': '0'}, {'작성자': '🥟', '별점': '5.0', '날짜': '2022.04.08.', '내용': '약사분이 너무 친절하시고 다른 약국에서는 약이 모자라서 안된다고 했는데 여기는 직접 주문까지 해주셨습니다', '좋아요': '0'}, {'작성자': 'doctor', '별점': '5.0', '날짜': '2021.07.02.', '내용': '친절하고 최신약도 구비되어 있는 등 전문성도 있으시고 \n\n결정적으로 모바일 온누리 상품권으로도 결재를 해 주시는 훌륭한 약국입니다.', '좋아요': '1'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 18:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
영천선약국,0.0,서대문구 통일로 185-1 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
빨간문약국,0.0,종로구 송월길 99 경희궁자이2단지 2124호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
경희궁햇살약국,4.7,종로구 송월길 99 203동 2218호,,"[{'작성자': 'MNO', '별점': '5.0', '날짜': '2021.09.26.', '내용': '바뀐약이나 설명도 다 해주시고 친절하심', '좋아요': '0'}, {'작성자': '필기구', '별점': '5.0', '날짜': '2020.06.25.', '내용': '설명 정말 친절하게 해주셔서 갈 때마다 믿음직해요!', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '08:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00'}"
참자연약국,0.0,종로구 송월길 99 경희궁자이2단지 201동 상가 1층 2156호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FDDB6F92D1FCE426BBA240872B9DB7AB3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:40 ~ 19:00', '토': '08:40 ~ 14:00', '일': '휴무일', '월': '08:40 ~ 19:00', '화': '08:40 ~ 19:00', '수': '08:40 ~ 19:00', '목': '08:40 ~ 19:00', '휴무일': '공휴일'}"
이화매일약국,4.2,서대문구 독립문로14길 3 1층 107호,,"[{'작성자': '우당탕', '별점': '5.0', '날짜': '2024.09.06.', '내용': '갈 때마다 너무 친절하시고 복약지도도 항상 잘해주셨음. 아래의 안 좋은 후기가 안 믿길 정도로.. \n주말,공휴일에도 열어서 오... 더보기', '좋아요': '0'}, {'작성자': '나르티잔', '별점': '1.0', '날짜': '2024.08.24.', '내용': '강아지약품 상담하는데 친절하지 않고 멀더라도 전에 구입했던 약국으로 가라고함. 이사와서 왕복 4시간 걸리는 지역으로 가라고하니 황당합니다.\n별하나도 아깝습니다.', '좋아요': '0'}, {'작성자': 'ㅁㅛㅇ', '별점': '1.0', '날짜': '2024.07.18.', '내용': '별로에요.', '좋아요': '0'}]","{'금': '08:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '10:00 ~ 18:00', '월': '08:00 ~ 19:00', '화': '08:00 ~ 19:00', '수': '08:00 ~ 19:00', '목': '08:00 ~ 19:00', '휴무일': '추석당일, 설당일'}"
현대약국,5.0,종로구 통일로 246-10 113호,,"[{'작성자': 'Cornell', '별점': '5.0', '날짜': '2024.02.21.', '내용': '여기 아저씨 정말 친절하심.', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00'}"
일등약국,4.4,"종로구 경교장길 35 경희궁자이 3단지 상가동 1층 3148,3149호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff1165c3342148f6214853e0b1d1864d65f7b09b0%3Foriginal,"[{'작성자': '물회킬러', '별점': '2.0', '날짜': '2024.08.18.', '내용': '밤늦게여는건 감사할 점이고 친절하셨던걸로 기억해서 잘 이용해왔으나 오늘 아쉬운경험이 발생해 글 남깁니다.\n밤늦게 급하게 알러지 반응이 와 너무 약을 구매하러 ... 더보기', '좋아요': '0'}, {'작성자': 'Sohye.민정', '별점': '5.0', '날짜': '2024.06.14.', '내용': '회사앞이라 병원다닐때마다 이 많은 약국중에 여기만 가요. 산부인과 출산으로 다닐때도 여기만 다녔구요. 아기 약 살때도 여기와요. 친절하시고 설명 잘해주셔서 좋아요.', '좋아요': '0'}, {'작성자': '이인제', '별점': '5.0', '날짜': '2023.07.07.', '내용': '약사님께서 아주 친절하셨습니다. 덕분에 부모님 약 잘 지어드렸습니다. 감사합니다.', '좋아요': '0'}]","{'금': '08:30 ~ 24:00', '토': '00:00 ~ 24:00', '일': '22:00 ~ 01:00', '월': '08:30 ~ 24:00', '화': '08:30 ~ 24:00', '수': '08:30 ~ 24:00', '목': '08:30 ~ 24:00'}"
