name,score,address,img_url,reviews,open_hour
생각하는약국,3.0,서초구 청계산로9길 70 105호,,"[{'작성자': 'hyun', '별점': '1.0', '날짜': '2024.10.26.', '내용': '토요일 2-5시가 아니라 2-6시 쉬는시간이네요 6시 이후에도 한참 기다렸는데 안와서 약 못사고 그냥 돌아갔어요 시간 약속좀 잘 지키세요', '좋아요': '0'}, {'작성자': '➰', '별점': '1.0', '날짜': '2023.06.24.', '내용': '병원 진료 시간 기다리는 것보다 오래 걸려요 \n너무 손이 느리고 손님이 와도 인사도 안 해요 \n친절하다고 하는 건 그냥 보통 수준', '좋아요': '0'}, {'작성자': '우디', '별점': '5.0', '날짜': '2020.07.02.', '내용': '여기 약사님 진짜 친절하세요 ㅠㅠ', '좋아요': '0'}]","{'토': '08:30 ~ 20:00', '일': '17:00 ~ 20:00', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30'}"
무지개약국,4.0,서초구 헌릉로8길 9-8 1층 108호,,"[{'작성자': '냠', '별점': '3.0', '날짜': '2025.03.22.', '내용': '여자 약사님분께서 친절은 하시나\n제품에 대한 이해도나 설명이 부족했습니다\n\n재생테이프라... 더보기', '좋아요': '0'}, {'작성자': '공주', '별점': '5.0', '날짜': '2022.03.22.', '내용': '왕왕 친절하고 늦게까지 하심', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
범서한방동물약국,5.0,서초구 본마을길 31 1층 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0133A86F47C34EFD8B7F51188230A484,"[{'작성자': '한선재', '별점': '5.0', '날짜': '2024.07.15.', '내용': '심장 사상충약뿐만 아니고 아이들의 연고나 구충제 각종 약품들이 많아서 선택하기 참 좋네요. 상담도 친절하고 자세하게 설명해 주셔서 심장사상 충약 사러 갔는데 선택을... 더보기', '좋아요': '0'}]","{'토': '10:00 ~ 16:00', '일': '휴무일', '월': '휴무일', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '휴무일': '공휴일'}"
서초내곡약국,1.0,서초구 청계산로 189,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F201EDACCE59A410D841B8CEAF01157C8,"[{'작성자': 'OY', '별점': '1.0', '날짜': '2024.07.29.', '내용': '칼라민 로숀을 5천원 받네요\n가격표 없는 약은 안사는게 좋을듯', '좋아요': '0'}, {'작성자': 'K9', '별점': '1.0', '날짜': '2024.01.08.', '내용': '최악이네요\n20시까지 영업이라 적혀있는데\n7시 40분에 왔는데 이미 문 닫혀있네요\n이럴거... 더보기', '좋아요': '1'}]","{'토': '08:30 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
준약국,1.0,서초구 헌릉로8길 45 서초포레스타2단지 상가동 203호,,"[{'작성자': 'hagrid', '별점': '1.0', '날짜': '2024.11.27.', '내용': '불친절', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
내곡숲약국,3.7,서초구 헌릉로 176 서울영동농협종합시설 지하1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F524161F6FF0C48B08EF1DD15115199A7,"[{'작성자': 'hagrid', '별점': '1.0', '날짜': '2024.11.27.', '내용': '조금 독특해요', '좋아요': '0'}, {'작성자': '추은희', '별점': '5.0', '날짜': '2023.02.21.', '내용': '친절합니다', '좋아요': '0'}, {'작성자': '서초구민', '별점': '5.0', '날짜': '2022.07.30.', '내용': '토요일 마감시간에 아주 친절함.', '좋아요': '0'}]","{'토': '09:20 ~ 18:00', '일': '휴무일', '월': '09:20 ~ 20:00', '화': '09:20 ~ 20:00', '수': '09:20 ~ 20:00', '목': '09:20 ~ 20:00', '금': '09:20 ~ 20:00', '휴무일': '매주 일요일'}"
동의보감한약국,0.0,강남구 헌릉로571길 56-1 1층 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '휴무일', '일': '휴무일', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '휴무일': '공휴일'}"
세곡온누리약국,3.5,강남구 헌릉로569길 27 2층 201-1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjNfMjg5%2FMDAxNzM0OTQwMDQ5Mjc0.kWyFZUslhhsuzQWdD-YiswSqnkNMMz-Jg38BdMmRQGAg.taqcS1jyo-YDAbQ6pEtoCSHAwj1wgimubFi4i5kG0gwg.PNG%2F5.png%3Ftype%3Dw773,"[{'작성자': '요점부터말해요', '별점': '4.0', '날짜': '2025.04.03.', '내용': '닥터나우로 처방 가능하고 밤 늦게까지 열어서 좋아요.\n불친절한 약사분이 한분 계셨는데 다른 분들은 친절하셔서 그냥 갑니당', '좋아요': '0'}, {'작성자': 'SJ', '별점': '1.0', '날짜': '2023.11.08.', '내용': '다른 약국처럼 번호표를 놓던지, 순서대로 응대 해주세요. 집앞이라 자주 가는 약국이고, 주로 밤에 가서 다른 남자약사님은 항상 친절히 설명해 주셔서 불만이 없었습니다. 오늘 낮에 가보니 처음 본 여자 약사님이 가장 늦게 ... 더보기', '좋아요': '1'}, {'작성자': '시고', '별점': '5.0', '날짜': '2023.03.13.', '내용': '약사님이 되게 친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 21:30', '일': '09:00 ~ 21:30', '월': '09:00 ~ 23:00', '화': '09:00 ~ 23:00', '수': '09:00 ~ 23:00', '목': '09:00 ~ 23:00', '금': '09:00 ~ 23:00'}"
100세건강약국,3.7,강남구 헌릉로571길 7 레체오피스텔 1층 101호,,"[{'작성자': 'NA', '별점': '1.0', '날짜': '2024.07.13.', '내용': '최악 인성도 최악', '좋아요': '0'}, {'작성자': 'willow', '별점': '5.0', '날짜': '2023.09.23.', '내용': '참으로 훌륭한 약사님이세요  자상하시고 친절하세요.  병의원과 더불어 약국은 우리네 삶에서 가장 중요한. 영향을 받는 곳이지요  약품의 구비도 베스트이지만. 실내 인테리어도 멋지고 세련된 약국입니다 ... 더보기', '좋아요': '0'}, {'작성자': '성장', '별점': '5.0', '날짜': '2022.01.14.', '내용': '약사님 친절하시고 좋아요', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
강남리더스약국,1.5,강남구 헌릉로 569 1층 105호,,"[{'작성자': '초구초구쳐', '별점': '1.0', '날짜': '2025.02.05.', '내용': '여기 의사처방 지멋대로 포장합니다. 처방전 대량포장 하실거면 수서역 정민아 약국가세여. 기분 개잡쳐서 다신안감', '좋아요': '0'}, {'작성자': '후', '별점': '2.0', '날짜': '2023.12.30.', '내용': '저번에 아보다트 샀는데 비싼거 같아 전화해서 가격 물어봤는데 비밀이라길래 카드내역 조회해서 계산하니 나오네요 약값 엄청 비싼듯 싶어요 모든 약들이 비싼진 모르겠으나 아보다트 기준 ... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 14:30', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 20:00'}"
