name,score,address,img_url,reviews,open_hour
세계로약국,3.2,서초구 동작대로 38,,"[{'작성자': '평가왕', '별점': '5.0', '날짜': '2024.02.15.', '내용': '아줌마가 반말하심', '좋아요': '0'}, {'작성자': 'DI', '별점': '2.0', '날짜': '2023.10.29.', '내용': '장점: 늦게까지 주말까지 하는 거의 유일한 약국\n단점: 이상하게 여기서 처방받은 약은 잘 든적이 없음', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '1.0', '날짜': '2023.08.27.', '내용': '아줌마 계산기로 계산하더니만 틀려가지고 다시 가서 말했는데\n반말하면서 동전으로 돈 거슬러줌', '좋아요': '0'}]","{'토': '09:00 ~ 21:30', '일': '11:00 ~ 21:00', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30'}"
서초프라자약국,3.2,서초구 방배로 88 삼익빌딩 1층,,"[{'작성자': 'k', '별점': '1.0', '날짜': '2023.09.27.', '내용': '필요없는 약 끼워 팔아요 비추천합니다', '좋아요': '0'}, {'작성자': 's', '별점': '5.0', '날짜': '2023.02.19.', '내용': '매장도 넓고 일요일에 문여셔서 급하게 필요한 약 샀어요. 약사님도 설명 잘해주시고 친절하셔요', '좋아요': '0'}, {'작성자': 'rose', '별점': '5.0', '날짜': '2021.08.14.', '내용': '약도 많고 약사님도 많구 다 많음 넓고 안락한분위기', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '일': '11:00 ~ 18:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '휴무일': '추석당일, 설당일'}"
서래비비약국,4.0,서초구 방배로 232 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8f76dc04dd32f51bb3a8c57927096358ee20fc23%3Foriginal,"[{'작성자': '최지영', '별점': '5.0', '날짜': '2024.02.02.', '내용': '깔끔하고 좋아요~ 약사님도 친절하셔용 ㅎㅎ', '좋아요': '0'}, {'작성자': '미스터한', '별점': '1.0', '날짜': '2020.03.01.', '내용': '내가 가끔마시는 피로회복제가 있는데\n강남역 방배 사당 어디에서도 가격이 똑같았는데\n여기만 천원비싸게... 더보기', '좋아요': '4'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
시스템약국,2.6,서초구 방배중앙로23길 1,,"[{'작성자': 'yuirin', '별점': '5.0', '날짜': '2025.01.02.', '내용': '주말에도 문을 여는 몇 안되는 약국\n친절하기까지 해서 자주 가게 된다.', '좋아요': '0'}, {'작성자': 'Papado', '별점': '1.0', '날짜': '2024.09.18.', '내용': '약 이거 주세요\n라고 말하면\n자기가 제일 싫어하는게 증상 말도 안하면서 약달라고 하는 거라면... 더보기', '좋아요': '0'}, {'작성자': '🩸', '별점': '1.0', '날짜': '2023.11.10.', '내용': '너무 불친절해요', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
나은약국,2.4,서초구 남부순환로287길 9-1,,"[{'작성자': '평가왕', '별점': '3.0', '날짜': '2024.03.30.', '내용': 'LG전자에 출근할 때 지나갔던 곳인데 약사는 사람을 못봤다', '좋아요': '0'}, {'작성자': '권이도', '별점': '1.0', '날짜': '2022.06.29.', '내용': '별로 친절하진 않고\n약 조제도 처방전하고 틀리게 나오기도 하고\n계산... 더보기', '좋아요': '0'}, {'작성자': '전민형', '별점': '1.0', '날짜': '2022.02.07.', '내용': '13000원이라고 떡하니 적어놓고선 계산할 때 16000원 달라고 함.', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
사당13번약국,1.3,서초구 방배천로 5-3 도양빌딩 1층,,"[{'작성자': '신지', '별점': '1.0', '날짜': '2025.02.04.', '내용': '20시까지 한대놓고 7시에 갔는데 문닫음…\n헛걸음 감사', '좋아요': '0'}, {'작성자': '서로 예의를 갖춰요', '별점': '1.0', '날짜': '2024.11.22.', '내용': '다른 분들이 적은 후기들처럼 최악입니다 여기.\n바로 윗층 안괴때메 몇 번 갔지만 갈 때마다 불쾌한 곳. 들어갈 때 나올 때 절대 인사안합니다. 먼저 인사해도... 더보기', '좋아요': '1'}, {'작성자': '또오기', '별점': '1.0', '날짜': '2024.03.23.', '내용': '왜 멀쩡히 기다리고 있는 사람한테 분노조절장애라 합니까?', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
동해물약국,4.4,서초구 동광로12가길 42 1층,,"[{'작성자': '김재웅', '별점': '5.0', '날짜': '2025.02.01.', '내용': '약값도 안비싸고 친절해요!', '좋아요': '0'}, {'작성자': '누가바', '별점': '5.0', '날짜': '2024.09.28.', '내용': '친절하셔서 여기로 옵니다', '좋아요': '0'}, {'작성자': 'ㅅㄴㅁ', '별점': '1.0', '날짜': '2024.06.20.', '내용': '옛날에 자주 간 약ㄱ국인데 겁나 오늘 전화해보니겁나성의없구만 ㅡㅡ;;', '좋아요': '1'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
숨온누리약국,3.0,서초구 서초대로 114 102호,,"[{'작성자': '김서0', '별점': '5.0', '날짜': '2024.10.31.', '내용': '친절하세욧', '좋아요': '0'}, {'작성자': '불만족했을때만남겨요', '별점': '1.0', '날짜': '2024.01.10.', '내용': '용법용량 설명없고 손님가도 지일만함 절대안감 가격도비쌈', '좋아요': '0'}, {'작성자': 'ny', '별점': '1.0', '날짜': '2023.06.02.', '내용': '절대 가지 마세요. 엄청 불친절하고 보통 안 쓰는 이상한 약을 강매하고 다른 곳보다 훨씬 비싸게 팝니다. 약사가 환자에게 도움이 될 약을 줄 생각은 안 하고 팔아먹을 생각만 해요. 약사가 아니라 장사꾼입니다. 집 근처라 가까운데 일부러 다른 곳 갑니다.', '좋아요': '0'}]","{'토': '08:30 ~ 17:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00'}"
정은약국,5.0,서초구 방배중앙로 140 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0CD9DCDA60D545A381C6378802DA43D6,"[{'작성자': 'A', '별점': '5.0', '날짜': '2024.05.17.', '내용': '늦은시간에 방문했는데도 약사님 너무 친절하십니다.', '좋아요': '0'}, {'작성자': 'ㅇㅈ', '별점': '5.0', '날짜': '2023.01.26.', '내용': '살다살다 이렇게까지 친절하신 약사분은 처음 뵙니다… 집 바로 앞이라 편의도 좋고!!', '좋아요': '0'}, {'작성자': 'Dju', '별점': '5.0', '날짜': '2022.04.02.', '내용': '약사선생님이 친절하세요.', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
바른온누리약국,4.4,서초구 방배로 108 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MTFfNDIg%2FMDAxNzIwNjYxMTc1MTU5.A61fWEZ28zdGFad9wCiKc6kW_oGWvbuyByho9Bo7b4Mg.Y-xy3BQeSmWXfSXkmXfVEZUQ0qn6aEIVedOfLx_6rHIg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%25B0%2594%25EB%25A5%25B8%25EC%2598%25A8%25EB%2588%2584%25EB%25A6%25AC%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '소소', '별점': '4.0', '날짜': '2023.10.11.', '내용': '조금 좁지만 친절하고 깔끔함', '좋아요': '0'}, {'작성자': '한준서', '별점': '1.0', '날짜': '2022.10.28.', '내용': '상담하고 고민해보고 올 수도 있는거 아닌가요?\n\n건강상태 및 복약지도 관련 여자분과 상담받았습니다. \n\n... 더보기', '좋아요': '0'}, {'작성자': '이찬울', '별점': '5.0', '날짜': '2022.09.13.', '내용': '갈 때마다 너무 친절하셔서 절로 기분이 좋아집니다. 매장이 작아서 약이 빽빽하게 진열되어 있긴 한데 문제될건 없다고 봅니다.', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
이수참약국,5.0,서초구 서초대로 2 이수파이브 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F00FEEEE5994D4A37A98C2045215F1887,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.12.10.', '내용': '친절해용', '좋아요': '0'}, {'작성자': 'bsbh', '별점': '5.0', '날짜': '2023.09.07.', '내용': '약사님 최고세요🥹🤍 너무 너무 친절하시고 딴데서 진료받고 일부러 여기까지와서 약지어갑니당', '좋아요': '0'}, {'작성자': '따뜻한말', '별점': '5.0', '날짜': '2023.07.12.', '내용': '항상 친절하고 약 추천도 잘 해주세요. 약국은 여기만 갑니다:)', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
청약국,2.8,서초구 전원말안1길 2 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F56C5041A15C84F148DE8B1328F27279E,"[{'작성자': 'CNHC', '별점': '5.0', '날짜': '2024.08.12.', '내용': '감사합니다 ♡', '좋아요': '2'}]","{'토': '10:00 ~ 15:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00'}"
정성약국,5.0,서초구 동작대로 50 대일빌딩 지하1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6DC86897C2A74F71982F0D8C5A7FB66A,"[{'작성자': '쥬피썬더', '별점': '5.0', '날짜': '2024.01.04.', '내용': '공휴일에도 운영😭❤️', '좋아요': '0'}, {'작성자': '맛집헌터', '별점': '5.0', '날짜': '2024.01.01.', '내용': '공휴일 약국 처보고 왔어요 빨리 열어서 좋아요  약사님이 친절하고 잘 생기셨어요', '좋아요': '1'}, {'작성자': '골양이', '별점': '5.0', '날짜': '2023.05.05.', '내용': '약사님 키크고 잘생겼어요', '좋아요': '0'}]","{'토': '07:40 ~ 18:00', '일': '08:30 ~ 18:00', '월': '07:40 ~ 18:30', '화': '07:40 ~ 18:30', '수': '07:40 ~ 18:30', '목': '07:40 ~ 18:30', '금': '07:40 ~ 18:30'}"
소화약국,4.3,서초구 방배로 87 1층 1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0CEE4C738CC748EC96DCD6479DAE547D,"[{'작성자': '이상', '별점': '5.0', '날짜': '2024.06.19.', '내용': '바쁜 시간에도 늘 친절하시고 점심시간에도\n비우지 않고 항상 계셔서 좋아요 식사는 언제 하시는지...', '좋아요': '0'}, {'작성자': '모자', '별점': '5.0', '날짜': '2024.05.14.', '내용': '약사님의 진정성, 복잡한 복용약 체크도 설명도 잘해주시고 우울증이라 병원 오는게 너무 힘든상태인데 약 받아가면서 그나마 힘을 얻고 가요 꼭 오래오래 있어주세요', '좋아요': '1'}, {'작성자': '흰둥이', '별점': '5.0', '날짜': '2023.11.07.', '내용': '약사님의 진정성이 느껴지는 친절에 눙물이...ㅜㅜ', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
