name,score,address,img_url,reviews,open_hour
다나약국,4.9,서초구 효령로 229 서울빌딩 1층 04호,,"[{'작성자': '윤현일', '별점': '5.0', '날짜': '2024.04.23.', '내용': '약사님이 너무 친절하시고 상냥하세요', '좋아요': '0'}, {'작성자': '이신혜', '별점': '5.0', '날짜': '2023.10.31.', '내용': '약사님이 너무 친절하시네요 여기서 부모님 선물 샀는데 다른 곳보다 저렴하더라구요 다음에도 또 방문하러 갈게요~', '좋아요': '0'}, {'작성자': '쿸키', '별점': '5.0', '날짜': '2023.08.03.', '내용': '너무 친절하시고 마음이 편해지는 곳이에요 감사합니다!', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '일': '08:00 ~ 13:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '설전날, 설당일, 설다음날'}"
서광약국,3.7,서초구 남부순환로315길 104,,"[{'작성자': '암어쥑쥑', '별점': '5.0', '날짜': '2024.11.10.', '내용': '토요일에 영업하는 곳 찾아 급하게 들어갔는데 중년 약사님 정말 친절하시고, 설명도 꼼꼼하게 잘 해주셔서 감사했습니다 :) 💛', '좋아요': '0'}, {'작성자': '모치', '별점': '5.0', '날짜': '2024.04.30.', '내용': '약사님이 너무너무 친절하세요 감사합니다!!', '좋아요': '0'}]","{'토': '09:00 ~ 19:30', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '휴무일': '매주 일요일'}"
서초당약국,4.4,서초구 서초중앙로 107 삼화빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTlfMjY1%2FMDAxNzMxOTg0NzcwNDU2.xDPxhrYBQqKgjsaqLLj1PazyulKn9J-n9iFOsFWhJDkg.4N_daVCZfWLOEp11gdPSAPL32Weeu7CcZfkxB_LxqzQg.JPEG%2F111.jpg%3Ftype%3Dw773,"[{'작성자': 'Shk', '별점': '5.0', '날짜': '2024.11.28.', '내용': '가운 안입은 아저씨분이 일반약 잘 판매하시더라구요~', '좋아요': '0'}, {'작성자': '잇프피', '별점': '5.0', '날짜': '2023.05.30.', '내용': '약사님께서 조곤조곤 친절하게 설명 잘해주세요!!', '좋아요': '0'}, {'작성자': '배성진', '별점': '5.0', '날짜': '2023.02.06.', '내용': '주번 약국에 약이 없어서 곤란한 상황이였는데 완전 친절하게 약 다 있으니까 천천히 오시라고 하면서 약국 위치까지 친절하게 알려주시면서 잘 준비해놓겠다고 하셨습니다. 이런 약사분이 많으셨으면 좋겠습니다.', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
솔약국,5.0,서초구 효령로 237 서초한신리빙타워 103-1호,,"[{'작성자': '김수빈', '별점': '5.0', '날짜': '2022.05.14.', '내용': '사랑니 빼고 마취 풀려서 죽을 뻔 했는데\n친절하게 처음부터 끝까지 응대해주셔서 \n이렇게 살아서 리뷰 남겨요.\n정수기... 더보기', '좋아요': '0'}, {'작성자': '노지', '별점': '5.0', '날짜': '2021.07.01.', '내용': '친절하세요~~', '좋아요': '0'}]","{'토': '08:30 ~ 13:30', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30'}"
위드팜서초역약국,3.0,서초구 반포대로 138 양진빌딩,,"[{'작성자': 'ㆍ', '별점': '1.0', '날짜': '2021.03.10.', '내용': '근처 경쟁 약국이 없어서 그런가 성모나 옆에 내과에서 한달 이상씩 약 타가는 사람들만 신경써 줘요. 출구 앞이라 접근성은 좋지만 복약지도 잘 해주고 친절한 다른 약국 많아요.', '좋아요': '1'}, {'작성자': '쾌쾌쾌', '별점': '5.0', '날짜': '2020.09.12.', '내용': '약사님 설명도 잘해주시고 너무 친절해요!!', '좋아요': '0'}]","{'토': '08:30 ~ 13:00', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30'}"
그린약국,4.0,서초구 효령로 394 시범빌딩 102호,,"[{'작성자': 'Violin 최보윤', '별점': '5.0', '날짜': '2020.03.21.', '내용': '사람이 많아서 바쁘셨는데,\n친절하게 안내해주셔서\n기분좋게 마스크 구입^^/', '좋아요': '0'}, {'작성자': '여름잔디', '별점': '5.0', '날짜': '2020.03.21.', '내용': '요즘 약사님들 고생이시네요.\n오늘 마스크때문에 바쁘신데도 약 설명 자세히 해주셨어요.\n제가 질문이 좀 많아서 마스크 기다리시는... 더보기', '좋아요': '0'}, {'작성자': '은경 Noh', '별점': '5.0', '날짜': '2020.03.16.', '내용': '요즘같은때에 같은질문 같은대답을 백만번씩 하시는 입장이실텐데, 친절하신 약사님 완전 좋아요', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
교대사랑약국,5.0,서초구 서초대로 335 서흥빌딩 1층,,"[{'작성자': '왱알왱알', '별점': '5.0', '날짜': '2025.01.27.', '내용': '일찍 열고 늦게 닫아 접근성이 좋은 약국 \n편리하고 없는게 없다', '좋아요': '0'}, {'작성자': 'retro', '별점': '5.0', '날짜': '2022.04.13.', '내용': '약사선생님 친절하시고 주말에도 여십니다\n약국 돈벌려고 하는거죠 근데 주말에도 계속 열어주시는 약국이 있다는건 주민 ... 더보기', '좋아요': '6'}, {'작성자': '정종훈', '별점': '5.0', '날짜': '2022.03.19.', '내용': '약사 선생님 친절하시고 설명도 깔끔하게 잘 해주셔서 좋아요 !', '좋아요': '0'}]","{'토': '08:30 ~ 21:30', '일': '08:30 ~ 21:30', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00'}"
해피약국 강남역점,3.9,서초구 강남대로 365 대우도씨에빛 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA0MTJfMjM1%2FMDAxNjgxMjg0MTAwNzM1.Arn6ydiFT8e1ZFTlLPhmZpD0pwFEdltduRnf1U7AYecg.HodIHRpMCWBNyvW0bDJMeXYm1QVyRo64Fn7m9m4BE74g.JPEG.kboxingk%2F%25EA%25B0%2595%25EB%2582%25A8%25EC%2597%25AD_%25ED%2583%259C%25EB%258B%259D%25EC%2583%25B5_2.JPG%3Ftype%3Dw773,"[{'작성자': '안녕하세요?', '별점': '2.0', '날짜': '2025.01.11.', '내용': '친절하다는 후기 보고 왔는데, 카운터에서 접수받으시는 분 불친절하셔요.\n원래 말투가 툭툭 던지시는 것 같긴한데, 기분은 안 좋네요.', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.11.25.', '내용': '다른 약국보다 많이 비싸요.', '좋아요': '0'}, {'작성자': '⚖', '별점': '5.0', '날짜': '2024.04.25.', '내용': '강남에서 약국 볼 일 있으면 항상 여기로 옵니다.\n다른 약국의 경우, 근처 병원이 아니라고 처방전에 해당 약이 없으면 빠꾸먹기도 해서 뺑뺑이를 하게 되... 더보기', '좋아요': '0'}]",{}
강남호랑이한약국,5.0,서초구 강남대로55길 9-13 J타워 4층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MTJfNDYg%2FMDAxNzIzNDQwODYxMzUz.2ZENzYChxFym_CqYDRSqhOuO8OhP_VKxjFLPRoGwF7Ig.VZOGIKeIiqY1i2lAdomRt3WAIqHFj5wfhkB-7hXiqiIg.PNG%2FSE-6AA68BF0-050A-40E5-BA8B-E1B5FEC74436.png%3Ftype%3Dw466,"[{'작성자': '신경철', '별점': '5.0', '날짜': '2019.08.07.', '내용': 'ㅇㅇ', '좋아요': '0'}]","{'토': '10:00 ~ 16:00', '월': '10:00 ~ 19:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 19:00', '목': '10:00 ~ 19:00', '금': '10:00 ~ 19:00'}"
다보약국,5.0,서초구 서초대로40길 77 1층 101호,,"[{'작성자': '이성현', '별점': '5.0', '날짜': '2020.09.13.', '내용': '약사 선생님이 친절하셔요', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
강남성지약국,1.0,서초구 강남대로 419 파고다타워 지하2층 101호,,"[{'작성자': 'ham', '별점': '1.0', '날짜': '2023.08.23.', '내용': '평균보다 만원이상 비싸요.', '좋아요': '0'}]","{'토': '10:00 ~ 18:00', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 21:00', '목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00'}"
