name,score,address,img_url,reviews,open_hour
구룡수약국,1.5,서초구 논현로31길 41,,"[{'작성자': 'P', '별점': '2.0', '날짜': '2020.05.05.', '내용': '근처에 다른 약국이 없어서 어쩔수 없이 가게 되는 곳.', '좋아요': '1'}, {'작성자': '별5만주면변별력없음', '별점': '1.0', '날짜': '2017.03.18.', '내용': '약사는 정작 할머니이고 할아버지는 셔터맨 같은데 불친절. 복약지도 및 성분 설명이 부실한 전형적인 옛날 약국', '좋아요': '1'}]","{'토': '09:00 ~ 19:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30'}"
환승약국,1.0,서초구 강남대로 221 107호,,"[{'작성자': '민범기', '별점': '1.0', '날짜': '2021.03.29.', '내용': '길건너 양재프라자 약국 이용하세요 가격 거의 두배차이에요 다른 약국에 비해 너무 비싸게 파는듯요', '좋아요': '3'}]","{'토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
푸른온누리약국,3.8,서초구 바우뫼로35길 22 모창빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2a7e796ac0d4ed01f4b6c85e64496c78a3a83adc%3Foriginal,"[{'작성자': '.', '별점': '5.0', '날짜': '2025.01.25.', '내용': '제가 사는 약이 가격도 타 약국 대비 진짜 저렴해요.. 남는게 있는건지.. 항상 쟁여두고 있어요.. 최고', '좋아요': '0'}, {'작성자': '콩콩이', '별점': '5.0', '날짜': '2024.08.24.', '내용': '오늘 아침에 정말 감사했습니다~ :)', '좋아요': '0'}, {'작성자': 'Ji eun', '별점': '3.0', '날짜': '2024.08.12.', '내용': '너무 친절하고 좋은데 다른 약국들에 비해\n약값이 넘 비싸요 ㅠㅠㅠㅠㅠ\n처방약 기준으로 2... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '10:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 20:30', '금': '09:00 ~ 21:00'}"
이오당약국,3.0,서초구 동산로6길 38,,"[{'작성자': '김선달', '별점': '3.0', '날짜': '2022.03.11.', '내용': '맨날 약 없다는데 다른 약국 가면 항상 있네요.. 없다고 하면 그냥 다른 곳 가시길', '좋아요': '0'}]","{'토': '09:00 ~ 23:00', '일': '휴무일', '월': '10:00 ~ 23:00', '화': '10:00 ~ 23:00', '수': '10:00 ~ 23:00', '목': '10:00 ~ 23:00', '금': '10:00 ~ 23:00', '휴무일': '매주 일요일'}"
메디팜숲약국,4.2,서초구 바우뫼로35길 28 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTNfMjQy%2FMDAxNzMxNDU4NDgxMDk3.uzMwgt8eIYzQILRmk87PHosW7DobpfMnzW2eEAGlI20g.cVZEA0zFvx_-Cz4_OUY3Dnna8T-2uWPALPtbzhd5T0Yg.JPEG%2FKakaoTalk_20241101_100728175_01.jpg%3Ftype%3Dw773,"[{'작성자': '맛있는거', '별점': '5.0', '날짜': '2023.12.06.', '내용': '약 값도 저렴하고 복용지도 꼼꼼하게 해주십니다. 약에 부작용이 있어 여쭤보러 갔는데 상세하고 친절하게 답변해주시고 해결 방안까지 자세하게 말씀해주셨어요!', '좋아요': '0'}, {'작성자': '-', '별점': '1.0', '날짜': '2023.06.09.', '내용': '불친절 땍땍거림 약값이 올랐는지내렷는지도 잘모름', '좋아요': '0'}, {'작성자': 'JK', '별점': '5.0', '날짜': '2023.03.07.', '내용': '근처 병원 들릴 일 있어 방문했는데 약사분들이 친절하시고 상비약 추천도 세세하게 잘 해주십니다. 약들도 잘 들었어요.', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00'}"
성실팜,0.0,서초구 매헌로8길 7,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
이안약국,5.0,서초구 남부순환로 2606,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '10:00 ~ 14:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 21:00'}"
양재메디칼약국,2.8,서초구 동산로 64 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA3MjFfNDMg%2FMDAxNjg5OTE0NjU0ODEw.IZoSdlucx0PcdJt0Q9C0YfqCJxMIEGgy3c7MQBJe2Uog.97Znvz7-meivnYjtZFb_eth-sNgT_LvQetNqidWPqNYg.JPEG.pet_pharm8%2F%25ED%258E%25AB%25ED%258C%259C%25EC%258A%25A4%25ED%258B%25B0%25EC%25BB%25A4.jpg%3Ftype%3Dw966,"[{'작성자': '랄라', '별점': '5.0', '날짜': '2025.01.16.', '내용': '여자선생님 왕친절하심요', '좋아요': '0'}, {'작성자': 'hoking', '별점': '5.0', '날짜': '2024.10.19.', '내용': '불친절하다는 평이 있던데 여기 여자 약사님은 진짜 친절하세요!! 아픈 와중에 넘 따숩게 말씀해주셔가지구 힐링받고 리뷰남깁니다...!', '좋아요': '0'}, {'작성자': '박준범준뱀', '별점': '5.0', '날짜': '2024.03.16.', '내용': '반주말약국\n토요일 5시반까지', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '공휴일'}"
엔스온누리약국,5.0,서초구 강남대로 206 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F761234067d6f8ec058f0eecf3b95310ad9ee2944%3Foriginal,"[{'작성자': '동그리', '별점': '5.0', '날짜': '2024.10.12.', '내용': '제품 되게 다양하게 구비되어 있는 양재역 앞 대로변 약국이네요. 있을 거 다 있고 친절합니다', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '휴무일': '매주 일요일'}"
조은약국,2.3,서초구 동산로 10 1층,,"[{'작성자': '이채호', '별점': '5.0', '날짜': '2024.05.18.', '내용': '친절하시고 좋습니다', '좋아요': '0'}, {'작성자': '여름', '별점': '1.0', '날짜': '2023.05.09.', '내용': '쓸데없는 말 많이 하고..환자에게 뭐하다 다쳤냐. 꼬치꼬치 캐묻고...술먹고 속이 안좋다하니 술을 안먹으면 되지않냐는둥 ㅋㅋ. 필요한 말만 주고받았으면 좋겠음', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
