name,score,address,img_url,reviews,open_hour
셀메드 365일 태평양약국,,서초구 중앙로 582 서초타워 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F094449893DBA424A853D87D9AF2A30FA,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '일': '10:00 ~ 22:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00'}"
연두약국,4.5,서초구 태봉로 70 우면프라자1 110호,,"[{'작성자': 'Lizzzzzy', '별점': '4.0', '날짜': '2020.12.01.', '내용': '갈 때마다 친절하고 기분 좋게 대해주셨어요. \n별 하나 뺀 건, 약이 다른 데보다 조금 비싸다는 느낌 받았구요, SUV 이상되는 차는 주차할 데가 없어요.', '좋아요': '0'}, {'작성자': '전진서', '별점': '5.0', '날짜': '2020.10.08.', '내용': '따뜻하게 잘 대해주십니다~', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30'}"
고명온누리약국,4.0,서초구 바우뫼로 23 선일상가 1층 101~102호,,"[{'작성자': ';-)', '별점': '3.0', '날짜': '2023.10.14.', '내용': '서울페이 된다고 가맹점목록에 있었는데 안된대요', '좋아요': '0'}, {'작성자': 'hzip20', '별점': '5.0', '날짜': '2023.01.05.', '내용': '여기 친절하고 좋아요. 어디처럼 영양제 끼워 팔기 안 하고요.\n여기 약국 생긴 지 오래 됐는데. 동네 다른... 더보기', '좋아요': '0'}]","{'토': '09:15 ~ 14:00', '월': '09:15 ~ 18:45', '화': '09:15 ~ 18:45', '수': '09:15 ~ 18:45', '목': '09:15 ~ 18:45', '금': '09:15 ~ 18:45'}"
우면메디칼약국,0.0,서초구 태봉로 62,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00'}"
모아약국,5.0,서초구 성촌길 34 지하1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30'}"
은혜온누리약국,0.0,서초구 바우뫼로7길 8,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
초록약국,1.0,서초구 바우뫼로7길 8 세신상가 501호,,"[{'작성자': '뿌엥뿌엥', '별점': '1.0', '날짜': '2024.04.23.', '내용': '9시에 안열어요.', '좋아요': '0'}, {'작성자': '한재희', '별점': '1.0', '날짜': '2024.01.29.', '내용': '최근에 갔는데 소아용 항생제를 시럽 제조를 안해주고 한병만 해주고 나머지는 시럽 제조용 가루병 새거를 그냥 주네요?\n4일치 약이었는데... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
성실팜,0.0,서초구 매헌로8길 7,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
신세계약국,2.3,서초구 매헌로 34 한일빌딩 1층,,"[{'작성자': '양갱', '별점': '1.0', '날짜': '2025.01.16.', '내용': '자꾸 듣보잡 이상한 약 추천함', '좋아요': '0'}, {'작성자': 'ghiio', '별점': '5.0', '날짜': '2024.06.24.', '내용': '반창고 사러 들렀는데 친절히 설명해주셨어요! 좋은 곳이에요', '좋아요': '0'}, {'작성자': '이영민', '별점': '1.0', '날짜': '2019.08.22.', '내용': '매우 친절하시고 가족처럼 편안해요', '좋아요': '1'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
서광약국,3.7,서초구 남부순환로315길 104,,"[{'작성자': '암어쥑쥑', '별점': '5.0', '날짜': '2024.11.10.', '내용': '토요일에 영업하는 곳 찾아 급하게 들어갔는데 중년 약사님 정말 친절하시고, 설명도 꼼꼼하게 잘 해주셔서 감사했습니다 :) 💛', '좋아요': '0'}, {'작성자': '모치', '별점': '5.0', '날짜': '2024.04.30.', '내용': '약사님이 너무너무 친절하세요 감사합니다!!', '좋아요': '0'}]","{'토': '09:00 ~ 19:30', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '휴무일': '매주 일요일'}"
다나약국,4.9,서초구 효령로 229 서울빌딩 1층 04호,,"[{'작성자': '윤현일', '별점': '5.0', '날짜': '2024.04.23.', '내용': '약사님이 너무 친절하시고 상냥하세요', '좋아요': '0'}, {'작성자': '이신혜', '별점': '5.0', '날짜': '2023.10.31.', '내용': '약사님이 너무 친절하시네요 여기서 부모님 선물 샀는데 다른 곳보다 저렴하더라구요 다음에도 또 방문하러 갈게요~', '좋아요': '0'}, {'작성자': '쿸키', '별점': '5.0', '날짜': '2023.08.03.', '내용': '너무 친절하시고 마음이 편해지는 곳이에요 감사합니다!', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '일': '08:00 ~ 13:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '설전날, 설당일, 설다음날'}"
나우리팜,0.0,서초구 매헌로 52,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
