name,score,address,img_url,reviews,open_hour
대풍약국,2.7,성동구 사근동길 6 한양제일빌딩 1층,,"[{'작성자': '김남산', '별점': '1.0', '날짜': '2023.09.08.', '내용': '그냥 후문 바로 앞이라 다니기 시작했다가 10년 다님. 약사, 발렛 담당자분들 친절함. 근데 접수처 직원분들한텐 친절의 ㅊ도 느껴본 적이 없음. 문전 약국이라 그러려... 더보기', '좋아요': '1'}, {'작성자': '현수', '별점': '5.0', '날짜': '2023.07.27.', '내용': '후기와 다르게 친절하고 설명도 잘해주셨어요👍', '좋아요': '0'}, {'작성자': '한양대 가성비', '별점': '1.0', '날짜': '2023.03.21.', '내용': '안내하시는분들 너무 몰상식합니다. 통행하는 사람이 먼저 아닌가요? 학교앞에서 안그래도 유동인구 많은곳인데 길막고… 평생 비호감으로 남을 장소입니다.', '좋아요': '2'}]","{'금': '08:00 ~ 18:30', '토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '휴무일': '매주 일요일'}"
설약국,,성동구 마조로1길 39 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
신성림약국,4.2,성동구 마조로 24 1층,,"[{'작성자': '내추구미카디비', '별점': '5.0', '날짜': '2024.11.09.', '내용': '정말 친절하십니다 always.', '좋아요': '0'}, {'작성자': 'ㄹㅇ', '별점': '5.0', '날짜': '2024.05.30.', '내용': '정말 친절하시네요. 이 근방 처방전 제조해주는 약국 중 저녁까지 여는 유일한 약국인듯. 정말 마음에 들어서 앞으로 약국은 여기만 가려고요ㅎ', '좋아요': '0'}, {'작성자': 'nwhxhs', '별점': '5.0', '날짜': '2023.06.13.', '내용': '약사님 너무 친절하고 좋으세요!!', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
혜민약국,2.0,성동구 마조로 30 미진빌딩 1층,,"[{'작성자': '❤️\u200d🔥', '별점': '1.0', '날짜': '2023.08.04.', '내용': '일반약 사러갔다가 한참 기다리다 그냥 나왔네여🥵\n그렇다고 처방전 약도 빨리 조제되지는 않는 것 같아보였어여🫥', '좋아요': '1'}, {'작성자': '짖어야산다', '별점': '2.0', '날짜': '2022.07.27.', '내용': '사람많아서 대기엄청걸림\n어차피 처방전대로 약주는건데 굳이?\n사람많은데서 시간낭비할필요있나요', '좋아요': '0'}, {'작성자': '굴걸', '별점': '1.0', '날짜': '2022.06.17.', '내용': '왜...반말을....', '좋아요': '1'}]","{'금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
더밝은약국,,성동구 마조로9길 15 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '11:00 ~ 23:00', '토': '11:00 ~ 23:00', '일': '12:00 ~ 22:00', '월': '11:00 ~ 23:00', '화': '11:00 ~ 23:00', '수': '11:00 ~ 23:00', '목': '11:00 ~ 23:00'}"
정문약국,1.5,성동구 왕십리로 236-1 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6F56E0CAACE940CCB0FDC1A9F81AE4C9,"[{'작성자': '조재현', '별점': '1.0', '날짜': '2025.03.15.', '내용': '비싸고 불친절해요. 약국 많은데 굳이 여기 갈 필요 없음', '좋아요': '0'}, {'작성자': 'Texan', '별점': '5.0', '날짜': '2023.12.04.', '내용': '진핵거담제: 3000원\n약사님이 되게 친절하시네요 ㅎㅎ', '좋아요': '0'}, {'작성자': '♡̷̷̷', '별점': '1.0', '날짜': '2022.01.26.', '내용': '아.. 몰랐어요. 여기가 다른데 보다 비쌌네요. \n오랜만에 사는 거여서 가격이 좀 올랐구나 생각했는데 오늘 집앞 약국에서 똑같은거 사면서 알았네요... 더보기', '좋아요': '1'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '공휴일'}"
영화당약국,5.0,성동구 사근동길 55,,"[{'작성자': '파티니 Fatini', '별점': '5.0', '날짜': '2023.01.09.', '내용': '너무 친절하세요 고마워요~', '좋아요': '0'}, {'작성자': '박종학', '별점': '5.0', '날짜': '2022.08.23.', '내용': '늦은 시간에 전화드렸는데 끝까지 계셔주시고 너무 친절하게 해주셔서 감사드립니다', '좋아요': '0'}, {'작성자': 'suong suong', '별점': '5.0', '날짜': '2021.10.31.', '내용': '100.', '좋아요': '0'}]","{'금': '09:00 ~ 21:30', '토': '10:00 ~ 21:30', '일': '휴무일', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '휴무일': '매주 일요일'}"
한양약국,2.3,성동구 마조로 17 1층,,"[{'작성자': '순두부', '별점': '1.0', '날짜': '2025.02.10.', '내용': '불친절', '좋아요': '0'}, {'작성자': '핑까 ✅', '별점': '2.0', '날짜': '2024.07.10.', '내용': '그닥 친절하지 않음. 성분도 잘 모르심', '좋아요': '0'}, {'작성자': '아가리백종원', '별점': '5.0', '날짜': '2020.11.05.', '내용': '늦게까지 하고 친절.', '좋아요': '2'}]","{'금': '09:00 ~ 21:30', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '휴무일': '매주 일요일'}"
후문약국,5.0,성동구 마조로 22-3 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F238EC0BC82A04867B80F8DB002C8D1E2,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.06.19.', '내용': '한양대병원 인근 약국 중에선 여기가 제일 낫다', '좋아요': '0'}, {'작성자': '한양대 가성비', '별점': '5.0', '날짜': '2024.04.23.', '내용': '한양대학교 학생이라면 여기 이용합시다 다른 약국들처럼 주차요원 고용해서 학생들한테 피해주는 일도 없고 학교에 후원도 하시네요', '좋아요': '0'}, {'작성자': '겨울고래', '별점': '5.0', '날짜': '2024.02.02.', '내용': '약사님 엄청친절하시네요 약 설명도 자세히해주시고 꼼꼼하게 다 적어주시고 계속쓰던약인데 다른약국에서는 듣지못했던 약에대한 설명을 여기서 첨듣네요 이약국 너무 믿음이갑니... 더보기', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
종로약국,5.0,성동구 사근동길 2,,"[{'작성자': '쪼록이', '별점': '5.0', '날짜': '2024.12.10.', '내용': '친절하시고 가격도 합리적이에요', '좋아요': '0'}, {'작성자': '1or5', '별점': '5.0', '날짜': '2024.11.12.', '내용': '사장님 너무 친절하구..약국은 여기만 갑니당💊', '좋아요': '0'}, {'작성자': '우홍', '별점': '5.0', '날짜': '2024.09.14.', '내용': '사장님이 너무너무 친절하십니다 ☺️ 주변에 약국 많아도 늘 여기를 가게 되는 것 같아요', '좋아요': '1'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00'}"
