name,score,address,img_url,reviews,open_hour
타워약국,4.6,성동구 상원1길 26 서울숲A타워 1층 109호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1158035F2CDC4D5388D79B6A8DE2716F,"[{'작성자': '바른', '별점': '5.0', '날짜': '2024.10.08.', '내용': '약사님 넘 친절하시고 매 증상에 유용한 팁 많이 알려주세요~ 근처 병원에서 처방전 받으면 굳이 여기로 가서 약 조제 받습니다. :)', '좋아요': '0'}, {'작성자': '노을', '별점': '5.0', '날짜': '2024.05.06.', '내용': '약사님 친절 :)\n목 아픈데 문 연 병원도 없고.. 약국 찾아들어갔는데 친절히 설명해주셔서 감사했습니당', '좋아요': '0'}, {'작성자': '황가두', '별점': '1.0', '날짜': '2023.04.04.', '내용': '처방전대로 약이 들어있지 않음. 문의하니, 약국에선 흔한 일이라고 사과도 안 하고 다시 지어주려 함. 심지어 같은 약이 2알이 들어있는 봉투를 짚으며, 이 약은 2알 먹어도 상관없다고 함. 앞으론 여기... 더보기', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
푸른약국,2.6,성동구 아차산로 41 삼성빌딩 지하1층,,"[{'작성자': '.', '별점': '1.0', '날짜': '2025.04.05.', '내용': '처방전받는 여자는 인사도없고 안내도없고\n나이많은 여자약사는 귀찮아함\n약고 순환이안되나봄\n안과약 ... 더보기', '좋아요': '0'}, {'작성자': '김창호', '별점': '1.0', '날짜': '2022.08.27.', '내용': '친절하시긴한데 젊은 여성약사님 지식이 좀....\n미녹시딜 처방 없어도 되는데 있어야된다 그러고\n알보칠도 입헹구라고 설명에 써있는데 삼켜도 된다 그러고 뭔가 좀 ...', '좋아요': '0'}, {'작성자': 'vibe', '별점': '5.0', '날짜': '2022.01.13.', '내용': '약사쌤 너무 친절하세용 ㅠㅠㅠ 약 부작용도 하나하나 다 설명해주시고 이렇게 찐하게 아이컨택해주시는 분 첨입니당......', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '일': '10:00 ~ 12:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
성은약국,1.6,성동구 상원길 59 쌍용아파트 상가 B동 1층,,"[{'작성자': 'Tascosa High', '별점': '2.0', '날짜': '2024.07.01.', '내용': '약 달라고 하면 비싼거부터 내미시네요.. 싼거 달라고 해야 그제서야 주시는.. 가격 알아보고 가세요.', '좋아요': '0'}, {'작성자': '박현순', '별점': '5.0', '날짜': '2024.04.01.', '내용': '평일 8시넘어서 생리통 진통제 사러갔는데 다른곳 다 문닫았는데 여기 한 곳 열어서 살수있었어요!', '좋아요': '0'}, {'작성자': '평범', '별점': '4.0', '날짜': '2024.02.23.', '내용': '? 친절하신딩', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00'}"
수명약국,2.3,성동구 왕십리로 94-2 1층,,"[{'작성자': '소현', '별점': '5.0', '날짜': '2024.07.06.', '내용': '진통제 사려고 방문했는데 별점 안좋은거보고 고민하다가 제일 가까워서 그냥 약만 사자!! 하고 방문했어요.\n 근데 후기와는 다르게 응대도 친절하시고 정수기가 없길... 더보기', '좋아요': '0'}, {'작성자': '존맛탱구리', '별점': '1.0', '날짜': '2020.07.30.', '내용': '마스크 하나 사러 갔는데 5개짜리 묶음사라고 어찌나 강요를 하시던지...너무 불편했어요..', '좋아요': '0'}, {'작성자': 'yes', '별점': '2.0', '날짜': '2020.07.08.', '내용': '불친절하심...', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
신동아약국,5.0,성동구 왕십리로 92 1층,,"[{'작성자': '맛있썹!', '별점': '5.0', '날짜': '2024.11.16.', '내용': '제가 좋아하는 약국입니다.', '좋아요': '0'}, {'작성자': 'ㅁㅁ', '별점': '5.0', '날짜': '2023.10.13.', '내용': '회사에서 좀 멀지만 일부러 이 약국으로 갑니다 ㅎㅎ', '좋아요': '0'}, {'작성자': '제리는욕심장이야', '별점': '5.0', '날짜': '2023.08.19.', '내용': '이런 리뷰 잘 안쓰는데 정말 친절하세요\n집에서 좀 멀지만 가고싶은 약국입니다', '좋아요': '1'}]","{'금': '09:30 ~ 20:00', '토': '09:30 ~ 17:00', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00'}"
코코온누리약국,4.9,성동구 아차산로 48 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MjlfMTQg%2FMDAxNzE5NjU0MTIzNDkw.bgkg6Jc7JiezoelL63bb4VNH5243Lx-K8VFHhUxnm1Yg.yVVa7WxCLwJ7bqmuMGvhcbFSYxNlbgrIos5Px71g2icg.JPEG%2Foutput_1183534246.jpg%3Ftype%3Dw773,"[{'작성자': '망원정복이목표', '별점': '5.0', '날짜': '2024.11.11.', '내용': '엄청 친절하시고 잘 알려주셔서 좋아요!', '좋아요': '0'}, {'작성자': '보리', '별점': '5.0', '날짜': '2024.10.22.', '내용': '처방약이 겹쳐서 복잡했는데 복약지도를 너무 친절히 해주셨어요 감사합니다', '좋아요': '0'}, {'작성자': '주연', '별점': '5.0', '날짜': '2023.01.12.', '내용': '비상약이나 영양제 구입할 때에도, 필요한 정보를 다 물어보시고 안전하게 처방해주십니다.', '좋아요': '0'}]","{'금': '08:30 ~ 20:00', '토': '09:00 ~ 15:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '휴무일': '공휴일'}"
우리약국,4.0,성동구 성덕정길 34 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
뚝섬스타약국,5.0,성동구 아차산로 42 지하1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F9B02E8CDB7674ADF88785380C38215F5,"[{'작성자': '가또', '별점': '5.0', '날짜': '2025.01.17.', '내용': '정말 친절하시고 꼼꼼히 자세하게 설명해주세요~!', '좋아요': '0'}, {'작성자': '묭스', '별점': '5.0', '날짜': '2024.12.06.', '내용': '약 설명 이렇게 자세히 해주는 약국 난생 처음 봤어요..  말도 조곤조곤 알아듣기 쉽게 해주시고 너무 좋은데요', '좋아요': '0'}, {'작성자': '보리', '별점': '5.0', '날짜': '2024.08.31.', '내용': '복약지도를 엄청 자세하게 해주신다\n좀 오래기다리긴 했는데 사람 그렇게 많은거 치곤 빠른편', '좋아요': '0'}]","{'금': '08:30 ~ 20:00', '토': '08:30 ~ 15:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '휴무일': '공휴일'}"
뚝섬1번약국,5.0,성동구 아차산로 15-8 DS빌딩 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMDVfMTU1%2FMDAxNzA5NjI0Nzc3NDg1.-v9CJoiJTgxjlLU1dB1QYzEdsTL1YdIZOU7RINgMwVgg.-ZPYTHe3DdSq4xohwcVhIDWuo8cwFNXkvRLqdklvWTIg.JPEG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%259A%259D%25EC%2584%25AC1%25EB%25B2%2588%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '랄랄', '별점': '5.0', '날짜': '2024.07.26.', '내용': '놀러갔을 때 급하게 찾은 약국인데 친절하시고 깨끗해서 좋았습니다', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '2025년 4월 13일 휴무, 설전날, 설당일, 설다음날, 1월1일, 한글날, 성탄절'}"
서울숲팜프라자약국,4.3,성동구 왕십리로 50 메가박스스퀘어빌딩 지하1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjEyMDFfMTA0%2FMDAxNjY5ODY0MjU2NzEx.sTJuR6lizSfm1S9ZJ76xM0nB2V7LzMhQMV3eQBNjJ-Yg.zwRF8V8yTWizVA3tB3znQEZG_QzpdC-wmEifEdCG044g.JPEG.isyoo79%2FIMG_1089.jpg%3Ftype%3Dw966,"[{'작성자': '바나나빵', '별점': '1.0', '날짜': '2025.01.16.', '내용': '증상이 심하면 약을 무조건 2개 사야하나요? 허리도 아프고 아랫배도 아프다고 했더니 약을 두개 주시더라구요. 그래서 하나만 있으면 될 것 같다고 해서 1개만 샀더니 태도가 ... 더보기', '좋아요': '1'}, {'작성자': 'sulsulsultv', '별점': '5.0', '날짜': '2024.12.26.', '내용': '앞에 내과 왔다가 와봤는데  친절하게 이것저것 다 설명해줍니다', '좋아요': '0'}, {'작성자': '나쵸', '별점': '5.0', '날짜': '2024.08.19.', '내용': '말이 엄청 빨라서 설명 와다다 해줌\n그래도 친절', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 15:30', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:30'}"
