name,score,address,img_url,reviews,open_hour
엄마손약국,4.8,성동구 왕십리로 327 1층,,"[{'작성자': 'woo', '별점': '5.0', '날짜': '2024.02.04.', '내용': '일요일에도 열고 여자약사선생님 너무 친절하시고 좋아요 앞으로 여기 오려구요~', '좋아요': '0'}, {'작성자': 'God bless you~^^', '별점': '4.0', '날짜': '2023.12.31.', '내용': '여기 여자 약사분 말하는거 재미 있습니다. 건조한대 친절하다고 해야 하나? 암튼 자꾸 말시케 만들고 싶은 스퇄입니다 ㅋ', '좋아요': '0'}, {'작성자': '냠냠냠', '별점': '5.0', '날짜': '2023.12.22.', '내용': '왕십리에서 제일 좋은 약국!\n약사님이 정말 친절하시고 환자가 알아듣기 쉽게, 꼼꼼하고 상세히 약의 효과, 주의... 더보기', '좋아요': '0'}]","{'금': '08:00 ~ 21:00', '토': '08:00 ~ 20:00', '일': '09:00 ~ 20:00', '월': '08:00 ~ 21:00', '화': '08:00 ~ 21:00', '수': '08:00 ~ 21:00', '목': '08:00 ~ 21:00'}"
유림약국,5.0,성동구 무학봉13길 1,,"[{'작성자': '솔직한 돼식가', '별점': '5.0', '날짜': '2024.09.15.', '내용': '온누리 가능🌟\n친절하시고 잘 알려주시고 너무 좋아요', '좋아요': '0'}, {'작성자': '김환성(Ryan)', '별점': '5.0', '날짜': '2024.05.07.', '내용': '늦게까지 열어주셔서 감사합니다!', '좋아요': '0'}]","{'금': '08:30 ~ 21:00', '토': '08:30 ~ 20:00', '일': '휴무일', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00', '휴무일': '매주 일요일'}"
왕십리길약국,3.0,성동구 왕십리로 333 유성빌딩 1층,,"[{'작성자': '선경', '별점': '5.0', '날짜': '2025.01.25.', '내용': '약 종류가 다양하고 복약지도를 잘해주세요 \n무엇보다 친절하시고 접근성도 좋습니다 추천합니다', '좋아요': '2'}, {'작성자': '마아린', '별점': '1.0', '날짜': '2024.05.22.', '내용': '친절은커녕 개개개불친절\n의사가 잘못 처방한거를 환자보고 약체크도 안하고 받아갔다고 화내는곳\n의사한테는 화도 못내면서 불법타령부터 시작... 더보기', '좋아요': '0'}, {'작성자': '^^', '별점': '1.0', '날짜': '2024.05.04.', '내용': '누가 친절하다고 한건지 세상 불친절해서 기분나빠나옴 \n두번째 방문인데 약값도 비싸게받고', '좋아요': '1'}]","{'금': '08:00 ~ 20:00', '토': '08:00 ~ 17:00', '일': '10:00 ~ 14:00', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00'}"
도담약국,4.0,성동구 왕십리로 410 센트라스 130동 2층 221-1~222호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8E8B1F594F9C49F2A7038B763A4FA396,"[{'작성자': '뎌미뎌미', '별점': '2.0', '날짜': '2024.09.14.', '내용': '어디있는지 찾기 어려워서 전화해서 공차 안쪽으로 들어왔는데 어디로 가야하는지 알수있냐고 물어봤더니 ㅋㅋㅋ 그렇게 얘기하면 제가 알수가없다고했나? 어떻게 아냐고 했나? 하여튼 별로였습니다', '좋아요': '0'}, {'작성자': '+×÷=', '별점': '5.0', '날짜': '2022.03.21.', '내용': '친절한 약국. 그만큼 바쁘지만 친절하기 위해서 최대한 노력해주셔서 감사했다.', '좋아요': '0'}, {'작성자': '꾸꾸', '별점': '5.0', '날짜': '2019.07.30.', '내용': '여기 약사님 정말 친절해서 이 상가에 약국이 많지만 꼭 이 약국으로감!! 오늘도 넘모넘모 친절하셨음!!', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:00', '휴무일': '공휴일'}"
왕십리약국,5.0,성동구 무학봉길 92 1층,,"[{'작성자': '최수정 Mabel', '별점': '5.0', '날짜': '2022.01.03.', '내용': '친절하시고 좋아요!', '좋아요': '0'}, {'작성자': '우우까까', '별점': '5.0', '날짜': '2020.04.11.', '내용': '친철합니다', '좋아요': '0'}]","{'금': '08:30 ~ 21:00', '토': '08:30 ~ 21:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00', '목': '08:30 ~ 21:00'}"
늘푸른약국,2.0,성동구 왕십리로 410 센트라스 D동 지하 103호,,"[{'작성자': '유수정', '별점': '1.0', '날짜': '2024.10.23.', '내용': '가지마세요여기\n눈아파서 안과갔다가 눈도제대로 못뜨고 어지러워서 설명못들어서 천천히 말해달라니까 한다는소리가 박스 손가락으로 툭치면서 짜증내며 이거보... 더보기', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.05.26.', '내용': '금액 고지도 없이 결제할 때 약통에 붙여진 가격보다 천원 더 찍어서 결제하고 찔리는지 영수증 드릴까요? 말도 없음 나중에 결제 내역 보고 확인함 양심적으로 운영하시길 ㅎㅎ!', '좋아요': '0'}, {'작성자': '백주연', '별점': '1.0', '날짜': '2022.12.15.', '내용': '약사가 너무 불친절... 손님을 대하는 태도도 성의없고 혹여나 코로나 옮을까봐 전전긍긍하는 모습. 기분 나빠서 약 안사고 나오려고 했다가 참았는데 다시는 가지 않을 생각.', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
송송약국,5.0,성동구 왕십리로 410 센트라스 153타워 106호,,"[{'작성자': '신승호', '별점': '5.0', '날짜': '2024.06.07.', '내용': '약사님 짱짱!! \n너무 친절하시고 약사님 설명에 다 나은 기분이에요^^\n또 갈거에요', '좋아요': '0'}, {'작성자': '유정', '별점': '5.0', '날짜': '2024.06.01.', '내용': '약사님이 너무 친절하시구 자세히 설명해주세요! 일부러 조금 떨어진 곳임에도 불구하고 찾아갑니다.', '좋아요': '1'}, {'작성자': '음', '별점': '5.0', '날짜': '2022.11.24.', '내용': '굿굿!', '좋아요': '0'}]","{'금': '09:00 ~ 18:40', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:40', '화': '09:00 ~ 18:40', '수': '09:00 ~ 18:40', '목': '09:00 ~ 18:40', '휴무일': '공휴일'}"
새봄약국,1.6,성동구 왕십리로 410 센트라스 상가L동 2층 210-1호,,"[{'작성자': 'HannahKim', '별점': '1.0', '날짜': '2024.09.26.', '내용': '약사님과 직원분 무슨 일 있으신건지. 이 약국 다닌지 4-5 년은 되었는데 이렇게 기분 나쁘긴 첨이네요. 처방전 내고 카드내고 조제약 받아오고 약사님과 저 모두 한마디도 안했는데 ... 더보기', '좋아요': '0'}, {'작성자': '니로', '별점': '1.0', '날짜': '2024.05.23.', '내용': '혹시나 여기 들어와 봤더니 역시나.....약사라는 분...어쩌면 그렇게 말을 찾아온 사람 기분 드럽게 하시는지...몇마디 하지도 안했는데 내가 여기 왜왔지 뼈저리게 후회하게... 더보기', '좋아요': '0'}, {'작성자': 'rainbow', '별점': '1.0', '날짜': '2023.12.07.', '내용': '불친절.', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 15:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
정성온누리약국,3.4,성동구 왕십리로 410 상가 L동 3층 319호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6f2bf9fd6926e23ad9ea5a94d50c98a3807a82bd%3Foriginal,"[{'작성자': '지니', '별점': '5.0', '날짜': '2024.07.08.', '내용': '상왕십리 약국거진 다가봤는데 여기가 최고입니다\n심지어 동물의약품도...\n친절+가격+365일..갓벽', '좋아요': '0'}, {'작성자': 'ㅇ', '별점': '1.0', '날짜': '2023.09.20.', '내용': '여기 커서 갔는데. 자기들끼리 세상 쓸데없는 수다떨고 손님 개무시.', '좋아요': '0'}, {'작성자': 'Apple', '별점': '5.0', '날짜': '2023.01.12.', '내용': '정말 친절한 약국이에요 ㅎㅎ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
대중약국,3.6,성동구 왕십리로 379 1층,,"[{'작성자': 'Evan', '별점': '5.0', '날짜': '2024.06.10.', '내용': '친절하게 상담해주셔서 감사했습니다!', '좋아요': '0'}, {'작성자': '최민영', '별점': '5.0', '날짜': '2023.09.29.', '내용': '추석 당일에 배가 너무 아파서 약국 찾아 삼만리 도중 찾은 약국! 감사합니다', '좋아요': '0'}, {'작성자': '정직한리뷰왕', '별점': '5.0', '날짜': '2023.03.11.', '내용': 'ㅋㅋㅋㅋㅋ 반말 기본! 약 비쌈!!', '좋아요': '0'}]","{'금': '09:00 ~ 21:30', '토': '09:00 ~ 21:30', '일': '15:00 ~ 21:30', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30'}"
