name,score,address,img_url,reviews,open_hour
길음역온누리약국,5.0,성북구 길음로 11 길음역롯데캐슬트윈골드아파트 1층 159호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F406f1fee4a7d59b761144cdaf6aea2f2062949cf%3Foriginal,"[{'작성자': '이민수', '별점': '5.0', '날짜': '2025.02.22.', '내용': '약사님 친절하시고 처방약에 대한 설명도  잘해주세요', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '10:00 ~ 17:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
십자약국,4.0,성북구 숭인로2길 82 1층,,"[{'작성자': 'Ho ung', '별점': '1.0', '날짜': '2024.02.11.', '내용': '영업중이라해서 힘들게 갔는데\n훼이크네요 ㅜㅜ', '좋아요': '0'}, {'작성자': '★ 단콩이★', '별점': '5.0', '날짜': '2023.04.29.', '내용': '동네 약국중 으뜸이예요🥰🥰🥰\n십자약국이 오픈되어있지 않은날은\n혹시라도. 무슨일이... 더보기', '좋아요': '0'}, {'작성자': '깊은밤을', '별점': '5.0', '날짜': '2023.03.25.', '내용': '주말저녁 어린이감기약 감사합니다🙇', '좋아요': '0'}]",{}
길음메디칼약국,2.1,성북구 길음로 2 1층,,"[{'작성자': 'DSUN', '별점': '5.0', '날짜': '2024.03.21.', '내용': '친절하시기만 함. 사람들 인성 수준;', '좋아요': '1'}, {'작성자': '나?', '별점': '1.0', '날짜': '2024.03.05.', '내용': '어처구니가 없는곳이 맞네요. 상처가 나서 어떤 것으로 처치를 해야 하는지 물어보니 ㅋㅋ 나한테 가서 보고 골라 오라네요. ㅋㅋ 아니 약파는 사람이 더 잘아는거 아닌가요? 어려운 질문도 아니... 더보기', '좋아요': '1'}, {'작성자': '하하', '별점': '5.0', '날짜': '2023.06.21.', '내용': '친절하시고 전문적이셔서 좋아요. 항상 이용합니다.\n항상 잘 이용하는데 평점 너무 낮아서 씁니다.\n왜이렇게 꼬인 사람들이 많은지..ㅎㅎ\n... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:30', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
365약국,2.0,성북구 동소문로 321 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MDhfNDkg%2FMDAxNjkxNDg3MDU3NDQz.Fzb5r3RCZkbooUDm2YS1zWX6Lyiq5siWdBU0RVbxBIQg.n8TXBhN-2eVsraQZnrOKglgSCajZE1Y7ZZ2vyZgdVoIg.JPEG.uhearing%2FKakaoTalk_20230808_182644361.jpg%3Ftype%3Dw966,"[{'작성자': '뉴캐슬챔스우승', '별점': '1.0', '날짜': '2025.03.02.', '내용': '불친절 역대 1등. 약국뿐만 아니라 그냥 역대 가본 모든 곳 중 불친절 1등입니다.', '좋아요': '0'}, {'작성자': 'ㅇ ㅇ', '별점': '1.0', '날짜': '2024.09.21.', '내용': '찐 불친절  갑질하는것도 아니고 약 처방할때 한번에 먹을수 있게 해달라고 요청했는데 약  제조 안됐는데 안된다고함ㅋㅋ(본인 귀찮아서)  약국이 거기 하나인가요?ㅋ 왜그렇게 장사하세요?', '좋아요': '0'}, {'작성자': 'Yjin', '별점': '5.0', '날짜': '2024.01.06.', '내용': '친절해요 약잘챙겨주시고 설명도 잘해줘요 잘되는약국인 이유가있네요', '좋아요': '0'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 20:30', '일': '10:30 ~ 20:30', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30'}"
신세원약국,5.0,성북구 길음로7길 6 길음뉴타운9단지래미안 상가 1층 7호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
동원약국,5.0,성북구 길음로 11,,"[{'작성자': '캠퍼블', '별점': '5.0', '날짜': '2024.12.03.', '내용': '너무 친절하세요!!! 길음역 약국을 찾으신다면 롯데캐슬트윈골드 102동 2층 동원약국 추천드립니다!', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
길음시장약국,1.5,성북구 길음로9길 50 길음뉴타운 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 13:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00'}"
도담약국,2.0,성북구 동소문로 305 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F25601A4557E8D61D31,"[{'작성자': '유홍진', '별점': '2.0', '날짜': '2020.03.26.', '내용': '큰 도로 쪽 등산복 매장 바로 옆에 있습니다! 길찾기로 하면 뒷골목으로 표시하는데 잘못된 지시입니다! 수정해 주세요!!', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
길음드림약국,5.0,성북구 길음로 11,,"[{'작성자': '주하', '별점': '5.0', '날짜': '2024.07.22.', '내용': '약사님이 복약지도도 넘 잘 해주시고 친절하셔서 너무 좋았어요👍🏻', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
옵티마e편한약국,2.0,성북구 삼양로13길 45 401호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F67e6cf2e059606b1b0f899eba5413d34d952e566%3Foriginal,"[{'작성자': '눈', '별점': '2.0', '날짜': '2023.04.13.', '내용': '오후 7시까지라고 명시되어있는데 그 전에 닫아요. 방문 예정이신 분은 서두르셔야할듯', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
