name,score,address,img_url,reviews,open_hour
돈암사거리약국,0.0,성북구 동소문로 97 1층 102호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 16:30', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '공휴일'}"
동인약국,1.0,성북구 동소문로 107,,"[{'작성자': '벚꽃', '별점': '1.0', '날짜': '2022.03.31.', '내용': 'ㅇㅇ제품 있나요? 하니까 여기 있는데 못찾냐고 글자 못읽나? 유치원 안나왔나보네? 하신게 기억에 남네요.', '좋아요': '2'}, {'작성자': '지도', '별점': '1.0', '날짜': '2020.09.13.', '내용': '약사는데 영수증달라니까 암걸린다고 이런거 만지면 ㅋㅋㅋㅋㅋ 어이가없어서 정말. 다신안갈거같아요', '좋아요': '2'}, {'작성자': '김백구', '별점': '1.0', '날짜': '2020.05.14.', '내용': '오며 가며 먼저 인사해도 미동도 없고 물어봐도 대답 없이 카드 내놓으라고 손만 내미는 그대~\n각박하고 힘들어도 사람을 등지진 마세요', '좋아요': '3'}]",{}
계산온누리약국,1.7,성북구 동소문로20길 43 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F56ac06712e0490313d16f3ab1f3614b7622281f3%3Foriginal,"[{'작성자': '현이', '별점': '2.0', '날짜': '2025.04.04.', '내용': '애매하다...', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.12.25.', '내용': '아줌마들 수다떠는곳', '좋아요': '0'}, {'작성자': '후기', '별점': '5.0', '날짜': '2024.10.19.', '내용': '처방약이라 그런가 제 경우엔 쌌고\n영업시간 11시까지라 좋았어요\n\n조... 더보기', '좋아요': '0'}]","{'목': '10:00 ~ 22:00', '금': '10:00 ~ 22:00', '토': '10:00 ~ 22:00', '일': '15:00 ~ 22:00', '월': '10:00 ~ 22:00', '화': '10:00 ~ 22:00', '수': '10:00 ~ 22:00'}"
세원약국,2.5,성북구 동소문로20가길 51 서영빌딩 1층,,"[{'작성자': '참나 어이가 없어서', '별점': '5.0', '날짜': '2024.12.20.', '내용': '늦은 시간에도 친절하십니다', '좋아요': '0'}, {'작성자': '눈눙', '별점': '1.0', '날짜': '2024.02.24.', '내용': '주변에서 야간조제하는 약국이라 어쩔 수 없이 갔는데…다른 건 다 그렇다치고 복약지도를 제대로 안 해주세요…언제 먹어야하는지 뭘 조심해야히는지 이런것도 안 말해주심 ㅋㅋ ㅠㅠ', '좋아요': '0'}, {'작성자': '퍙퍙', '별점': '2.0', '날짜': '2023.03.04.', '내용': '별로입니다 ..', '좋아요': '0'}]","{'목': '09:00 ~ 23:00', '금': '09:00 ~ 23:00', '토': '09:00 ~ 23:00', '일': '15:00 ~ 23:00', '월': '09:00 ~ 23:00', '화': '09:00 ~ 23:00', '수': '09:00 ~ 23:00'}"
아프지마약국,5.0,성북구 동소문로20가길 12 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2051ae0147d4d57ba1e62813ea6231177dbf338a%3Foriginal,"[{'작성자': '여르몽', '별점': '5.0', '날짜': '2025.03.19.', '내용': '완전 친절하세요 살면서 만난 약사님 중에 젤 친절하세요… 안그래도 아프고 사람한테 스트레스 받았는데 약사님 친절 덕분에 기분 좋아졌어요..', '좋아요': '0'}, {'작성자': '맛장금', '별점': '5.0', '날짜': '2025.03.02.', '내용': '너무 감사했어요. 365일 오픈이시라뇨. 3.1절 휴일에 동네열린약국 검색을 해도 다 닫은 약국이 많아서 조마조마했었는데 덕분에 잘 약품 구입해서 잘 처치했습니다.', '좋아요': '0'}, {'작성자': 'ㅇㅅㅇ', '별점': '5.0', '날짜': '2025.03.02.', '내용': '일요일에 급하게 약 살일 있어서 그냥 열린데 갔는데\n약사선생님이 너무 친절하셔서 봤더니 역시 후기가 넘 좋네요ㅋㅋㅋ 증상같은거 물어보시고 복용법이랑 주의점 꼼꼼하게 알려주십니다.', '좋아요': '0'}]","{'목': '10:30 ~ 21:30', '금': '10:30 ~ 21:30', '토': '09:00 ~ 19:00', '일': '10:00 ~ 19:00', '월': '10:30 ~ 21:30', '화': '10:30 ~ 21:30', '수': '10:30 ~ 21:30'}"
편안한약국,4.9,성북구 동소문로20다길 2 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FDB734FAF1ACE4CE88DDD966909E9CB8A,"[{'작성자': '김이박', '별점': '5.0', '날짜': '2024.01.11.', '내용': '약사선생님께서 정말 친절하세요 약국은 여기만 갑니다 ㅎㅎ', '좋아요': '0'}, {'작성자': '밍ㅇ', '별점': '5.0', '날짜': '2023.10.26.', '내용': '너무 친절하시고 약 추천도 직접 써보시고 해주셔서 믿음이 가요🫶🏻\n+ 남자약사님 처음뵀는데 약에대해 물어보니 환부 직접 볼수있는지 ... 더보기', '좋아요': '1'}, {'작성자': '민', '별점': '5.0', '날짜': '2023.09.01.', '내용': '진짜 친절하세요. 약 살 때는 당연히 친절하신데, 전화로 뭐 물어보는데 사실 대답 안하시거나 대충 하셔도 되는데 그런 거 없이 끝까지 대답해 주십니다ㅠㅠ 감동...', '좋아요': '0'}]",{'목': '09:00 ~ 22:00'}
유민약국,5.0,성북구 동소문로 127-2 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe161b783a207ac712b8fe4d0073a6fa558896e74%3Foriginal,"[{'작성자': '뇽', '별점': '5.0', '날짜': '2020.09.21.', '내용': '약사님도 좋으시고 따뜻한 분위기예요', '좋아요': '2'}]","{'목': '휴무일', '금': '09:30 ~ 18:00', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:00', '화': '09:30 ~ 18:00', '수': '09:30 ~ 18:00', '휴무일': '매주 목요일'}"
행복한약국,2.9,성북구 보문로34길 59,,"[{'작성자': '미소', '별점': '5.0', '날짜': '2024.09.27.', '내용': '친절하세요!', '좋아요': '0'}, {'작성자': '도현승', '별점': '5.0', '날짜': '2024.07.11.', '내용': '카드돼요 매우 친절하시고 가격 다른 약국과 똑같아요', '좋아요': '0'}, {'작성자': '샤리와네타', '별점': '1.0', '날짜': '2023.12.19.', '내용': '카드안됨 현금만 세금도둑', '좋아요': '0'}]","{'목': '09:00 ~ 23:00', '금': '09:00 ~ 23:00', '토': '09:30 ~ 23:00', '일': '09:30 ~ 23:00', '월': '09:00 ~ 23:00', '화': '09:00 ~ 23:00', '수': '09:00 ~ 23:00'}"
다올약국,4.7,성북구 동소문로 116 1층,,"[{'작성자': '마음', '별점': '2.0', '날짜': '2025.03.27.', '내용': '약국 여기만 다녔었는데\n새로 온 여자 약사분 너무 일머리 없고 느려요', '좋아요': '0'}, {'작성자': '박', '별점': '5.0', '날짜': '2025.01.15.', '내용': '너무 친절하세요!', '좋아요': '0'}, {'작성자': 'lss', '별점': '5.0', '날짜': '2024.07.08.', '내용': '설명을 잘해주셔서 약국은 여기로만 다닙니다', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
성신필약국,,성북구 아리랑로 7-1 동소문동근생 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8881D1ACCB2140ECB9D0E51D1DBB71B5,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:00 ~ 21:00', '금': '08:40 ~ 20:40', '토': '08:40 ~ 19:40', '일': '휴무일', '월': '08:00 ~ 21:00', '화': '08:00 ~ 21:00', '수': '08:00 ~ 21:00', '휴무일': '매주 일요일'}"
메디칼약국,3.0,성북구 아리랑로 3 1층,,"[{'작성자': '룽', '별점': '1.0', '날짜': '2022.11.14.', '내용': '여기서 인공눈물 사고 잃어버려서 다다음날 딴 데서 다시 사봤더니 여기가 시세보다 1000원 더 비싸게 팔았던거임 ㅡㅡ 열받음ㅜ', '좋아요': '0'}, {'작성자': '내맘', '별점': '5.0', '날짜': '2019.04.30.', '내용': '친절하고 약값도 괜찮은편입니다.', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
육층약국,2.5,성북구 동소문로 106 유타 6층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA9E1ECBC8FBB4C109BC49BDDA09D8E95,"[{'작성자': '임팔팔', '별점': '5.0', '날짜': '2025.02.08.', '내용': '사랑니를 뺀 후, 처방약 받으러 방문하였습니다. \n\n당시 다른 약(항생제)도 복용 중이었는데, 이번에 받아햐는 약도 항생제 포함이라 ... 더보기', '좋아요': '0'}, {'작성자': '리뷰 거의 안씀', '별점': '2.0', '날짜': '2025.02.01.', '내용': '왜 별점 낮은지 알려드림.\n뭐 당연히 아무 일 없을 때야 문제 없이 말함. 이럴거 같으면 와서 사용하셈.\n근데 뭔가 보험 문제나 처방전 문제가 있을 때 이런식으로 말함.\n1.... 더보기', '좋아요': '0'}, {'작성자': 'Boomka', '별점': '5.0', '날짜': '2024.10.12.', '내용': '매번으로 갔다 온 약국입니다. 리뷰가 왜 이렇게 나쁜지 정말 이해가 안 됩니다. 선생님이 아주 친절하시고 설명도 자세히 잘 해주시고 한번만 와도 환자의 얼굴과 지난 번의 처방전을 잘 기억하시는 분이십니다. 약은... 더보기', '좋아요': '0'}]","{'목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00', '토': '09:30 ~ 16:00', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '휴무일': '공휴일'}"
더사랑약국,3.7,성북구 아리랑로 16 1층 104호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff501a78aa642653e67dbfe38564549788f9dc995%3Foriginal,"[{'작성자': 'ㄹ', '별점': '1.0', '날짜': '2024.12.12.', '내용': '처방약은 괜찮은데 일반의약품이 비싸고 성능이 안좋은 물건이 많아요..😅', '좋아요': '0'}, {'작성자': '김태우', '별점': '5.0', '날짜': '2022.07.02.', '내용': '약국 이용 했는데 가격 좋고 친절하시고, 복약 설명도 잘해주셔서 좋았습니다! ^^', '좋아요': '1'}, {'작성자': '김라돌', '별점': '5.0', '날짜': '2022.07.02.', '내용': '●완전 친절하고 전문적인 젊은 약사님이시더라구요~\n약국도 쾌적하고 깔끔해서 좋아요 ^^\n동물의약품도 취급하니 좋아요!... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
건강약국,2.0,성북구 동소문로 71,,"[{'작성자': '스통빌', '별점': '1.0', '날짜': '2024.06.21.', '내용': '싸가지 밥맛임', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.06.20.', '내용': '약사가 싸가지없다', '좋아요': '0'}, {'작성자': '덩그람위', '별점': '5.0', '날짜': '2023.12.25.', '내용': '친절', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
