name,score,address,img_url,reviews,open_hour
성북월드팜약국,3.7,성북구 화랑로19길 83 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbJgpVK%2FbtszYDIRYt0%2FiyunHH5sA1AKQDLLTrPA30%2Fimg.png,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
좋은약국,,성북구 장월로1길 23 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MTRfMTM4%2FMDAxNzE4MzIyMjg0MjI5.NMJSDX40FwuQoxrdmX4DwtfCMOIOzF8l-nZhnedU3-Ug.Mn08jr7Mfw3WuYW7y7UB_QGGv8nDL6w7uWqY-YNCno0g.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%25A2%258B%25EC%259D%2580%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '설전날, 설당일, 개천절, 한글날'}"
부민약국,4.0,성북구 화랑로13길 9 1층,,"[{'작성자': 'All New Alonzo', '별점': '1.0', '날짜': '2020.12.15.', '내용': '좀 비싸네요..', '좋아요': '0'}, {'작성자': '맛집판별기', '별점': '5.0', '날짜': '2020.10.28.', '내용': '친절하시고 상담잘해주셔서 자주가요!', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 20:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
다모아약국,5.0,성북구 화랑로 103,,"[{'작성자': 'ES', '별점': '5.0', '날짜': '2025.02.07.', '내용': '새로 여셨는데\n다른약은 모르겠고 생리통약 여기서 추천받지마세요 그냥 이 약이면된다만 시전하시네요', '좋아요': '0'}]",{}
새국민약국,4.0,성북구 화랑로 91,,"[{'작성자': '박제영', '별점': '1.0', '날짜': '2022.03.21.', '내용': '코로나관련 처방 얘기하는데 말투너무 황당하고 기가차네요. 처방약없으니 못도와준다.라고만 말해서 당황스럽게 만들고. 어떻게 하면 될까요 라고 물으니 약없으니 ... 더보기', '좋아요': '0'}, {'작성자': 'Q', '별점': '5.0', '날짜': '2021.08.16.', '내용': '동네에서 꾸준히 가는 약국입니다.', '좋아요': '0'}, {'작성자': '초코맛', '별점': '5.0', '날짜': '2020.03.20.', '내용': '싸게 파시고 친절하십니다', '좋아요': '1'}]","{'목': '08:50 ~ 20:00', '금': '08:50 ~ 20:00', '토': '08:50 ~ 17:00', '일': '휴무일', '월': '08:50 ~ 20:00', '화': '08:50 ~ 20:00', '수': '08:50 ~ 20:00', '휴무일': '매주 일요일'}"
모아약국,4.5,성북구 화랑로11길 23 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMjVfMTMg%2FMDAxNjY5MzcyNDY4NzY2.n0m0rNawbz4cAsMrVJ_5_dnktuprQQG8PChKfFDbhQ4g.bOk9uxLI8qWvTLDyFxytSKcTEQdtFb2blt74_CE4vaEg.JPEG.yeoni_2017%2F117A5435.jpg%3Ftype%3Dw773,"[{'작성자': 'Q', '별점': '3.0', '날짜': '2021.08.16.', '내용': '상처 처치에 대해 제가 전혀 몰라서 여쭈어봤는데 제가 세세하게 질문을 해야 방법을 알 수있었습니다.\n상처 닦을 때 필요한 거즈는 알려주시지 않아... 더보기', '좋아요': '0'}, {'작성자': '이동주', '별점': '5.0', '날짜': '2021.06.23.', '내용': '인간미 있으시고 배려심 넘치는\n훌륭하신 약사님이세요 ❤', '좋아요': '1'}, {'작성자': '스스스', '별점': '5.0', '날짜': '2020.06.09.', '내용': '약사님이 매우 친절하시고 영어 중국어 불어 일어 다 할 줄 아셔서 외국인들도 편하게 가는 곳입니다.', '좋아요': '1'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 20:00', '일': '휴무일', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '휴무일': '공휴일'}"
자산약국,0.0,성북구 화랑로5길 42,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 19:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
월곡약국,1.0,성북구 화랑로11길 6,,"[{'작성자': '알바트로스', '별점': '1.0', '날짜': '2024.06.06.', '내용': '너무 비쌈요', '좋아요': '0'}, {'작성자': '와우넹', '별점': '1.0', '날짜': '2024.04.02.', '내용': '급해서 가까운데 간건데 이렇게 불친절할수가 있나... 열받아서 후기 남기려고 보니 저같은 경험 다들 하셨네요 그냥 약 하나 사러 갔는데 기분 잡치고 갑니다.', '좋아요': '0'}, {'작성자': '상훈', '별점': '1.0', '날짜': '2024.01.03.', '내용': '매우 불친절함. 가지 마시길.', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
조아약국,5.0,성북구 화랑로 87 1층,,"[{'작성자': '쥬딩', '별점': '5.0', '날짜': '2022.02.11.', '내용': '항상 친절하셔요', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
월곡보건약국,0.0,성북구 화랑로 61 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 토요일, 일요일'}"
