name,score,address,img_url,reviews,open_hour
수보온누리약국,5.0,성북구 솔샘로6길 63 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA2MTJfNDYg%2FMDAxNjg2NTUxMTIxMzc3.3RDTXjK84Is3MCTOT0GWwiuh-GKxig93O6os4yL8bQYg.sIHEx9Hx0yiIcOWlfF7LOWNwhq6V8a5ZZxYRz01dwqYg.JPEG.zelluzooa04%2Foutput_3927747634.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 19:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
국민온누리약국,3.8,성북구 정릉로10길 42-2,,"[{'작성자': '길', '별점': '2.0', '날짜': '2024.05.16.', '내용': '기계가 고장나다니', '좋아요': '0'}, {'작성자': '나니누네노', '별점': '5.0', '날짜': '2024.02.14.', '내용': '약사님께 증상이야기 해드리니 감기약과 호전에 시너지를 주는 약이라도 같이 주셧는데 \n사실 반신반의하면서 삿어요\n그런데... 더보기', '좋아요': '0'}, {'작성자': 'joe', '별점': '5.0', '날짜': '2022.09.01.', '내용': '저희 이모가 하시는데.. 저희 이모 친절하신 편인뎅.. 옆에서 학생들 컨설트 해주시는거 봤는데 세상 꼼꼼하시던뎅.. ㅠㅠ', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
정릉약국,0.0,성북구 보국문로 45 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:30 ~ 20:30', '토': '08:30 ~ 20:30', '일': '09:00 ~ 20:30', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30'}"
태평양약국,3.0,성북구 보국문로16길 31 1층,,"[{'작성자': 'ㅍㅌ', '별점': '5.0', '날짜': '2024.03.09.', '내용': '가장 친절한 가족입니다. 감사합니다!\n\nit is so unusual to find kind and friendly business owners in Seoul. thank you!', '좋아요': '0'}, {'작성자': '라레리로사', '별점': '5.0', '날짜': '2023.11.29.', '내용': '약설명 자세히 해주시고 직원분도 친절하심\n레모나도 챙겨주셨음 최고!', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2023.11.23.', '내용': '나이 많은 할머니에게 대장내시경용 관장제를 약사분이 설명해주시는데 환자분이 대장내시경 처음이신지 이틀에 걸쳐 총 3시간 걸리는 복약법 어려워하심. 어렵다 복잡하다 하시는데 약사분이 qr코... 더보기', '좋아요': '0'}]","{'금': '08:30 ~ 22:00', '토': '08:30 ~ 20:00', '일': '10:00 ~ 20:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00'}"
이화프라자약국,3.0,성북구 보국문로 50 청수프라자 지하1층 105호,,"[{'작성자': '도롱뇽', '별점': '3.0', '날짜': '2019.05.28.', '내용': '약사선생님은 괜찮은데 여자 알바가 좀 예의없네요', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:30', '일': '10:00 ~ 18:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
백세약국,3.3,성북구 아리랑로 117-5,,"[{'작성자': '라일락', '별점': '5.0', '날짜': '2023.12.23.', '내용': '오래전부터 다니는 곳입니다.  친절하게 잘 상담해 주십니다.', '좋아요': '0'}, {'작성자': 'kko', '별점': '2.0', '날짜': '2023.05.30.', '내용': '적지 않은 양의 약을 샀는데 사용기한 한 달 남은걸 주셨습니다…. 한 달은 너무 짧은거 아닌가요\n친절하시지만 그동안 갔었던 약국들과 비교했을... 더보기', '좋아요': '0'}, {'작성자': 'ni', '별점': '5.0', '날짜': '2022.11.21.', '내용': '저희 가족들이 자주 가는곳이에요 약사님 너무 친절하시고 가족처럼 상담해주십니다 감사합니다', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 18:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30'}"
힘찬약국,1.0,성북구 보국문로 16-1,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fstorep-phinf.pstatic.net%2Fcafe_004%2Foriginal_25.png%3Ftype%3Dp100_100,"[{'작성자': '눅시', '별점': '1.0', '날짜': '2020.03.14.', '내용': '좀 불친절하네요', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
그약국,5.0,성북구 보국문로 46 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:30 ~ 20:30', '토': '08:30 ~ 15:00', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30'}"
새신흥약국,1.0,성북구 보국문로 76,,"[{'작성자': '김경한', '별점': '1.0', '날짜': '2023.02.14.', '내용': '진짜 비추천 주변 다른 약국 찾아가세요\n말귀 못알아들으심', '좋아요': '0'}]","{'금': '09:00 ~ 16:00', '토': '08:30 ~ 21:30', '일': '휴무일', '월': '09:00 ~ 16:00', '화': '09:00 ~ 16:00', '수': '09:00 ~ 16:00', '목': '09:00 ~ 16:00', '휴무일': '매주 일요일'}"
정릉열린약국,2.0,성북구 보국문로 40-3,,"[{'작성자': 'Hwang.J.Y', '별점': '5.0', '날짜': '2023.05.04.', '내용': '오픈때부터 단골.친절해요 \n부모님한테도 항상 신경써주시고 \n감사해요*:)', '좋아요': '1'}, {'작성자': '...', '별점': '1.0', '날짜': '2021.03.28.', '내용': '처음엔 친절하더니... \n갈수록 별로라서 손절.\n어려보여서 만만했나... 더보기', '좋아요': '1'}, {'작성자': '네스퀵', '별점': '1.0', '날짜': '2020.08.21.', '내용': '남직원 불친절', '좋아요': '2'}]","{'금': '09:00 ~ 22:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00'}"
