name,score,address,img_url,reviews,open_hour
정다운약국,3.0,송파구 오금로 487 1층,,"[{'작성자': '슈냥', '별점': '1.0', '날짜': '2024.07.29.', '내용': '평일 오후8시40~50분쯤갔는데 문닫혀잇음 네이버지도에 속음...', '좋아요': '0'}, {'작성자': '전지현', '별점': '5.0', '날짜': '2024.07.21.', '내용': '다정하시고 기억을 잘해주시는 따뜻한 분위기가 좋아요~^^', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
샘물약국,5.0,송파구 마천로 264 흥일빌딩 1층,,"[{'작성자': '웝웝', '별점': '5.0', '날짜': '2024.10.10.', '내용': '너무 친절하시고 복약지도도 상세해요!', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
메디팜 남매약국,3.0,송파구 오금로64길 4,,"[{'작성자': '슈냥', '별점': '1.0', '날짜': '2024.08.02.', '내용': '평일에 오후8시20분쯤갔는데 문닫혀있음 네이버지도에 속음 8시에 문닫는듯', '좋아요': '0'}, {'작성자': '김하현', '별점': '5.0', '날짜': '2018.12.22.', '내용': '토요일날 오후 7시만 되도 주변에 여는 약국이 없는데 여기가 열려있어서 다행이에요.', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
미래약국,0.0,송파구 오금로 516 삼정빌딩 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
하나메디칼약국,5.0,송파구 오금로 504 1층,,"[{'작성자': 'Jun', '별점': '5.0', '날짜': '2023.12.16.', '내용': '주말 약사님 연예인 같아요! 또 가야겠습니다.', '좋아요': '0'}, {'작성자': '이원정', '별점': '5.0', '날짜': '2023.12.16.', '내용': '주말에 계시는 약사님 친절하시고 너무 좋으세요', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
세계로메디칼약국,2.0,송파구 위례서로 248,,"[{'작성자': '다겸', '별점': '1.0', '날짜': '2025.01.10.', '내용': '처방전이랑 전혀 다른약을 조제해주는 약국\n복약지도할때 약이랑 약봉투 확인도 제대로 안하고 약주는 약국\n사과하러 와놓고 죄송하게 됐... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 13:20', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
다올약국,4.8,송파구 양산로 40 102호,,"[{'작성자': 'ㅇㅅㅇ', '별점': '5.0', '날짜': '2022.08.20.', '내용': '친절함', '좋아요': '0'}, {'작성자': '이진규 Lawrence', '별점': '5.0', '날짜': '2022.01.23.', '내용': '약사님 친절하시고 약국이 깨끗해서 좋아요~!', '좋아요': '0'}, {'작성자': '...', '별점': '4.0', '날짜': '2021.08.17.', '내용': '비보험 약은 비싼 편', '좋아요': '0'}]","{'토': '09:00 ~ 14:30', '월': '09:00 ~ 19:30', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 19:30'}"
위례탑약국,5.0,송파구 위례서로 234 우성르보아위례 2층 212호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F38CC0366E6C448668BBC7F44F2CDCC67,"[{'작성자': '꽃동산', '별점': '5.0', '날짜': '2024.05.02.', '내용': '영양제 구입 잘 했어요', '좋아요': '0'}, {'작성자': '건강하세요', '별점': '5.0', '날짜': '2024.04.10.', '내용': '친절하고... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '일': '09:00 ~ 14:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 21:00', '휴무일': '석가탄신일, 추석전날, 추석다음날, 설전날, 설다음날, 1월1일, 삼일절, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절'}"
예성온누리약국,5.0,송파구 거마로 28 102호,,"[{'작성자': 'IIIIIIIIIIII', '별점': '5.0', '날짜': '2023.11.18.', '내용': '통증때문에 아파서 끙끙대며 갔는데 약주시면서 좋으신분은 많이 먹어야지~ 하면서 비타민C를 한웅큼 챙겨주시고.. 너무 친절하시고 따뜻한 약국이였어요.', '좋아요': '1'}, {'작성자': 'dkdk', '별점': '5.0', '날짜': '2023.07.21.', '내용': '친절하시고 깔끔합니다', '좋아요': '0'}]","{'토': '09:30 ~ 13:30', '월': '09:30 ~ 18:30', '화': '09:30 ~ 20:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30'}"
이화제니약국,0.0,송파구 거마로 4 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MDhfNzQg%2FMDAxNzIzMDgwNjEwNDYy.2RwPecY13as85KruvObgJ9rmalwvACt50PR0QBG_v7Qg.YPBmOKWsPvUTd40mbwdd-0JY430u7bIdpIcB62X_8Kgg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%259D%25BC%25EB%259D%25BC%25EC%2598%25A8%25EB%2588%2584%25EB%25A6%25AC%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
