name,score,address,img_url,reviews,open_hour
문정약국,2.0,송파구 동남로4길 25 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMzBfMjc2%2FMDAxNjgwMTc3MzgxMDU4._evNM9Eqf8GKI-2n5pAiqWlAIOqS0_0TvklS3eV_vzIg.LJy8FFRpf2YRTu4bXmrBhPQwczusyfSdng3kN-ZWkG8g.JPEG.eru13%2FIMG_9517.jpg%3Ftype%3Dw773,"[{'작성자': '🐼', '별점': '5.0', '날짜': '2025.02.21.', '내용': '^_^ 아싸 해포스! 필요한거 있음 최고지.  찾는 약품 바로바로 잘주십니다', '좋아요': '0'}, {'작성자': '가', '별점': '1.0', '날짜': '2024.12.03.', '내용': '일단 기본패시브 반말 + 불러도 들리면서 대답도안합니다', '좋아요': '0'}, {'작성자': 'BMC', '별점': '1.0', '날짜': '2024.04.25.', '내용': '이 주변 약국이 없다보니 어쩔수없이 가긴하는데\n약이 전체적으로 비싸고 친절하지는 않습니다.', '좋아요': '1'}]","{'토': '10:00 ~ 18:00', '일': '휴무일', '월': '10:00 ~ 21:30', '화': '10:00 ~ 21:30', '수': '10:00 ~ 21:30', '목': '10:00 ~ 21:30', '금': '10:00 ~ 21:30', '휴무일': '매주 일요일'}"
새건영약국,5.0,송파구 새말로8길 6 광덕빌딩 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
송파24약국,3.5,송파구 송파대로 111 202동 161호,,"[{'작성자': '피터팬', '별점': '1.0', '날짜': '2024.10.27.', '내용': '약사나 계산대 직원이나 상당히, 그것도 ‘기분 나쁘게’ 불친절합니다. \n\n손님이 약 정보에 대해 궁금해서 좀 물어볼 수도 있지 않나요? 뭐... 더보기', '좋아요': '0'}, {'작성자': '꿀티거', '별점': '1.0', '날짜': '2024.08.26.', '내용': '24시약국어닌데.. 정보좀 제대로 해놓으세요', '좋아요': '0'}, {'작성자': '901-ATT', '별점': '5.0', '날짜': '2023.05.12.', '내용': '제로페이 되고 약제사분 친절합니다', '좋아요': '0'}]",{}
송파힘찬약국,4.8,송파구 송파대로 141 르피에드 1층 120호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1BA8A5BF55A24F079E59E76E1C1E507B,"[{'작성자': 'ㅎ', '별점': '1.0', '날짜': '2024.12.11.', '내용': '병원 처방 아니면 다른 약국 가세요. 증상 말하면 2-3개는 기본으로 구입하게 함. 이 돈 주고 약국 약살거면 병원을 갔죠.', '좋아요': '0'}, {'작성자': '헤르', '별점': '5.0', '날짜': '2024.11.26.', '내용': '세상 이렇게 친절한 약사선생님은 처음', '좋아요': '0'}, {'작성자': '돼지', '별점': '5.0', '날짜': '2024.01.23.', '내용': '남자 약사분 너~~~~~무 친절하세요!!! 🙌🙌😀😀', '좋아요': '0'}]",{}
문정우리들약국,5.0,송파구 법원로 114 엠스테이트 C동 2층 218호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F175f508e847f34c11274d61e02256e5ddfb34582%3Foriginal,"[{'작성자': '밍밍', '별점': '5.0', '날짜': '2024.08.10.', '내용': '약사님 정말 친절하셔서 짧은 시간이었지만 기분 좋게 약 받아왔습니다!', '좋아요': '0'}, {'작성자': 'Sunny_10', '별점': '5.0', '날짜': '2024.05.02.', '내용': '약에 대한 설명도 추천도 잘해주셔요!\n추천받은 약제품도 효과가 좋아서 \n또 구매하러가게... 더보기', '좋아요': '0'}, {'작성자': '쏘쏘', '별점': '5.0', '날짜': '2023.07.10.', '내용': '엄청 친절하셔서 좋아요!!!!!\n설명도 너무너무 잘해주세요! \n약국갔다오고 이렇게 기분 좋아질 수 있나 싶어요😊', '좋아요': '0'}]","{'토': '09:00 ~ 15:30', '일': '09:30 ~ 15:00', '월': '09:00 ~ 20:10', '화': '09:00 ~ 20:10', '수': '09:00 ~ 20:10', '목': '09:00 ~ 20:10', '금': '09:00 ~ 20:10'}"
성조약국,2.7,송파구 동남로 136 1층,,"[{'작성자': '괭이', '별점': '5.0', '날짜': '2023.08.18.', '내용': '약사님 항상 친절하시고 잘 설명해 주셔요', '좋아요': '0'}, {'작성자': '댕댕', '별점': '5.0', '날짜': '2023.03.29.', '내용': '약사님 친절하시고\n약값도 다른 약국에비해 저렴해서\n양심적인 약국같아요!... 더보기', '좋아요': '0'}, {'작성자': 'NotaA', '별점': '1.0', '날짜': '2022.07.18.', '내용': '상당히 불친절합니다.\n별 1개도 아깝네요', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
고운약국,5.0,송파구 송이로32길 37 문정푸르지오아파트 201동 상가 1층 4호,,"[{'작성자': 'o', '별점': '5.0', '날짜': '2021.02.21.', '내용': '365문정사랑의원 일요일에 갔다가\n약국이 옆에 고운 약국이 있었는데\n다녀본 ... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '일': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 19:00'}"
문정프라자약국,5.0,송파구 동남로 138 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjJfMjU3%2FMDAxNzEzNzYwMTUwMTc1.8aRnAVGrAfS4DuO2Ig2NOGTgGiLgtT7XAjnLH1waYtQg.rsEawpCqfB3eZkze8kohIQkttiXEm_Kr9EH9JMVYy0Ig.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%25AC%25B8%25EC%25A0%2595%25ED%2594%2584%25EB%259D%25BC%25EC%259E%2590%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '솔직후기', '별점': '5.0', '날짜': '2023.05.19.', '내용': '친절하십니다\n평일기준 오후 8:30까지!', '좋아요': '0'}]","{'토': '08:30 ~ 20:00', '일': '09:00 ~ 13:00', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30'}"
문정수약국,5.0,송파구 새말로 124 1층 101호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F78f0036af109aa78f42666d40c6c04156b1a5ec6%3Foriginal,"[{'작성자': '박성현', '별점': '5.0', '날짜': '2022.12.15.', '내용': '친절하십니다.', '좋아요': '0'}]","{'토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
에스케이약국,,송파구 법원로 128 C동 지하1층 121호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 14:30', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '공휴일'}"
