name,score,address,img_url,reviews,open_hour
송파태양약국,5.0,송파구 백제고분로48길 22,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMzEyMjZfOTYg%2FMDAxNzAzNTY3ODUyMzQw.rMfGgs9pVUVv8FjzGm1VSwnM-8pFzZGMjJwx_p8r7jYg.fIbFTCWFVLNgi1LRoZd2qXcU3ZU-tpxJqFZQOJEoa0Ug.PNG.pak5218%2F%25EB%25A1%259C%25EA%25B3%25A03.png%3Ftype%3Dw1,"[{'작성자': '올공', '별점': '5.0', '날짜': '2020.10.22.', '내용': '설명을 차근차근 잘해주십니다', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '휴무일', '월': '12:00 ~ 20:00', '화': '12:00 ~ 20:00', '수': '12:00 ~ 20:00', '목': '12:00 ~ 20:00', '금': '12:00 ~ 20:00', '휴무일': '매주 일요일'}"
그랜드약국,3.0,송파구 마천로 35,,"[{'작성자': '진실', '별점': '5.0', '날짜': '2025.01.01.', '내용': '1/1 열려있음ㅜㅜㅜ 감동 친절하심ㅜ 구세주인줄..', '좋아요': '0'}, {'작성자': '현홍진', '별점': '1.0', '날짜': '2024.01.28.', '내용': '아침에 영업확인전화를 하고\n비대면진료 후 처방 때문에 다시 전화했는데 한시간 동안 통화 중. \n어쩔 수 없이 결국 힘들게 찾아가서 전화 왜 ... 더보기', '좋아요': '1'}]","{'토': '09:00 ~ 21:00', '일': '09:00 ~ 20:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30'}"
경인약국,5.0,송파구 가락로42길 9 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.10.04.', '내용': '늘 한결같은 약사님 덕분에 갑작스럽게 아플때도 도움이 많이 되었습니다 감사합니다', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
친절한약국,4.7,송파구 올림픽로32길 13 1층,,"[{'작성자': '서', '별점': '2.0', '날짜': '2024.12.27.', '내용': '처방조제는 안함', '좋아요': '0'}, {'작성자': '크크', '별점': '5.0', '날짜': '2024.12.27.', '내용': '이름값 하는 약국입니다. 정신없는 먹자골목 속에서 몇 안되는 친절한 곳. 야간에 해서 든든합니다. 없어지면 안되요!', '좋아요': '0'}, {'작성자': '지분부동산 • 매입/대출', '별점': '5.0', '날짜': '2024.09.18.', '내용': '휴일 야간 언제든 갈 수 있는 약국이 있어서 참 고맙습니다 건강하시고 복 많이 받으세요♡', '좋아요': '0'}]","{'월': '11:00 ~ 24:00', '화': '11:00 ~ 24:00', '수': '11:00 ~ 24:00', '목': '11:00 ~ 24:00', '금': '11:00 ~ 24:00'}"
오렌지온누리약국,3.7,송파구 오금로11길 37 101호,,"[{'작성자': 'ㅇ', '별점': '1.0', '날짜': '2023.11.14.', '내용': '둘다 들어가서 약만 조제하지 말고\n사람이 오면 좀 내다보세요\n은근슬쩍 반말하지 마시고요', '좋아요': '0'}, {'작성자': '우유', '별점': '5.0', '날짜': '2022.08.07.', '내용': '여기 약사님들 전부 다 친절하셔서 퇴근길에 일부러 들려서 산 적 많아요^^', '좋아요': '0'}, {'작성자': '또로롱', '별점': '5.0', '날짜': '2020.02.11.', '내용': '여기 약이비쌀줄 알았는데\n정가 정해진데로 받으세요\n그리고 너무 친절하시게... 더보기', '좋아요': '3'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
녹원약국,5.0,송파구 백제고분로50길 26 1층,,"[{'작성자': '강희수', '별점': '5.0', '날짜': '2023.09.26.', '내용': '내가 가본 약국 중 가장 전문성 있어보임\n약사님(여성분)께서 자세하고 꼼꼼하게 물어보신 뒤 그에 맞는 약 처방해주심 앞으로도 녹원약국만 갈 예정', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
온약국,5.0,송파구 백제고분로 465 1층,,"[{'작성자': '블랑', '별점': '5.0', '날짜': '2024.11.19.', '내용': '약사님 완전 친절하시고 기력없거나 소화 안될 때 먹을 수 있는 조합으로 파셔서 너무 좋아요!', '좋아요': '1'}, {'작성자': '바른말', '별점': '5.0', '날짜': '2024.06.09.', '내용': '진짜 친절하세요..', '좋아요': '0'}, {'작성자': '킁킁이', '별점': '5.0', '날짜': '2024.04.05.', '내용': '설명도 자세하게 해주시고 엄청 친절하십니다 뭔가 힐링된 기분.. 짱이네요', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '일': '10:00 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
조은약국,2.3,송파구 백제고분로50길 31 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDZfMTM5%2FMDAxNzMwODUyOTYwODc3.oge9ADtfaoYHWtmPncpe7B9HzBZkFLUEIZG-E99r2nIg.qJT7B9PuzGC7Ur4v_Ya7XfKVXCecLGRPQ9BPwXAF3Ngg.JPEG%2F%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8-%25EB%258C%2580%25EB%25AC%25B8.jpg%3Ftype%3Dw966,"[{'작성자': '여자가바앙', '별점': '1.0', '날짜': '2024.08.02.', '내용': '원래 주인분은 정말 좋았는데 약국 주인 바뀌고 나서 완전 불친절해졌습니다. 약국 후기 쓰는건 또 처음인데.. 진짜 너무 갈때마다 기분 나빠서 후기 써요. 다른 약국 가서 처방약 받고 없는 약이면 병원 전화해서 바꿔달라해요.. 다신 안갑니다', '좋아요': '0'}, {'작성자': '은진♪', '별점': '5.0', '날짜': '2023.05.05.', '내용': '친절하세요', '좋아요': '0'}, {'작성자': '(주)윈디푸드 이은경', '별점': '1.0', '날짜': '2021.07.26.', '내용': '앞집은 타이래놀 2500원 \n여기는 3000원 \n\n직원들거 두루두루 사다놓으려 여기저기 들르다보니 타이래... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
미소약국,0.0,송파구 오금로31길 11,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
별온누리약국,5.0,송파구 백제고분로 460 쿠피아타워 102호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC95909CD1ECE47858EA0CCFD94DF9662,"[{'작성자': '세실랴~~', '별점': '5.0', '날짜': '2024.09.14.', '내용': '약국이 작지만 깨끗하고 약사 선생님 넘 친절하고 설명 자세히 해주세요~ 굿!', '좋아요': '0'}, {'작성자': '❤️', '별점': '5.0', '날짜': '2024.01.22.', '내용': '선생님 너무 친절하세용 ❤️', '좋아요': '0'}, {'작성자': '나는제로', '별점': '5.0', '날짜': '2023.12.26.', '내용': '설명도 잘해주시고 친절하세요\n다녀본 약국중 베스트입니다', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
새솔약국,0.0,송파구 마천로 41 수기빌딩 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
다나약국,5.0,송파구 오금로31길 3 우성빌딩 1층 103호,,"[{'작성자': '😁😁', '별점': '5.0', '날짜': '2023.10.05.', '내용': '남자 약사님 계시는데 정말 친절해요 약국 후기 남기기는 처음이네요 ㅎㅎㅎ 뭐 필요하면 이제 여기로 가야겠어요', '좋아요': '0'}, {'작성자': '룰라랄라', '별점': '5.0', '날짜': '2023.07.28.', '내용': '약사님이 바뀌셨는데 너무 친절하고 좋네요 단골하려고요', '좋아요': '0'}]","{'토': '09:30 ~ 14:30', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '휴무일': '공휴일'}"
제일약국,,송파구 백제고분로 457 다우빌딩 1층 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB82CEF17385D4A4884F24A5A8AA7E1C0,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:40 ~ 15:00', '일': '휴무일', '월': '08:40 ~ 20:00', '화': '08:40 ~ 20:00', '수': '08:40 ~ 20:00', '목': '08:40 ~ 20:00', '금': '08:40 ~ 20:00', '휴무일': '공휴일'}"
송파중앙약국,1.6,송파구 오금로 91,,"[{'작성자': '썬~♥', '별점': '1.0', '날짜': '2024.10.05.', '내용': '하하하 정말 후기 말대로 \n정~말~ 느리고 불친절 하네요!\n병원 진료 보다 약국에서 대기가 더 길었네요!', '좋아요': '1'}, {'작성자': '퐁실푱실', '별점': '1.0', '날짜': '2023.11.14.', '내용': 'ㄹㅇ 싸가지없으심 옆에가여 ㅋ', '좋아요': '0'}, {'작성자': 'scv', '별점': '5.0', '날짜': '2023.09.16.', '내용': '탈모약 성지 입니다. 전 만족구매 했어요', '좋아요': '0'}]","{'토': '09:30 ~ 15:30', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00'}"
해든약국,0.0,송파구 백제고분로48길 38 101호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:30 ~ 13:30', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 18:30', '목': '09:30 ~ 18:30', '금': '09:30 ~ 18:30'}"
지용약국,0.0,송파구 백제고분로48길 27 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
잠실하나약국,5.0,송파구 올림픽로 362,,"[{'작성자': '엽', '별점': '5.0', '날짜': '2025.03.02.', '내용': '완전 친절해요', '좋아요': '0'}]",{}
방이종로약국,0.0,송파구 마천로 29,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:30 ~ 14:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00'}"
3층메디칼약국,5.0,"송파구 양재대로 1222 올림픽프라자 23, 23-1호",,"[{'작성자': '이종석', '별점': '5.0', '날짜': '2019.12.17.', '내용': '우연히 같은 처방약을 두번 살 상황이 생겨, 계속 이용하던 인근 약국과 여기메디칼에서 거의 동시에 구매했슴. 사기전 메디칼에 약값에 대해 문의하니 요새는 약값이 전국 다 같다고 하시네요. 먼저 인근약국에선 7... 더보기', '좋아요': '0'}]","{'토': '08:30 ~ 18:00', '일': '10:00 ~ 18:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00'}"
