name,score,address,img_url,reviews,open_hour
온누리엄마손약국,3.8,송파구 송파대로 415 1층,,"[{'작성자': '뭐먹지갤러리', '별점': '1.0', '날짜': '2024.05.18.', '내용': '언제 여나 도대체', '좋아요': '0'}, {'작성자': '곰도링', '별점': '1.0', '날짜': '2024.01.08.', '내용': '열지를않는곳;;', '좋아요': '0'}, {'작성자': '후기작성중', '별점': '1.0', '날짜': '2023.11.20.', '내용': '영업시간 제대로좀', '좋아요': '0'}]","{'토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
팜코리아약국,2.5,송파구 가락로 99 1층,,"[{'작성자': '벅뚜벅뚜', '별점': '3.0', '날짜': '2024.09.30.', '내용': '일요일 5시쯤에 갔는데 저는 열려 있었어요. 전화해보고 가심이 확실 할 거 같습니다.\n아 근데 저도 가격 안내는 못 들었습니다. 결제하고 알았네요.', '좋아요': '0'}, {'작성자': '..', '별점': '1.0', '날짜': '2024.09.22.', '내용': '일요일에 연다고 돼있길래 아픈몸 이끌고 찾아왔는데 닫혀있네요. 정보좀 정확하게 올려놓으세요', '좋아요': '0'}, {'작성자': '두둥', '별점': '5.0', '날짜': '2024.07.22.', '내용': '저는 좋던데 헉 비싸군용', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '일': '12:00 ~ 22:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00'}"
호수약국,,송파구 송파대로49길 52 석촌호수나인파크 A동 102호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
푸른약국,2.7,송파구 백제고분로 279,,"[{'작성자': '대환', '별점': '1.0', '날짜': '2024.05.14.', '내용': '갈때마다 기분 드러워지는건 \n기분탓만은 아닐듯 말투가에 문제가 있음', '좋아요': '0'}, {'작성자': '은삼', '별점': '5.0', '날짜': '2023.04.22.', '내용': '토요일에도 영업하시고 약사님께서 친절해요!', '좋아요': '0'}, {'작성자': '차철민', '별점': '5.0', '날짜': '2022.11.19.', '내용': '약사 선생님 친절하신데 평점이 안 좋은 게 이해가 안 되네요 토요일에 여는 약국이 근처에 있어서 안심이에요', '좋아요': '0'}]","{'토': '09:00 ~ 20:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
석촌솔약국,4.3,송파구 송파대로45길 4 호반빌라 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA0MjVfMjYx%2FMDAxNjUwODg0NDY0ODQ0.jNN-QBCB9zcbcPw3o885BvKWwuWlwwlGGNe-6_YOSdkg.xhwl_6ay_ZoiKRYASBdFkkMLH6EoBvcEE7euFxqzZNQg.JPEG.for_healing90%2FKakaoTalk_20220425_194834204.jpg%3Ftype%3Dw966,"[{'작성자': '빠방', '별점': '1.0', '날짜': '2024.04.01.', '내용': '같은 약인데 다른 약국보다 비급여항목이 5배보다 더 너무 비싸네요', '좋아요': '0'}, {'작성자': '#', '별점': '5.0', '날짜': '2024.02.20.', '내용': '약사님 친절하시고 마음도 얼굴도 이쁘심.', '좋아요': '0'}, {'작성자': '레히나', '별점': '5.0', '날짜': '2022.01.30.', '내용': '친절하시고 복용법이나 사용법 잘 알려주셔서 좋아요^^', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
송파한약국,3.0,송파구 백제고분로39길 16 석촌빌딩 2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMjBfMjYg%2FMDAxNzA4NDIwNzc0MDcw.UCIGKDrYlsPd_4-2lJeViNmO0QVCcy7Ee0D6Q6EnIr8g.mleCEMjh9M9btDcbYElFybr2IvCsws3Y7zonhDrlrPcg.JPEG%2FIMG_7148.jpg%3Ftype%3Dw966,"[{'작성자': '지갑이 병원갓어요', '별점': '5.0', '날짜': '2021.07.03.', '내용': '전화 상담으로도 친절함이 물씬 느껴져서 좋았습니다 ㅎㅁㅎ', '좋아요': '0'}]","{'토': '09:30 ~ 13:00', '일': '휴무일', '월': '09:30 ~ 19:00', '화': '09:30 ~ 19:00', '수': '09:30 ~ 19:00', '목': '09:30 ~ 19:00', '금': '09:30 ~ 19:00', '휴무일': '공휴일'}"
석촌미소약국,5.0,송파구 송파대로45길 3 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA58756C8A21647648871B307EF21CE1D,"[{'작성자': '평균은3점이맞다', '별점': '5.0', '날짜': '2025.02.04.', '내용': '매우친절\n높이평가', '좋아요': '0'}, {'작성자': '영짜이류', '별점': '5.0', '날짜': '2024.09.20.', '내용': '누가 먹을건지, 왜 먹을건지에 대해 여쭤보시고 상품별로 차이점도 설명해주시네요', '좋아요': '0'}, {'작성자': 'ㅈㄷ', '별점': '5.0', '날짜': '2024.09.12.', '내용': '약사님 왕친절\n뭐 사야하나 보고있으면 어디가 안좋은지 여쭤봐주시고 \n그에 맞... 더보기', '좋아요': '0'}]","{'토': '08:00 ~ 14:40', '월': '08:30 ~ 19:40', '화': '08:30 ~ 19:40', '수': '08:30 ~ 19:40', '목': '08:30 ~ 19:40', '금': '08:30 ~ 19:40'}"
일선약국,4.7,송파구 가락로11길 8 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjFfNDYg%2FMDAxNzEzNjgyMTEwMjQy.V3IKPFZpIpbHESyiqqWiGAFe7q-EtbqeURdFu9-ZJB0g.4VnsZ0ELqS2XWYz9LyA82R_W9LWdJsWgKe9h14eiKkUg.JPEG%2FIMG_4087.jpg%3Ftype%3Dw386,"[{'작성자': '후기미제공은 거름', '별점': '5.0', '날짜': '2023.09.19.', '내용': '저 응애부터 다녔는데 어르신약사선생님 핵친절', '좋아요': '0'}, {'작성자': '준형', '별점': '4.0', '날짜': '2023.08.01.', '내용': '나이 지긋한 약사분께서 친절하게 설명해주심', '좋아요': '0'}, {'작성자': 'young♡', '별점': '5.0', '날짜': '2017.11.18.', '내용': '약사님이 친절하시고 좋습니다:-)', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
락희온누리약국,5.0,송파구 송파대로 381 1층,,"[{'작성자': '룰루랄라', '별점': '5.0', '날짜': '2021.11.16.', '내용': '약사님 너무 친절하셔서 항상 기분 좋습니다.', '좋아요': '0'}, {'작성자': 'SH', '별점': '5.0', '날짜': '2020.06.18.', '내용': '약사님 너무 친절하세요ㅜㅜㅜㅜ\n피부과갈때마다 약처방 받는데 넘 좋아요 ㅎㅎ', '좋아요': '1'}, {'작성자': '푸른지구', '별점': '5.0', '날짜': '2019.06.19.', '내용': '약사님이 설명도 꼼꼼히 해주시고 친절하십니다.', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 20:30', '금': '08:30 ~ 19:30'}"
봄약국,2.3,송파구 백제고분로39길 14-17 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9DAAB98670844B3691154675159C381E,"[{'작성자': 'ydh', '별점': '1.0', '날짜': '2024.08.07.', '내용': '근처 약국 많음 아저씨 너무 친절하고 좋으십니다~', '좋아요': '0'}, {'작성자': '쵸쿄바', '별점': '5.0', '날짜': '2022.03.08.', '내용': '한솔병원에서  가까워서 좋아요 친절하세요:)', '좋아요': '0'}, {'작성자': '林', '별점': '1.0', '날짜': '2021.11.11.', '내용': '약사는 설명도 제대로 안해줘 인사해도 씹어 셔터맨 아저씨는 손님이 있는데도 큰소리로 싸워\n다신 안가', '좋아요': '0'}]","{'토': '08:30 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '휴무일': '매주 일요일'}"
건강샘약국,1.0,송파구 백제고분로 275 1층,,"[{'작성자': '공이이공', '별점': '1.0', '날짜': '2021.12.16.', '내용': '투약설명을 잘못해줘서 약을 잘못먹였어요', '좋아요': '0'}]","{'토': '08:30 ~ 14:30', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
하늘약국,2.3,송파구 백제고분로 276 202호,,"[{'작성자': '강도', '별점': '5.0', '날짜': '2025.03.04.', '내용': '여자 약사분 엄청 친절하십니다 주의사항도 같이 잘 알려주시고요', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2021.09.10.', '내용': '약국에서 나올때마다 기분이 진짜 별로네요. 다른 곳 찾아야 할까봐요.', '좋아요': '0'}, {'작성자': 'Jm', '별점': '1.0', '날짜': '2020.07.10.', '내용': '친절하긴 개뿔 손님을 지아랫것대하듯 대하는 아주 복에겨운 족속입니다 불매해야됨 말투도 굉장히무례해요', '좋아요': '0'}]","{'토': '08:30 ~ 15:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
금강약국,3.0,송파구 가락로 82 1층 102호,,"[{'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2024.08.16.', '내용': '친절하십니다.\n약도 적당하게 주셔서 과잉판매도 없고 자세히 설명해주십니다.', '좋아요': '0'}, {'작성자': '룰루랄라', '별점': '5.0', '날짜': '2024.08.12.', '내용': '최근에 약사가 바뀐 거 같아요 원래 있던 분이 안 계시네요.. 아픈 것도 서러운데 새로 바뀌신 분은 복용법 설명도 되게 친절하게 잘 해주시고 약국도 전보다 더 깔끔해져서 좋네요', '좋아요': '0'}, {'작성자': '🍩', '별점': '1.0', '날짜': '2023.01.02.', '내용': '몬가 수상한 곳..', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '추석당일, 설당일'}"
송파프라자약국,3.5,송파구 가락로 112 내경빌딩,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1e2a584b1e47ff7743a7e128d9040247d411b523%3Foriginal,"[{'작성자': 'ㅡㅡ', '별점': '5.0', '날짜': '2024.06.25.', '내용': '약사님도 직원분도 항상 친절 하다 느꼈어요. 비타민 음료도 하나 씩 주십니다. 요즘 이런 약국 잘 없는데 좋네요.', '좋아요': '0'}, {'작성자': '노아랑', '별점': '2.0', '날짜': '2021.08.16.', '내용': '포텐시에이터 사고싶었는데 없어서 대체품으로 샀어요\n원하는 약이 약국에 다 있을수없으니 그러려니했는데\n뚜껑이 너무 안따짐 인터넷에 찾아보... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
