name,score,address,img_url,reviews,open_hour
환승센터약국,4.0,송파구 잠실로 지하 156 잠실광역환승센터 지하1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MDJfMjcz%2FMDAxNzE0NjQxNDg2ODM0.MFz9DKQbC2s5WpJ3VS_gdhyV2667oZXdz8MVHBOxKDcg.iYEDYq2GULIR3q0i9ALbK61ChYrapceEfZAKpHXTXA0g.PNG%2F%25EB%2584%25A5%25EC%258A%25A4%25EA%25B0%2580%25EB%2593%259C%25EC%258A%25A4%25ED%258E%2599%25ED%258A%25B8%25EB%259D%25BC2.PNG%3Ftype%3Dw580,"[{'작성자': 'Caroline', '별점': '1.0', '날짜': '2024.11.05.', '내용': '좀 뚱뚱한 남자약사 너무 이상하고 불친절해요 호랭이 약사인가 아무튼 그 약사인데 근이완저랑 소염제 같이 먹어도 되냐고 물어봤더니 한숨 짜증스럽게 쉬면서 원래 같이 먹던거 아니냐고 뭘 물어보냐고 엄청 화내던데... 더보기', '좋아요': '0'}, {'작성자': '정인덕', '별점': '1.0', '날짜': '2024.10.18.', '내용': '여기 직원관리가 어떻게 되는지 최악임 단발머리랑 외국어하는 여자 직원한테 개미약좀 달라고했더니 저기 찾아보라고 하고 그냥 쌩깜 졸라 재수없음. 둘다 똑같아서 황당 5분째 찾아... 더보기', '좋아요': '0'}, {'작성자': 'dhfbsehdchdrkr', '별점': '5.0', '날짜': '2024.09.27.', '내용': '난 친절하게 몇년째 이용중\n잠실올때 꼭 들러서 일반약 사가요', '좋아요': '0'}]","{'토': '09:00 ~ 23:00', '일': '09:00 ~ 23:00', '월': '08:00 ~ 23:00', '화': '08:00 ~ 23:00', '수': '08:00 ~ 23:00', '목': '08:00 ~ 23:00', '금': '08:00 ~ 23:00'}"
나루역사거리현대약국,0.0,"송파구 올림픽로37길 130 파크리오A상가 163,164호",,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
온누리캐슬프라자약국,1.1,송파구 올림픽로 269 롯데캐슬프라자 127호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd8c99eaacb494d4a0197de71c4cb07cc2a817c7a%3Foriginal,"[{'작성자': 'jin', '별점': '1.0', '날짜': '2025.02.24.', '내용': '불친절', '좋아요': '0'}, {'작성자': 'Be K', '별점': '1.0', '날짜': '2025.01.27.', '내용': '갈때마다 너무기분안좋아서 저한테만 이러는건지 혹시나하고 후기봤는데 다들같은 내용이네요  약사님도 정말불친절하고 실수도 많으시고 알바생은 할말도없습니다 \n 난임약은... 더보기', '좋아요': '0'}, {'작성자': 'chloe', '별점': '1.0', '날짜': '2025.01.13.', '내용': '여자 직원 너무너무너무너무너무너무 불친절해요\n알바생이면 다시뽑으세요 다신 안가고싶네요', '좋아요': '0'}]","{'토': '10:00 ~ 18:00', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00'}"
위드팜가까운지하철약국,5.0,송파구 올림픽로37길 130 파크리오상가 A동 1층 124~126호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFA754D0FCB7A4C2AA7F06AB8F88DBEDF,"[{'작성자': '며칠', '별점': '5.0', '날짜': '2024.12.12.', '내용': '지하철역과 접근성도 좋고 늘 친절하십니다 👍🏻', '좋아요': '0'}, {'작성자': '무민', '별점': '5.0', '날짜': '2024.11.22.', '내용': '평일 저녁 조제+복약지도 해주신 검은 안경 남자약사님 정말 친절하시고, 알아듣기 쉽게 설명해주십니다. 앞으론 여기서 조제해야겠어요~ 감사합니당', '좋아요': '0'}]","{'토': '휴무일', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '휴무일': '공휴일'}"
월드중앙약국,2.4,"송파구 올림픽로35길 112 장미아파트 B상가 101,102호",,"[{'작성자': '킹킹', '별점': '1.0', '날짜': '2021.10.31.', '내용': '모든 약이 다른 약국 보다 500원~2000원씩은 비싸던가, 더러 똑같던가 합니다.  친절은 없구요.', '좋아요': '0'}, {'작성자': '규류트', '별점': '3.0', '날짜': '2021.02.21.', '내용': '조금 불친절하긴해도 일요일에 열어서 좋네여', '좋아요': '0'}]","{'토': '08:30 ~ 20:30', '일': '10:00 ~ 18:30', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30'}"
시그니처약국,,송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 지하1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 19:00', '일': '휴무일', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '휴무일': '매주 일요일'}"
한결약국,5.0,"송파구 올림픽로35길 124 장미아파트 A상가 2동 410,411호",,"[{'작성자': '으라라차차차라', '별점': '5.0', '날짜': '2022.08.31.', '내용': '너무 친절하고 좋아요!', '좋아요': '0'}, {'작성자': 'GH LEE', '별점': '5.0', '날짜': '2020.04.01.', '내용': '감사합니다', '좋아요': '1'}]","{'토': '08:00 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '09:00 ~ 20:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
삼성수약국,4.5,송파구 올림픽로35길 123 향군타워 2층 203호,,"[{'작성자': 'J', '별점': '5.0', '날짜': '2024.08.20.', '내용': '주변에서 진료 받으면 무조건 여기로 와요! 약사님 친절하시고 복약지도도 잘해주십니당 마음이 따수워져요', '좋아요': '0'}, {'작성자': 'LEE', '별점': '5.0', '날짜': '2022.04.20.', '내용': '회사 2층에 있어서 자주 가는데 항상 친절하시고 일반 약 살때도 설명 잘 해주셔서\n정말 조아오', '좋아요': '0'}, {'작성자': '조수진', '별점': '5.0', '날짜': '2022.01.29.', '내용': '세상 친절한 약사님~ 믿고 가는 약국이에요^^', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30'}"
드림약국,5.0,송파구 올림픽로35길 10 파크리오상가 B동 202-1호,,"[{'작성자': 'qwer3', '별점': '5.0', '날짜': '2025.01.15.', '내용': '친절하고 증상에 맞는 약으로 과다처방없이 주십니다', '좋아요': '0'}, {'작성자': 'lilllliljll', '별점': '5.0', '날짜': '2023.06.23.', '내용': '너무 친절... 단순한 약에 대한 설명 뿐 아니라 조언+걱정을 해 주셔서 그 포인트에 신경 썼더니 금방 나았어요. 친절을 넘어서서 마음씨가 아름다운 약사 선생님입니다.', '좋아요': '0'}, {'작성자': '예진', '별점': '5.0', '날짜': '2022.09.07.', '내용': '선생님 지이이인짜 친절하세요~~ 제가 본 약국 선생님중에 제일 친절하세요!!!! 이런 약국이 집근처에있어서 너무 좋아요~~~', '좋아요': '0'}]","{'토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00'}"
2호선아산나나약국,4.0,송파구 오금로 20 잠실나루역 1층 002호,,"[{'작성자': '마음', '별점': '5.0', '날짜': '2024.11.28.', '내용': '잠실나루역 안에 있는데 기다리지 않고 약 타서 좋아요\n작지만 쾌적하고 선생님들 친절하세요\n생수 주신다는데 전 물 있... 더보기', '좋아요': '0'}, {'작성자': '놉', '별점': '5.0', '날짜': '2024.03.18.', '내용': '이것저것 여쭤봤는데 귀찮은 기색 없이 자세히 설명하게주고 합리적인 추천해주셔서 인상깊었습니다. 약사분 직원분 모두 기분 좋게 친절하셔서 다시 오게 될 것 같아요!', '좋아요': '0'}, {'작성자': '통이', '별점': '1.0', '날짜': '2023.10.18.', '내용': '요청한 것보다 마진이 더 남는 유사 약이나 성분이 다른 약을 무조건 추천하여 구매하게 하는, 돈벌이에만 혈안된 약장수예요. 그냥 다른 데 가세요. 평가가 없는 이유가 ... 더보기', '좋아요': '0'}]","{'월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30'}"
