name,score,address,img_url,reviews,open_hour
코끼리약국,2.2,송파구 석촌호수로 78 1층 30호,,"[{'작성자': '다나', '별점': '5.0', '날짜': '2024.09.01.', '내용': '약종류도 다양하고 직원분 약사분 다들 친절하세요 !', '좋아요': '1'}, {'작성자': 'sjehrvdvzhudiejervdv', '별점': '1.0', '날짜': '2023.11.09.', '내용': '리모델링후 \n서비스가 매우좋지않고 \n사람을 기분나쁘게하는 말투로 응대한다\n다신... 더보기', '좋아요': '1'}, {'작성자': '임채영⭐별친구패널시어터교육개발원⭐', '별점': '5.0', '날짜': '2023.07.15.', '내용': '20년 전부터 약사러다니는 여전히 친절하시고 좋아요.\n8년전 분당으로 이사왔는데도 여기만 있는 엘스킨 사러 아직도 다녀요.\n더운날엔 비타민 음료도 그냥주시고 항상 감사합니다^^', '좋아요': '0'}]",{}
라미약국,5.0,송파구 올림픽로8길 20 잠실아이파크 1층 A115호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F663C0FF37AC24E16B4FC3C68A2C80C76,"[{'작성자': 'j', '별점': '5.0', '날짜': '2022.09.14.', '내용': '넘 친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 22:00'}"
헬로팜약국,4.5,송파구 올림픽로12길 5 정호빌딩,,"[{'작성자': '귤곰이', '별점': '3.0', '날짜': '2024.12.06.', '내용': '비맥스제트 150정  100,000원. 2024 .8월기준가격임\n메모용', '좋아요': '0'}, {'작성자': '미니맨', '별점': '5.0', '날짜': '2024.06.05.', '내용': '친절해주셔서 감사드립니다🥰😍', '좋아요': '1'}, {'작성자': 'Ji', '별점': '5.0', '날짜': '2022.07.20.', '내용': '약사님들 친절하시고 약 회전율이 높아서인지 탈모약의 경우 저렴하기로 소문난 종로쪽 약국과 가격이 동일합니다', '좋아요': '0'}]","{'토': '09:00 ~ 23:00', '일': '13:00 ~ 22:00', '월': '09:00 ~ 23:00', '화': '09:00 ~ 23:00', '수': '09:00 ~ 23:00', '목': '09:00 ~ 23:00', '금': '09:00 ~ 23:00'}"
매일여는온누리약국,3.4,"송파구 백제고분로 187 파크인수 103,104호",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3efd9c5d1d0c983efbe166f82509f3475b516ed8%3Foriginal,"[{'작성자': '지미', '별점': '5.0', '날짜': '2024.05.14.', '내용': '동네에 늦은 시간까지 영업하는 약국이 있어 안심됩니다~~', '좋아요': '0'}, {'작성자': '안녕,또 만나자~♡', '별점': '5.0', '날짜': '2023.08.08.', '내용': '여성약사분 친절하시고 약설명 꼼꼼하게 잘해주셔서 좋아요. 몸살때 먹던 쌍화탕 종류도 음료와 진짜 감기에 도움되는 종류 구분해서  알려주셔서 좋았어요.', '좋아요': '0'}, {'작성자': '허실장', '별점': '2.0', '날짜': '2023.06.20.', '내용': '늦은 시간까지 여는곳을 찾을때는 어쩔수 없이 가면됨', '좋아요': '0'}]",{}
시티약국,5.0,송파구 올림픽로 116 메디시티 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMDVfNTMg%2FMDAxNzMwNzY3NzczMDIz.jlSrkLOEPnZ9Wq_mu0vWLvv2DEB__x35lIqvceQhjc4g.MUAL7rrLsfU1fFGwCuKqFiLjxD6c2D0kj8E9A3P7huMg.JPEG%2F%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8-%25EB%258C%2580%25EB%25AC%25B8.jpg%3Ftype%3Dw966,"[{'작성자': 'santaman', '별점': '5.0', '날짜': '2024.09.04.', '내용': '약사님 친절하십니다', '좋아요': '1'}, {'작성자': '와와', '별점': '5.0', '날짜': '2024.02.08.', '내용': '여자약사님 친절하시고 추천해주신 약도 잘들어요!', '좋아요': '0'}, {'작성자': '복자', '별점': '5.0', '날짜': '2022.04.29.', '내용': '약사님 친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30'}"
숲약국,4.0,송파구 석촌호수로 68 A동 1층,,"[{'작성자': '가옹', '별점': '2.0', '날짜': '2025.01.19.', '내용': '정리가 안되어 있는 약국? \n처방 약 받으러 갔는데 약간 믿음이 안가는 약국이라해야하나…\n짐이 막 어질러져 있어 그런지.. 그랬어요..', '좋아요': '0'}, {'작성자': '문재원', '별점': '5.0', '날짜': '2023.03.20.', '내용': '근처 약국들 약 끼워팔기 정말 심한데 이곳은 정말 믿고가요! 항상 감사합니다!', '좋아요': '0'}]","{'토': '09:30 ~ 20:00', '일': '14:00 ~ 20:00', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00'}"
온누리건강약국,1.0,송파구 백제고분로12길 17,,"[{'작성자': '최악의경우만리뷰남김', '별점': '1.0', '날짜': '2024.04.16.', '내용': '최악의 불친절 / 돈쓰면서 기분 더러워지고 싶으면 방문하세요\n1. 의약품을 물어봤는데 뭐요??? 라고 대답함\n2. 사진을 보여주... 더보기', '좋아요': '0'}, {'작성자': '최진용', '별점': '1.0', '날짜': '2022.05.18.', '내용': '일단 내부가 더럽고 불친절합니다.. 급할때만 가세요', '좋아요': '0'}]","{'토': '09:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '14:00 ~ 22:00', '금': '09:00 ~ 22:00'}"
잠실365약국,2.0,송파구 올림픽로 240 롯데월드 잠실지하광장 지하도상가 8-2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MDhfMTE4%2FMDAxNjkxNDc4ODkyMDUy.N-nwki8L9WQXBWiGETme65iiTV2AKLwdszerbbpn0GEg.UbCRow5rth-TAn4AlgcCfGmBg4_Ab_vkzzhpt3jBgAkg.JPEG.pet_pharm8%2F%25ED%258E%25AB%25ED%258C%259C%25EC%2584%25B8%25ED%258A%25B8_%25EB%258F%2599%25EB%25AC%25BC%25EC%259A%25A9%25EC%259D%2598%25EC%2595%25BD%25ED%2592%2588.jpg%3Ftype%3Dw966,"[{'작성자': 'hhh', '별점': '1.0', '날짜': '2024.11.26.', '내용': '약사인데..데일밴드 종류 하나 말귀 못알아듣고 멍청하고 불친절함.\n맞은편 약국 가세요~', '좋아요': '0'}, {'작성자': '1234', '별점': '1.0', '날짜': '2024.05.11.', '내용': '영업시간 길어서 어쩔 수 없이 간거지\n약 여러 개수 살 때 가격 사전 고지 안하고\n무슨 비싸보이는 한... 더보기', '좋아요': '1'}, {'작성자': 'Ta bom', '별점': '1.0', '날짜': '2023.12.29.', '내용': '불친절 배짱 장사', '좋아요': '2'}]",{}
녹십자약국,3.9,송파구 올림픽로 130 1층,,"[{'작성자': '남화연', '별점': '5.0', '날짜': '2024.09.05.', '내용': '진짜 친절하세요!!!! 최고최고입니다!', '좋아요': '0'}, {'작성자': '맥치', '별점': '5.0', '날짜': '2024.08.19.', '내용': '저녁 6시 즈음 방문했는데 엄청 친절하세요 복약 설명도 자세히 해주십니다', '좋아요': '0'}, {'작성자': '15647', '별점': '5.0', '날짜': '2023.08.23.', '내용': '일요일에 문 연 약국이 없어서 한참 찾아다녔는데 이 곳은 10시까지 영업해서 넘 감사했어요 제가 갔을 땐 약사님도 친절하셨습니다..!', '좋아요': '0'}]",{}
태평양약국,4.4,송파구 석촌호수로 100 1층,,"[{'작성자': '내가보려고쓰는', '별점': '5.0', '날짜': '2024.12.18.', '내용': '친절하시고 다른 약국보다 저렴해서 여기만 가요', '좋아요': '1'}, {'작성자': '""뿅~~~""', '별점': '5.0', '날짜': '2023.09.19.', '내용': '태평양 악ㅈ국은 우선 약사님이 아주 친절하시고 이것저것 여쭤봐도. 자세히 설명해주심 그리고 약값도 다른곳보다 쌈. 정말 친절하게 자세히 환자맘으로이야기해주시는것보고 감동!!!', '좋아요': '2'}, {'작성자': '푸앙', '별점': '5.0', '날짜': '2022.12.27.', '내용': '친절하시네요', '좋아요': '2'}]","{'토': '09:00 ~ 15:00', '일': '10:00 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '공휴일'}"
잠실프라자약국,5.0,송파구 백제고분로 171 동화빌딩 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD4697EC21B1C478FBB2E2592F10413C6,"[{'작성자': 'tnekf', '별점': '5.0', '날짜': '2022.02.10.', '내용': '양심적인 약국 !', '좋아요': '0'}]","{'토': '09:30 ~ 18:00', '일': '휴무일', '월': '09:30 ~ 20:00', '화': '09:30 ~ 20:00', '수': '09:30 ~ 20:00', '목': '09:30 ~ 20:00', '금': '09:30 ~ 20:00', '휴무일': '매주 일요일'}"
다인약국,5.0,송파구 올림픽로 76 1층 104-1호,,"[{'작성자': 'kjkk', '별점': '5.0', '날짜': '2022.08.04.', '내용': '선수촌병원, 간호조무사가 의사 대신 수술한답니다. mbc 뉴스 보도.', '좋아요': '0'}]","{'토': '08:30 ~ 15:30', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30'}"
신화약국,5.0,송파구 올림픽로12길 34 103호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMjNfMjc3%2FMDAxNzQwMzIxOTkwMDg0.QV0w_gG0AMS7_0dMQVD7IUHvuHlsvCHY3SDFtd_Vuxgg.uB75S1QoTeydxabZ1Qmw2RE6QXOCALF5C6y-S_o8OdIg.JPEG%2Foutput_2647727339.jpg%3Ftype%3Dw773,"[{'작성자': '귤곰이', '별점': '5.0', '날짜': '2024.11.29.', '내용': '집가까워서 자주가는데 여태까지 6번쯤갔나?\n여기 약사분 젊은여성분이시고 과하게 권하는거없... 더보기', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
키즈플러스약국,3.0,송파구 올림픽로 240 웰빙센타A동 1층 104호,,"[{'작성자': '냠', '별점': '1.0', '날짜': '2025.01.27.', '내용': '여자약사 불친절', '좋아요': '0'}, {'작성자': '호이잇', '별점': '5.0', '날짜': '2022.10.04.', '내용': '친절하십니다~~', '좋아요': '0'}, {'작성자': '임성식', '별점': '5.0', '날짜': '2022.05.30.', '내용': '방문하면 항상 밝은 모습으로 웃어주시는 부부 약국입니다.\n약에 대한 설명도 자세히 해주시고 주의 사항도 친절한 설명으로 안내하고\n내가 쓰던 약을 요... 더보기', '좋아요': '0'}]","{'토': '09:30 ~ 18:00', '일': '휴무일', '월': '09:30 ~ 19:25', '화': '09:30 ~ 19:25', '수': '09:30 ~ 19:25', '목': '09:30 ~ 19:25', '금': '09:30 ~ 19:25', '휴무일': '매주 일요일'}"
바다약국,4.3,송파구 석촌호수로 133 레이크팰리스 1층 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MDJfMjA0%2FMDAxNzE5OTAzMjIzOTEz.PL2S97beIAcJdZpui_FgL91qgFu3SOLVmBMl1pZMcQ4g.i4N_sUQjgKIOYlkpJYj_vcky_AkXqxaKenFMhvDHa0kg.JPEG%2FSE-19f13d30-238e-44e6-ba18-72ba90c03326.jpg%3Ftype%3Dw773,"[{'작성자': 'LK', '별점': '2.0', '날짜': '2024.04.30.', '내용': '같은약인데 다른 약국들보다 더 비싸게 받아요 이율 모르겠네요', '좋아요': '0'}, {'작성자': '☆', '별점': '5.0', '날짜': '2022.10.22.', '내용': '에코이비인후과 진료받고 약 처방 받으러 방문\n결제해주시는 여자분도 친절하시고\n남자약사님 정말 친절하세요!\n생긴지 얼마 안돼... 더보기', '좋아요': '0'}, {'작성자': '혜찌♡', '별점': '5.0', '날짜': '2022.10.18.', '내용': '왜리뷰가하나도없죠 약국에서 약사선생님 약하나하나 상세히 어디에쓰고 어떤작용하는지 설명해주시는곳 첨이네여 복용법과 몸관리방법도 상세히설명해주셔서 너무감사했습니다 ㅎㅎ', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '공휴일'}"
엘스약국,5.0,"송파구 올림픽로 119 잠실파인애플상가 1층 B14, B15호",//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FCB853DBD6E5C4A7AB87CD51312671D24,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
타워약국,,송파구 올림픽로 96 105호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
비타민약국,0.0,송파구 석촌호수로 61 트리지움상가 305호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
바른삼성약국,3.7,송파구 백제고분로 126 오룡빌딩 101호,,"[{'작성자': '찌니야', '별점': '5.0', '날짜': '2024.04.12.', '내용': '친절하세요!', '좋아요': '1'}, {'작성자': '갈매기는끼룩', '별점': '5.0', '날짜': '2021.08.03.', '내용': '칠절하십니다', '좋아요': '0'}, {'작성자': 'choispace', '별점': '1.0', '날짜': '2021.04.06.', '내용': '젊은 인간이 불친절하기까지 하면 가기 싫지', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
건강약국,3.7,송파구 백제고분로 162 대양빌딩 1층 103호,,"[{'작성자': '.', '별점': '1.0', '날짜': '2024.07.11.', '내용': '너무 불친절해요', '좋아요': '0'}, {'작성자': '냐옹', '별점': '5.0', '날짜': '2024.02.22.', '내용': '정말 친절하십니당', '좋아요': '0'}]","{'토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
프리마약국,0.0,송파구 올림픽로4길 48 프리마상가 109호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00'}"
스타온누리약국,4.0,송파구 삼전로 99 대성빌딩 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMjZfNTQg%2FMDAxNzAwOTk5MzAxNzMy.5sOK4QQ5Awn7uvutp_H_00cpntnsn3RKPRfkcy3NxWIg.RPglZMlzBy2YZ7UEYVieTG2TMDglCqvsZbMPzlFmJTwg.JPEG.iditbox1%2Foutput_3471231566.jpg%3Ftype%3Dw966,"[{'작성자': '김영준', '별점': '5.0', '날짜': '2024.02.14.', '내용': '여기 약사님 엄청 친절하고... 좋은 약으로 대체도 해주시고 믿음 가는 분입니다..\n\n밑에 댓글 알바 글 믿지 마세요', '좋아요': '0'}, {'작성자': '지선이', '별점': '1.0', '날짜': '2023.11.29.', '내용': '여기 여자약사 지가 최고에 왕인줄알고 있음.ㅡㅡ싸가지 존  ㄴ    ㅏ없음.들은바로도 여기동네 ... 더보기', '좋아요': '1'}, {'작성자': '𖦹', '별점': '5.0', '날짜': '2022.02.04.', '내용': '친절하세요!', '좋아요': '0'}]","{'토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
메디팜양의약국,0.0,송파구 올림픽로 212 갤러리아팰리스 2층 220호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '08:40 ~ 15:00', '일': '휴무일', '월': '08:40 ~ 19:00', '화': '08:40 ~ 19:00', '수': '08:40 ~ 19:00', '목': '08:40 ~ 19:00', '금': '08:40 ~ 21:00', '휴무일': '매주 일요일'}"
새웅약국,0.0,송파구 삼전로 75,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '휴무일': '공휴일'}"
더봄약국,5.0,송파구 석촌호수로 118 청호빌딩 4층 403호,,"[{'작성자': '와와', '별점': '5.0', '날짜': '2024.03.21.', '내용': '약사님 너무 친절하셔요', '좋아요': '0'}, {'작성자': '🙌보통=3점🙌', '별점': '5.0', '날짜': '2023.05.04.', '내용': '궁금한거 있어서 여쭤봤는데\n친절하고 자세하게 설명해주셔서 좋았습니다.', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
레이크이화약국,5.0,송파구 석촌호수로 135 레이크팰리스 A동 122호,,"[{'작성자': '갈매기는끼룩', '별점': '5.0', '날짜': '2021.08.03.', '내용': '친절하셔요', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2020.11.12.', '내용': '친절하고 좋아요', '좋아요': '0'}]","{'토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00'}"
잠실팜약국,5.0,송파구 석촌호수로 80 송천빌딩 1층 2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA2MDdfMzAg%2FMDAxNjg2MTMzNDkzMjI3.9L74QNYaB_Eq8B6s668kWDnRER3CbI9ZkMlxnOojM_kg.Znz4pD7jzpT3pC2XFcZzby1JDvINl-hH8WXGg5uqueAg.JPEG.jina_jin_a%2FIMG_8142.JPG%3Ftype%3Dw773,"[{'작성자': '후이잉', '별점': '5.0', '날짜': '2025.02.27.', '내용': '근처 병원에서 처방전 받으면 항상 여기루 와요 약사님이 이쁘시고 친절하셔서 넘모 좋아요!', '좋아요': '0'}, {'작성자': '가옹', '별점': '5.0', '날짜': '2025.01.19.', '내용': '약만 파는게 아니라 이것저것 설명도 해주시고 친절해요', '좋아요': '0'}, {'작성자': '다나', '별점': '5.0', '날짜': '2024.09.01.', '내용': '약사님이 설명도 잘해주시고 친절하세요 감사합니다!', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
W약국,5.0,송파구 올림픽로 100 효창타워 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4729A0F771954816844D7BC5D6260F63,"[{'작성자': '촌놈', '별점': '5.0', '날짜': '2024.09.08.', '내용': '약 설명도 잘 해주시고 복약지도도 너무 친절하게 잘 해주세요!!', '좋아요': '0'}, {'작성자': '피터찌리릿', '별점': '5.0', '날짜': '2024.05.10.', '내용': '약사 선생님 진짜 진짜 친절하십니다! 처방전에  문제가 있었는데 잘 해결해 주셔서 너무 감사드렸어요 ｡◠‿◠｡', '좋아요': '0'}, {'작성자': '송채민', '별점': '5.0', '날짜': '2024.03.01.', '내용': '친절해요!', '좋아요': '0'}]","{'토': '09:00 ~ 16:30', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00'}"
선수촌약국,0.0,송파구 올림픽로4길 17 아시아선수촌상가 1-137호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'토': '09:00 ~ 18:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30'}"
정선약국,4.8,송파구 백제고분로 127 1층,,"[{'작성자': '박달님', '별점': '5.0', '날짜': '2020.07.01.', '내용': ':-)', '좋아요': '0'}, {'작성자': '꼬막무침', '별점': '5.0', '날짜': '2018.12.19.', '내용': '아주머니 친절하세요', '좋아요': '0'}]","{'토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00'}"
