name,score,address,img_url,reviews,open_hour
백십자약국,4.0,양천구 신월로 172 1층,,"[{'작성자': '장미샘', '별점': '5.0', '날짜': '2022.12.10.', '내용': '대표약사님이 친절하세요~', '좋아요': '0'}, {'작성자': '똘이장군☆', '별점': '1.0', '날짜': '2022.11.13.', '내용': '불친절하고 약 종류도 별로없어요', '좋아요': '0'}, {'작성자': '낑깡', '별점': '5.0', '날짜': '2021.08.01.', '내용': '따뜻하고 친철하십니다', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 19:00', '일': '12:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
다올약국,5.0,양천구 남부순환로40길 7 1층,,"[{'작성자': '천영혁', '별점': '5.0', '날짜': '2023.01.12.', '내용': '약사님께서 정말 친절하게 복약상담 해주셨어요 !! 새해 복 많이 받으세여 약사님 :)', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 15:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00'}"
라온온누리약국,4.3,양천구 신월로 179 1층,,"[{'작성자': 'Aeon S.H.', '별점': '5.0', '날짜': '2024.07.27.', '내용': '동네 주민 여러분!\n“내 약사”를 찾고 싶습니까?\n라온온누리약국으로 오십쇼.\n저는 제 인생 약사님(... 더보기', '좋아요': '0'}, {'작성자': '빡곰', '별점': '1.0', '날짜': '2023.12.15.', '내용': '폐약품 안받아줌 참고', '좋아요': '0'}, {'작성자': '정랑고개', '별점': '5.0', '날짜': '2023.09.12.', '내용': '친절하세요', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 18:00', '일': '10:00 ~ 18:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00'}"
유명약국,5.0,양천구 신월로 164 1층,,"[{'작성자': '재성', '별점': '5.0', '날짜': '2021.08.09.', '내용': '굿', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '공휴일'}"
분수광장약국,2.3,양천구 중앙로 291 1층 1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2d03c8ccc2186f40ad32661a183cfaccb8dac927%3Foriginal,"[{'작성자': '구마고', '별점': '1.0', '날짜': '2025.01.04.', '내용': '갈때마다 병원보다 오래걸려요. 급하면 다른 약국 가시는거 추천', '좋아요': '0'}, {'작성자': '후니후니', '별점': '4.0', '날짜': '2024.08.16.', '내용': '친절하신듯한데 평가가 상이해서 잘 모르겠음\n매장도 깔끔하고 좋음', '좋아요': '0'}, {'작성자': '부여공주', '별점': '1.0', '날짜': '2024.04.13.', '내용': '물어보는거 귀찮아하고 결제도 다 안됐는데 안녕히가시라면서 들어감', '좋아요': '0'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 20:30', '토': '08:30 ~ 16:00', '일': '09:00 ~ 13:30', '월': '08:30 ~ 19:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 19:30'}"
김약국,5.0,양천구 지양로 75,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 20:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
신월메디칼약국,5.0,양천구 남부순환로 329 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA6A2A30ADC51447E8E514DC918800FA2,"[{'작성자': '김철곤', '별점': '5.0', '날짜': '2023.06.28.', '내용': '신월메디칼약국약사선생님 너무친철', '좋아요': '0'}, {'작성자': '제파', '별점': '5.0', '날짜': '2021.10.28.', '내용': '개친절', '좋아요': '0'}, {'작성자': 'gif', '별점': '5.0', '날짜': '2020.10.20.', '내용': '친절함', '좋아요': '0'}]","{'목': '09:00 ~ 18:30', '금': '09:00 ~ 18:30', '토': '09:00 ~ 13:30', '일': '휴무일', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '휴무일': '공휴일'}"
온누리조은약국,5.0,양천구 곰달래로5길 30 은성아파트 상가,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 15:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30'}"
아빠약국,5.0,양천구 신월로 168,,"[{'작성자': '맴', '별점': '5.0', '날짜': '2025.02.07.', '내용': '완전 친절하세용 기분 좋게 약 받아왔어요 ㅎㅎ', '좋아요': '0'}, {'작성자': '부천시유부남', '별점': '5.0', '날짜': '2024.11.28.', '내용': '몸에 딱딱맞는 약을 야무지게 챙겨주세요!!\n집이 부천인데 항상 여기로와요!', '좋아요': '0'}, {'작성자': 'Lily', '별점': '5.0', '날짜': '2024.06.14.', '내용': '남자 약사님 자상하고 친절하십니다 담에 진료받게되면 또 가고싶어요👍👍', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
연세약국,5.0,양천구 화곡로4길 21,,"[{'작성자': '백프로 솔직한 평가', '별점': '5.0', '날짜': '2023.03.24.', '내용': '설명 잘해주시고 친절해요 또올게요', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
셀메드새롬약국,3.0,양천구 오목로 70,,"[{'작성자': '김씨', '별점': '1.0', '날짜': '2024.08.01.', '내용': '전엔 안 그랬던 것 같은데 약달라고 하면 비타민 같은 거 끼워팔거나 비싼 거 끼워팔려고 하네요…', '좋아요': '0'}, {'작성자': '❤️', '별점': '5.0', '날짜': '2022.09.25.', '내용': '사장님 너무 좋으세요 감사합니다 ^^', '좋아요': '0'}, {'작성자': 'ㅈㅇ', '별점': '3.0', '날짜': '2020.05.02.', '내용': '토요일 오후 5시까지임', '좋아요': '0'}]","{'목': '08:30 ~ 20:30', '금': '08:30 ~ 20:30', '토': '08:30 ~ 18:00', '일': '휴무일', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '휴무일': '매주 일요일'}"
대우실로암약국,5.0,양천구 월정로50길 10,,"[{'작성자': '김철수', '별점': '5.0', '날짜': '2024.02.26.', '내용': '친절하시고 좋아요', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
문화약국,5.0,양천구 지양로3길 10-1 1층,,"[{'작성자': '몽총구리', '별점': '5.0', '날짜': '2023.07.20.', '내용': '약사님이 친절하시고, 복약지도를 내 가족처럼 자세히 해주십니다~ 좋아요 🙂', '좋아요': '0'}, {'작성자': '천영혁', '별점': '5.0', '날짜': '2023.01.12.', '내용': '환자 한분한분 진심으로 신경 써주십니다! 친절한 복약지도 감사드립니다 :) 새해 복 많이 받으세요 약사님 😊', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
신월시장약국,5.0,양천구 곰달래로13길 20-1 1층,,"[{'작성자': '김철곤', '별점': '5.0', '날짜': '2023.06.26.', '내용': '모든약을살수있는곳', '좋아요': '0'}]","{'목': '10:00 ~ 18:00', '금': '10:00 ~ 18:00', '토': '10:00 ~ 13:00', '일': '휴무일', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '휴무일': '매주 일요일'}"
경창약국,5.0,양천구 월정로 53 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MDVfMTM0%2FMDAxNzI1NDk3OTg5MDQ0.llQr_GMn-RAyljUi5D6tePx-tnR-nqnKS-G096uYNrUg.Zptw_dg_KXSxXzN3J8052fgORKjBCNfW8_HLaju2Pjog.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EA%25B2%25BD%25EC%25B0%25BD%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': '❤️', '별점': '5.0', '날짜': '2022.08.18.', '내용': '친절하고 좋은곳 감사합니다~', '좋아요': '0'}, {'작성자': '재성', '별점': '5.0', '날짜': '2021.01.06.', '내용': '굿', '좋아요': '0'}]","{'목': '09:00 ~ 20:30', '금': '09:00 ~ 20:30', '토': '09:00 ~ 21:00', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30'}"
행복약국,1.0,양천구 남부순환로59길 3 우영아파트 1층 102호,,"[{'작성자': 'ㅇ', '별점': '1.0', '날짜': '2023.11.17.', '내용': '할매약사 너무 싸가지 없어요 ㅡㅡ 다신 안감 최악', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 19:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
