name,score,address,img_url,reviews,open_hour
수성약국,4.2,영등포구 양평로 68 DN빌딩 1층,,"[{'작성자': 'mrb', '별점': '1.0', '날짜': '2024.02.24.', '내용': '진짜 이런불친절한 약국 처음봄 영수증을받았어야되는데..자기가처음 권해준약 안샀다고 화난건지..약이름 잘못말했다고 짜증내... 더보기', '좋아요': '0'}, {'작성자': 'ㅇㅅㅇ', '별점': '5.0', '날짜': '2023.08.05.', '내용': '약사님 친절하시구 궁금한 점 답변도 잘해주세요 :)', '좋아요': '0'}, {'작성자': '백동현', '별점': '5.0', '날짜': '2022.03.29.', '내용': '친절 굿', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
지성약국,3.0,영등포구 양평로 64,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MDlfOTAg%2FMDAxNzE1MjM5MzU5ODA3.Ya9Oc9AdZhXGA1tiuqeoz9IpM14WwdE92jHsATfEvSwg.-zGU8FGDDyFlB6DAxGlESF4FMReaME5V0oyuTvQIQ_cg.PNG%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%25A7%2580%25EC%2584%25B1%25EC%2595%25BD%25EA%25B5%25AD.png%3Ftype%3Dw966,"[{'작성자': 'ㅅㅎㅎ', '별점': '5.0', '날짜': '2025.01.15.', '내용': '엄청 친절하신데 별점이 1개라 남겨봐요 서울페이 제로페이 다 돼서 좋아요!', '좋아요': '0'}, {'작성자': 'aaaa', '별점': '1.0', '날짜': '2024.07.05.', '내용': '온열안대로 리뷰이벤트', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 19:30', '토': '09:00 ~ 14:30', '월': '09:00 ~ 19:30', '화': '09:00 ~ 21:00', '수': '09:00 ~ 19:30'}"
새성심약국,2.0,영등포구 양평로 102 1층,,"[{'작성자': '행운동꿀주먹', '별점': '1.0', '날짜': '2024.07.01.', '내용': '너무 불친절함. 뭐 있냐고 물어봤더니 약사가 없어요 하면서 불쾌한 표정을 지음. 안그래도 몸도 안좋은데 신경까지 거슬리게 하는 곳임. 주변에 약국 널렸는데 여긴 다신 안올듯', '좋아요': '0'}, {'작성자': '아메리카노0408', '별점': '3.0', '날짜': '2022.10.27.', '내용': '21시까지 안합니다', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
당산수약국,5.0,영등포구 양평로 53 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7A9C3AA50C8B47E9A1AC330D5868D165,"[{'작성자': 'deokhwaseo', '별점': '5.0', '날짜': '2025.02.21.', '내용': '운동으로 필요한 영양제 추천을 부탁드린 이후로\n꾸준히 수 약국에 다니게 되... 더보기', '좋아요': '0'}, {'작성자': 'dooyoo', '별점': '5.0', '날짜': '2024.09.26.', '내용': '약사님 친절하셔서 힐링돼요', '좋아요': '0'}, {'작성자': '최승현', '별점': '5.0', '날짜': '2024.08.06.', '내용': '오랜만에 방문했는데도 기억해주시고 잘 맞는 영양제 추천해줘서 저렴하게 잘 사갑니다~\n떨어지면 또 올게요', '좋아요': '0'}]","{'목': '09:30 ~ 21:00', '금': '09:30 ~ 21:00', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '09:30 ~ 21:00', '화': '09:30 ~ 21:00', '수': '09:30 ~ 21:00', '휴무일': '공휴일'}"
유림약국,5.0,영등포구 양평로 95-1 1층,,"[{'작성자': '늄늄', '별점': '5.0', '날짜': '2025.01.29.', '내용': '증상을 자세히 물어봐주시고 친절하시다 약국은 여기로 정착해야겠다', '좋아요': '0'}, {'작성자': '츄츄', '별점': '5.0', '날짜': '2024.06.06.', '내용': '정말 친절하시구 동일 성분이라면 저렴한 제품을 주십니다.\n약 설명도 꼼꼼하셔서 신뢰가는 약사님👍🏻', '좋아요': '0'}, {'작성자': '솔리드', '별점': '5.0', '날짜': '2022.07.14.', '내용': '동네에 약국이 참 많지만 이곳은 약사님이 특별히 더 친절하셔서 항상 여기 약국만 다니고 있어요 :)', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
햇살온누리약국,1.4,영등포구 당산로 223,,"[{'작성자': '배유빈', '별점': '5.0', '날짜': '2025.02.08.', '내용': '드디어 할아버지가 바꼈어요!\n새로오신 젊은 선생님이 친절하게 대해주세용ㅎㅎㅎ', '좋아요': '0'}, {'작성자': 'ㅂㅁㄷ', '별점': '1.0', '날짜': '2024.12.18.', '내용': '불친절해서 다시는 가고싶지 안다\n\n손이 얼마나 깨끗하길래 약을 맨손으로 만지는지 ..', '좋아요': '6'}, {'작성자': '뮨', '별점': '1.0', '날짜': '2024.01.16.', '내용': '불친절 그 자체\n뭐 무서워서 못 물어보겠네요;', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
대건약국,5.0,영등포구 양평로 99 1층,,"[{'작성자': 'Gus', '별점': '5.0', '날짜': '2021.07.23.', '내용': '이쁜 약국', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:30', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
수정프라자약국,,영등포구 양평로22길 7 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
당산열린약국,3.0,영등포구 양평로 32 누가빌딩,,"[{'작성자': 'SEHOON OH', '별점': '5.0', '날짜': '2022.03.21.', '내용': '약사님 진짜 친절하심 ♡♡', '좋아요': '0'}, {'작성자': '팩트폭행', '별점': '1.0', '날짜': '2020.05.31.', '내용': '남자분 약에대한 지식이없어보임;;\n이상한 약줌', '좋아요': '0'}]","{'목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '토': '08:30 ~ 21:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00'}"
헤르바당산역약국,3.8,영등포구 양평로 지하 40 당산역 지하1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAxMTFfMjEg%2FMDAxNjczMzk3NDQ3NjY5.xGts_16lf2WBm-dIa4TsTltLHlwwaTWYgJ7kUYpWy2Mg.mZeZ8694S-ncqw6Qu059OlaM7-8qdY2WWinWoSZY3lkg.JPEG.kjdwh%2F20230111%25EF%25BC%25BF092333.jpg%3Ftype%3Dw773,"[{'작성자': 'Roy', '별점': '5.0', '날짜': '2024.12.01.', '내용': '친철 & 정보 👍', '좋아요': '0'}, {'작성자': '더글로리존버', '별점': '5.0', '날짜': '2024.01.04.', '내용': '매우 친절하고 자세한 설명', '좋아요': '0'}, {'작성자': 'ㅂㅁㄷ', '별점': '5.0', '날짜': '2023.10.03.', '내용': '지하철 약국\n약사님 너무 친절하셔요~~', '좋아요': '0'}]","{'목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00', '토': '10:00 ~ 22:00', '일': '10:00 ~ 22:00', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00'}"
