name,score,address,img_url,reviews,open_hour
신풍도약국,0.0,영등포구 도신로29다길 12,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '매주 토요일, 일요일'}"
종대약국,2.0,영등포구 도림로 352,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1dffbd195cd6a20e8f5fb02eb0182f25998eccbbda34307561972d933d54c5dd,"[{'작성자': '메소드', '별점': '1.0', '날짜': '2024.12.23.', '내용': '싸가지 없음 진단서 주니까 없다고 던짐 얼탱이 없는데 몸이 안좋아서 그냥 나옴', '좋아요': '0'}, {'작성자': '수수', '별점': '1.0', '날짜': '2024.06.04.', '내용': 'ㅜㅜ계산할ㄸㅐ카드던지지말아주세요', '좋아요': '0'}, {'작성자': '허웅', '별점': '1.0', '날짜': '2022.01.23.', '내용': '걍 거르세요', '좋아요': '0'}]","{'금': '09:00 ~ 22:00', '토': '08:00 ~ 22:00', '일': '08:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00'}"
이화온누리약국,5.0,영등포구 도신로 89 도림메디컬타워 1층 102호,,"[{'작성자': 'kj', '별점': '5.0', '날짜': '2023.08.19.', '내용': '상담이 자세하고 친절하십니다', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2023.04.17.', '내용': '토요일 병원 진료가 늦게 끝나 처방전이 늦게 나왔는데, 약을 살곳이 아무데도 없어 헤매다가 찾아간 곳이에요. 아기가 많이 아팠는데 전화문의도 친절하게 받아주시고, 정말 너... 더보기', '좋아요': '0'}, {'작성자': '이은일', '별점': '5.0', '날짜': '2022.07.22.', '내용': '친절하시구요. 문의했을 떄 자세하게 설명해 주세요^^', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00'}"
도림우리들약국,2.9,영등포구 도신로15길 40 1층,,"[{'작성자': '김연주', '별점': '5.0', '날짜': '2024.06.21.', '내용': '친절하게 설명해주십니다', '좋아요': '1'}, {'작성자': 'aqwwe1234', '별점': '5.0', '날짜': '2022.11.15.', '내용': '약사님 복약지도 매우 친절하십니다', '좋아요': '0'}, {'작성자': '한승남', '별점': '2.0', '날짜': '2021.07.24.', '내용': '말하는게 영 책임감 없고 설렁설렁한 느낌 이 듬...', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
정제약국,0.0,영등포구 도영로 49,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 22:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '휴무일': '매주 일요일'}"
예지약국,5.0,영등포구 도신로 87 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MTZfMjU3%2FMDAxNzE4NTQ2MTc1Nzg1.s0cq47C-ZTTM20u85X9m8a51cJEGVjgzrnqFoXu3ihEg.22iou42WWSsxpbdyrQItYdxL8UzJDTTf27ahzgxRVvwg.JPEG%2F1718546018186.jpg%3Ftype%3Dw580,"[{'작성자': '0', '별점': '5.0', '날짜': '2021.05.27.', '내용': '약사님 넘 따뜻하고 친절하세요..♥\n웃으면서 응대하시는 분 처음 봬서 좋았습니다!!', '좋아요': '0'}]","{'금': '09:00 ~ 20:30', '토': '09:00 ~ 17:30', '월': '09:00 ~ 20:30', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:30', '목': '09:00 ~ 20:30'}"
신도림역약국,4.2,구로구 새말로 지하 117-21 234-115호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd3ea3609988463e25b5bfe6cd897383cad782f28%3Foriginal,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.11.02.', '내용': '신도림역 지하 중간에 있어요\n몸살기운이 있어 방문했는데 친절하시고\n차분히 약도 복용법 알려주시고 감사합니다-^^', '좋아요': '1'}, {'작성자': 'lllll', '별점': '5.0', '날짜': '2024.10.27.', '내용': '친절하고. 늦게까지해서 좋음', '좋아요': '0'}, {'작성자': '내일은좋은일이생길거야', '별점': '5.0', '날짜': '2023.10.07.', '내용': '주말 저넉 때 급하게 질정 필요했는데 다행이었어요', '좋아요': '0'}]","{'금': '09:00 ~ 21:30', '토': '09:00 ~ 21:30', '일': '11:00 ~ 21:00', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30'}"
임약국,3.4,영등포구 경인로79길 4,,"[{'작성자': 'unknown', '별점': '5.0', '날짜': '2024.03.08.', '내용': '증상에 대해 설명해주시고 좋았어요', '좋아요': '0'}, {'작성자': '군청림', '별점': '1.0', '날짜': '2021.05.29.', '내용': '카드랑 5천원짜리 내밀면 안받고 가만히 서있음 진짜 와', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
신도림좋은약국,5.0,구로구 새말로 110 세아베스틸 1층,,"[{'작성자': 'LY', '별점': '5.0', '날짜': '2021.07.26.', '내용': '제 상처에 맞는 약품을 상담 해주시며  정성껏 골라주셔서 감사했습니다!!', '좋아요': '0'}, {'작성자': '스스스', '별점': '5.0', '날짜': '2020.10.20.', '내용': '약사님이 미인이십니다......', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00'}"
현대약국,3.3,구로구 경인로 662 디큐브시티 지하 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC92A9C4FE402444ABBA55BC983336089,"[{'작성자': 'ARO', '별점': '4.0', '날짜': '2025.01.29.', '내용': '명절 급하게 사야하는 약이 있었는데\n열려있어서 잘 구매했습니다.\n\n불이 켜있으... 더보기', '좋아요': '0'}, {'작성자': '딤섬맛집을 찾아서~', '별점': '5.0', '날짜': '2024.06.30.', '내용': '재가 산 약은 타 약국과 동일했고\n일요일 오후 방문했을때 계신 약사님은 친절하셨어요', '좋아요': '0'}, {'작성자': '빨간멍든차차', '별점': '1.0', '날짜': '2024.06.25.', '내용': '근처에서 가장 비싼약국입니다 가격 꼭 물어보고 구입하세요 급한거 아니면 다른약국이용 추천드립니다', '좋아요': '0'}]",{}
