name,score,address,img_url,reviews,open_hour
맑은약국,2.0,영등포구 당산로 42 삼성홈플러스빌딩 지하1층,,"[{'작성자': '코', '별점': '1.0', '날짜': '2024.06.04.', '내용': '약사 아닌사람이 복약하고 약줘요 불법약국', '좋아요': '0'}, {'작성자': '여재현', '별점': '1.0', '날짜': '2021.09.15.', '내용': '0점 안되서 1점 줍니다.\n그냥 부르는 가격대로 파네요.\n비양심 가게입니다. 멀어도 다른 곳 가서 사세요. 이런 곳은... 더보기', '좋아요': '0'}, {'작성자': '장정택', '별점': '5.0', '날짜': '2020.07.28.', '내용': '젊은분 너무 예의 바르시네요', '좋아요': '0'}]",{}
가까운약국,4.0,영등포구 당산로 34 로데오쇼핑몰 1층,,"[{'작성자': '서부환', '별점': '5.0', '날짜': '2022.07.11.', '내용': '환자에게 약에 대한 제반사항을 알기쉽고 명확하게 최선을 다하여 설명하는 자세가 돋보이는 친절한 우리동네 으뜸 약국입니다', '좋아요': '0'}, {'작성자': '강지수', '별점': '5.0', '날짜': '2022.03.07.', '내용': '약사님 친절하셔서 회사에서 약국갈 일 있으면 여기만가요~', '좋아요': '0'}, {'작성자': '유 병혁', '별점': '5.0', '날짜': '2020.10.29.', '내용': '약사님이 친절하시네요.', '좋아요': '0'}]","{'금': '09:00 ~ 21:30', '토': '09:00 ~ 16:00', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '목': '09:00 ~ 21:30'}"
웃는내일약국,3.3,영등포구 선유로 64 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMjZfMjQ4%2FMDAxNzAwOTkzOTAzNjIy.TYLc_9aNMkR0Gys8Ih3pR1VdMkgxJ0RKbM_Lphc-OwQg.WIHx48JJjrA89wDXPc4Ou3gB3OeWlT0s3X99zQ7M2u0g.JPEG.drmful%2F1700993903309.jpg%3Ftype%3Dw966,"[{'작성자': 'jskim', '별점': '1.0', '날짜': '2024.10.05.', '내용': '토요일에 방문했고 제 앞에 기다리고 계신 분은 두 분밖에 없었는데 약봉투도 없이 약만 받는데 20분 이상 걸렸네요.\n주말에 사람 많으면 근처 다른 약국 가세요..', '좋아요': '0'}, {'작성자': 'abcd1234', '별점': '5.0', '날짜': '2024.01.21.', '내용': '여기가 불친절하면 무인도에서 혼자 살아야함;\n\n일요일 오전에 오픈하는 곳 🙏🏻', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2023.08.30.', '내용': '약사님 너무 친절하시고 설명두 조곤조곤 잘해주시네요', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 17:00', '일': '09:30 ~ 12:30', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00'}"
행복한약국,3.7,영등포구 경인로 775 에이스하이테크시티 1동 103호,,"[{'작성자': '청계천 히드라', '별점': '1.0', '날짜': '2024.08.06.', '내용': '나이 약간있으신 약사분 끼워팔기 너무 하십니다.\n여기만 오면 약사가기 싫어지네요.\n소염진통제 하나 달라니깐 무조건 하나 더 끼우시네요.', '좋아요': '0'}, {'작성자': '유씨', '별점': '5.0', '날짜': '2023.08.04.', '내용': '증상에 맞게 약을 잘주세요. 새로 먹어보는 거라 긴가민가하면서 사왔는데 이제까지 먹었던것중 효과가 제일 좋았네요ㅜㅜ 궁금한거 여쭤보면 설명을 잘해주셔서 좋았습니닷!', '좋아요': '0'}, {'작성자': 'lauryn', '별점': '5.0', '날짜': '2019.10.28.', '내용': '친절하시고 좋아요!', '좋아요': '0'}]","{'금': '08:30 ~ 19:30', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '휴무일': '매주 일요일'}"
임약국,3.4,영등포구 경인로79길 4,,"[{'작성자': 'unknown', '별점': '5.0', '날짜': '2024.03.08.', '내용': '증상에 대해 설명해주시고 좋았어요', '좋아요': '0'}, {'작성자': '군청림', '별점': '1.0', '날짜': '2021.05.29.', '내용': '카드랑 5천원짜리 내밀면 안받고 가만히 서있음 진짜 와', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
대원약국,,영등포구 당산로 34 로데오왁 4층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD4A0ABD57FA444A7B143AB8F48369525,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:30 ~ 18:30', '토': '09:30 ~ 13:00', '월': '09:30 ~ 18:30', '화': '09:30 ~ 18:30', '수': '09:30 ~ 13:00', '목': '09:30 ~ 18:30'}"
마음약국,0.0,영등포구 선유로 59,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:10 ~ 19:30', '토': '09:10 ~ 15:00', '월': '09:10 ~ 19:30', '화': '09:10 ~ 19:30', '수': '09:10 ~ 19:30', '목': '09:10 ~ 19:30'}"
정민약국,0.0,영등포구 선유서로 40 베어스타운아파트 1층 112호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '공휴일'}"
수온누리약국,5.0,영등포구 선유로 63 EEU동신타워 1층,,"[{'작성자': '칭찬공장장 간공장장', '별점': '5.0', '날짜': '2024.03.28.', '내용': '친절함', '좋아요': '0'}, {'작성자': '낮달', '별점': '5.0', '날짜': '2023.05.04.', '내용': '내일이 어린이날이라 급히 절박하게  필요할 수 있는 진통제를 못 구할까 걱정하던차, 넘 늦은 시각임에도 포기 않고 주변 약국을 검색하니 마침  (수)온누리 약국이 목요일만 9시까지... 더보기', '좋아요': '0'}, {'작성자': '박선준', '별점': '5.0', '날짜': '2022.01.10.', '내용': '친절하심 약 설명도 친절하게 해주심', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:00', '목': '09:00 ~ 20:30'}"
비즈메디팜,0.0,영등포구 선유로 9 유니온빌딩 4층 401-비호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '공휴일'}"
