name,score,address,img_url,reviews,open_hour
태령약국,3.6,영등포구 신길로 157 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDFfMjQ3%2FMDAxNzM1NzIyMTYwNjgz.Qf30IAPHzMlQYdOQXtXOyGLIZH9KtljE168pDywzd9Yg.YFCU7W7TZ067eN1WxnCT7lXU8B5X0X8NBrQrIXsTeBYg.JPEG%2F20241230_160856.jpg%3Ftype%3Dw966,"[{'작성자': '쏘이', '별점': '1.0', '날짜': '2025.03.01.', '내용': '리모델링하고 첨 가봤는데 별로네요\n기존에 계시던 약사님들은 친절하고 약도 증상에 맞게 잘 주셨는데\n앞으로 다른 약국 가야겠어요', '좋아요': '0'}, {'작성자': '행복이', '별점': '5.0', '날짜': '2025.02.16.', '내용': '주말에도 열어서 너무 편리해요. 설명도 자세히 해주셔요.', '좋아요': '0'}, {'작성자': '청조', '별점': '1.0', '날짜': '2025.01.28.', '내용': '리모델링하고는 약값은 오르고\n응대는 더 뚝뚝해 지고.\n약도 알아서 ... 더보기', '좋아요': '2'}]",{}
신풍역4번출구약국,4.3,영등포구 신풍로 23 스타스테이빌딩 1층 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F34E7CD75423A433C9199F00FA973C08E,"[{'작성자': '윤선', '별점': '5.0', '날짜': '2024.08.19.', '내용': '약사님 진짜 친절하세요! 처방된 약 설명도 잘해주시고 저번에 기내반입할 약 구매할때 영어로도 써주시고 확인해서 처방해주셨어요 최고최고', '좋아요': '0'}, {'작성자': 'ponta', '별점': '1.0', '날짜': '2024.07.15.', '내용': '저도 후기 잘 안쓰는데요. 이렇게 불편했던 곳은 처음이라 남겨요.\n너무 불친절하셔서 놀랐습니다 ^^ !!\n오늘 뭐 기분 나쁜일이 있으셨나요? \n연고 ... 더보기', '좋아요': '0'}, {'작성자': 'Rat', '별점': '5.0', '날짜': '2024.04.11.', '내용': '약사선생님이 설명을 상세하게 잘 해주십니다', '좋아요': '0'}]","{'금': '08:30 ~ 20:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00'}"
다나약국,1.0,영등포구 가마산로 439-1,,"[{'작성자': '웬만하면리뷰안씀', '별점': '1.0', '날짜': '2024.10.15.', '내용': '할말하않 . 너무 불친절합니다.ㅡㅡ', '좋아요': '0'}, {'작성자': '황준성', '별점': '1.0', '날짜': '2023.11.18.', '내용': '불친절 끝판왕...', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 21:30', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
약산약국,1.0,영등포구 도신로 208 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMjhfMTg1%2FMDAxNjgwMDA3NDkyOTIz.gcxKMa_7OX9PZSt9JI_UcetoxYNmZZ8frlNMCcVmpX4g.SqIelBEAvHtrX4_cr4kVHmgxktZp5bvVGotsgGmYGMwg.PNG.dirtks59%2F%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8%25EC%259A%25A9_%25EB%25B0%259C%25EB%25A6%25AC%25EC%259C%25A0%25EC%2582%25B0%25EA%25B7%25A0_%25ED%258F%25AC%25EC%259D%25B8%25ED%258A%25B8_3.PNG%3Ftype%3Dw386,"[{'작성자': '박성현', '별점': '1.0', '날짜': '2023.07.18.', '내용': '♬♩~~없음 나이를 떠나 그냥 불쾌함', '좋아요': '0'}, {'작성자': '말랭코프', '별점': '1.0', '날짜': '2020.05.23.', '내용': ""너무 불친절해요. 덴탈마스크 있는지 물어봤는데 '우린 그런거 없어요' 팔러온 잡상인 대하듯하고.. 최악이었어요. 공공마스크 구매하고 ... 더보기"", '좋아요': '2'}]","{'금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '일': '10:30 ~ 20:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00'}"
뉴타운온누리약국,3.0,영등포구 가마산로 496 JS496 1층 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEC9DDFE3EFBC4E8F8E5E4043031790AC,"[{'작성자': '참새아빠', '별점': '1.0', '날짜': '2025.03.19.', '내용': '화장실이 잠겨 있길래 물어보니 비번 써 놓을곳을 손가락질한다.\n불편하게 이런 빌딩에서 잠가 놓는건 그러네요 했더니 동네 주... 더보기', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:30', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:30'}"
지현약국,5.0,영등포구 영등포로 397 1층,,"[{'작성자': '델리만주', '별점': '5.0', '날짜': '2025.01.25.', '내용': '항상 친절하시고 \n때로는 제가 달라고 요청드린 약보다\n효과가 더 좋은 약도 추천해주세요', '좋아요': '0'}, {'작성자': '황동현', '별점': '5.0', '날짜': '2025.01.12.', '내용': '신길동을 지켜주셔서 감사합니다.', '좋아요': '0'}, {'작성자': '곤드뤠', '별점': '5.0', '날짜': '2025.01.03.', '내용': '늦게까지 해주셔서 너무 감사합니다ㅠㅠ', '좋아요': '0'}]","{'금': '09:30 ~ 23:30', '토': '09:30 ~ 23:30', '일': '11:00 ~ 23:30', '월': '09:30 ~ 23:30', '화': '09:30 ~ 23:30', '수': '09:30 ~ 23:30', '목': '09:30 ~ 23:30'}"
한사랑약국,3.0,영등포구 신길로 181-1 1층,,"[{'작성자': '가을문턱', '별점': '3.0', '날짜': '2019.10.21.', '내용': '저녁 6시면 문 닫음. 퇴근하고 가면 문 닫혀서 이용하기가 힘듬.', '좋아요': '0'}]",{}
보라매미소약국,2.3,"영등포구 신풍로 93 메트하임 1층 114,116,117호",,"[{'작성자': '하늘이', '별점': '1.0', '날짜': '2023.09.06.', '내용': '정말 느리고 불친절하네요.\n독점이라 바쁜거같은데 근처에 약국 하나 좀 생겼으면 싶습니다.\n뭐 주차권 하나가지고 손님들이... 더보기', '좋아요': '0'}, {'작성자': '뚜뚜', '별점': '1.0', '날짜': '2023.07.06.', '내용': '너무 느려요 매번 약받으러 수십분씩 기다려야해요….', '좋아요': '0'}, {'작성자': '굿', '별점': '2.0', '날짜': '2022.10.13.', '내용': '갈때마다 피부과 약이 없어서, 다음날 또 가야됨', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
세종로약국,2.3,영등포구 여의대방로 197 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MTFfMTgw%2FMDAxNzI2MDIxOTA4NDU1.JRL7lwnG_UCkQAfM3uixMKa4kI9hhEaqSID-VuOATgMg.lYxz8CNiTJsB7aSjy38hwjOr6Ilb8Kkw9l-syWVUPbkg.JPEG%2FIMG_4429.jpg%3Ftype%3Dw580,"[{'작성자': '나난바', '별점': '1.0', '날짜': '2024.12.20.', '내용': '약사분 말투가 너무 핀잔주듯이 다그치는 말투입니다... 그리고 진짜 약사분이 맞는지 궁금할 정도의 메이크업과 차림새로 계실 때가 많아서 종종 당황스러워... 더보기', '좋아요': '0'}, {'작성자': 'S', '별점': '1.0', '날짜': '2024.04.12.', '내용': '약국이 불친절해봐야 얼마나 불친절하다고 별점이 이럴까 싶었는데 그냥 레전드…', '좋아요': '0'}, {'작성자': 'ㅎㅎ', '별점': '1.0', '날짜': '2024.03.11.', '내용': '약사 싸가지 없고 불친절해서 다른데로 가는 게 좋아요', '좋아요': '1'}]","{'금': '08:00 ~ 01:00', '토': '08:00 ~ 01:00', '일': '22:00 ~ 01:00', '월': '08:00 ~ 01:00', '화': '08:00 ~ 01:00', '수': '08:00 ~ 01:00', '목': '08:00 ~ 01:00'}"
나눔약국,,영등포구 여의대방로53길 23 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMjhfMTA2%2FMDAxNzAxMTUwMjgxMzYz.ySnbLOlf6q1CSOuQXyskmWw3C6xvyH255SS7wi6ybGYg.bSjYrNtD3WSQ6vdlDsnX2Pg8imdxF16eVCkGxh9y6OEg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EB%2582%2598%25EB%2588%2594%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '09:00 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
