name,score,address,img_url,reviews,open_hour
휴베이스미소약국,,영등포구 선유서로 117 1동 1층 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F670CB4F0EFAE4153AB7C16CFC25D09A8,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 20:50', '토': '09:00 ~ 17:30', '일': '휴무일', '월': '09:00 ~ 20:50', '화': '09:00 ~ 20:50', '수': '09:00 ~ 20:50', '목': '09:00 ~ 20:50', '휴무일': '공휴일'}"
경명약국,5.0,영등포구 선유서로25길 5-1 1층,,"[{'작성자': 'James Yun-윤기석', '별점': '5.0', '날짜': '2023.08.22.', '내용': '운영하지 않는 약국입니다', '좋아요': '1'}, {'작성자': '떼떼', '별점': '5.0', '날짜': '2022.12.16.', '내용': '운영하지 않는 약국입니다', '좋아요': '2'}]","{'금': '07:00 ~ 18:00', '토': '07:00 ~ 18:00', '월': '07:00 ~ 18:00', '화': '07:00 ~ 18:00', '수': '07:00 ~ 18:00', '목': '07:00 ~ 18:00'}"
반석온누리약국,3.8,영등포구 영등포로 33 목동비즈타워 1층 108호,,"[{'작성자': '노숙부자', '별점': '1.0', '날짜': '2023.05.27.', '내용': '토요일에 휴무하는군요', '좋아요': '0'}, {'작성자': '미로', '별점': '5.0', '날짜': '2022.08.04.', '내용': '친절하시고 우리 아이 약 제조, 포장도 잘 해주셔서 너무너무 감사했습니다.', '좋아요': '0'}, {'작성자': '.', '별점': '4.0', '날짜': '2020.03.12.', '내용': '친절하시구 상품도 다양하고 좋아요\n요즘 공적마스크판매로 힘드실텐데 힘내세요', '좋아요': '0'}]","{'금': '08:30 ~ 20:00', '토': '08:30 ~ 18:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
바른약국,5.0,영등포구 선유로 138 롯데마트 양평점 지하1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbzdUML%2FbtsAhggkcaA%2FtPQFp2oARBVU4HUfu0bg5k%2Fimg.png,"[{'작성자': '할리갈리', '별점': '5.0', '날짜': '2025.01.12.', '내용': '약사님들 너무 친절하세요 ㅎㅎ 항상 감사드립니다', '좋아요': '0'}, {'작성자': '박준석', '별점': '5.0', '날짜': '2022.02.18.', '내용': '약사님 친절 하시고 좋았어요', '좋아요': '0'}, {'작성자': '꿀물☆', '별점': '5.0', '날짜': '2020.08.26.', '내용': '작은 약국이라 약이 많지 않지만 필요한건 대부분 있었고 마트와 운영시간이같아 좋았어요. 젊은 남자 약사분인데 친절 하셨습니다.', '좋아요': '0'}]",{}
수인옵티마약국,4.0,영등포구 영등포로 32,,"[{'작성자': '선정', '별점': '1.0', '날짜': '2023.03.31.', '내용': '맞은편 약국보다 비쌈. 아주머니는 친절한데 아저씨가 불친절', '좋아요': '0'}, {'작성자': '🤔', '별점': '5.0', '날짜': '2022.07.22.', '내용': '친절하십니다', '좋아요': '0'}, {'작성자': '키루', '별점': '5.0', '날짜': '2022.02.27.', '내용': '친절하세요', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 19:00'}"
이도온누리약국,2.0,영등포구 당산로31길 14 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMTlfMjAg%2FMDAxNzAwMzg2MTM0MjE5.HU-VWv9IZ9gg-0CYxGq9XzEOh_mrtLclY6IURTRxSCMg.CycQWDVcklfdYaUvaQYq6ZPHFp3B7AW6-EM7pAJBP4wg.JPEG.ina2248%2FKakaoTalk_20231119_181027990_04.jpg%3Ftype%3Dw773,"[{'작성자': '동동', '별점': '1.0', '날짜': '2025.03.20.', '내용': '레전드 불친절 \n약을 싯가로 팔고 반말하는 거 첨봄', '좋아요': '0'}, {'작성자': '양수진', '별점': '1.0', '날짜': '2024.01.20.', '내용': '나이가  어려도 반말한건 아니라고봐요\n별하나도 아까움요', '좋아요': '0'}, {'작성자': 'sun', '별점': '1.0', '날짜': '2024.01.19.', '내용': '다시 가고싶지 않아요 손님에게 불친절해요 ㅠ', '좋아요': '0'}]","{'금': '08:30 ~ 22:00', '토': '08:30 ~ 19:00', '일': '휴무일', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '목': '08:30 ~ 22:00', '휴무일': '매주 일요일'}"
메디컬수약국,5.0,영등포구 영등포로 89 102호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6E7C34E1C4AB43669C1F5D02C45E47F5,"[{'작성자': '이위너', '별점': '5.0', '날짜': '2024.06.22.', '내용': '항상 친절하세요', '좋아요': '0'}, {'작성자': 'alstn778', '별점': '5.0', '날짜': '2024.01.06.', '내용': '친절하십니다', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '공휴일'}"
목동행복한약국,2.0,양천구 목동동로 309 지하1층,,"[{'작성자': '훈일', '별점': '1.0', '날짜': '2022.04.24.', '내용': '일요일 영업안해요', '좋아요': '0'}, {'작성자': '공정', '별점': '5.0', '날짜': '2021.07.18.', '내용': '여기 완전 친절하고 좋아요', '좋아요': '0'}, {'작성자': '^^', '별점': '1.0', '날짜': '2020.04.11.', '내용': '알고보니 한약사가 하는 약국이네요.\n근데 어떻게 한약사가 약국을??\n어이 없음..', '좋아요': '3'}]",{}
영민약국,1.5,양천구 목동동로 430 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F37a5f6441eda5ceb156b69ea5083558dc652fc39%3Foriginal,"[{'작성자': '비포선셋', '별점': '1.0', '날짜': '2024.10.18.', '내용': '차라리 다른 약국 가는 것이 좋아요', '좋아요': '0'}, {'작성자': '수연', '별점': '1.0', '날짜': '2024.07.25.', '내용': '뭘 어떻게 하길래 별점이 이런가 했더니 그럴만 하네 ㅋㅋㅋㅋ 접수직원 바꿔야할듯ㅋㅋ', '좋아요': '0'}, {'작성자': '丹庵老师', '별점': '1.0', '날짜': '2024.06.12.', '내용': '약사 및 여직원들 불친절한 사람들만 뽑았는가 봅니다..물어보면 퉁명스럽게 답변하고 본인일이 아닌 듯 말 하는 약사 및 여직원은 처음 봅니다...영... 더보기', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 14:30', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00', '휴무일': '공휴일'}"
목동정문약국,3.2,양천구 목동동로 435 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9C2D16EC739A4773BF50A4A97D97150A,"[{'작성자': 'jimvely', '별점': '5.0', '날짜': '2024.07.15.', '내용': '약 종류가많고 정리가 잘되어있어서\n약국계의 올리브영같아요!\n제품의 종류가 다양해서 선택의 폭이 넓구요 약에관해 문의드리면 설명도... 더보기', '좋아요': '1'}]","{'금': '08:00 ~ 18:30', '토': '08:30 ~ 13:30', '일': '휴무일', '월': '08:00 ~ 18:30', '화': '08:00 ~ 18:30', '수': '08:00 ~ 18:30', '목': '08:00 ~ 18:30', '휴무일': '공휴일'}"
