name,score,address,img_url,reviews,open_hour
여의도성모약국,2.6,영등포구 63로 45,,"[{'작성자': '듀로로', '별점': '5.0', '날짜': '2024.11.06.', '내용': '서울 웬만한 약국보다 좋은데 과거 평점이 넘 안좋아 5점 패치 하고 감..', '좋아요': '0'}, {'작성자': 'AE86', '별점': '1.0', '날짜': '2019.11.07.', '내용': '이용객이 많아서 돈을 벌만큼 벌으니 서비스에 대한 기본은 지키지 않는 곳.', '좋아요': '0'}, {'작성자': 'vi', '별점': '1.0', '날짜': '2019.07.08.', '내용': '전화를 해도 안받네요..\n약받아간 후 상담이 불가함..', '좋아요': '0'}]","{'금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00', '휴무일': '매주 일요일'}"
파크원온누리약국,2.3,영등포구 여의대로 108 파크원 타워1 2층,,"[{'작성자': '벵', '별점': '1.0', '날짜': '2024.07.13.', '내용': '아니 2시까지래서 부랴부랴 왔는데 왜 불이꺼져잇냐며,,,', '좋아요': '0'}, {'작성자': 'ㄱㄷㅇ', '별점': '2.0', '날짜': '2023.05.08.', '내용': '약국 직원들 불친절함', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 21:00', '휴무일': '매주 일요일'}"
팜약국,4.4,영등포구 국제금융로2길 7 1층,,"[{'작성자': '봉쥬르', '별점': '5.0', '날짜': '2024.10.05.', '내용': '매번 친절하심', '좋아요': '0'}, {'작성자': '원쫑🍑', '별점': '5.0', '날짜': '2024.06.17.', '내용': '친절하십니다..🥹✨', '좋아요': '0'}, {'작성자': '삼오옏으', '별점': '5.0', '날짜': '2023.02.28.', '내용': '같은 건물 병원에서 무신경한 진료로 서러워서 울먹였는데 약사선생님이 더 자세히 봐주시고 약 사용방법도 자세히 알려주셔서 감사했어요', '좋아요': '0'}]","{'금': '08:30 ~ 20:30', '토': '08:30 ~ 15:30', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30'}"
선경약국,3.4,영등포구 국제금융로2길 24 BNK금융타워 1층 4호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2c3b346af0db3f6fb343b14808a1651249d1470a%3Foriginal,"[{'작성자': 'Huey', '별점': '1.0', '날짜': '2024.04.12.', '내용': '다른곳에서 6-7천원하는 연고를 만원 결재를 하시네요..', '좋아요': '0'}, {'작성자': '김', '별점': '1.0', '날짜': '2024.04.06.', '내용': '약 설명을 너무 안해주셔서 부작용이 발생했는데 어떤 약인지 알수가없었습니다. 다른 블로그 찾아보니 약봉투에 부작용 유의사항 써있던데 여긴 성경 문구나 써있고 중요한 정보는 누락되어있네요', '좋아요': '0'}, {'작성자': '233221', '별점': '5.0', '날짜': '2024.03.23.', '내용': '급하게 약이 필요해서 갔는데 엄청 친절하시게 다른 조치법도 함께 알려주셔서 많은 도움이 되었습니다. 그런데 다른 댓글보니 이상하네요..약사님이 바뀌었나 젊은 여약사님이었습니다.', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
건강한세상대한약국,4.0,영등포구 국제금융로 108 은하빌딩 1층 1호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8EC18B39FDB04259A7C2AF16E53FC01B,"[{'작성자': '타코쟁이', '별점': '5.0', '날짜': '2022.08.04.', '내용': '여의도 성모병원 내원하고 약 처방받으러 들렸어요! 병원에서 더 가까운 약국들도 많았는데 후기들이 너무 안좋아서 일부러 찾아온 약국입니다! 약사님들께서 다들 정말 친절하시고 처방받은 약... 더보기', '좋아요': '0'}]","{'금': '08:30 ~ 18:00', '토': '08:30 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00'}"
윤중약국,,영등포구 여의나루로 42 여의도종합상가 1층 115호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '10:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '공휴일'}"
벚꽃약국,,영등포구 국제금융로 10 서울국제금융센터 지하2층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDdfMTMw%2FMDAxNzMzNTgwMDA2OTU3.ioJGBmLHBhLKwefcULUU8is7oSJJ4B-JhVai5v0Qu4Qg.RYBwLxG9TuLfrUufNiaNnyPRa1dGhUKIKYwjG13hnK8g.JPEG%2FIMG_6903.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
봄빛약국,3.5,영등포구 국회대로70길 12 대산빌딩 1층 101호,,"[{'작성자': '8765', '별점': '1.0', '날짜': '2025.01.04.', '내용': '불친절 비쌈', '좋아요': '0'}, {'작성자': '하늬바람', '별점': '5.0', '날짜': '2024.03.11.', '내용': '친절하게 설명을 잘해주십니다~^^', '좋아요': '1'}, {'작성자': '미오와', '별점': '2.0', '날짜': '2023.08.01.', '내용': '다른 데 비해 비쌈\n근처에 약국이 거의 없어서 \n정말 필요할 때만 가끔 가게 되는 곳\n약... 더보기', '좋아요': '2'}]","{'금': '09:00 ~ 20:00', '토': '10:30 ~ 16:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '휴무일': '공휴일'}"
보건약국,0.0,영등포구 국제금융로7길 22 대교B상가 114호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:40 ~ 20:00', '토': '09:00 ~ 19:00', '일': '11:00 ~ 17:00', '월': '08:40 ~ 20:00', '화': '08:40 ~ 20:00', '수': '08:40 ~ 20:00', '목': '08:40 ~ 20:00'}"
다온약국,5.0,영등포구 은행로 54 신한여의도드림리버오피스텔 지하1층 107호,,"[{'작성자': '김선주', '별점': '5.0', '날짜': '2022.04.03.', '내용': '일요일에 영업하시는 친절한 약사님ㅜㅜ\n복받으세요', '좋아요': '0'}, {'작성자': '허영미', '별점': '5.0', '날짜': '2021.11.17.', '내용': '친절한 약사님', '좋아요': '0'}, {'작성자': '박성철', '별점': '5.0', '날짜': '2021.07.25.', '내용': '지난번에 한강 놀러갔다가 갑자기 몸이 안좋아져서 우연찮게 들렀습니다 ㅜㅜ 약사님 친절한 응대와 복약지도덕분에 금방나았습니다. 혹시나 근처에서 급히 약필요하시면 추천드립니다.', '좋아요': '1'}]","{'금': '11:00 ~ 17:00', '토': '휴무일', '일': '08:00 ~ 16:00', '월': '11:00 ~ 17:00', '화': '11:00 ~ 17:00', '수': '11:00 ~ 17:00', '목': '11:00 ~ 17:00', '휴무일': '매주 토요일'}"
