name,score,address,img_url,reviews,open_hour
큰약국,5.0,용산구 장문로 96,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MTBfMjMg%2FMDAxNzI1OTU0Nzg2ODcx.x87g-xFGbDFMduCbr1by0tvsVkBDAs2UUAFo9X3ld-8g.CUL7Njjz-OaaJcXmzNduaO3mtZk5mtNyO4_QQmSf58Eg.JPEG%2F%25EB%25B8%2594%25EB%25A1%259C%25EA%25B7%25B8-%25EB%258C%2580%25EB%25AC%25B8.jpg%3Ftype%3Dw966,"[{'작성자': '띠룩이', '별점': '5.0', '날짜': '2025.03.01.', '내용': '진짜 커서 좋아요. 약 종류도 많고, 항상 열려있어 편합니다.', '좋아요': '0'}]",{}
신세계약국,0.0,용산구 장문로 94 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00'}"
보광프라자약국,5.0,용산구 보광로 35,,"[{'작성자': '노아', '별점': '5.0', '날짜': '2025.02.15.', '내용': '조금 오래된 건물이지만 약사님이 친절하시고 빠르십니다', '좋아요': '0'}]","{'수': '09:00 ~ 22:00', '목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 21:30', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00'}"
신태양약국,4.7,용산구 우사단로2길 23,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2667a935801c44de3f1073c3c72004c0d4725092%3Foriginal,"[{'작성자': '귤님', '별점': '5.0', '날짜': '2022.06.30.', '내용': '친절하시고 정확하세요. 진통제 달라고 하면 무엇 때문에 그런지 꼭 물어보시는 약사님.\n숙취해소제도 여러 개 먹어봤지만 직접 타주시는... 더보기', '좋아요': '0'}, {'작성자': '뿝뿌루루루', '별점': '5.0', '날짜': '2022.04.07.', '내용': '할아버지 약사님께서 하시는 곳인데 친절하세요. \n카드 받으시고 쌍화탕도 따끈 ♨️', '좋아요': '0'}, {'작성자': 'ㅁㅌㅌ', '별점': '4.0', '날짜': '2020.05.05.', '내용': '카드를 안받으시네요', '좋아요': '0'}]","{'수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 20:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
보승약국,0.0,용산구 우사단로4길 42-1 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '09:00 ~ 17:00', '목': '09:00 ~ 17:00', '금': '09:00 ~ 17:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 17:00', '화': '09:00 ~ 17:00', '휴무일': '매주 일요일'}"
동광약국,0.0,용산구 장문로 66-1 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'수': '00:00 ~ 24:00', '목': '00:00 ~ 24:00', '금': '00:00 ~ 24:00', '토': '00:00 ~ 24:00', '일': '휴무일', '월': '00:00 ~ 24:00', '화': '00:00 ~ 24:00', '휴무일': '매주 일요일'}"
신진약국,3.0,용산구 우사단로 2-1 1층 104호,,"[{'작성자': 'havana', '별점': '1.0', '날짜': '2023.04.19.', '내용': '유난에 꼴값떠는 1등약국. 동네약국 나부랭이주제에 누가보면 대학병원 연동 약국인줄. 두번다신안감', '좋아요': '0'}]","{'수': '10:00 ~ 19:30', '목': '10:00 ~ 19:30', '금': '10:00 ~ 19:30', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 19:30', '화': '10:00 ~ 19:30', '휴무일': '매주 일요일'}"
팜메이트,0.0,용산구 보광로 35,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
용산대학약국,5.0,용산구 대사관로 58 1층,,"[{'작성자': 'J', '별점': '5.0', '날짜': '2021.09.17.', '내용': '일하시는 분들 전부 친절하고 설명 잘해주십니다.', '좋아요': '0'}]","{'수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
가장큰태평양약국,5.0,용산구 대사관로 52 1층,,"[{'작성자': '강이경', '별점': '5.0', '날짜': '2024.04.07.', '내용': '신관 앞 약국 다니다가 정문 앞으로 옮겼는데 약사님 친절하시네요. 여기 약국이 사람이 좀 있는데 이유가 있는거 같습니다.', '좋아요': '1'}]","{'수': '08:30 ~ 18:20', '목': '08:30 ~ 18:20', '금': '08:30 ~ 18:20', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:20', '화': '08:30 ~ 18:20', '휴무일': '매주 일요일'}"
