name,score,address,img_url,reviews,open_hour
솔약국,5.0,용산구 백범로 341 리첸시아용산 128-1호,,"[{'작성자': 'sa', '별점': '5.0', '날짜': '2024.02.23.', '내용': '같은 건물에 있는 다른 약국과는 달리 자세하게 복약지도 하고 친절합니다.', '좋아요': '0'}, {'작성자': '마이스', '별점': '5.0', '날짜': '2023.03.27.', '내용': '2층 우정약국은 별로 안 친절한데 여기는 친절합니다. 여기 생긴 후 이쪽으로만 다녀요. 저렴하기도 하구요.', '좋아요': '0'}]","{'목': '09:00 ~ 19:20', '금': '09:00 ~ 19:20', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:20', '화': '09:00 ~ 19:20', '수': '09:00 ~ 19:20'}"
우정약국,,용산구 백범로 341 금호리첸시아 A동 3층 315호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
다올약국,3.4,용산구 청파로 251 다올노블리움 지하1층 2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD46B051D41B84CF197AFBA6880CBC5F7,"[{'작성자': 'ou', '별점': '1.0', '날짜': '2025.03.11.', '내용': '약 끼워팔기 심하고 다른 곳 보다 비싸요. 다른곳 감기약 두 개 사면 6000원. 여기는 11000원.', '좋아요': '0'}, {'작성자': '등뼈찜먹고싶다', '별점': '5.0', '날짜': '2025.01.05.', '내용': '후기보고 긴장했는데 따로 권유하는거 없이 약 잘 설명해주심 가까워서 자주 갈듯', '좋아요': '0'}, {'작성자': '.', '별점': '2.0', '날짜': '2024.09.10.', '내용': '여러번 방문해본바 친절하고 잘 설명해주시지만 약 끼워팔기가 심하고 감기인데도 온갖 약을 다 권하심.. 더이상 재방문의사 없음', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 19:00', '일': '10:10 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
라임약국,5.0,용산구 백범로90길 38 프라임펠리스 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MTVfMTEx%2FMDAxNzI2MzcwNjY2MjA3.sBL6pQOSAB4U6bJJFlP2JkRbrp2-vZMiXBJt4s_7rAEg.pFWksQbgBKurJWo1X4pk0NarK-0-Wo0UDUoBB0vJLYkg.JPEG%2FSE-df61b564-d83c-4c20-bd1d-7b7d63d6c680.jpg%3Ftype%3Dw580,"[{'작성자': '북쪽면상', '별점': '5.0', '날짜': '2023.05.10.', '내용': '영업시간도 좋고 친절합니다', '좋아요': '0'}, {'작성자': '나', '별점': '5.0', '날짜': '2023.05.07.', '내용': '정~~말 친절하고 정직하게 하세요!!\n딱 필요한 약만 권해주십니다.\n주말에도 여는 곳이라 문배동의 빛같은 곳입니다', '좋아요': '0'}, {'작성자': '불친절 감별기', '별점': '5.0', '날짜': '2023.02.26.', '내용': '집 근처에서 자주 가는데 약사님이 정말 친절하세요^^', '좋아요': '0'}]","{'목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '토': '10:00 ~ 19:00', '일': '10:00 ~ 19:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00'}"
서안약국,0.0,용산구 효창원로 142,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FdbO5kv%2FbtsM1h2mgpl%2FKAR5HN6eVJIsuKbHeNRmqk%2Fimg.jpg,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '토': '08:00 ~ 14:00', '일': '휴무일', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '휴무일': '매주 일요일'}"
새봄약국,5.0,용산구 백범로 287 1층,,"[{'작성자': '니나니노', '별점': '5.0', '날짜': '2025.03.22.', '내용': '항상 친절하시고 약 복용 관련해서도 자세히 알려주셔서 좋아요.', '좋아요': '0'}, {'작성자': 'fzeur', '별점': '5.0', '날짜': '2023.04.20.', '내용': '친절하세요!', '좋아요': '0'}, {'작성자': '디디디', '별점': '5.0', '날짜': '2022.06.27.', '내용': '약사님 친전하고 이쁘시네요,,', '좋아요': '0'}]","{'목': '08:40 ~ 19:30', '금': '08:40 ~ 19:30', '토': '08:40 ~ 15:00', '일': '휴무일', '월': '08:40 ~ 19:30', '화': '08:40 ~ 19:30', '수': '08:40 ~ 19:30', '휴무일': '매주 일요일'}"
미라클약국,4.6,용산구 한강대로 259 고려에이트리움 1층 109호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F08A7B9DC11644A7F942EDCAED302699B,"[{'작성자': 'mitski', '별점': '5.0', '날짜': '2024.09.20.', '내용': '너무 친절하십니다', '좋아요': '0'}, {'작성자': '지슐랭', '별점': '5.0', '날짜': '2022.10.21.', '내용': '처음 방문했는데 설명 잘 해주시고 완전 친절하세요.', '좋아요': '0'}, {'작성자': '냥', '별점': '5.0', '날짜': '2022.09.03.', '내용': '약 관련해서 전화해서 문의드렸더니 참고문헌까지 찾아가주시면서 설명해주셨어요\n너무 친절하세요!', '좋아요': '0'}]","{'목': '09:00 ~ 19:40', '금': '09:00 ~ 19:40', '토': '09:00 ~ 14:30', '일': '휴무일', '월': '09:00 ~ 19:40', '화': '09:00 ~ 19:40', '수': '09:00 ~ 19:40', '휴무일': '매주 일요일'}"
신효창프라자약국,2.0,용산구 백범로 285 1층,,"[{'작성자': '오띠', '별점': '2.0', '날짜': '2025.03.20.', '내용': '아파죽겠어서 당장 먹어야하는 상황에 타이레놀 달라했더니 서방정이 더 오래간다고 서방정주셔서… 약효 천천히 듣느라 죽는줄 알았네요 무슨 목적으로 먹는건지는 물으시고 추천해주셨으면 좋겠어요 그냥 오래간다고만 설... 더보기', '좋아요': '0'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:00 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '휴무일': '매주 일요일'}"
신우성약국,4.2,용산구 한강대로77길 10,,"[{'작성자': 'sara J', '별점': '1.0', '날짜': '2023.01.31.', '내용': '약국마다 가격이 일반의약품 금액이 다 달라서 전화로 여쭙고 방문하고자 했는데, \n얼마냐고 물으니 비웃는듯 비싸요 라고 하며 말안해주는 약사 ㅋ…. \n동네 약국이라 종종 갔는데 앞으로 다른 곳으로 가려구요.', '좋아요': '0'}, {'작성자': 'ABCD', '별점': '5.0', '날짜': '2021.12.06.', '내용': '친절해요! 저녁에 이미 닫고 있는 중이었는데도 기다려주셔서 무사히 약 살 수 있었어요!\n짜증 한번 안 내시고 친절하게 약 설명해주셨어요!', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2021.03.03.', '내용': '약사님이 너무 친절하세요', '좋아요': '0'}]","{'목': '09:00 ~ 21:30', '금': '09:00 ~ 21:30', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 21:30', '화': '09:00 ~ 21:30', '수': '09:00 ~ 21:30', '휴무일': '매주 일요일'}"
해란약국,5.0,용산구 청파로47길 53 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.11.12.', '내용': '갈 때 마다 인류애 상승해서 후우웅 …🥹 하고 나오는 약국\n정말 친절하시고 이것 저것 여쭤봐도 다 잘 알려주셔요 \n어쩜 그리 매번 친절하실수 있는지.. \U0001fa77', '좋아요': '0'}, {'작성자': '요마', '별점': '5.0', '날짜': '2024.10.21.', '내용': '약사님 진짜 친절하세요 🤍', '좋아요': '0'}, {'작성자': '다다닥', '별점': '5.0', '날짜': '2023.08.18.', '내용': '병원 내원할때 이외에도 약국은 무조건 여기로 가요!\n약사님이 너무 친절하시고 설명도 잘해주셔서 좋아요!!!\n집 근처에 좋은 약... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '10:00 ~ 18:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30'}"
