name,score,address,img_url,reviews,open_hour
현대온누리약국,4.2,용산구 이촌로 280 명지상가 1층 1호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0d453e5f3dfc26aed392ccf2c98505c3cd0fdb55%3Foriginal,"[{'작성자': '김민욱', '별점': '5.0', '날짜': '2024.07.16.', '내용': '너무 친절해요', '좋아요': '0'}, {'작성자': '👋', '별점': '5.0', '날짜': '2023.07.21.', '내용': '안경 쓰신 여자 약사분 너무 친절하세요.\n과잉치료 진단(?) 안해요\n필요없으면 구매하지 말라고 해주십니다🙂', '좋아요': '0'}, {'작성자': '박상희(지민맘)', '별점': '5.0', '날짜': '2022.08.07.', '내용': '증상 이야기하면 적당한 약 추천해주고, 집에 있는 다른 약 먹어도 되냐고하면 그러세요~ 하는 동네약국입니다. \n\n다만, 오후시간... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
이층성장약국,3.0,"용산구 이촌로 224 한강쇼핑센터 2층 210-1, 209, 217호",//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzExMjNfMjE2%2FMDAxNzAwNzE3MTkzMjEw.W1g_YNPxrjFnXfhRfz1xN0W0xFlKlJra8GGmw-yVd7Eg.U_OManxL71HsuBxH4-pd5c7arNy0Z0-w6Ou_ua43GC8g.PNG.hahahataejeon%2F001.png%3Ftype%3Dw773,"[{'작성자': '양', '별점': '1.0', '날짜': '2024.07.30.', '내용': '나이 있으신 분은 안그러는데 오늘 젊은 여자 약사가  반말로 계속 응대하길래 ...첨엔 잘못 들은줄 알았는데 계속 반말을 하길래 어이가 없어서...한마디 할려다 ...그냥 여기 글 남기는게 나을거 같아 남김', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
서현약국,3.0,용산구 이촌로 200 지하1층 104호,,"[{'작성자': '최윤진 (Yunjin Choe)', '별점': '5.0', '날짜': '2024.06.27.', '내용': '딱히 안 좋은 거 못느끼겠던데. 평범한 약국이에요.평점 낮다고 걱정하지 말고 그냥 가세요.', '좋아요': '0'}, {'작성자': 'jini', '별점': '1.0', '날짜': '2024.02.04.', '내용': '후기가 낮은 이유가 있었네요.. 이런분이 어떻게 사람을 상대하는 일을 하시는지 신기하네요.. 기분 불쾌해서 서둘러 나왔습니다', '좋아요': '0'}, {'작성자': '휴', '별점': '1.0', '날짜': '2019.04.05.', '내용': '오픈시간이 9시인데 표기는 8시라고 해둬서 헛걸음합니다. 정보 제대로 수정해주세요.', '좋아요': '1'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:30', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 18:30', '휴무일': '매주 일요일'}"
한국구일온누리약국,5.0,"용산구 이촌로 300 렉스상가 1층 2-2, 3-1호",,"[{'작성자': '농담곰', '별점': '5.0', '날짜': '2025.03.07.', '내용': '친절하시고 넓고 깨끗해요', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 18:00', '일': '10:00 ~ 20:00', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00'}"
온누리임상약국,1.0,용산구 이촌로18길 9 1층 101호,,"[{'작성자': '개멍청', '별점': '1.0', '날짜': '2024.12.01.', '내용': '10분전부터 갑자기 어지러워서 약을 물어봤더니 증상을 물어봐서 추운데 퇴근길이라 얼굴이 차서 열이있는지는 모르겠고 감기로 의심된다고했음 (감기걸렸을때 생기던증상이라) ... 더보기', '좋아요': '0'}, {'작성자': '다알', '별점': '1.0', '날짜': '2021.12.21.', '내용': '별 한개도 아까움', '좋아요': '0'}, {'작성자': '정연', '별점': '1.0', '날짜': '2021.02.11.', '내용': '장사할려고 양약에 한약 끼워서 팔아서 한약이 잘안받아서 양약만 주세요 했더니 그럼 없어요 안팔아요 이러고 표정싹변함ㅋㅋㅋ 이건 한약을 같이먹어야 효과가 좋아요 하고말했... 더보기', '좋아요': '0'}]",{}
양지약국,3.0,용산구 이촌로 248,,"[{'작성자': 'G.K.', '별점': '1.0', '날짜': '2022.03.14.', '내용': '개당 1000원 짜리도 있는데 2000원 짜리 마스크를 추천해주다니... 더보기', '좋아요': '0'}, {'작성자': 'ㅌㅌㄹ', '별점': '5.0', '날짜': '2021.09.25.', '내용': '친절하십니다~', '좋아요': '0'}]","{'목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 19:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '휴무일': '매주 일요일'}"
홍주약국,0.0,용산구 이촌로 206 3층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 18:00', '금': '08:30 ~ 18:00', '토': '08:30 ~ 14:00', '일': '휴무일', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '휴무일': '매주 일요일'}"
동부약국,1.0,용산구 이촌로 245,,"[{'작성자': 'ㅎㅈㅇ', '별점': '1.0', '날짜': '2024.08.31.', '내용': '걍 장사 왜하는지 모르겠음 이런데 팔아주지마세요 개불친절 무슨 약 찾으면서 방구 뀌고 난리남 ㅋㅋㅋ 개토나옴;;; 우웩', '좋아요': '0'}, {'작성자': '요미꿈', '별점': '1.0', '날짜': '2022.04.23.', '내용': '별로에요', '좋아요': '0'}, {'작성자': '지원', '별점': '1.0', '날짜': '2022.01.07.', '내용': '여기갈바엔 다른곳 가세요 불친절함', '좋아요': '0'}]","{'목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00', '토': '08:30 ~ 22:30', '일': '휴무일', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '휴무일': '매주 일요일'}"
소망약국,0.0,용산구 이촌로 264,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 17:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
옵티마엠마오약국,0.0,용산구 이촌로 248 11동 2층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '일': '휴무일', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '휴무일': '공휴일'}"
