name,score,address,img_url,reviews,open_hour
성도약국,4.0,용산구 회나무로 25 1층,,"[{'작성자': '우우나', '별점': '4.0', '날짜': '2025.03.26.', '내용': '평범해요', '좋아요': '0'}, {'작성자': '노원', '별점': '5.0', '날짜': '2024.05.06.', '내용': '점수 왜 낮은지 속상하네요\n배탈나서 들렀는데 약도 좋은 걸로 추천해주시고 주의사항도 알려주시고 소통이 잘 돼서 좋았습니다!', '좋아요': '1'}, {'작성자': '알람', '별점': '1.0', '날짜': '2022.08.27.', '내용': '꼰대의 배짱 장사. \n물어보면 귀찮아하며 짜증만냄\n같은 성분약 달라고... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 19:00', '일': '10:00 ~ 18:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
소명약국,1.7,용산구 우사단로 43 1층,,"[{'작성자': 'min', '별점': '5.0', '날짜': '2024.12.06.', '내용': '친절하고 좋아요!!!', '좋아요': '0'}, {'작성자': 'Doo', '별점': '5.0', '날짜': '2024.09.14.', '내용': '약 처방 친절하시구 효율적으로 구매할 수 있게 도와주셔서 감사했습니다', '좋아요': '0'}, {'작성자': '키보드워리어', '별점': '1.0', '날짜': '2024.07.06.', '내용': 'should be close. never go there for your health. also pruce much higher .. its up to older lady mood', '좋아요': '0'}]","{'목': '09:30 ~ 22:00', '금': '09:30 ~ 22:00', '토': '09:30 ~ 22:00', '일': '휴무일', '월': '09:30 ~ 22:00', '화': '09:30 ~ 22:00', '수': '09:30 ~ 22:00', '휴무일': '매주 일요일'}"
국민약국,5.0,용산구 이태원로 186 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5ca161f46c47690b60b3a6f031aeb94af2fb97f8%3Foriginal,"[{'작성자': '맛잘알', '별점': '5.0', '날짜': '2025.01.26.', '내용': '여기 너무너무 친절하고 가격도 착해서 약국 여기만 옴', '좋아요': '0'}, {'작성자': '호이', '별점': '5.0', '날짜': '2024.12.24.', '내용': '살면서 이렇게 친절한 약국은 처음입니다', '좋아요': '0'}, {'작성자': '토토', '별점': '5.0', '날짜': '2024.11.20.', '내용': '남자 선생님 진짜 친절하세요. 파스 사러갔는데 증상 문의했더니 필요한 약도 같이 주셔서 이모가 그거 드시고 많이 나으셨대요 감사합니다!!! 담에 또 갈게요', '좋아요': '0'}]","{'목': '09:30 ~ 19:30', '금': '09:30 ~ 21:00', '토': '10:00 ~ 16:00', '일': '10:00 ~ 15:00', '월': '09:30 ~ 19:30', '화': '09:30 ~ 19:30', '수': '09:30 ~ 20:00', '휴무일': '삼일절'}"
한라약국,,용산구 보광로 124,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '10:00 ~ 21:00', '금': '10:00 ~ 21:00', '토': '10:00 ~ 21:00', '월': '10:00 ~ 21:00', '화': '10:00 ~ 21:00', '수': '10:00 ~ 21:00'}"
동아약국,5.0,용산구 회나무로 16,,"[{'작성자': '길에서 길을 묻다  헌학', '별점': '5.0', '날짜': '2020.04.07.', '내용': '원하는 장소를 정확하게 가르쳐 주셔서 감사', '좋아요': '1'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00'}"
신대성약국,0.0,용산구 녹사평대로46길 30,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
대성옵티마약국,5.0,용산구 회나무로 23 1층,,"[{'작성자': 'K', '별점': '5.0', '날짜': '2025.02.26.', '내용': '영업시간이랑 맞지 않습니다.', '좋아요': '0'}]","{'목': '09:00 ~ 23:00', '금': '09:00 ~ 23:00', '토': '09:00 ~ 17:00', '월': '09:00 ~ 23:00', '화': '09:00 ~ 23:00', '수': '09:00 ~ 23:00'}"
힐링약국,3.4,용산구 신흥로 53 1층,,"[{'작성자': '아시리', '별점': '1.0', '날짜': '2024.09.11.', '내용': '듣던대로', '좋아요': '0'}, {'작성자': '장군', '별점': '5.0', '날짜': '2022.10.29.', '내용': '저는 갈때마다 물어보는것에 친절하게 잘 설명해주셨습니다.', '좋아요': '0'}, {'작성자': '다그', '별점': '1.0', '날짜': '2022.06.02.', '내용': '남자분 동네 사장님들도 불친절한거 알고 계시더라구요', '좋아요': '0'}]","{'목': '08:45 ~ 19:00', '금': '08:45 ~ 19:00', '토': '08:45 ~ 13:00', '월': '08:45 ~ 19:00', '화': '08:45 ~ 19:00', '수': '08:45 ~ 19:00'}"
보현온누리약국,5.0,용산구 신흥로20길 1,,"[{'작성자': '노동준', '별점': '5.0', '날짜': '2023.05.05.', '내용': '약사님이 친절하시고, 과대판매를 안하세요.\n딱 필요한 약만 보여주시고 이거 먹으세요 하고 추천해주세요.', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
인원약국,0.0,용산구 신흥로20길 5,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 21:00', '금': '08:30 ~ 21:00', '토': '09:00 ~ 21:00', '월': '08:30 ~ 21:00', '화': '08:30 ~ 21:00', '수': '08:30 ~ 21:00'}"
