name,score,address,img_url,reviews,open_hour
다올약국,3.4,용산구 청파로 251 다올노블리움 지하1층 2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD46B051D41B84CF197AFBA6880CBC5F7,"[{'작성자': 'ou', '별점': '1.0', '날짜': '2025.03.11.', '내용': '약 끼워팔기 심하고 다른 곳 보다 비싸요. 다른곳 감기약 두 개 사면 6000원. 여기는 11000원.', '좋아요': '0'}, {'작성자': '등뼈찜먹고싶다', '별점': '5.0', '날짜': '2025.01.05.', '내용': '후기보고 긴장했는데 따로 권유하는거 없이 약 잘 설명해주심 가까워서 자주 갈듯', '좋아요': '0'}, {'작성자': '.', '별점': '2.0', '날짜': '2024.09.10.', '내용': '여러번 방문해본바 친절하고 잘 설명해주시지만 약 끼워팔기가 심하고 감기인데도 온갖 약을 다 권하심.. 더이상 재방문의사 없음', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 19:00', '일': '10:10 ~ 19:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00'}"
소아제일약국,5.0,용산구 청파로 383-8 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F73444f8dad5a4b81112e93db6f8e2faae5dbd0c2%3Foriginal,"[{'작성자': '다준다', '별점': '5.0', '날짜': '2025.01.30.', '내용': '친절하세요:)', '좋아요': '0'}, {'작성자': '꿈꾸는자작나무', '별점': '5.0', '날짜': '2024.12.09.', '내용': '처방접수 키오스크가 있다니 신기하당^^\n친절한 약사님', '좋아요': '0'}, {'작성자': '행운', '별점': '5.0', '날짜': '2023.01.08.', '내용': '친철하세요:)', '좋아요': '0'}]","{'목': '08:30 ~ 17:30', '금': '08:30 ~ 17:30', '토': '휴무일', '일': '09:00 ~ 18:00', '월': '08:30 ~ 17:30', '화': '08:30 ~ 17:30', '수': '08:30 ~ 17:30', '휴무일': '매주 토요일'}"
나라약국,5.0,용산구 청파로47길 7 102호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC53C8C6ACF4B4F929373FBCF4E63C903,"[{'작성자': '멍멍', '별점': '5.0', '날짜': '2024.12.18.', '내용': '항시친절. 밝은응대. 높은서비스\n무한감사.', '좋아요': '1'}, {'작성자': 'Yw', '별점': '5.0', '날짜': '2024.11.13.', '내용': '약사님 너무 친절하시고 설명도 잘해주세요!\n여러군데 전화 해보고 간건데, 연고 종류도 많고 쾌적합니다 :)', '좋아요': '1'}, {'작성자': '임현재', '별점': '5.0', '날짜': '2024.08.29.', '내용': '짱 친절 정직 설명도 잘해주심', '좋아요': '1'}]","{'목': '08:40 ~ 19:30', '금': '08:40 ~ 19:30', '토': '08:40 ~ 13:00', '일': '휴무일', '월': '08:40 ~ 19:30', '화': '08:40 ~ 19:30', '수': '08:40 ~ 19:30', '휴무일': '공휴일'}"
숙명약국,4.3,용산구 청파로47길 66 중하빌딩 1층,,"[{'작성자': '하도', '별점': '4.0', '날짜': '2025.01.18.', '내용': '친절하고 타 약국대비 살짝 비싼편', '좋아요': '0'}, {'작성자': 'ㅁㅁㅁ', '별점': '5.0', '날짜': '2024.04.24.', '내용': '전화로 이것저것 여쭤봤는데 잘 알려주시고 완전 친절해요', '좋아요': '0'}, {'작성자': 'ㅇㅇ', '별점': '5.0', '날짜': '2023.04.18.', '내용': '굿', '좋아요': '0'}]","{'목': '08:30 ~ 21:30', '금': '08:30 ~ 21:30', '토': '09:00 ~ 21:00', '일': '11:00 ~ 19:00', '월': '08:30 ~ 21:30', '화': '08:30 ~ 21:30', '수': '08:30 ~ 21:30'}"
메디팜최약국,0.0,용산구 청파로 324 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
메디팜미래로약국,2.0,용산구 청파로47길 40,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdc119c6d3bf6ae678f1afd69658dcfb6f2277a9bcff60c83c6cd13bd229d7b0b,"[{'작성자': '후기 미제공은 거르세요', '별점': '1.0', '날짜': '2024.06.26.', '내용': '약사는 환자에게 필요한 약을 팔아야지\n돈 벌려고 팔고싶은 상품 강매하는 직업이 아닙니다\n\n말이 ... 더보기', '좋아요': '1'}, {'작성자': '쏘울', '별점': '2.0', '날짜': '2024.05.04.', '내용': '한약 감기약을 미는가 봄. 효과 별론데 권해서 먹음. 값도 안 쌈.\n청소가 잘 안되어있는편. 진열대 물건 먼지...ㅎ', '좋아요': '0'}, {'작성자': 'Dean', '별점': '4.0', '날짜': '2024.04.07.', '내용': '친절하시고 설명도 여러가지 해주려고 하십니다. 열려있으세요.\n약을 사는것에 있어 다른물건도 그렇지만 모든일들이 거의 다가 서비스업입니다. 고객과 상품에 대해 이런저런 이야기를 해야 서로가 좋고 고객이더 좋을... 더보기', '좋아요': '0'}]","{'목': '08:30 ~ 22:00', '금': '08:30 ~ 22:00', '토': '08:30 ~ 22:00', '일': '휴무일', '월': '08:30 ~ 22:00', '화': '08:30 ~ 22:00', '수': '08:30 ~ 22:00', '휴무일': '매주 일요일'}"
해란약국,5.0,용산구 청파로47길 53 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2024.11.12.', '내용': '갈 때 마다 인류애 상승해서 후우웅 …🥹 하고 나오는 약국\n정말 친절하시고 이것 저것 여쭤봐도 다 잘 알려주셔요 \n어쩜 그리 매번 친절하실수 있는지.. \U0001fa77', '좋아요': '0'}, {'작성자': '요마', '별점': '5.0', '날짜': '2024.10.21.', '내용': '약사님 진짜 친절하세요 🤍', '좋아요': '0'}, {'작성자': '다다닥', '별점': '5.0', '날짜': '2023.08.18.', '내용': '병원 내원할때 이외에도 약국은 무조건 여기로 가요!\n약사님이 너무 친절하시고 설명도 잘해주셔서 좋아요!!!\n집 근처에 좋은 약... 더보기', '좋아요': '1'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '10:00 ~ 18:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30'}"
승현약국,5.0,용산구 효창원로 271-1,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '13:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
구온누리약국,5.0,용산구 만리재로 134 1층,,"[{'작성자': 'qwer1234', '별점': '5.0', '날짜': '2022.05.22.', '내용': '약사님이 정말 정말 친절하세요!!!! 복용법이랑 주의할점 정말 친절히 알려주시네요', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2019.08.31.', '내용': '약사님께서 친절하시고 자세하게 설명해주셔서 좋아요!ㅎㅎ 무엇보다 이른 아침에도 열어서 급하게 도움을 받은 적이 한두번이 아닙니다', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 14:30', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00'}"
연희온누리약국,5.0,용산구 한강대로 297 2층,,"[{'작성자': '비누', '별점': '5.0', '날짜': '2023.12.15.', '내용': '약사님이 요즘 보기 드물게 친절하심', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 13:00'}"
