name,score,address,img_url,reviews,open_hour
다나은약국,5.0,용산구 한강대로 109 용성비즈텔 1층 101호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0F3B852CCB7B4875B62D7BDC10330155,"[{'작성자': '노홍석', '별점': '5.0', '날짜': '2025.02.19.', '내용': '정기적으로 가는 약국인데 약사선생님 너무 친절하시고 좋으세요. 다음 방문일이 기다려 집니다.', '좋아요': '0'}, {'작성자': '까레니나', '별점': '5.0', '날짜': '2025.01.07.', '내용': '훌륭한 약사님임. 약국 이름 그대로 정말 다 낫게 해주시려고 정성을 기울임.', '좋아요': '0'}, {'작성자': 'in the morning', '별점': '5.0', '날짜': '2024.10.03.', '내용': '항상 친절하시고 따뜻하게 반겨주세요 휴일에도 주말에도 열어주셔서 감사합니다', '좋아요': '0'}]","{'목': '09:00 ~ 21:00', '금': '09:00 ~ 21:00', '토': '09:00 ~ 22:00', '일': '10:00 ~ 22:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00'}"
신용산수약국,4.3,용산구 한강대로 109 용성비즈텔 지하2층 B233호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd094eefc9b10fa914db237a78713da678e7cc754%3Foriginal,"[{'작성자': '블루베리치즈케이크', '별점': '5.0', '날짜': '2024.08.10.', '내용': '넘 친절하세요! 처방약이 없어서 전전하고 있었는데 전화로 문의드려서 겨우 처방받아 갔습니다', '좋아요': '1'}, {'작성자': 'udon', '별점': '5.0', '날짜': '2024.03.20.', '내용': 'ㅋㅋㅋㅋ 약사님 엄청 밝고 친절하세요', '좋아요': '1'}, {'작성자': 'UcdYoon', '별점': '5.0', '날짜': '2023.10.09.', '내용': '약사님 걸크러쉬~', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
용산오늘약국,2.5,용산구 새창로 217 용산토투밸리 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F79EF301E44F9416CAC08880D4A1D95E3,"[{'작성자': 'Aiden', '별점': '2.0', '날짜': '2024.10.14.', '내용': '소화제 달라고 했더니 노룩 패스.', '좋아요': '0'}, {'작성자': 'morning', '별점': '5.0', '날짜': '2024.06.11.', '내용': '약국이 어쩜 이렇게도 깔끔하고 예쁠까요? 약사쌤도 친절하게 복약 지도 잘해주세요 ^^', '좋아요': '0'}, {'작성자': 'MFH', '별점': '1.0', '날짜': '2024.05.03.', '내용': '약 성분을 모르는 ""약사"" + 불친절한 종업원.', '좋아요': '0'}]","{'목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '휴무일': '매주 일요일'}"
편한약국,4.0,용산구 서빙고로 17 용산센트럴파크 해링턴스퀘어 1층 47호,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F26819028A650413DB2C6753FACB5B518,"[{'작성자': 'ane', '별점': '5.0', '날짜': '2024.12.31.', '내용': '지도가 이상하네요 스타벅스 지나쳐서 파스쿠찌 있는 쪽에 있어요', '좋아요': '0'}, {'작성자': '카키', '별점': '5.0', '날짜': '2024.04.29.', '내용': '늘 친절하게 잘 설명해주셔요.\n항상 이곳만 방문하게되네요 ㅎ', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 16:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
산책약국,5.0,용산구 한강대로 100 아모레퍼시픽 지하1층 B106-2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MDlfMjUx%2FMDAxNzI1ODExMjI5OTYw.uqYxO9pEjSD5uACGn3_Ur2MBf7BL0h2wi92gsFtlQDkg.DS78XUUsbUFfQJ35Yp-kDhrLec8xIzcdhxp7LwTE7W4g.JPEG%2FIMG_3282.jpg%3Ftype%3Dw466,"[{'작성자': 'M0', '별점': '5.0', '날짜': '2024.10.27.', '내용': '핵친절', '좋아요': '0'}, {'작성자': '밍밍', '별점': '5.0', '날짜': '2024.07.23.', '내용': '엄청 친절하게 안내해주십니다 설명도 잘해주시구요 감동..', '좋아요': '0'}]","{'목': '08:00 ~ 20:00', '금': '08:00 ~ 20:00', '토': '휴무일', '일': '휴무일', '월': '08:00 ~ 20:00', '화': '08:00 ~ 20:00', '수': '08:00 ~ 20:00', '휴무일': '매주 토요일, 일요일'}"
3층파란문약국,5.0,용산구 한강대로 69 용산푸르지오써밋 3층 305-1호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F39F75D2A2A194A20BDD3A92D6EC594DC,"[{'작성자': '박연주', '별점': '5.0', '날짜': '2024.10.01.', '내용': '엄청 친절하셔용 아침부터 기분이 좋아지네용🍀🍀', '좋아요': '1'}, {'작성자': 'N', '별점': '5.0', '날짜': '2024.07.03.', '내용': '약사님 정말정말정말 친절하심.', '좋아요': '0'}, {'작성자': '키아', '별점': '5.0', '날짜': '2024.03.26.', '내용': '근처 약국 찾다가 후기가 너무 좋아서 찾아왔어요\n다들 칭찬이 많아서 약국인데 특별할게 있나하고 궁금해서 왔어요. 친절하게 설명해주시고 찾아... 더보기', '좋아요': '0'}]","{'목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '휴무일': '공휴일'}"
우리서울약국,2.3,용산구 한강대로 95 래미안용산 2층 207호,,"[{'작성자': 'K', '별점': '1.0', '날짜': '2021.11.17.', '내용': '웬만하면 후기 안남기려 했는데\n처방전 전달하고 재촉 전혀 안하고 서서 대기했는데 약사분이 혼자 허둥지둥. 그러려니 있었는데 약사분이 제가... 더보기', '좋아요': '0'}, {'작성자': 'jj', '별점': '5.0', '날짜': '2020.01.28.', '내용': '약사님 정말 친절하시고 궁금한 점 물어보면 알기 쉽게 답해주십니다. 돈 받으시거나 거스름돈 내주실 때 꼭 비닐장갑 끼고 주세요. 돈 만진 손으로 약 만지지 않으시려는 거겠죠... 더보기', '좋아요': '0'}, {'작성자': '@dop_lee', '별점': '1.0', '날짜': '2019.10.02.', '내용': '영업시간 09시부터라서 방문했는데 안 열려 있네요. 40분 넘게 기다려도 깜깜무소식... 영업시간 최신화 부탁드려요.', '좋아요': '0'}]","{'목': '10:00 ~ 20:00', '금': '10:00 ~ 20:00', '토': '09:30 ~ 15:00', '일': '휴무일', '월': '10:00 ~ 20:00', '화': '10:00 ~ 20:00', '수': '10:00 ~ 20:00', '휴무일': '매주 일요일'}"
용산약국,2.0,용산구 한강대로 92,,"[{'작성자': '리뷰', '별점': '1.0', '날짜': '2024.03.07.', '내용': '불친절… 옆에 병원 많아서 가긴하는데 기분 안좋은 날에 가면 불친절합니다 기분이 태도가 됨ㅜ', '좋아요': '0'}, {'작성자': 'A.O', '별점': '1.0', '날짜': '2021.11.12.', '내용': '약국도 결국 장사인데 친절은 기대 안하더라도...예의는 갖추셨으면 하네요', '좋아요': '0'}, {'작성자': '김승기', '별점': '1.0', '날짜': '2021.06.23.', '내용': '회사 근처라 방문 했는데 불친절 끝판왕 약국 ~~~ 영수증 재발행 용청 하니까 온갖 짜증 섞인 목소리로 응대하는젊은 여자~~~ 2주전 날자,시간,금액 다 불러 주었는데  그리도 짜증 나면 약... 더보기', '좋아요': '0'}]","{'목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '10:30 ~ 13:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
2층써밋약국,3.7,용산구 한강대로 69 용산푸르지오써밋 상가동 2층 222-2호,,"[{'작성자': '브루클린버거', '별점': '1.0', '날짜': '2024.12.03.', '내용': '별로', '좋아요': '0'}, {'작성자': '신듀님', '별점': '5.0', '날짜': '2023.01.20.', '내용': '엄청 친절하시고 꼼꼼히 설명해주세요 :) 약국 갈일 있으면 여기로 들릴것 같아요', '좋아요': '0'}]","{'목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '휴무일': '매주 일요일'}"
바로약국,5.0,용산구 새창로 217 용산토투밸리 1층 132호,,"[{'작성자': '먹보짱구', '별점': '5.0', '날짜': '2024.11.29.', '내용': '헤에 이렇게나 친절하시다니\U0001fa75 약사님이 친절하시구.. 좋아요', '좋아요': '0'}, {'작성자': '-', '별점': '5.0', '날짜': '2023.11.25.', '내용': '약사님이 너무 친절하세요!! 용산쪽 오면 여기 약국만 오려구요:)', '좋아요': '0'}]","{'목': '08:30 ~ 19:30', '금': '08:30 ~ 19:30', '토': '08:30 ~ 14:00', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30'}"
해피약국,1.0,용산구 서빙고로 17 용산센트럴파크해링턴스퀘어 상가동 2층 108호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMDhfMjQ4%2FMDAxNzA0Njk0Njc0NDMx.Ra2cgohkkl2C7rR0cOWqi8AecgNhsChsHmSALo64aMEg.KstFRadENStQkepkVNzOgxJJ_DjhRMy--7CLjok2Dxkg.JPEG.pharmfriends%2FSE-2f40017b-2c2e-4058-bd46-6dd8ddf154aa.jpg%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 19:00', '금': '08:30 ~ 19:00', '토': '08:30 ~ 15:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00'}"
나음약국,2.0,용산구 한강대로 95 래미안용산더센트럴 지하1층 1B157호,,"[{'작성자': '머랭쿠키', '별점': '1.0', '날짜': '2023.09.22.', '내용': '영업시간이 안내와 다릅니다ㅠㅠ', '좋아요': '0'}, {'작성자': 'Berry', '별점': '3.0', '날짜': '2023.07.07.', '내용': '영업중으로 찍혀있어서 남영방향부터 찾아왔는데 닫았네요(금 8:40 도착) 정확하게 영업시간 지키거나 표시 맞춰주면 좋겠습니다', '좋아요': '1'}]","{'목': '10:00 ~ 19:00', '금': '10:00 ~ 20:00', '토': '10:00 ~ 14:30', '월': '10:00 ~ 20:00', '화': '10:00 ~ 19:00', '수': '10:00 ~ 20:00'}"
하늘약국,1.8,용산구 한강대로 95 래미안용산더센트럴 상가동 2층 228호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA2MTNfMjY2%2FMDAxNzE4MjU3MDUwMjQy.nqRolIdyO5MNPAP1mq47yDMLiz8FU6xb4JCOkdi5XZsg.ND-0Wa1gwlQFDY8r0TW2gk-96LfPvJGEnQ7xWnEoX-4g.PNG%2FArtboard_3.png%3Ftype%3Dw773,"[{'작성자': '빙봉이동생', '별점': '1.0', '날짜': '2024.10.03.', '내용': ""☆다신 가고싶지 않은 곳\n병원 갔다가 처방약 타면서 영양제 어떤게 좋은지 물어봤더니 제대로 보지도 않고 '몰라요.' 이래서 귀를 의심함. 그래서 그냥 두개 픽해서 증상 말하고 '그러면 ... 더보기"", '좋아요': '0'}, {'작성자': '신효복', '별점': '1.0', '날짜': '2024.07.12.', '내용': '절대 방문할 생각을 하지 말아야 할 곳.\n\n복합 마데카솔을 구매하기 위해 방문함. 카운터에 있던 남자직원이 응대하였고, 요구와 다르게 일반 마데카솔을 내놓음. 결제하고 문을 나서... 더보기', '좋아요': '0'}, {'작성자': 'R02HE', '별점': '5.0', '날짜': '2022.03.03.', '내용': '사장님 엄청 친절하시고 설명 잘해주시네요 ㅜㅜ', '좋아요': '1'}]","{'목': '08:50 ~ 19:00', '금': '08:50 ~ 19:00', '토': '08:50 ~ 14:00', '월': '08:50 ~ 19:00', '화': '08:50 ~ 19:00', '수': '09:00 ~ 20:00'}"
스타약국,2.3,용산구 한강대로23길 55 용산역 3층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8809ea00849b03bc44e327faf2835a4b340ffbd7%3Foriginal,"[{'작성자': '뜁니', '별점': '1.0', '날짜': '2024.09.08.', '내용': '일요일이라 일하기 싫으셨나봐요..', '좋아요': '0'}, {'작성자': '새롱', '별점': '1.0', '날짜': '2023.10.03.', '내용': '간 게 후회되네요', '좋아요': '0'}, {'작성자': 'Kadimus', '별점': '4.0', '날짜': '2023.09.10.', '내용': '급하게 약이 필요해서 방문했던 곳입니다. 역내에 약국이 있다는 점에서 위치는 좋았지만 공간이 매우 협소하고 부재중일 때가 많았습니다. 처방 받은 약은 좋았어도 조금 아쉽네요.', '좋아요': '0'}]","{'목': '07:00 ~ 21:30', '금': '07:00 ~ 22:00', '토': '07:00 ~ 22:00', '일': '07:00 ~ 22:00', '월': '07:00 ~ 22:00', '화': '07:00 ~ 22:00', '수': '07:00 ~ 22:00'}"
