name,score,address,img_url,reviews,open_hour
용산대학약국,5.0,용산구 대사관로 58 1층,,"[{'작성자': 'J', '별점': '5.0', '날짜': '2021.09.17.', '내용': '일하시는 분들 전부 친절하고 설명 잘해주십니다.', '좋아요': '0'}]","{'목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '09:00 ~ 18:00', '일': '휴무일', '월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '휴무일': '매주 일요일'}"
시온약국,3.0,용산구 독서당로 67 서울빌딩 205호,,"[{'작성자': '먀먀먕', '별점': '1.0', '날짜': '2024.10.20.', '내용': '들어가서 도둑으로 몰리지\n않으려면 행동거지 조심해야함.', '좋아요': '0'}, {'작성자': ':)', '별점': '5.0', '날짜': '2023.04.07.', '내용': '사장님이 친절하시고 좋아요 ㅎㅎ 약 복용법도 하나하나 잘 설명해주십니다', '좋아요': '0'}, {'작성자': '치즈버거', '별점': '1.0', '날짜': '2022.02.09.', '내용': '내부 청소좀!!!!!', '좋아요': '0'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 22:00', '일': '14:00 ~ 22:00', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00'}"
가장큰태평양약국,5.0,용산구 대사관로 52 1층,,"[{'작성자': '강이경', '별점': '5.0', '날짜': '2024.04.07.', '내용': '신관 앞 약국 다니다가 정문 앞으로 옮겼는데 약사님 친절하시네요. 여기 약국이 사람이 좀 있는데 이유가 있는거 같습니다.', '좋아요': '1'}]","{'목': '08:30 ~ 18:20', '금': '08:30 ~ 18:20', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:20', '화': '08:30 ~ 18:20', '수': '08:30 ~ 18:20', '휴무일': '매주 일요일'}"
기영약국,,용산구 대사관로31길 7-5 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '휴무일': '매주 일요일'}"
가까운우리약국,3.0,용산구 대사관로31길 7-10 1층,,"[{'작성자': 'ㅊㅎ', '별점': '5.0', '날짜': '2023.12.22.', '내용': '배가 너무 아팠는데 증상 설명드리니까 낫는 약 바로 주셨어요. 약 먹고 나니 괜찮아졌습니다 감사합니다!!', '좋아요': '0'}, {'작성자': '뀽이', '별점': '1.0', '날짜': '2023.12.12.', '내용': '사과 할 상황에선 사과하는 인성 갖추기를... 불친절', '좋아요': '0'}, {'작성자': '느좋', '별점': '1.0', '날짜': '2023.12.12.', '내용': '어르신들 중요한 약은 잊어버리지 않고 먹기 위해 낱개포장으로 표식해서 드시는 편인데 요청해도 무시하고 통으로 줘서 얘기했더니 사과한마디 없이 확인 안하고 그냥 가져간 사람 잘못으로 모는 안하무인 약사', '좋아요': '0'}]","{'목': '08:30 ~ 18:30', '금': '08:30 ~ 18:30', '토': '09:00 ~ 13:00', '일': '휴무일', '월': '08:30 ~ 18:30', '화': '08:30 ~ 18:30', '수': '08:30 ~ 18:30', '휴무일': '매주 일요일'}"
용약국,0.0,용산구 대사관로24길 6,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:00 ~ 21:30', '금': '08:00 ~ 21:30', '토': '08:00 ~ 21:00', '일': '휴무일', '월': '08:00 ~ 21:30', '화': '08:00 ~ 21:30', '수': '08:00 ~ 21:30', '휴무일': '매주 일요일'}"
옵티마찬미약국,0.0,용산구 대사관로30길 17,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '10:00 ~ 17:00', '금': '10:00 ~ 17:00', '토': '10:00 ~ 13:00', '월': '10:00 ~ 17:00', '화': '10:00 ~ 17:00', '수': '10:00 ~ 17:00'}"
이화약국,4.6,용산구 대사관로 60 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA1MjFfMTgx%2FMDAxNjg0NjQ3ODc3OTky.z4Zyu3LbWBEZtZNjUZQ5qfRaGeNgza3X10bdF6_4Myog.Wrwwa8rCptR3jTiZ6_GdPgqq7j1H2kyNwSXFX3xdbREg.JPEG.apccare%2FKakaoTalk_20230520_161324267_02.jpg%3Ftype%3Dw966,"[{'작성자': '마냥', '별점': '5.0', '날짜': '2025.03.06.', '내용': '친절하고 환자에게 유용한 정보를 주기 위하여 노력하시는 게 너무 보기 좋아요.', '좋아요': '0'}, {'작성자': '제점수는요', '별점': '5.0', '날짜': '2025.03.02.', '내용': '옆에 어르신들 계신 약국으로만 다니다가 약없다고 해서 옆으로 처음 와봤는데 너무 친절하시고 어르신 환자분들께도 너무 잘하시는거 보고 좋았움 앞으로 여기로 바꿀래용', '좋아요': '0'}, {'작성자': '우룰루루', '별점': '1.0', '날짜': '2025.02.05.', '내용': '병원 문구에 동물약국 이란 단어를 빼던가, 떡하니 동물약있다고 적어놓고 있는게 에버가드 사상충약 하나밖에 없음 ㅋㅋㅋ 진짜 응대도 ○○○○○ 같이 하고 왔다갔다 진짜 시간아까워죽겠네', '좋아요': '0'}]","{'목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '일': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00'}"
정문약국,0.0,용산구 대사관로 60-1 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'목': '08:40 ~ 18:40', '금': '08:40 ~ 18:40', '토': '08:40 ~ 13:00', '일': '08:40 ~ 18:40', '월': '08:40 ~ 18:40', '화': '08:40 ~ 18:40', '수': '08:40 ~ 18:40'}"
문약국,5.0,용산구 한남동 261-6 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F037546CFB3B7451BAD0213D427215F27,"[{'작성자': 'we', '별점': '5.0', '날짜': '2024.09.08.', '내용': '약사님 친절하시고 복약 설명도 차근차근 잘해주셔서 좋아요~', '좋아요': '0'}, {'작성자': '락앤락', '별점': '5.0', '날짜': '2024.03.11.', '내용': '약사님 너무 친절하세요 :)', '좋아요': '1'}, {'작성자': '응애', '별점': '5.0', '날짜': '2022.09.02.', '내용': '약들이 해리포터에 나오는 지팡이 상점처럼 많이 진열되어 있어요 약사님 친절하시고 좋아요', '좋아요': '5'}]","{'목': '09:00 ~ 22:00', '금': '09:00 ~ 22:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 22:00', '화': '09:00 ~ 22:00', '수': '09:00 ~ 22:00', '휴무일': '매주 일요일'}"
