name,score,address,img_url,reviews,open_hour
그랑약국,5.0,과천시 과천대로7길 46 과천 Creation Tower 1층 105호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEA872E94003C4A7BA9B7CD5BFDEDCB87,"[{'작성자': '이상현', '별점': '5.0', '날짜': '2024.11.01.', '내용': '친절하시고, 설명과 복약지도도 잘 해주세요~\n동물을 위한 약도 살 수 있어서 좋아요.', '좋아요': '0'}, {'작성자': '초코', '별점': '5.0', '날짜': '2024.10.31.', '내용': '약사님이 완전 친절하세요~~', '좋아요': '0'}, {'작성자': '김재민', '별점': '5.0', '날짜': '2024.07.24.', '내용': '약사님이 친절하시고, 복약지도도 잘 해주십니다.^^', '좋아요': '0'}]","{'금': '08:30 ~ 19:30', '토': '10:00 ~ 14:30', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '휴무일': '매달 다섯번째 토요일'}"
과천햇살약국,5.0,과천시 과천대로6가길 52 과천어반프라자 1층 106호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F99ce3f9f7b546b37140fe574fb92003148a6adea%3Foriginal,"[{'작성자': '이영주', '별점': '5.0', '날짜': '2024.12.22.', '내용': '약사님 설명도 잘해주시구 친철하세요!! 추천해주신 영양제도 효과 좋아서 덕분에 피로 회복했습니다😆', '좋아요': '0'}, {'작성자': '이다희', '별점': '5.0', '날짜': '2024.09.04.', '내용': '약사님 복약지도가 엄청 자세하고 친절해요!', '좋아요': '0'}, {'작성자': '양규', '별점': '5.0', '날짜': '2024.08.11.', '내용': '약사님 너무 친절하시고 약이 많아서 좋았습니다. 감사합니다.', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '휴무일': '공휴일'}"
휴베이스 행복약국,5.0,과천시 과천대로2길 6 과천테라스원 107호,,"[{'작성자': '김효정', '별점': '5.0', '날짜': '2025.01.06.', '내용': '약이 다양하고 약사님 친절하셔요', '좋아요': '0'}]","{'금': '09:00 ~ 19:00', '토': '08:30 ~ 13:00', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00'}"
펄약국,0.0,과천시 과천대로2길 48 펄어비스 지하1층 B108호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA37E5D6B5B1C46BE83A9F21397E0AB60,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
과천든든약국,0.0,과천시 과천대로5길 6 과천 아이플렉스 107호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 14:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30'}"
한가람약국,0.0,과천시 별양로 28 2054호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
상우약국,5.0,과천시 별양로 28 래미안슈르 4상가 B동 3078~3079호,,"[{'작성자': '나이스가이', '별점': '5.0', '날짜': '2023.09.24.', '내용': '친절하고 약 지으면 비타민음료를 줍니다.', '좋아요': '0'}, {'작성자': '헿헿', '별점': '5.0', '날짜': '2022.05.11.', '내용': '어느 병원가도 왠만하면 약국은 상우로 방문합니다\n넘 친절하세요~', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
로뎀약국,0.0,과천시 별양로 28 래미안슈르 4상가 3층 3025호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 19:00', '수': '08:30 ~ 19:00', '목': '08:30 ~ 19:00'}"
과천정약국,5.0,과천시 별양로 39 1동 1층 104호,,"[{'작성자': '하하호호히힛', '별점': '5.0', '날짜': '2024.12.04.', '내용': '최고 약국\n친절하셔서 좋아유', '좋아요': '0'}, {'작성자': '김종건', '별점': '5.0', '날짜': '2024.05.10.', '내용': '친절하게 복약 지도 해주시고 문의에도 잘 응대해주셔서 좋았습니다.', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30'}"
하늘약국,0.0,과천시 별양상가3로 14 e편한세상 시티과천 2층 211호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MThfMTcz%2FMDAxNzEzMzk2MTA0NTQz.RX5yKhyN7K2yykGKlJh6IngaGDHXSKxO1TyMD7j-4F8g.YwPvZ8p_MH-mlpXoSxLRnpwH4bgNYC6yGFx0MZZ4UoAg.PNG%2FArtboard_3.png%3Ftype%3Dw773,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
제일약국,5.0,과천시 별양로 64 3단지병원상가 106호,,"[{'작성자': '웃는게 아님', '별점': '5.0', '날짜': '2020.08.15.', '내용': '여성 약사님 친절하십니다. 토요일 3시에도 운영하셔서 도움이 됐어요~**', '좋아요': '0'}]","{'금': '08:30 ~ 19:30', '토': '08:30 ~ 19:30', '일': '휴무일', '월': '08:30 ~ 19:30', '화': '08:30 ~ 19:30', '수': '08:30 ~ 19:30', '목': '08:30 ~ 19:30', '휴무일': '매주 일요일'}"
