name,score,address,img_url,reviews,open_hour
제안약국,3.0,은평구 연서로11길 19,,"[{'작성자': '광수', '별점': '1.0', '날짜': '2023.03.01.', '내용': '되게 성의없이 전화받고 불친절 비추', '좋아요': '0'}, {'작성자': '전화받으세요', '별점': '5.0', '날짜': '2021.04.22.', '내용': '몸이허해서 갔는데 자세하게 상담해주셨어요.\n추천해주신약먹고 금방나았습니다.', '좋아요': '0'}, {'작성자': '.', '별점': '5.0', '날짜': '2021.04.22.', '내용': '소화도않되고 체력 딸려서 산후보약 해먹었는데 효과좋아요!', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
경하프라자약국,1.0,은평구 서오릉로 157 1층,,"[{'작성자': '민', '별점': '1.0', '날짜': '2025.02.03.', '내용': '너무 느려요 진짜 너ㅓㅓㅓ무너무너어어ㅓㅓㅓㅓㅓ무 느려요 이것도 기다리다기다리다 지쳐서 쓰는건데 다신 안올거예요 진짜 너무 느려요 약 받기까지 오래걸려요 답답해서 죽을거같아요', '좋아요': '0'}, {'작성자': '솔직한토끼', '별점': '1.0', '날짜': '2022.08.31.', '내용': '불친절', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 20:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00'}"
구산이화약국,3.2,은평구 서오릉로 217-5,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F99321EB267EA441B9808D1A0B40FACFC,"[{'작성자': '릴리', '별점': '1.0', '날짜': '2025.01.02.', '내용': '굉장히 불친절하네요', '좋아요': '0'}, {'작성자': '元', '별점': '5.0', '날짜': '2024.04.18.', '내용': '장염 걸렸는데 처방전 보시더니, 지금 이런 상태일 거다. 라는 걸 알려주시고, 설사 안 하려면 어떤 약부터 먼저 먹을지 친절하게 설명해주셨어요.\n타이레놀도 처방받았는데, 꼭 다 먹을 필요는 없고... 더보기', '좋아요': '0'}, {'작성자': 'h', '별점': '2.0', '날짜': '2023.10.30.', '내용': '친절하긴 해요 근데 처방전 약 먼저 만들기 급급하고 처방전 없이 살 수 있는 약 사러 왔다가 한세월을 기다리게 함...ㅋㅋ 그래서 나보다 늦게 온 사람들이 더 빨리 약 받고 나감', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '09:00 ~ 14:00', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30'}"
예일태평양약국,2.8,은평구 연서로 137,,"[{'작성자': 'no nick', '별점': '4.0', '날짜': '2025.01.28.', '내용': '한 자리에 오래 됐음\n드라마 ‘내이름은 김삼순’ 나옴', '좋아요': '0'}, {'작성자': 'Patrick', '별점': '5.0', '날짜': '2022.12.16.', '내용': 'Regular pharmacy', '좋아요': '0'}, {'작성자': 'ㅇㅅㅇㅌㅂ', '별점': '1.0', '날짜': '2022.08.30.', '내용': '가까워서 자주 갔는데 다른 곳보다 약이 비쌈.\n한 두번도 아니고 짜증나서 안감.', '좋아요': '0'}]","{'금': '08:30 ~ 20:30', '토': '08:30 ~ 18:00', '일': '09:00 ~ 12:00', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30'}"
성실약국,3.1,은평구 갈현로11길 26 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MjZfOTcg%2FMDAxNzI3MzA2MDY2OTgx.MreiblPbmC63gfV7PdrRQuSJpImTSwUM1U7F3mRy6IIg.XEJDta38W9neYcoaVz-stBGcXtue-OXi71xst0kpsPwg.PNG%2Fwer.png%3Ftype%3Dw966,"[{'작성자': '', '별점': '1.0', '날짜': '2025.03.03.', '내용': '너무너무 단골위주의 편파적인 영업을해서\n기분나쁨', '좋아요': '0'}, {'작성자': '2020년 오브제 화실^^', '별점': '1.0', '날짜': '2022.02.15.', '내용': '코로나키트 가격을 전화로 물어보니..\n와서 이야기하시구요~그러고는 뚝 끊네요ㅠ\n뭐죠?', '좋아요': '0'}, {'작성자': '곱상녀', '별점': '1.0', '날짜': '2021.06.09.', '내용': '불친절', '좋아요': '0'}]","{'금': '09:00 ~ 19:30', '토': '10:00 ~ 18:00', '일': '휴무일', '월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:30', '목': '09:00 ~ 19:30', '휴무일': '매주 일요일'}"
메디팜상록약국,5.0,은평구 서오릉로 191 1층,,"[{'작성자': '주민', '별점': '5.0', '날짜': '2021.12.06.', '내용': '약사님 유쾌하시고 친절하시고 좋아요', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '매주 토요일, 일요일'}"
푸른약국,5.0,은평구 서오릉로 203,,"[{'작성자': '민희동', '별점': '5.0', '날짜': '2020.03.21.', '내용': '친절한 약사님', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '09:00 ~ 13:30', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00'}"
희래약국,0.0,은평구 서오릉로18길 6-17 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '일': '휴무일', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00', '휴무일': '매주 일요일'}"
정온누리약국,0.0,은평구 서오릉로 196,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F22543C36567FF6F62C,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 21:00', '토': '09:00 ~ 21:00', '월': '09:00 ~ 21:00', '화': '09:00 ~ 21:00', '수': '09:00 ~ 21:00', '목': '09:00 ~ 21:00'}"
효제메디컬약국,5.0,은평구 서오릉로 204 1층,,"[{'작성자': 'pOn Studio', '별점': '5.0', '날짜': '2024.06.08.', '내용': '1. 가격: 근처 약국에 비해 가격이 저렴합니다.\n2. 친절: 사장님이 매우 친절 합니다.\n           (수치심을 유발하는 약을 주문할 때 살짝 웃는 소리가 들립니다 ;;;)', '좋아요': '0'}, {'작성자': '인간', '별점': '5.0', '날짜': '2022.02.18.', '내용': '약사님이 정말 친절하시고 매번 편하게 가기 좋은 것 같아요!', '좋아요': '1'}, {'작성자': '이성훈', '별점': '5.0', '날짜': '2021.06.04.', '내용': '약사님이 친절하고 설명을 잘 해주세요', '좋아요': '1'}]","{'금': '09:00 ~ 18:30', '토': '09:00 ~ 15:30', '월': '09:00 ~ 18:30', '화': '09:00 ~ 18:30', '수': '09:00 ~ 18:30', '목': '09:00 ~ 18:30'}"
