name,score,address,img_url,reviews,open_hour
청룡중앙약국,3.3,은평구 가좌로 233 연희타워 1층 103호,,"[{'작성자': '이주원', '별점': '4.0', '날짜': '2024.12.09.', '내용': '쏘쏘~\n제가 낮에 갔을 땐 딱히 놀랄만한 친절 혹은 불친절은 없었습니다.', '좋아요': '0'}, {'작성자': '가즈아', '별점': '5.0', '날짜': '2021.08.12.', '내용': '밤에 급할때 이용할수있어 너무 좋아요', '좋아요': '0'}, {'작성자': '◡̈', '별점': '1.0', '날짜': '2021.06.16.', '내용': '야간 영업을 하기 싫으시면 불친절하게 대하지 마시고 야간에는 문을 닫으시면 될 것 같아요 들어갔다 깜짝놀랐네요 동네에 약국이 얼마나 많은데, 재방문 안하려구요', '좋아요': '3'}]","{'금': '09:30 ~ 01:00', '토': '09:30 ~ 16:00', '월': '09:30 ~ 01:00', '화': '09:30 ~ 01:00', '수': '09:30 ~ 01:00', '목': '09:30 ~ 01:00'}"
한약국더채움&약국은허준,5.0,은평구 응암로 168-1 새로나빌딩 1층 2호,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjFfMjIx%2FMDAxNzI0MjE1MzYxNzU4.QY4Zpr9XNqIkVgsPnZYmR9SnCxOze3h9ttqu2UfdyJEg.pcobPrvLijYXDAKRNGUW936O4EXG6rXYyqqXjviAFwgg.JPEG%2F001.jpg%3Ftype%3Dw966,"[{'작성자': '냠냠', '별점': '5.0', '날짜': '2024.10.24.', '내용': '친절하시고 약 설명도 찬찬히 잘 해주세요. 남자분 여자분 둘 다 넘 친절하십니다. 약국 내부도 깔끔하고 약 종류도 많아요. 적극추천!', '좋아요': '0'}, {'작성자': '솔찍한심정', '별점': '5.0', '날짜': '2024.07.28.', '내용': '영업시간 끝났는데 급하게 생리통약을 사야해서 전화드렸더니 판매해주셨어요\n친절하시구.. 추천합니다^-^', '좋아요': '0'}, {'작성자': '댕댕 최고', '별점': '5.0', '날짜': '2019.03.26.', '내용': '근처 병원 처방전 갖고 들렀는데\n약사님이 친절하세요ㅎㅎ \n오자마자 쌍화탕이나 비타오백같은 것 마련되있으니 먹으라하... 더보기', '좋아요': '1'}]","{'금': '10:00 ~ 18:00', '토': '10:00 ~ 15:00', '월': '10:00 ~ 18:00', '화': '10:00 ~ 18:00', '수': '10:00 ~ 18:00', '목': '10:00 ~ 18:00'}"
큰사랑약국,0.0,은평구 응암로 166,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '08:30 ~ 18:00', '토': '09:00 ~ 13:00', '월': '08:30 ~ 18:00', '화': '08:30 ~ 18:00', '수': '08:30 ~ 18:00', '목': '08:30 ~ 18:00'}"
셀메드이화약국,2.8,은평구 응암로22길 22,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F868C0804E7B9432C866BD6C6F4FF1E0D,"[{'작성자': '강실짱님', '별점': '1.0', '날짜': '2025.01.11.', '내용': '약을 달라고 하면 비싼 건강기능식품을 추천해주는 황당한 친절함으로 눈탱이 칩니다.\n증상을 말하고 약을 달라하고 집에 와서 검색해보니 건강기능식품 ㅎㅎ. 조심하세요', '좋아요': '0'}, {'작성자': 'D.k', '별점': '1.0', '날짜': '2023.12.09.', '내용': '어르신들 이나 만만해 보이면 눈탱이 침 다른 약국 가세요.', '좋아요': '1'}, {'작성자': '맘', '별점': '5.0', '날짜': '2023.09.27.', '내용': '꼼꼼히 설명잘 해주시고 친절하세요~', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 20:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00'}"
응암프라자약국,5.0,은평구 응암로 189 1층,,"[{'작성자': 'ㅎ', '별점': '5.0', '날짜': '2024.10.26.', '내용': '친절하고 전문적이시네요', '좋아요': '0'}, {'작성자': '짱구', '별점': '5.0', '날짜': '2023.01.01.', '내용': '반갑습니다.\n2023 년1월1일 집가까운 곳에 좋은 약... 더보기', '좋아요': '0'}, {'작성자': '부산갈매기', '별점': '5.0', '날짜': '2022.03.04.', '내용': '단골 약국입니다.', '좋아요': '0'}]","{'금': '08:40 ~ 21:00', '토': '08:00 ~ 20:00', '일': '휴무일', '월': '08:40 ~ 21:00', '화': '08:40 ~ 21:00', '수': '08:40 ~ 21:00', '목': '08:40 ~ 21:00', '휴무일': '매달 첫번째, 두번째, 네번째, 다섯번째, 마지막 일요일'}"
원약국,4.6,은평구 은평로 121,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAxMTNfMjg2%2FMDAxNzA1MTE5OTU0MzMx.SbKZ1Ij9KW7fDdpCOOQzpV5fYe_tMmlq0whDyc6vol4g.9LDlFFrVblbCSzi9N63vci9kOm98osWGgHGpDEU_Qf4g.JPEG.ohgiji%2FIMG_4209.jpg%3Ftype%3Dw966,"[{'작성자': '김수빈', '별점': '5.0', '날짜': '2024.03.28.', '내용': '늦게까지 열어서 정말 좋습니다ㅠㅜㅡㅠ', '좋아요': '0'}, {'작성자': '이나', '별점': '1.0', '날짜': '2024.01.06.', '내용': '와..분명 잘 이용했었는데 왜이러지?\n여자약사 개불친절함 병원타워 밑 약국이라서 여기만 가는거 알고 이러... 더보기', '좋아요': '0'}, {'작성자': 'aa', '별점': '5.0', '날짜': '2023.04.27.', '내용': '복약지도가 의무라지만 잘 안 해주시는 약국 많은데 여기는 엄청 친절하고 자세하게 알려주세요', '좋아요': '0'}]","{'금': '09:00 ~ 18:00', '토': '휴무일', '일': '휴무일', '월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '휴무일': '매주 토요일, 일요일'}"
조은백화점약국,5.0,은평구 응암로 201 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEwMjRfMTY0%2FMDAxNjk4MTM3MDcxMDUw.8IFrC5Sr_YBgvVNODsYM-Ets8-yBs7enu-d-UB5v-ZUg.KXQJpiwXMgQQzeFJoeSl5KPHOFIkKMoQckCAPAlpA5Qg.JPEG.pet_pharm8%2F%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC_%25EC%25A1%25B0%25EC%259D%2580%25EB%25B0%25B1%25ED%2599%2594%25EC%25A0%2590%25EC%2595%25BD%25EA%25B5%25AD.jpg%3Ftype%3Dw966,"[{'작성자': '애플민트', '별점': '5.0', '날짜': '2022.03.05.', '내용': '가격도 합리적이라 자주 방문합니다.', '좋아요': '0'}]","{'금': '08:30 ~ 20:00', '토': '08:30 ~ 20:30', '일': '09:00 ~ 20:30', '월': '08:30 ~ 20:30', '화': '08:30 ~ 20:30', '수': '08:30 ~ 20:30', '목': '08:30 ~ 20:30'}"
신일약국,4.0,은평구 은평로 156 1층 101호,,"[{'작성자': 'okinawa', '별점': '2.0', '날짜': '2025.03.16.', '내용': '친절한 느낌음 못 받았습니다. 주말에 급하게 약국 문연곳이 없어서 찾았는데 약에 대한 질문을 했는데 정확하고 신뢰가는 대답은 아니었어요.', '좋아요': '0'}, {'작성자': '보보', '별점': '5.0', '날짜': '2023.12.01.', '내용': '집앞, 친절하신 선생님. 가끔 필요한 약이 없어 주문 후 기다리기도 하지만 꼭 이곳으로 갑니다. 전문적인 상담도 잘 해주세요.', '좋아요': '0'}, {'작성자': '이승주', '별점': '5.0', '날짜': '2020.02.01.', '내용': '집앞', '좋아요': '0'}]","{'금': '08:40 ~ 22:00', '토': '08:40 ~ 21:00', '일': '휴무일', '월': '08:40 ~ 22:00', '화': '08:40 ~ 22:00', '수': '08:40 ~ 22:00', '목': '08:40 ~ 22:00', '휴무일': '매주 일요일'}"
서울온누리약국,5.0,은평구 은평로 240 상가 2층 205~206호,,"[{'작성자': '🌙', '별점': '5.0', '날짜': '2024.11.11.', '내용': '3층 안과 내원하다가 2층에도 약국이 있는 걸 알게되어 방문했는데, 약 설명도 꼼꼼하게 잘 해주시고 정말 친절하셔서 좋았습니다', '좋아요': '0'}, {'작성자': '량기', '별점': '5.0', '날짜': '2021.07.27.', '내용': '약사님께서 약 설명 꼼꼼히 해주십니다 :-)', '좋아요': '0'}]","{'금': '08:30 ~ 19:00', '토': '08:30 ~ 14:00', '월': '08:30 ~ 19:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 18:30', '목': '08:30 ~ 19:00'}"
보은당온누리약국,0.0,은평구 응암로22길 28-6,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'금': '09:00 ~ 20:00', '토': '09:00 ~ 13:00', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00'}"
