name,score,address,img_url,reviews,open_hour
사랑약국,0.0,종로구 진흥로 432 1층 3호,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '휴무일': '매주 일요일'}"
예은약국,3.0,종로구 진흥로 456 1층,,"[{'작성자': '.', '별점': '5.0', '날짜': '2023.06.21.', '내용': '약사님이 친절하시고 설명을 자세히 해주셔요', '좋아요': '0'}, {'작성자': '제이', '별점': '1.0', '날짜': '2022.08.13.', '내용': '자가키트 4천원인데 5천원 받음. 참나', '좋아요': '1'}, {'작성자': '행인', '별점': '1.0', '날짜': '2020.04.19.', '내용': '가격 매우 창렬. 노양심', '좋아요': '1'}]","{'월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 15:00'}"
국화약국,3.5,종로구 평창11길 3 쇼핑센타뉴본 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 19:30', '화': '09:00 ~ 19:30', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:30', '금': '09:00 ~ 19:30', '토': '09:00 ~ 20:30'}"
요셉약국,0.0,종로구 평창문화로 75,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]",{}
글로리아약국,1.8,종로구 평창문화로 75 글로리아타운 A 109호,,"[{'작성자': '쿠키', '별점': '1.0', '날짜': '2024.10.12.', '내용': '장사 잘 하심..', '좋아요': '0'}, {'작성자': '.', '별점': '1.0', '날짜': '2024.09.09.', '내용': '아래 후기와 같아요 요즘이 어떤 시대인데 플라시보 유사건강보조제 엄청 비싸게 거의 강매 수준임 어휴... 몇 번 거절하다 좀 사주고 빠져나옴요 중년여성분 다단곈줄. 젊은 여성분은 그... 더보기', '좋아요': '1'}, {'작성자': 'Sgy', '별점': '1.0', '날짜': '2024.05.16.', '내용': '후기 진짜 안쓰는데, 과잉으로 약 더 구매유도하고, 너무 불친절해요 다른데 가세요', '좋아요': '1'}]","{'일': '휴무일', '월': '09:00 ~ 20:00', '화': '09:00 ~ 20:00', '수': '09:00 ~ 20:00', '목': '09:00 ~ 20:00', '금': '09:00 ~ 20:00', '토': '09:00 ~ 16:00', '휴무일': '매주 일요일'}"
세검정약국,,종로구 세검정로6길 104 1층,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'월': '09:00 ~ 18:00', '화': '09:00 ~ 18:00', '수': '09:00 ~ 18:00', '목': '09:00 ~ 18:00', '금': '09:00 ~ 18:00', '토': '09:00 ~ 13:00'}"
백제약국,0.0,서대문구 홍은중앙로 98,,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 16:00', '휴무일': '매주 일요일'}"
참조은약국,,서대문구 홍은중앙로 100-1 1층,//img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F0ED60703ECA446AAAE20479CC4966DF3,"[{'작성자': '', '별점': '', '날짜': '', '내용': ' ', '좋아요': '0'}]","{'일': '휴무일', '월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 15:00', '휴무일': '공휴일'}"
은평제일약국,5.0,은평구 불광로 60 104호,,"[{'작성자': '장소정', '별점': '5.0', '날짜': '2023.09.01.', '내용': '또 오고 싶은 약국이에요.\n서비스가 너무 좋아요.\n복약상담을 너무 잘해주세요.... 더보기', '좋아요': '2'}, {'작성자': '오현재', '별점': '5.0', '날짜': '2023.09.01.', '내용': '약이 맛있고 약사님이 친절하세요. \n역시 서비스가 좋네요.', '좋아요': '2'}]","{'월': '08:30 ~ 20:00', '화': '08:30 ~ 20:00', '수': '08:30 ~ 20:00', '목': '08:30 ~ 20:00', '금': '08:30 ~ 20:00', '토': '08:30 ~ 16:00'}"
우리약국,5.0,은평구 불광로 104 1층,//img1.kakaocdn.net/cthumb/local/C1104x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F04c055802c3f54cfa2cc61f52b75dcde72986f07%3Foriginal,"[{'작성자': '숙숙스', '별점': '5.0', '날짜': '2023.08.25.', '내용': '동네 약국 유목민이었는데 정착하려구여\n넘넘 친절하셔용 😳', '좋아요': '0'}, {'작성자': '윤', '별점': '5.0', '날짜': '2022.02.03.', '내용': '친절해용', '좋아요': '0'}]","{'월': '09:00 ~ 19:00', '화': '09:00 ~ 19:00', '수': '09:00 ~ 19:00', '목': '09:00 ~ 19:00', '금': '09:00 ~ 19:00', '토': '09:00 ~ 14:30'}"
